0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonate in C Opus 1"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Johannes Brahms"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Erstellt: 9.4.2009\012"
1, 0, Text_t, "Dauer: 11:29 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 501840
1, 0, Marker_t, "Teil 1"
1, 720, Tempo, 428082
1, 960, Tempo, 475360
1, 1440, Tempo, 446894
1, 1680, Tempo, 487805
1, 1920, Tempo, 454925
1, 4320, Tempo, 429738
1, 4560, Tempo, 479463
1, 4800, Tempo, 443361
1, 5280, Tempo, 424839
1, 5520, Tempo, 475360
1, 5760, Tempo, 450484
1, 7200, Tempo, 446894
1, 7440, Tempo, 487805
1, 7680, Tempo, 445137
1, 8160, Tempo, 454167
1, 8640, Tempo, 446894
1, 9120, Tempo, 455996
1, 9580, Tempo, 469410
1, 9619, Tempo, 467435
1, 9657, Tempo, 465477
1, 9676, Tempo, 463571
1, 9715, Tempo, 461645
1, 9753, Tempo, 459735
1, 9772, Tempo, 457875
1, 9811, Tempo, 455996
1, 9849, Tempo, 454167
1, 9868, Tempo, 452318
1, 9907, Tempo, 450484
1, 9945, Tempo, 448699
1, 9964, Tempo, 446894
1, 10003, Tempo, 445137
1, 10022, Tempo, 441599
1, 10118, Tempo, 443361
1, 10214, Tempo, 445137
1, 10291, Tempo, 446894
1, 10387, Tempo, 448699
1, 10483, Tempo, 450484
1, 10560, Tempo, 437286
1, 11040, Tempo, 423400
1, 11280, Tempo, 445401
1, 11520, Tempo, 434122
1, 12000, Tempo, 418965
1, 12240, Tempo, 445137
1, 12480, Tempo, 439883
1, 12960, Tempo, 428082
1, 13200, Tempo, 463571
1, 13440, Tempo, 448699
1, 14361, Tempo, 450417
1, 14476, Tempo, 448732
1, 14592, Tempo, 447061
1, 14688, Tempo, 445401
1, 14803, Tempo, 443754
1, 14899, Tempo, 442119
1, 15014, Tempo, 440496
1, 15110, Tempo, 438885
1, 15225, Tempo, 437286
1, 15321, Tempo, 435698
1, 15360, Tempo, 501840
1, 16080, Tempo, 428082
1, 16320, Tempo, 475360
1, 16800, Tempo, 446894
1, 17040, Tempo, 487805
1, 17280, Tempo, 454925
1, 19680, Tempo, 429738
1, 19920, Tempo, 479463
1, 20160, Tempo, 443361
1, 20640, Tempo, 424839
1, 20880, Tempo, 475360
1, 21120, Tempo, 450484
1, 22560, Tempo, 446894
1, 22800, Tempo, 487805
1, 23040, Tempo, 445137
1, 23520, Tempo, 454167
1, 24000, Tempo, 446894
1, 24480, Tempo, 455996
1, 24940, Tempo, 469410
1, 26880, Tempo, 455546
1, 28320, Tempo, 443754
1, 29280, Tempo, 432557
1, 29520, Tempo, 448732
1, 29760, Tempo, 435698
1, 30000, Tempo, 452114
1, 30240, Tempo, 442119
1, 30480, Tempo, 473522
1, 30720, Tempo, 442119
1, 31200, Tempo, 434122
1, 32160, Tempo, 427930
1, 32400, Tempo, 448732
1, 32640, Tempo, 432370
1, 33120, Tempo, 427930
1, 33360, Tempo, 443754
1, 33600, Tempo, 429277
1, 34320, Tempo, 448732
1, 34560, Tempo, 429277
1, 35040, Tempo, 424899
1, 35280, Tempo, 443754
1, 35520, Tempo, 432370
1, 36000, Tempo, 418965
1, 36240, Tempo, 440302
1, 36480, Tempo, 409920
1, 36720, Tempo, 432370
1, 36960, Tempo, 404394
1, 37200, Tempo, 435698
1, 37320, Tempo, 421911
1, 37680, Tempo, 448732
1, 37920, Tempo, 409920
1, 38160, Tempo, 475398
1, 38400, Tempo, 452114
1, 39360, Tempo, 434122
1, 39840, Tempo, 424719
1, 40080, Tempo, 448732
1, 40320, Tempo, 433934
1, 40800, Tempo, 427930
1, 41040, Tempo, 443754
1, 41280, Tempo, 429277
1, 42000, Tempo, 448732
1, 42240, Tempo, 432557
1, 42720, Tempo, 424899
1, 42960, Tempo, 443754
1, 43200, Tempo, 429277
1, 43680, Tempo, 411325
1, 43920, Tempo, 448732
1, 44160, Tempo, 405762
1, 44400, Tempo, 440496
1, 44640, Tempo, 408525
1, 44880, Tempo, 435698
1, 45000, Tempo, 421911
1, 45120, Tempo, 412740
1, 45360, Tempo, 448732
1, 45600, Tempo, 421911
1, 45840, Tempo, 475398
1, 46080, Tempo, 452114
1, 47040, Tempo, 432557
1, 47520, Tempo, 423400
1, 47760, Tempo, 438885
1, 48000, Tempo, 443754
1, 48960, Tempo, 432557
1, 49440, Tempo, 423400
1, 49680, Tempo, 448732
1, 49920, Tempo, 429461
1, 50400, Tempo, 443754
