0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Scherzo  in b-moll Opus 31"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Chopin"
1, 0, Text_t, "Presto"
1, 0, Text_t, "Fertiggestellt am 15.10.97\012"
1, 0, Text_t, "Korrekturen am 26.8.98\012"
1, 0, Text_t, "Zusammenlegung auf Channel 1 und Reduzierung auf Volume 100 am 8.11.98\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Update am 20.12.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 20.5.2010\012"
1, 0, Text_t, "Update am 24.2.2014\012"
1, 0, Text_t, "Dauer: 8:37 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 449438
1, 0, Marker_t, "Presto"
1, 480, Tempo, 428571
1, 720, Tempo, 454545
1, 1200, Tempo, 428571
1, 1440, Tempo, 451128
1, 2880, Tempo, 375000
1, 5520, Tempo, 408163
1, 7200, Tempo, 377358
1, 8640, Tempo, 347826
1, 11160, Tempo, 362538
1, 11280, Tempo, 387097
1, 11520, Tempo, 347826
1, 12960, Tempo, 378549
1, 13680, Tempo, 394737
1, 17280, Tempo, 413793
1, 20160, Tempo, 375000
1, 22800, Tempo, 408163
1, 24480, Tempo, 377358
1, 25200, Tempo, 334262
1, 28440, Tempo, 362538
1, 28560, Tempo, 387097
1, 28800, Tempo, 347826
1, 29520, Tempo, 362538
1, 30240, Tempo, 422535
1, 30960, Tempo, 394737
1, 34560, Tempo, 506329
1, 35040, Tempo, 451128
1, 35520, Tempo, 353982
1, 37440, Tempo, 355030
1, 37520, Tempo, 356083
1, 37600, Tempo, 357143
1, 37680, Tempo, 358209
1, 37760, Tempo, 359281
1, 37840, Tempo, 360360
1, 37920, Tempo, 361446
1, 38000, Tempo, 362538
1, 38080, Tempo, 363636
1, 38148, Tempo, 364742
1, 38160, Tempo, 436364
1, 38400, Tempo, 394737
1, 38880, Tempo, 361446
1, 38960, Tempo, 360360
1, 39040, Tempo, 359281
1, 39120, Tempo, 358209
1, 39200, Tempo, 357143
1, 39280, Tempo, 356083
1, 39360, Tempo, 355030
1, 39440, Tempo, 353982
1, 39520, Tempo, 352941
1, 39588, Tempo, 351906
1, 39600, Tempo, 430108
1, 39840, Tempo, 394737
1, 40320, Tempo, 451128
1, 40800, Tempo, 421053
1, 41280, Tempo, 346821
1, 42480, Tempo, 345821
1, 43200, Tempo, 353982
1, 43208, Tempo, 352941
1, 43308, Tempo, 353982
1, 43408, Tempo, 355030
1, 43508, Tempo, 356083
1, 43608, Tempo, 357143
1, 43708, Tempo, 358209
1, 43808, Tempo, 359281
1, 43908, Tempo, 360360
1, 43920, Tempo, 359281
1, 44640, Tempo, 352941
1, 45360, Tempo, 371517
1, 45368, Tempo, 372671
1, 45388, Tempo, 373832
1, 45400, Tempo, 375000
1, 45420, Tempo, 376176
1, 45428, Tempo, 377358
1, 45440, Tempo, 378549
1, 45460, Tempo, 379747
1, 45468, Tempo, 380952
1, 45488, Tempo, 382166
1, 45500, Tempo, 383387
1, 45508, Tempo, 384615
1, 45528, Tempo, 385852
1, 45540, Tempo, 387097
1, 45560, Tempo, 388350
1, 45568, Tempo, 389610
1, 45580, Tempo, 390879
1, 45600, Tempo, 392157
