0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 19, Opus 28"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Vivace"
1, 0, Text_t, "Fertiggestellt am 24.11.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 24.6.2010\012"
1, 0, Text_t, "Update am 22.2.2014\012"
1, 0, Text_t, "Dauer:  1:10 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 293988
1, 960, Tempo, 322078
1, 1440, Tempo, 308071
1, 1480, Tempo, 315789
1, 1600, Tempo, 314911
1, 1720, Tempo, 314037
1, 1840, Tempo, 313169
1, 2160, Tempo, 308912
1, 2320, Tempo, 308071
1, 2440, Tempo, 307235
1, 2600, Tempo, 306404
1, 2720, Tempo, 305577
1, 2840, Tempo, 304754
1, 2960, Tempo, 303936
1, 3080, Tempo, 303122
1, 3200, Tempo, 302313
1, 3320, Tempo, 301508
1, 3440, Tempo, 300722
1, 3560, Tempo, 299925
1, 3680, Tempo, 299133
1, 3800, Tempo, 298344
1, 3840, Tempo, 295232
1, 3920, Tempo, 296004
1, 3960, Tempo, 296780
1, 4040, Tempo, 297560
1, 4080, Tempo, 298344
1, 4120, Tempo, 299133
1, 4200, Tempo, 299925
1, 4240, Tempo, 300722
1, 4280, Tempo, 301508
1, 4480, Tempo, 305577
1, 4640, Tempo, 306404
1, 4800, Tempo, 307235
1, 4960, Tempo, 308071
1, 5120, Tempo, 308912
1, 5280, Tempo, 309757
1, 5600, Tempo, 323922
1, 5760, Tempo, 309757
1, 5920, Tempo, 310607
1, 6080, Tempo, 311462
1, 6240, Tempo, 312305
1, 6360, Tempo, 313169
1, 6520, Tempo, 314037
1, 6680, Tempo, 314911
1, 6840, Tempo, 315789
1, 6960, Tempo, 316673
1, 7160, Tempo, 308071
1, 7360, Tempo, 307235
1, 7520, Tempo, 306404
1, 7680, Tempo, 305577
1, 7840, Tempo, 304754
1, 8000, Tempo, 303936
1, 8160, Tempo, 303122
1, 8320, Tempo, 302313
1, 8480, Tempo, 301508
1, 8640, Tempo, 295232
1, 8760, Tempo, 296004
1, 8880, Tempo, 296780
1, 9000, Tempo, 297560
1, 9120, Tempo, 298344
1, 9240, Tempo, 299133
1, 9360, Tempo, 299925
1, 9480, Tempo, 300722
1, 9600, Tempo, 301508
1, 9720, Tempo, 302313
1, 9840, Tempo, 303122
1, 9960, Tempo, 303936
1, 10000, Tempo, 300722
1, 10040, Tempo, 301508
1, 10080, Tempo, 316623
1, 10240, Tempo, 309278
1, 10320, Tempo, 314136
1, 10440, Tempo, 313316
1, 10560, Tempo, 312500
1, 10640, Tempo, 311688
1, 10760, Tempo, 310881
1, 10840, Tempo, 310078
1, 10960, Tempo, 309278
1, 11000, Tempo, 308483
1, 11040, Tempo, 309278
1, 11080, Tempo, 310078
1, 11120, Tempo, 310881
1, 11160, Tempo, 311688
1, 11200, Tempo, 312500
1, 11240, Tempo, 313316
1, 11280, Tempo, 314136
1, 11320, Tempo, 314961
1, 11360, Tempo, 309757
1, 11380, Tempo, 310607
1, 11400, Tempo, 377358
1, 11520, Tempo, 310078
1, 11560, Tempo, 314136
1, 11640, Tempo, 313316
1, 11720, Tempo, 312500
1, 11800, Tempo, 311688
1, 11880, Tempo, 310881
1, 11960, Tempo, 310078
1, 12000, Tempo, 309278
1, 12320, Tempo, 307692
1, 12360, Tempo, 306905
1, 12400, Tempo, 307692
1, 12440, Tempo, 309278
1, 12480, Tempo, 310881
1, 12520, Tempo, 311688
1, 12560, Tempo, 313316
1, 12600, Tempo, 314961
