0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Opus 10 Nr. 12 Es-dur"
1, 0, Title_t, "Etüde Nr. 12"
1, 0, Copyright_t, "Copyright © 1999 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Chopin"
1, 0, Text_t, "Allegro con fuoco"
1, 0, Text_t, "Fertiggestellt am 10.2.99\012"
1, 0, Text_t, "Update am 13.2.99\012"
1, 0, Text_t, "Update am 15.2.99\012"
1, 0, Text_t, "Update am 31.3.99\012"
1, 0, Text_t, "Update am 1.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 2:18 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 493827
1, 0, Marker_t, "Allegro con fuoco"
1, 240, Tempo, 359281
1, 400, Tempo, 360360
1, 560, Tempo, 361446
1, 700, Tempo, 362538
1, 860, Tempo, 363636
1, 1020, Tempo, 364742
1, 1160, Tempo, 365854
1, 1320, Tempo, 366972
1, 1480, Tempo, 368098
1, 1620, Tempo, 369231
1, 1780, Tempo, 370370
1, 1920, Tempo, 371517
1, 2880, Tempo, 383387
1, 3340, Tempo, 430787
1, 3360, Tempo, 508475
1, 3720, Tempo, 745342
1, 3832, Tempo, 428970
1, 3840, Tempo, 451128
1, 4080, Tempo, 359281
1, 4240, Tempo, 360360
1, 4400, Tempo, 361446
1, 4540, Tempo, 362538
1, 4700, Tempo, 363636
1, 4860, Tempo, 364742
1, 5000, Tempo, 365854
1, 5160, Tempo, 366972
1, 5320, Tempo, 368098
1, 5460, Tempo, 369231
1, 5620, Tempo, 370370
1, 5760, Tempo, 371517
1, 6480, Tempo, 387097
1, 7160, Tempo, 385852
1, 7180, Tempo, 396589
1, 7192, Tempo, 410931
1, 7200, Tempo, 510638
1, 7560, Tempo, 722892
1, 7664, Tempo, 469851
1, 7680, Tempo, 410931
1, 7920, Tempo, 359281
1, 8060, Tempo, 360360
1, 8200, Tempo, 361446
1, 8340, Tempo, 362538
1, 8480, Tempo, 363636
1, 8620, Tempo, 364742
1, 8760, Tempo, 365854
1, 8900, Tempo, 366972
1, 9040, Tempo, 368098
1, 9180, Tempo, 369231
1, 9320, Tempo, 370370
1, 9460, Tempo, 371517
1, 9600, Tempo, 372671
1, 11760, Tempo, 359281
1, 11840, Tempo, 360360
1, 11900, Tempo, 361446
1, 11980, Tempo, 362538
1, 12040, Tempo, 363636
1, 12120, Tempo, 364742
1, 12180, Tempo, 365854
1, 12260, Tempo, 366972
1, 12320, Tempo, 368098
1, 12400, Tempo, 369231
1, 12460, Tempo, 370370
1, 12480, Tempo, 394737
1, 12720, Tempo, 361446
1, 12800, Tempo, 362538
1, 12880, Tempo, 363636
1, 12960, Tempo, 364742
1, 13040, Tempo, 365854
1, 13120, Tempo, 366972
1, 13200, Tempo, 368098
1, 13280, Tempo, 369231
1, 13360, Tempo, 370370
1, 13420, Tempo, 371517
1, 13440, Tempo, 392157
1, 13680, Tempo, 377358
1, 13760, Tempo, 378549
1, 13840, Tempo, 379747
1, 13920, Tempo, 380952
1, 13960, Tempo, 382166
1, 14040, Tempo, 383387
1, 14120, Tempo, 384615
1, 14160, Tempo, 385852
1, 14240, Tempo, 387097
1, 14320, Tempo, 388350
1, 14400, Tempo, 389610
1, 14440, Tempo, 390879
1, 14460, Tempo, 392157
1, 14500, Tempo, 393443
1, 14520, Tempo, 394737
1, 14540, Tempo, 396040
1, 14580, Tempo, 397351
1, 14600, Tempo, 398671
1, 14620, Tempo, 400000
1, 14660, Tempo, 401338
1, 14680, Tempo, 402685
1, 14700, Tempo, 404040
1, 14740, Tempo, 405405
1, 14760, Tempo, 406780
1, 14780, Tempo, 408163
1, 14820, Tempo, 409556
1, 14840, Tempo, 410959
1, 14860, Tempo, 412371
1, 14900, Tempo, 413793
1, 14920, Tempo, 415225
1, 14940, Tempo, 416667
1, 14980, Tempo, 418118
1, 15000, Tempo, 419580
1, 15020, Tempo, 421053
1, 15060, Tempo, 422535
1, 15080, Tempo, 424028
1, 15100, Tempo, 425532
1, 15120, Tempo, 436364
1, 15360, Tempo, 603015
1, 15480, Tempo, 393443
1, 15600, Tempo, 392157
1, 15680, Tempo, 390879
1, 15760, Tempo, 389610
1, 15840, Tempo, 388350
1, 15920, Tempo, 387097
1, 16000, Tempo, 385852
1, 16080, Tempo, 384615
1, 17280, Tempo, 395335
1, 18480, Tempo, 447394
