0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Ballade in G minor Opus 32"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Largo - Moderato"
1, 0, Text_t, "Fertiggestellt am 27.4.2003\012"
1, 0, Text_t, "Überarbeitet am 19.6.2003\012"
1, 0, Text_t, "Überarbeitet am 31.10.2010\012"
1, 0, Text_t, "Update am 15.2.2014\012"
1, 0, Text_t, "Dauer: 9:02 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 869187
1, 0, Marker_t, "Largo"
1, 1200, Tempo, 815883
1, 1440, Tempo, 779221
1, 1680, Tempo, 810811
1, 1920, Tempo, 774194
1, 2160, Tempo, 784314
1, 2320, Tempo, 779221
1, 2400, Tempo, 764331
1, 2640, Tempo, 769231
1, 2880, Tempo, 784314
1, 3120, Tempo, 800000
1, 3360, Tempo, 794702
1, 3600, Tempo, 791661
1, 3640, Tempo, 774194
1, 3840, Tempo, 831255
1, 4080, Tempo, 869565
1, 4320, Tempo, 882353
1, 4560, Tempo, 1016949
1, 4760, Tempo, 1111111
1, 5280, Tempo, 1142857
1, 6000, Tempo, 875018
1, 6240, Tempo, 841751
1, 6480, Tempo, 810811
1, 6720, Tempo, 839161
1, 6920, Tempo, 909091
1, 7040, Tempo, 983607
1, 7200, Tempo, 895522
1, 7360, Tempo, 937500
1, 7680, Tempo, 991736
1, 7920, Tempo, 991736
1, 8000, Tempo, 1081081
1, 8160, Tempo, 1061947
1, 8320, Tempo, 1165049
1, 8480, Tempo, 1333333
1, 8640, Tempo, 1023018
1, 11280, Tempo, 826105
1, 11520, Tempo, 711153
1, 11540, Tempo, 714286
1, 11560, Tempo, 722892
1, 11580, Tempo, 736196
1, 11600, Tempo, 750000
1, 11700, Tempo, 1043478
1, 11800, Tempo, 852515
1, 11840, Tempo, 880799
1, 11920, Tempo, 983607
1, 12480, Tempo, 819672
1, 13440, Time_signature, 6, 2, 24, 8
1, 13440, Tempo, 738825
1, 13440, Marker_t, "Moderato"
1, 14880, Tempo, 666667
1, 15360, Tempo, 588235
1, 15840, Tempo, 560748
1, 16320, Tempo, 535714
1, 16800, Tempo, 521739
1, 17280, Tempo, 558140
1, 17760, Tempo, 526316
1, 18240, Tempo, 530973
1, 18720, Tempo, 528634
1, 19200, Tempo, 550459
1, 19680, Tempo, 528634
1, 20640, Tempo, 579710
1, 21120, Tempo, 568720
1, 21600, Tempo, 560748
1, 22080, Tempo, 528634
1, 22560, Tempo, 517241
1, 23040, Tempo, 558140
1, 23520, Tempo, 530973
1, 24000, Tempo, 545455
1, 24040, Tempo, 533333
1, 24480, Tempo, 558140
1, 24960, Tempo, 574163
1, 25440, Tempo, 545455
1, 25480, Tempo, 558140
1, 26400, Tempo, 579710
1, 26880, Tempo, 568720
1, 27360, Tempo, 560748
1, 27840, Tempo, 545455
1, 28320, Tempo, 526316
1, 28800, Tempo, 558140
1, 29280, Tempo, 530973
1, 29760, Tempo, 501379
1, 30240, Tempo, 542986
1, 30720, Tempo, 528634
1, 31200, Tempo, 506800
1, 31320, Tempo, 504075
1, 31680, Tempo, 520879
1, 32160, Tempo, 579710
1, 32640, Tempo, 568720
1, 33120, Tempo, 560748
1, 33600, Tempo, 545455
1, 34080, Tempo, 515154
1, 34560, Tempo, 558140
1, 35040, Tempo, 545455
1, 35520, Tempo, 519481
1, 36000, Tempo, 545455
1, 36480, Tempo, 558140
1, 36960, Tempo, 545455
1, 37920, Tempo, 579710
1, 38400, Tempo, 568720
1, 38880, Tempo, 560748
1, 39360, Tempo, 545455
1, 39840, Tempo, 517241
1, 40320, Tempo, 558140
1, 40800, Tempo, 545455
1, 41280, Tempo, 515021
1, 41760, Tempo, 545455
1, 42240, Tempo, 550459
1, 42720, Tempo, 528634
1, 43200, Tempo, 542986
1, 43680, Tempo, 579710
1, 44160, Tempo, 568720
1, 44640, Tempo, 560748
1, 45120, Tempo, 533333
1, 46080, Tempo, 558140
1, 46560, Tempo, 545455
1, 47040, Tempo, 535714
1, 47520, Tempo, 547945
1, 48000, Tempo, 558140
1, 48480, Tempo, 545455
1, 49440, Tempo, 579710
1, 49920, Tempo, 568720
1, 50400, Tempo, 560748
1, 50880, Tempo, 545455
1, 51360, Tempo, 528634
1, 51840, Tempo, 558140
1, 52320, Tempo, 545455
1, 52800, Tempo, 501379
1, 53280, Tempo, 524017
1, 53760, Tempo, 517241
1, 54240, Tempo, 488321
1, 54360, Tempo, 488321
1, 54720, Tempo, 504075
1, 55200, Tempo, 508431
1, 55320, Tempo, 496073
1, 55560, Tempo, 480808
1, 55680, Tempo, 485791
1, 56160, Tempo, 504075
1, 56640, Tempo, 498712
1, 57120, Tempo, 485791
1, 57600, Tempo, 512821
1, 57720, Tempo, 506800
1, 58080, Tempo, 510638
1, 58560, Tempo, 485791
1, 59040, Tempo, 501379
1, 59520, Tempo, 483871
1, 60000, Tempo, 465152
1, 60480, Tempo, 475210
1, 60960, Tempo, 485830
1, 61440, Tempo, 463249
1, 61880, Tempo, 481541
1, 61920, Tempo, 477327
1, 62400, Tempo, 466454
1, 62880, Tempo, 457352
1, 63360, Tempo, 510595
1, 63800, Tempo, 503609
1, 63880, Tempo, 501295
1, 63920, Tempo, 499002
1, 63960, Tempo, 496771
1, 64000, Tempo, 494519
1, 64040, Tempo, 492328
1, 64080, Tempo, 490076
1, 64120, Tempo, 487924
1, 64160, Tempo, 485751
1, 64200, Tempo, 483637
1, 64240, Tempo, 481541
1, 64280, Tempo, 479386
1, 64480, Tempo, 479386
1, 64600, Tempo, 481541
1, 64680, Tempo, 483637
1, 64700, Tempo, 499002
1, 64720, Tempo, 481541
1, 64760, Tempo, 483637
1, 64800, Tempo, 487924
1, 64840, Tempo, 490076
1, 64880, Tempo, 494519
1, 64920, Tempo, 496771
1, 64960, Tempo, 501295
1, 65000, Tempo, 503609
1, 65040, Tempo, 508259
1, 65080, Tempo, 510595
1, 65120, Tempo, 515420
1, 65140, Tempo, 522739
1, 65280, Tempo, 485830
1, 65760, Tempo, 469153
1, 66240, Tempo, 494519
1, 66720, Tempo, 479386
1, 67200, Tempo, 469153
1, 68160, Tempo, 459594
1, 68280, Tempo, 459594
1, 68640, Tempo, 438116
1, 69120, Tempo, 444346
1, 69600, Tempo, 461858
1, 70120, Tempo, 478088
1, 70560, Tempo, 483637
1, 71520, Tempo, 467144
1, 72000, Tempo, 478088
1, 72480, Tempo, 466926
1, 73440, Tempo, 483637
1, 73920, Tempo, 466454
1, 74400, Tempo, 446462
1, 74880, Tempo, 457352
1, 75360, Tempo, 466454
1, 75840, Tempo, 455512
1, 76320, Tempo, 490076
1, 77280, Tempo, 465152
1, 79200, Tempo, 483637
1, 80160, Tempo, 469153
1, 81080, Tempo, 473223
1, 81160, Tempo, 475210
1, 81200, Tempo, 477327
1, 81240, Tempo, 479386
1, 81280, Tempo, 481541
1, 81320, Tempo, 483637
1, 81400, Tempo, 485751
1, 81440, Tempo, 487924
1, 81480, Tempo, 490076
1, 81520, Tempo, 492328
1, 81560, Tempo, 494519
1, 81640, Tempo, 496771
1, 81680, Tempo, 499002
1, 81720, Tempo, 501295
1, 81760, Tempo, 503609
1, 81800, Tempo, 505902
1, 81880, Tempo, 508259
1, 81920, Tempo, 510595
1, 81960, Tempo, 513040
1, 82000, Tempo, 515420
1, 82040, Tempo, 517866
1, 82080, Tempo, 520291
1, 82320, Tempo, 789889
1, 82440, Tempo, 496771
1, 82560, Tempo, 472441
1, 85440, Tempo, 526316
1, 85920, Tempo, 500000
1, 86160, Tempo, 497925
1, 86400, Tempo, 495868
1, 86640, Tempo, 493827
1, 86880, Tempo, 491803
1, 87120, Tempo, 489796
1, 87320, Tempo, 487805
1, 87360, Tempo, 489796
1, 87440, Tempo, 491803
1, 87520, Tempo, 493827
1, 87560, Tempo, 495868
1, 87640, Tempo, 497925
1, 87680, Tempo, 497925
1, 87688, Tempo, 504202
1, 87692, Tempo, 506329
1, 87700, Tempo, 508475
1, 87704, Tempo, 510638
1, 87708, Tempo, 515021
1, 87716, Tempo, 517241
1, 87720, Tempo, 519481
1, 87728, Tempo, 521739
1, 87732, Tempo, 526316
1, 87740, Tempo, 528634
1, 87744, Tempo, 530973
1, 87748, Tempo, 535714
1, 87756, Tempo, 538117
1, 87760, Tempo, 540541
1, 87768, Tempo, 542986
1, 87772, Tempo, 547945
1, 87780, Tempo, 550459
1, 87784, Tempo, 552995
1, 87788, Tempo, 558140
1, 87796, Tempo, 560748
1, 87800, Tempo, 563380
1, 87808, Tempo, 566038
1, 87812, Tempo, 571429
1, 87820, Tempo, 574163
1, 87824, Tempo, 576923
1, 87828, Tempo, 582524
1, 87840, Tempo, 563380
1, 87868, Tempo, 566038
1, 87900, Tempo, 568720
1, 87920, Tempo, 571429
