0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Mazurka Opus 33 Nr. 2"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Vivace"
1, 0, Text_t, "Fertiggestellt am 12.7.2003\012"
1, 0, Text_t, "Update am 9.7.2010\012"
1, 0, Text_t, "Update am 25.2.2014\012"
1, 0, Text_t, "Dauer: 2:23 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 343859
1, 1440, Tempo, 294190
1, 1920, Tempo, 287646
1, 2400, Tempo, 297192
1, 2640, Tempo, 333797
1, 2880, Tempo, 302496
1, 3360, Tempo, 293040
1, 4320, Tempo, 287646
1, 4800, Tempo, 309837
1, 5280, Tempo, 303383
1, 5760, Tempo, 316573
1, 6240, Tempo, 331895
1, 6720, Tempo, 366345
1, 7200, Tempo, 294190
1, 7680, Tempo, 287646
1, 8160, Tempo, 297192
1, 8400, Tempo, 319166
1, 8640, Tempo, 302496
1, 9120, Tempo, 293040
1, 10080, Tempo, 287646
1, 10560, Tempo, 309837
1, 11040, Tempo, 303383
1, 11520, Tempo, 313169
1, 12000, Tempo, 317427
1, 12480, Tempo, 353024
1, 12960, Tempo, 301084
1, 13440, Tempo, 294392
1, 13920, Tempo, 304152
1, 14160, Tempo, 335721
1, 14400, Tempo, 309598
1, 14880, Tempo, 299925
1, 15840, Tempo, 294392
1, 16320, Tempo, 317108
1, 16800, Tempo, 310495
1, 17280, Tempo, 320496
1, 17760, Tempo, 341627
1, 18240, Tempo, 355177
1, 18720, Tempo, 301084
1, 19200, Tempo, 294392
1, 19680, Tempo, 304152
1, 19920, Tempo, 331895
1, 20160, Tempo, 309598
1, 20640, Tempo, 299925
1, 21600, Tempo, 294392
1, 22080, Tempo, 317108
1, 22560, Tempo, 310495
1, 23040, Tempo, 320496
1, 23520, Tempo, 324886
1, 24000, Tempo, 339635
1, 24480, Tempo, 294190
1, 24960, Tempo, 287646
1, 25440, Tempo, 297192
1, 25680, Tempo, 336700
1, 25920, Tempo, 302496
1, 26400, Tempo, 293040
1, 27360, Tempo, 287646
1, 27840, Tempo, 309837
1, 28320, Tempo, 303383
1, 28800, Tempo, 319166
1, 29280, Tempo, 330015
1, 29760, Tempo, 356252
1, 30240, Tempo, 294190
1, 30720, Tempo, 287646
1, 31200, Tempo, 297192
1, 31440, Tempo, 330015
1, 31680, Tempo, 302496
1, 32160, Tempo, 293040
1, 33120, Tempo, 287646
1, 33600, Tempo, 309837
1, 34080, Tempo, 303383
1, 34560, Tempo, 313169
1, 35040, Tempo, 325415
1, 35520, Tempo, 355177
1, 36000, Tempo, 301598
1, 36480, Tempo, 294898
1, 36960, Tempo, 314005
1, 37200, Tempo, 345682
1, 37440, Tempo, 310110
1, 37920, Tempo, 300436
1, 38880, Tempo, 294898
1, 39360, Tempo, 317645
1, 39840, Tempo, 311026
1, 40320, Tempo, 326318
1, 40800, Tempo, 337667
1, 41280, Tempo, 365186
1, 41760, Tempo, 309008
1, 42240, Tempo, 301811
1, 42720, Tempo, 310655
1, 42960, Tempo, 342642
1, 43200, Tempo, 316573
1, 43680, Tempo, 309837
1, 44640, Tempo, 301811
1, 45120, Tempo, 327243
1, 45600, Tempo, 315706
1, 46080, Tempo, 327243
1, 46560, Tempo, 335721
1, 47040, Tempo, 351947
1, 47520, Tempo, 294190
1, 48000, Tempo, 287646
1, 48480, Tempo, 297192
1, 48720, Tempo, 319166
1, 48960, Tempo, 302496
1, 49440, Tempo, 293040
1, 50400, Tempo, 287646
1, 50880, Tempo, 309837
1, 51360, Tempo, 303383
1, 51840, Tempo, 313169
1, 52320, Tempo, 317427
1, 52800, Tempo, 351947
1, 53280, Tempo, 294190
1, 53760, Tempo, 287646
1, 54240, Tempo, 297192
1, 54480, Tempo, 330015
1, 54720, Tempo, 302496
1, 55200, Tempo, 293040
1, 56160, Tempo, 287646
1, 56640, Tempo, 309837
1, 57120, Tempo, 303383
1, 57600, Tempo, 313169
1, 58080, Tempo, 323607
1, 58560, Tempo, 349834
1, 59040, Tempo, 306169
1, 59520, Tempo, 299371
1, 60000, Tempo, 309294
1, 60240, Tempo, 362911
1, 60480, Tempo, 314828
1, 60960, Tempo, 304987
1, 61920, Tempo, 299371
1, 62400, Tempo, 322459
1, 62880, Tempo, 315740
1, 63360, Tempo, 331895
1, 63840, Tempo, 342642
1, 64320, Tempo, 373390
1, 64800, Tempo, 324500
1, 65280, Tempo, 311494
1, 65760, Tempo, 317427
1, 66000, Tempo, 344669
1, 66240, Tempo, 330015
1, 66720, Tempo, 320924
1, 67680, Tempo, 312321
1, 68160, Tempo, 341627
1, 68640, Tempo, 323607
1, 69120, Tempo, 336700
1, 69600, Tempo, 354087
1, 70080, Tempo, 387047
1, 70560, Key_signature, -2, "major"
1, 70560, Tempo, 358444
1, 71520, Tempo, 375563
1, 72000, Tempo, 354087
1, 72960, Tempo, 379027
1, 73440, Tempo, 352900
1, 74400, Tempo, 368777
1, 74880, Tempo, 352900
1, 75840, Tempo, 381947
1, 76320, Tempo, 373274
1, 76680, Tempo, 343034
1, 76800, Tempo, 369914
1, 77760, Tempo, 373274
1, 78120, Tempo, 343034
1, 78240, Tempo, 369914
1, 79200, Tempo, 373274
1, 79560, Tempo, 343034
1, 79680, Tempo, 369914
1, 80160, Tempo, 380204
1, 80640, Tempo, 380204
1, 81000, Tempo, 350877
1, 81120, Tempo, 376695
1, 81600, Tempo, 396144
1, 82080, Tempo, 353899
1, 83040, Tempo, 381947
1, 83520, Tempo, 352900
1, 84480, Tempo, 379027
1, 84960, Tempo, 352900
1, 85920, Tempo, 368777
1, 86400, Tempo, 352900
1, 86880, Tempo, 367489
1, 87360, Tempo, 389636
1, 87840, Tempo, 373274
1, 88200, Tempo, 343034
1, 88320, Tempo, 369914
1, 89280, Tempo, 373274
1, 89640, Tempo, 343034
