0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Clementi: Sonatine Opus 36 Nr. 2, 3. Satz"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Muzio Clementi"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Erstellt: 7.12.2010\012"
1, 0, Text_t, "Dauer: 1:34 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 557673
1, 480, Tempo, 568397
1, 720, Tempo, 537875
1, 1440, Tempo, 556225
1, 1680, Tempo, 535666
1, 1920, Tempo, 524843
1, 2160, Tempo, 550005
1, 2400, Tempo, 545009
1, 2640, Tempo, 558607
1, 2880, Tempo, 535666
1, 3360, Tempo, 551521
1, 3576, Tempo, 527009
1, 3672, Tempo, 529147
1, 3768, Tempo, 531303
1, 3864, Tempo, 533476
1, 3960, Tempo, 535666
1, 4056, Tempo, 537875
1, 4152, Tempo, 540103
1, 4248, Tempo, 542348
1, 4320, Tempo, 558607
1, 4560, Tempo, 540103
1, 5040, Tempo, 568236
1, 5280, Tempo, 545009
1, 5760, Tempo, 540103
1, 5928, Tempo, 553863
1, 6000, Tempo, 551521
1, 6048, Tempo, 549199
1, 6096, Tempo, 546896
1, 6144, Tempo, 544613
1, 6216, Tempo, 542348
1, 6264, Tempo, 540103
1, 6312, Tempo, 537875
1, 6360, Tempo, 535666
1, 6408, Tempo, 533476
1, 6480, Tempo, 537875
1, 6600, Tempo, 591599
1, 6720, Tempo, 570885
1, 7200, Tempo, 537875
1, 7344, Tempo, 553863
1, 7416, Tempo, 551521
1, 7488, Tempo, 549199
1, 7560, Tempo, 546896
1, 7632, Tempo, 544613
1, 7704, Tempo, 542348
1, 7776, Tempo, 540103
1, 7848, Tempo, 537875
1, 7896, Tempo, 535666
1, 8040, Tempo, 588928
1, 8160, Tempo, 565931
1, 8520, Tempo, 586281
1, 8640, Tempo, 537875
1, 8664, Tempo, 533476
1, 8760, Tempo, 535666
1, 8856, Tempo, 537875
1, 8928, Tempo, 540103
1, 9024, Tempo, 542348
1, 9120, Tempo, 544613
1, 9192, Tempo, 546896
1, 9240, Tempo, 568397
1, 9360, Tempo, 529147
1, 9408, Tempo, 531303
1, 9456, Tempo, 533476
1, 9504, Tempo, 535666
1, 9552, Tempo, 537875
1, 9600, Tempo, 540103
1, 9648, Tempo, 542348
1, 9696, Tempo, 544613
1, 9744, Tempo, 546896
1, 9792, Tempo, 549199
1, 9840, Tempo, 563486
1, 10080, Tempo, 537875
1, 10680, Tempo, 540103
1, 10776, Tempo, 551521
1, 10800, Tempo, 573669
1, 10824, Tempo, 570939
1, 10848, Tempo, 568236
1, 10872, Tempo, 565558
1, 10896, Tempo, 560276
1, 10920, Tempo, 557673
1, 10944, Tempo, 555093
1, 10968, Tempo, 552537
1, 10992, Tempo, 547495
1, 11016, Tempo, 540103
1, 11040, Tempo, 542545
1, 11064, Tempo, 547495
1, 11088, Tempo, 552537
1, 11112, Tempo, 555093
1, 11136, Tempo, 560276
1, 11160, Tempo, 565558
1, 11184, Tempo, 568236
1, 11208, Tempo, 573669
1, 11232, Tempo, 579206
1, 11256, Tempo, 584852
1, 11280, Tempo, 587717
1, 11304, Tempo, 593531
1, 11328, Tempo, 599460
1, 11352, Tempo, 602470
1, 11376, Tempo, 608581
1, 11400, Tempo, 614817
1, 11424, Tempo, 617983
1, 11448, Tempo, 624415
1, 11472, Tempo, 630981
1, 11496, Tempo, 637687
1, 11520, Tempo, 568236
1, 11760, Tempo, 547495
1, 12000, Tempo, 568397
1, 12240, Tempo, 537875
1, 12960, Tempo, 556225
1, 13200, Tempo, 535666
1, 13440, Tempo, 524843
1, 13680, Tempo, 573669
1, 13920, Tempo, 560276
1, 14160, Tempo, 558607
1, 14400, Tempo, 535666
1, 14880, Tempo, 551521
1, 15096, Tempo, 527009
1, 15192, Tempo, 529147
1, 15288, Tempo, 531303
1, 15384, Tempo, 533476
1, 15480, Tempo, 535666
1, 15576, Tempo, 537875
1, 15672, Tempo, 540103
1, 15768, Tempo, 542348
1, 15840, Tempo, 558607
1, 16080, Tempo, 540103
1, 16560, Tempo, 560276
1, 17280, Tempo, 540103
1, 17448, Tempo, 553863
1, 17520, Tempo, 551521
1, 17568, Tempo, 549199
1, 17616, Tempo, 546896
1, 17664, Tempo, 544613
1, 17736, Tempo, 542348
1, 17784, Tempo, 540103
1, 17832, Tempo, 537875
1, 17880, Tempo, 535666
1, 17928, Tempo, 533476
1, 18000, Tempo, 537875
1, 18120, Tempo, 591599
1, 18240, Tempo, 570885
1, 18720, Tempo, 537875
1, 18864, Tempo, 553863
1, 18936, Tempo, 551521
1, 19008, Tempo, 549199
1, 19080, Tempo, 546896
1, 19152, Tempo, 544613
1, 19224, Tempo, 542348
1, 19296, Tempo, 540103
1, 19368, Tempo, 537875
1, 19416, Tempo, 535666
1, 19440, Tempo, 542348
1, 19680, Tempo, 553863
1, 19920, Tempo, 573394
1, 20040, Tempo, 619771
1, 20160, Tempo, 558607
1, 20760, Tempo, 594295
1, 20880, Tempo, 551521
1, 21360, Tempo, 575926
1, 21600, Tempo, 551521
1, 22080, Tempo, 576424
1, 22320, Tempo, 562905
1, 22560, Tempo, 547495
