0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Espana Op. 165"
1, 0, Title_t, "Tango"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "Isaac Albeniz"
1, 0, Text_t, "Andantino"
1, 0, Text_t, "Fertiggestellt 28.01.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 29.8.2010\012"
1, 0, Text_t, "Dauer: 2:08 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 958466
1, 360, Tempo, 932836
1, 720, Tempo, 1069138
1, 960, Tempo, 958466
1, 1320, Tempo, 932836
1, 1680, Tempo, 1014542
1, 1920, Tempo, 837170
1, 2240, Tempo, 1000000
1, 2340, Tempo, 895522
1, 2400, Tempo, 965251
1, 2420, Tempo, 1007218
1, 2640, Tempo, 1044932
1, 2880, Tempo, 916031
1, 3240, Tempo, 882353
1, 3360, Tempo, 1007218
1, 3600, Tempo, 1021972
1, 3720, Tempo, 1148545
1, 3840, Tempo, 914355
1, 4212, Tempo, 874126
1, 4320, Tempo, 971975
1, 4340, Tempo, 944882
1, 4560, Tempo, 1103144
1, 4680, Tempo, 1158301
1, 4800, Tempo, 945477
1, 5160, Tempo, 875912
1, 5280, Tempo, 971975
1, 5520, Tempo, 1103144
1, 5760, Tempo, 945477
1, 6120, Tempo, 971975
1, 6480, Tempo, 958466
1, 6720, Tempo, 916031
1, 6840, Tempo, 1139385
1, 6960, Tempo, 1139385
1, 7080, Tempo, 888889
1, 7200, Tempo, 1007218
1, 7440, Tempo, 1071429
1, 7560, Tempo, 1090909
1, 7680, Tempo, 1021972
1, 8040, Tempo, 902256
1, 8160, Tempo, 1000000
1, 8400, Tempo, 1052632
1, 8640, Tempo, 1043478
1, 8880, Tempo, 992884
1, 9000, Tempo, 932836
1, 9120, Tempo, 1029513
1, 9360, Tempo, 983607
1, 9600, Tempo, 909091
1, 9760, Tempo, 952381
1, 9920, Tempo, 916031
1, 10080, Tempo, 967742
1, 10320, Tempo, 1034483
1, 10560, Tempo, 945477
1, 10800, Tempo, 1021972
1, 11040, Tempo, 945477
1, 11360, Tempo, 999833
1, 11520, Tempo, 932836
1, 11680, Tempo, 908403
1, 11840, Tempo, 939114
1, 12240, Tempo, 965251
1, 12480, Tempo, 932836
1, 12800, Tempo, 971975
1, 13200, Tempo, 1029513
1, 13440, Tempo, 920387
1, 13600, Tempo, 958466
1, 13760, Tempo, 923077
1, 13920, Tempo, 999833
1, 14160, Tempo, 1069138
1, 14400, Tempo, 945477
1, 14640, Tempo, 1021972
1, 14880, Tempo, 945477
1, 15200, Tempo, 978793
1, 15360, Tempo, 896727
1, 15520, Tempo, 944882
1, 15680, Tempo, 975610
1, 15840, Tempo, 999833
1, 16080, Tempo, 1029513
1, 16640, Tempo, 971975
1, 16680, Tempo, 909091
1, 16800, Tempo, 1034483
1, 17040, Tempo, 1121495
1, 17280, Tempo, 837170
1, 17600, Tempo, 1000000
1, 17700, Tempo, 895522
1, 17760, Tempo, 965251
1, 17780, Tempo, 1007218
1, 18000, Tempo, 1044932
1, 18240, Tempo, 916031
1, 18600, Tempo, 882353
1, 18720, Tempo, 1007218
1, 18960, Tempo, 1021972
1, 19080, Tempo, 1148545
1, 19200, Tempo, 914355
1, 19572, Tempo, 874126
1, 19680, Tempo, 952381
1, 19920, Tempo, 1103144
1, 20040, Tempo, 1158301
1, 20160, Tempo, 945477
1, 20520, Tempo, 875912
1, 20640, Tempo, 971975
1, 20880, Tempo, 1061947
1, 21000, Tempo, 1100917
1, 21120, Tempo, 945477
1, 21480, Tempo, 971975
1, 21840, Tempo, 1052632
1, 22080, Tempo, 1016949
1, 22320, Tempo, 1139385
1, 22440, Tempo, 888889
1, 22560, Tempo, 944882
1, 22800, Tempo, 1103144
1, 23040, Tempo, 945477
1, 23400, Tempo, 971975
1, 23520, Tempo, 1000000
1, 23760, Tempo, 1008403
1, 24000, Tempo, 983607
1, 24240, Tempo, 1139385
1, 24360, Tempo, 888889
1, 24480, Tempo, 930233
1, 24720, Tempo, 975610
1, 24960, Tempo, 896727
1, 25120, Tempo, 944882
1, 25280, Tempo, 975610
1, 25440, Tempo, 999833
1, 25680, Tempo, 1029513
1, 25920, Tempo, 983607
1, 26240, Tempo, 971975
1, 26280, Tempo, 909091
1, 26400, Tempo, 1007218
1, 26640, Tempo, 975610
1, 26880, Tempo, 896727
1, 27040, Tempo, 944882
1, 27200, Tempo, 975610
1, 27360, Tempo, 999833
1, 27600, Tempo, 1029513
1, 27840, Tempo, 983607
1, 28160, Tempo, 971975
1, 28200, Tempo, 909091
1, 28320, Tempo, 1007218
1, 28560, Tempo, 975610
1, 28800, Tempo, 896727
1, 28960, Tempo, 944882
1, 29120, Tempo, 975610
1, 29280, Tempo, 999833
1, 29520, Tempo, 1029513
1, 29760, Tempo, 983607
1, 30080, Tempo, 971975
1, 30120, Tempo, 909091
1, 30240, Tempo, 1007218
1, 30480, Tempo, 975610
1, 30720, Tempo, 896727
1, 30880, Tempo, 1318681
1, 30960, Tempo, 930233
1, 31040, Tempo, 975610
1, 31200, Tempo, 1008403
1, 31440, Tempo, 1029513
1, 31680, Tempo, 983607
1, 32000, Tempo, 971975
1, 32040, Tempo, 909091
1, 32160, Tempo, 1007218
1, 32400, Tempo, 975610
1, 32640, Tempo, 896727
1, 32800, Tempo, 1132075
1, 32880, Tempo, 930233
1, 32960, Tempo, 975610
1, 33120, Tempo, 999833
1, 33360, Tempo, 1029513
1, 33600, Tempo, 896727
1, 33760, Tempo, 1132075
1, 33840, Tempo, 930233
1, 33920, Tempo, 975610
1, 34080, Tempo, 1132075
1, 34240, Tempo, 1081081
1, 34400, Tempo, 1025641
1, 34560, Tempo, 896727
1, 34720, Tempo, 1132075
1, 34800, Tempo, 930233
1, 34880, Tempo, 975610
1, 35040, Tempo, 1132075
1, 35200, Tempo, 1000000
1, 35280, Tempo, 1029513
1, 35520, Tempo, 896727
1, 35840, Tempo, 960000
1, 36000, Tempo, 1052632
1, 36120, Tempo, 1052632
1, 36160, Tempo, 1188119
1, 36240, Tempo, 1034483
1, 36480, Tempo, 896727
1, 36640, Tempo, 1132075
1, 36720, Tempo, 930233
1, 36800, Tempo, 975610
1, 36960, Tempo, 999833
1, 37200, Tempo, 1029513
1, 37920, Tempo, 923077
1, 38240, Tempo, 983607
1, 38400, Tempo, 923077
1, 38720, Tempo, 975610
1, 38880, Tempo, 952381
1, 39120, Tempo, 1008403
1, 39360, Tempo, 1052632
1, 39840, Tempo, 923077
1, 40160, Tempo, 983607
1, 40320, Tempo, 923077
1, 40640, Tempo, 1090909
1, 40800, Tempo, 1153846
1, 41040, Tempo, 1318681
1, 41280, Tempo, 916031
1, 41600, Tempo, 1000000
1, 41700, Tempo, 895522
1, 41760, Tempo, 1025641
1, 42000, Tempo, 1081081
1, 42240, Tempo, 916031
1, 42600, Tempo, 882353
1, 42720, Tempo, 1007218
1, 42960, Tempo, 1021972
1, 43080, Tempo, 1148545
1, 43200, Tempo, 914355
1, 43572, Tempo, 874126
1, 43680, Tempo, 971975
1, 43700, Tempo, 944882
1, 43920, Tempo, 1103144
1, 44040, Tempo, 1158301
1, 44160, Tempo, 945477
1, 44520, Tempo, 875912
1, 44640, Tempo, 971975
1, 44880, Tempo, 1103144
1, 45120, Tempo, 945477
1, 45480, Tempo, 971975
1, 45840, Tempo, 958466
1, 46080, Tempo, 916031
1, 46200, Tempo, 1139385
1, 46320, Tempo, 1139385
1, 46440, Tempo, 888889
1, 46560, Tempo, 1007218
1, 46800, Tempo, 1071429
1, 46920, Tempo, 1090909
1, 47040, Tempo, 1021972
1, 47400, Tempo, 902256
1, 47520, Tempo, 1000000
1, 47760, Tempo, 1052632
1, 48000, Tempo, 1043478
