0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Petite Suite"
1, 0, Title_t, "6. Serenade"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Alexander Borodin"
1, 0, Text_t, "Fertiggestellt am 25.6.00\012"
1, 0, Text_t, "Update am 21.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 1:55 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 857878
1, 0, Marker_t, "Allegretto"
1, 260, Tempo, 829646
1, 480, Tempo, 818777
1, 600, Tempo, 863682
1, 720, Tempo, 840689
1, 960, Tempo, 824176
1, 1200, Tempo, 818777
1, 1320, Tempo, 863682
1, 1680, Tempo, 829646
1, 1920, Tempo, 824176
1, 2040, Tempo, 869691
1, 2160, Tempo, 840689
1, 2400, Tempo, 824176
1, 2640, Tempo, 813559
1, 2760, Tempo, 869691
1, 2880, Tempo, 863682
1, 3120, Tempo, 829646
1, 3360, Tempo, 818777
1, 3500, Tempo, 863682
1, 3600, Tempo, 840689
1, 3840, Tempo, 824176
1, 4080, Tempo, 813559
1, 4200, Tempo, 863682
1, 4320, Tempo, 894321
1, 4560, Tempo, 894321
1, 4780, Tempo, 900766
1, 4980, Tempo, 907167
1, 5160, Tempo, 913798
1, 5360, Tempo, 920387
1, 5540, Tempo, 927214
1, 5740, Tempo, 934143
1, 5920, Tempo, 941029
1, 6120, Tempo, 948167
1, 6240, Tempo, 985222
1, 6480, Tempo, 1042209
1, 6720, Tempo, 846262
1, 7200, Tempo, 840689
1, 8640, Tempo, 863682
1, 8640, Marker_t, "a tempo"
1, 8880, Tempo, 829646
1, 9120, Tempo, 824176
1, 9240, Tempo, 863682
1, 9360, Tempo, 846262
1, 9600, Tempo, 829646
1, 9840, Tempo, 813559
1, 9960, Tempo, 863682
1, 10080, Tempo, 863682
1, 10320, Tempo, 829646
1, 10560, Tempo, 824176
1, 10680, Tempo, 863682
1, 10800, Tempo, 863682
1, 11040, Tempo, 846262
1, 11280, Tempo, 829646
1, 11400, Tempo, 881834
1, 11520, Tempo, 863682
1, 11760, Tempo, 829646
1, 12000, Tempo, 824176
1, 12120, Tempo, 863682
1, 12240, Tempo, 846262
1, 12480, Tempo, 829646
1, 12720, Tempo, 813559
1, 12840, Tempo, 863682
1, 12960, Tempo, 863682
1, 13200, Tempo, 829646
1, 13440, Tempo, 824176
1, 13560, Tempo, 863682
1, 13680, Tempo, 863682
1, 13920, Tempo, 840689
1, 14160, Tempo, 829646
1, 14280, Tempo, 881834
1, 14400, Tempo, 863682
1, 14640, Tempo, 829646
1, 14880, Tempo, 824176
1, 15000, Tempo, 863682
1, 15120, Tempo, 846262
1, 15360, Tempo, 829646
1, 15600, Tempo, 813559
1, 15720, Tempo, 863682
1, 15840, Tempo, 863682
1, 16080, Tempo, 829646
1, 16320, Tempo, 824176
1, 16440, Tempo, 863682
1, 16560, Tempo, 863682
1, 16800, Tempo, 846262
1, 17040, Tempo, 829646
1, 17160, Tempo, 881834
1, 17280, Tempo, 863682
1, 17520, Tempo, 829646
1, 17760, Tempo, 824176
1, 17880, Tempo, 863682
1, 18000, Tempo, 846262
1, 18240, Tempo, 829646
1, 18480, Tempo, 813559
1, 18600, Tempo, 863682
1, 18720, Tempo, 863682
1, 18960, Tempo, 829646
1, 19200, Tempo, 824176
1, 19320, Tempo, 863682
1, 19440, Tempo, 863682
1, 19680, Tempo, 840689
1, 19920, Tempo, 829646
1, 20040, Tempo, 1042209
1, 20100, Tempo, 907167
1, 20160, Tempo, 863682
1, 20400, Tempo, 829646
1, 20640, Tempo, 824176
1, 20760, Tempo, 863682
1, 20880, Tempo, 846262
1, 21120, Tempo, 829646
1, 21360, Tempo, 813559
1, 21480, Tempo, 863682
1, 21600, Tempo, 863682
1, 21840, Tempo, 829646
1, 22080, Tempo, 824176
1, 22200, Tempo, 863682
1, 22320, Tempo, 863682
1, 22560, Tempo, 846262
1, 22800, Tempo, 829646
1, 22920, Tempo, 881834
1, 23040, Tempo, 863682
1, 23280, Tempo, 829646
1, 23520, Tempo, 824176
1, 23640, Tempo, 863682
1, 23760, Tempo, 846262
1, 24000, Tempo, 829646
1, 24240, Tempo, 813559
1, 24360, Tempo, 863682
1, 24480, Tempo, 863682
1, 24720, Tempo, 829646
1, 24960, Tempo, 824176
1, 25080, Tempo, 863682
1, 25200, Tempo, 863682
1, 25440, Tempo, 840689
1, 25680, Tempo, 829646
1, 25800, Tempo, 1025290
1, 25860, Tempo, 907167
1, 25920, Tempo, 863682
1, 26160, Tempo, 829646
1, 26400, Tempo, 824176
1, 26520, Tempo, 863682
1, 26640, Tempo, 846262
1, 26880, Tempo, 829646
1, 27120, Tempo, 813559
1, 27240, Tempo, 863682
1, 27360, Tempo, 863682
1, 27600, Tempo, 829646
1, 27840, Tempo, 824176
1, 27960, Tempo, 863682
1, 28080, Tempo, 863682
1, 28320, Tempo, 846262
1, 28560, Tempo, 829646
1, 28680, Tempo, 881834
1, 28800, Tempo, 863682
1, 29040, Tempo, 829646
1, 29280, Tempo, 824176
1, 29400, Tempo, 863682
1, 29520, Tempo, 846262
1, 29760, Tempo, 829646
1, 30000, Tempo, 813559
1, 30120, Tempo, 863682
1, 30240, Tempo, 863682
1, 30480, Tempo, 829646
1, 30720, Tempo, 824176
1, 30840, Tempo, 863682
1, 30960, Tempo, 863682
1, 31200, Tempo, 840689
1, 31440, Tempo, 829646
1, 31560, Tempo, 881834
1, 31680, Tempo, 863682
1, 31920, Tempo, 829646
1, 32160, Tempo, 824176
1, 32280, Tempo, 840689
1, 32400, Tempo, 846262
1, 32640, Tempo, 829646
1, 32880, Tempo, 813559
1, 33000, Tempo, 863682
1, 33120, Tempo, 863682
1, 33360, Tempo, 829646
1, 33600, Tempo, 824176
1, 33720, Tempo, 863682
1, 33840, Tempo, 863682
1, 34080, Tempo, 846262
1, 34320, Tempo, 829646
1, 34440, Tempo, 881834
1, 34560, Tempo, 846262
1, 34800, Tempo, 829646
1, 35040, Tempo, 824176
1, 35160, Tempo, 840689
1, 35280, Tempo, 846262
1, 35520, Tempo, 829646
1, 35760, Tempo, 813559
1, 35880, Tempo, 863682
1, 36000, Tempo, 863682
1, 36240, Tempo, 829646
1, 36480, Tempo, 824176
1, 36600, Tempo, 863682
1, 36720, Tempo, 863682
1, 36960, Tempo, 840689
1, 37200, Tempo, 829646
1, 37320, Tempo, 881834
1, 37440, Tempo, 863682
1, 37680, Tempo, 829646
1, 37920, Tempo, 824176
1, 38040, Tempo, 846262
1, 38160, Tempo, 846262
1, 38400, Tempo, 829646
1, 38640, Tempo, 813559
1, 38760, Tempo, 863682
1, 38880, Tempo, 863682
1, 39120, Tempo, 829646
1, 39360, Tempo, 824176
1, 39480, Tempo, 863682
1, 39600, Tempo, 863682
1, 39840, Tempo, 846262
1, 40080, Tempo, 829646
1, 40200, Tempo, 881834
1, 40320, Tempo, 863682
1, 40560, Tempo, 829646
1, 40800, Tempo, 824176
1, 40920, Tempo, 863682
1, 41040, Tempo, 846262
1, 41280, Tempo, 829646
1, 41520, Tempo, 813559
1, 41640, Tempo, 863682
1, 41760, Tempo, 863682
1, 42000, Tempo, 829646
1, 42240, Tempo, 824176
1, 42360, Tempo, 863682
1, 42480, Tempo, 863682
1, 42720, Tempo, 840689
1, 42960, Tempo, 829646
1, 43080, Tempo, 881834
1, 43200, Tempo, 840689
1, 43440, Tempo, 829646
1, 43680, Tempo, 824176
1, 43800, Tempo, 863682
1, 43920, Tempo, 852031
1, 44160, Tempo, 840689
1, 44400, Tempo, 852031
1, 44640, Tempo, 835073
1, 44880, Tempo, 829646
1, 45120, Tempo, 824176
1, 45240, Tempo, 863682
1, 45360, Tempo, 808299
1, 45600, Tempo, 824176
1, 46080, Tempo, 840689
1, 46320, Tempo, 829646
1, 46560, Tempo, 824176
1, 46680, Tempo, 863682
1, 46800, Tempo, 852031
1, 47040, Tempo, 840689
1, 47280, Tempo, 852031
1, 47520, Tempo, 835073
1, 47760, Tempo, 829646
1, 48000, Tempo, 824176
1, 48120, Tempo, 863682
1, 48240, Tempo, 840689
1, 48480, Tempo, 824176
1, 48960, Tempo, 840689
1, 49200, Tempo, 829646
1, 49440, Tempo, 824176
1, 49560, Tempo, 863682
1, 49680, Tempo, 852031
1, 49920, Tempo, 840689
1, 50160, Tempo, 852031
1, 50400, Tempo, 835073
1, 50640, Tempo, 829646
1, 50880, Tempo, 824176
1, 51000, Tempo, 863682
1, 51120, Tempo, 818777
1, 51360, Tempo, 824176
1, 51840, Tempo, 840689
1, 52080, Tempo, 829646
1, 52320, Tempo, 824176
1, 52440, Tempo, 863682
1, 52560, Tempo, 852031
1, 52800, Tempo, 840689
1, 53040, Tempo, 852031
1, 53280, Tempo, 875912
1, 53360, Tempo, 882353
1, 53420, Tempo, 888889
1, 53480, Tempo, 895522
1, 53560, Tempo, 902256
1, 53620, Tempo, 909091
1, 53680, Tempo, 916031
1, 53740, Tempo, 923077
1, 53760, Tempo, 960000
1, 53880, Tempo, 1043478
1, 54000, Tempo, 1132075
1, 54720, Tempo, 857878
1, 54980, Tempo, 829646
1, 55200, Tempo, 818777
1, 55320, Tempo, 863682
1, 55440, Tempo, 840689
1, 55680, Tempo, 824176
1, 55920, Tempo, 818777
1, 56040, Tempo, 863682
1, 56400, Tempo, 829646
1, 56640, Tempo, 824176
1, 56760, Tempo, 869691
1, 56880, Tempo, 840689
1, 57120, Tempo, 824176
1, 57360, Tempo, 813559
1, 57480, Tempo, 869691
1, 57600, Tempo, 863682
1, 57840, Tempo, 829646
1, 58080, Tempo, 818777
1, 58220, Tempo, 863682
1, 58320, Tempo, 840689
1, 58560, Tempo, 824176
1, 58800, Tempo, 813559
1, 58920, Tempo, 863682
1, 59040, Tempo, 894321
1, 59280, Tempo, 894321
1, 59500, Tempo, 900766
1, 59700, Tempo, 907167
1, 59880, Tempo, 913798
1, 60080, Tempo, 920387
1, 60260, Tempo, 927214
1, 60460, Tempo, 934143
1, 60480, Tempo, 916031
1, 60540, Tempo, 923077
1, 60600, Tempo, 930233
1, 60660, Tempo, 937500
1, 60720, Tempo, 944882
1, 60780, Tempo, 952381
1, 60840, Tempo, 960000
1, 60900, Tempo, 967742
1, 60960, Tempo, 1034483
1, 61200, Tempo, 1090909
1, 61440, Tempo, 846262
1, 63160, Marker_t, "Fine"
