0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Intermezzo Nr. 5, Opus 116"
1, 0, Copyright_t, "Copyright © 2005 von Bernd Krüger. "
1, 0, Text_t, "Johannes Brahms"
1, 0, Text_t, "Fertiggestellt am  5.5.2005\012"
1, 0, Text_t, "Update am 31.10.2010\012"
1, 0, Text_t, "Dauer:  2.:55 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 750000
1, 0, Marker_t, "Andante con grazia ed intimissimo sentimento"
1, 1200, Tempo, 740741
1, 1440, Tempo, 750000
1, 1680, Tempo, 697674
1, 1920, Tempo, 750000
1, 2160, Tempo, 750000
1, 2400, Tempo, 697674
1, 2640, Tempo, 740741
1, 2880, Tempo, 750000
1, 3360, Tempo, 731707
1, 3600, Tempo, 759494
1, 3840, Tempo, 714286
1, 4080, Tempo, 740741
1, 4320, Tempo, 750000
1, 4560, Tempo, 697674
1, 4800, Tempo, 750000
1, 5040, Tempo, 740741
1, 5280, Tempo, 659341
1, 5520, Tempo, 750000
1, 5760, Tempo, 740741
1, 6000, Tempo, 705882
1, 6240, Tempo, 740741
1, 6480, Tempo, 740741
1, 6720, Tempo, 769231
1, 6960, Tempo, 705882
1, 7200, Tempo, 750000
1, 7680, Tempo, 779221
1, 8160, Tempo, 697674
1, 8400, Tempo, 759494
1, 8880, Tempo, 779221
1, 9120, Tempo, 779221
1, 9360, Tempo, 722892
1, 9600, Tempo, 714286
1, 9840, Tempo, 857143
1, 10080, Tempo, 789474
1, 10320, Tempo, 833333
1, 10560, Tempo, 857143
1, 10800, Tempo, 731707
1, 11280, Tempo, 857143
1, 11520, Tempo, 810811
1, 11760, Tempo, 779221
1, 12000, Tempo, 705882
1, 12240, Tempo, 652174
1, 12480, Tempo, 750000
1, 12720, Tempo, 740741
1, 12960, Tempo, 750000
1, 13200, Tempo, 697674
1, 13440, Tempo, 740741
1, 13680, Tempo, 769231
1, 13920, Tempo, 731707
1, 14160, Tempo, 731707
1, 14400, Tempo, 759494
1, 14880, Tempo, 697674
1, 15120, Tempo, 659341
1, 15360, Tempo, 779221
1, 15600, Tempo, 882353
1, 15840, Tempo, 789474
1, 16320, Tempo, 845070
1, 16560, Tempo, 779221
1, 17040, Tempo, 967742
1, 17280, Tempo, 869565
1, 18440, Tempo, 750000
1, 18480, Tempo, 740741
1, 18720, Tempo, 750000
1, 18960, Tempo, 697674
1, 19200, Tempo, 750000
1, 19440, Tempo, 750000
1, 19680, Tempo, 600000
1, 19920, Tempo, 740741
1, 20160, Tempo, 750000
1, 20640, Tempo, 731707
1, 20880, Tempo, 759494
1, 21120, Tempo, 714286
1, 21360, Tempo, 740741
1, 21600, Tempo, 722892
1, 21840, Tempo, 697674
1, 22080, Tempo, 750000
1, 22320, Tempo, 740741
1, 22560, Tempo, 588235
1, 22800, Tempo, 750000
1, 23040, Tempo, 740741
1, 23280, Tempo, 705882
1, 23520, Tempo, 740741
1, 23760, Tempo, 740741
1, 24000, Tempo, 697674
1, 24240, Tempo, 705882
1, 24480, Tempo, 750000
1, 24960, Tempo, 731707
1, 25200, Tempo, 779221
1, 25440, Tempo, 652174
1, 25680, Tempo, 769231
1, 26160, Tempo, 779221
1, 26400, Tempo, 779221
1, 26640, Tempo, 722892
1, 26880, Tempo, 714286
1, 27120, Tempo, 857143
1, 27360, Tempo, 789474
1, 27600, Tempo, 833333
1, 27840, Tempo, 857143
1, 28080, Tempo, 689655
1, 28560, Tempo, 857143
1, 28800, Tempo, 810811
1, 29040, Tempo, 740741
1, 29280, Tempo, 705882
1, 29520, Tempo, 652174
1, 29760, Tempo, 750000
1, 30000, Tempo, 740741
1, 30240, Tempo, 750000
1, 30480, Tempo, 697674
1, 30720, Tempo, 740741
1, 30960, Tempo, 800000
1, 31200, Tempo, 731707
1, 31440, Tempo, 731707
1, 31680, Tempo, 759494
1, 32160, Tempo, 697674
1, 32400, Tempo, 659341
1, 32640, Tempo, 779221
1, 32880, Tempo, 967742
1, 33120, Tempo, 769231
1, 33600, Tempo, 800000
1, 33840, Tempo, 750000
1, 34080, Tempo, 674157
1, 34320, Tempo, 759494
1, 34560, Tempo, 740741
1, 34800, Tempo, 681818
1, 35040, Tempo, 740741
1, 35520, Tempo, 689655
1, 35760, Tempo, 759494
1, 36000, Tempo, 740741
1, 36240, Tempo, 681818
1, 36480, Tempo, 740741
1, 36960, Tempo, 705882
1, 37200, Tempo, 759494
1, 37440, Tempo, 740741
1, 37680, Tempo, 697674
1, 37920, Tempo, 740741
1, 38400, Tempo, 731707
1, 38880, Tempo, 697674
1, 39120, Tempo, 659341
1, 39360, Tempo, 697674
1, 39600, Tempo, 645161
1, 39840, Tempo, 674157
1, 40080, Tempo, 697674
1, 40320, Tempo, 689655
1, 40560, Tempo, 659341
1, 40800, Tempo, 689655
1, 41040, Tempo, 652174
1, 41280, Tempo, 674157
1, 41520, Tempo, 705882
1, 41760, Tempo, 681818
1, 42000, Tempo, 652174
1, 42240, Tempo, 674157
1, 42480, Tempo, 705882
1, 42960, Tempo, 759494
1, 43200, Tempo, 697674
1, 43440, Tempo, 652174
1, 43680, Tempo, 689655
1, 43920, Tempo, 645161
1, 44160, Tempo, 666667
1, 44400, Tempo, 731707
1, 44640, Tempo, 689655
1, 44880, Tempo, 705882
1, 45120, Tempo, 697674
1, 45360, Tempo, 705882
1, 45840, Tempo, 731707
1, 46080, Tempo, 689655
1, 46320, Tempo, 697674
1, 46560, Tempo, 689655
1, 46800, Tempo, 705882
1, 47280, Tempo, 731707
1, 47520, Tempo, 689655
1, 48240, Tempo, 705882
1, 48720, Tempo, 731707
1, 48960, Tempo, 689655
1, 49680, Tempo, 705882
1, 50160, Tempo, 731707
1, 50400, Tempo, 689655
1, 51120, Tempo, 705882
1, 51600, Tempo, 731707
1, 52080, Tempo, 705882
1, 52320, Tempo, 759494
1, 52560, Tempo, 731707
1, 53520, Tempo, 789474
1, 53760, Tempo, 722892
1, 54240, Tempo, 759494
1, 54480, Tempo, 722892
1, 54960, Tempo, 769231
1, 55200, Tempo, 722892
1, 55680, Tempo, 740741
1, 55920, Tempo, 722892
1, 56400, Tempo, 740741
1, 56640, Tempo, 722892
1, 57120, Tempo, 750000
1, 57360, Tempo, 722892
1, 57840, Tempo, 750000
1, 58080, Tempo, 722892
1, 58560, Tempo, 810811
1, 58800, Tempo, 740741
1, 59040, Tempo, 750000
1, 59280, Tempo, 697674
1, 59520, Tempo, 750000
1, 59760, Tempo, 750000
1, 60000, Tempo, 697674
1, 60240, Tempo, 740741
1, 60480, Tempo, 750000
1, 60960, Tempo, 731707
1, 61200, Tempo, 759494
1, 61440, Tempo, 714286
1, 61680, Tempo, 740741
1, 61920, Tempo, 750000
1, 62160, Tempo, 697674
1, 62400, Tempo, 750000
1, 62640, Tempo, 740741
1, 62880, Tempo, 697674
1, 63120, Tempo, 750000
1, 63360, Tempo, 740741
1, 63600, Tempo, 705882
1, 63840, Tempo, 740741
1, 64080, Tempo, 740741
1, 64320, Tempo, 769231
1, 64560, Tempo, 705882
1, 64800, Tempo, 750000
1, 65280, Tempo, 779221
1, 65760, Tempo, 769231
1, 66720, Tempo, 821918
1, 67440, Tempo, 857143
1, 67680, Tempo, 810811
1, 68640, Tempo, 882353
1, 68880, Tempo, 845070
1, 69360, Tempo, 882353
1, 69840, Tempo, 882353
1, 70320, Tempo, 821918
1, 70560, Tempo, 769231
1, 71040, Tempo, 800000
1, 71280, Tempo, 750000
1, 71520, Tempo, 674157
1, 71760, Tempo, 759494
1, 72240, Tempo, 714286
1, 72480, Tempo, 740741
1, 72960, Tempo, 689655
1, 73200, Tempo, 759494
1, 73440, Tempo, 740741
1, 73680, Tempo, 681818
1, 73920, Tempo, 740741
1, 74400, Tempo, 705882
1, 74640, Tempo, 821918
1, 74880, Tempo, 740741
1, 75120, Tempo, 689655
1, 75360, Tempo, 740741
1, 75600, Tempo, 659341
1, 75840, Tempo, 731707
1, 76320, Tempo, 697674
1, 76560, Tempo, 638298
1, 76800, Tempo, 697674
1, 77040, Tempo, 645161
1, 77280, Tempo, 674157
1, 77520, Tempo, 697674
1, 77760, Tempo, 689655
1, 78000, Tempo, 659341
1, 78240, Tempo, 689655
1, 78480, Tempo, 631579
1, 78720, Tempo, 674157
1, 78960, Tempo, 705882
1, 79200, Tempo, 681818
1, 79440, Tempo, 652174
1, 79680, Tempo, 674157
1, 79920, Tempo, 722892
1, 80160, Tempo, 697674
1, 80400, Tempo, 759494
1, 80640, Tempo, 697674
1, 80880, Tempo, 652174
1, 81120, Tempo, 689655
1, 81360, Tempo, 645161
1, 81600, Tempo, 666667
1, 81840, Tempo, 731707
1, 82080, Tempo, 689655
1, 82320, Tempo, 705882
1, 82560, Tempo, 697674
1, 82800, Tempo, 705882
1, 83280, Tempo, 731707
1, 83520, Tempo, 674157
1, 83760, Tempo, 697674
1, 84000, Tempo, 689655
1, 84240, Tempo, 705882
1, 84720, Tempo, 731707
1, 84960, Tempo, 689655
1, 85680, Tempo, 705882
1, 86160, Tempo, 731707
1, 86400, Tempo, 689655
1, 86640, Tempo, 666667
1, 86880, Tempo, 689655
1, 87120, Tempo, 705882
1, 87600, Tempo, 731707
1, 87840, Tempo, 689655
1, 88560, Tempo, 705882
1, 89040, Tempo, 779221
1, 89280, Tempo, 731707
1, 89520, Tempo, 705882
1, 89760, Tempo, 759494
1, 90000, Tempo, 731707
1, 90960, Tempo, 789474
1, 91200, Tempo, 722892
1, 91680, Tempo, 800000
1, 91920, Tempo, 722892
1, 92400, Tempo, 769231
1, 92640, Tempo, 722892
1, 93120, Tempo, 740741
1, 93360, Tempo, 722892
1, 93840, Tempo, 740741
1, 94080, Tempo, 722892
1, 94560, Tempo, 750000
