0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Brahms: Intermezzo Opus 117 Nr. 2"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Andante non troppo e con molto espressione"
1, 0, Text_t, "Erstellt: 26.10.2010\012"
1, 0, Text_t, "Dauer: 3:47 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 1625135
1, 360, Tempo, 1803969
1, 420, Marker_t, "Teil 1"
1, 480, Tempo, 1605136
1, 600, Tempo, 1671309
1, 720, Tempo, 1605136
1, 1140, Tempo, 1803969
1, 1200, Tempo, 1605136
1, 1320, Tempo, 1755413
1, 1440, Tempo, 1605136
1, 1860, Tempo, 1694915
1, 1920, Tempo, 1605136
1, 2040, Tempo, 1648352
1, 2160, Tempo, 1605136
1, 2580, Tempo, 1803969
1, 2640, Tempo, 1645639
1, 2760, Tempo, 1604278
1, 2880, Tempo, 1605136
1, 3300, Tempo, 1755413
1, 3360, Tempo, 1605136
1, 3540, Tempo, 1755413
1, 3600, Tempo, 1605136
1, 3780, Tempo, 1755413
1, 3840, Tempo, 1605136
1, 4020, Tempo, 1605136
1, 4260, Tempo, 1908397
1, 4320, Tempo, 1666204
1, 4380, Tempo, 1645639
1, 4440, Tempo, 1648352
1, 4560, Tempo, 1625135
1, 4620, Tempo, 1605136
1, 4740, Tempo, 1605136
1, 4800, Tempo, 1605136
1, 4980, Tempo, 1803969
1, 5040, Tempo, 1626016
1, 5160, Tempo, 1583113
1, 5280, Tempo, 1558846
1, 5400, Tempo, 1538856
1, 5520, Tempo, 1522843
1, 5640, Tempo, 1645639
1, 5700, Tempo, 1562500
1, 5880, Tempo, 1522843
1, 5892, Tempo, 1522843
1, 6048, Tempo, 1542416
1, 6192, Tempo, 1562500
1, 6348, Tempo, 1583113
1, 6492, Tempo, 1604278
1, 6900, Tempo, 1803969
1, 6960, Tempo, 1605136
1, 7080, Tempo, 1671309
1, 7200, Tempo, 1605136
1, 7620, Tempo, 1648352
1, 7680, Tempo, 1605136
1, 7800, Tempo, 1604278
1, 7920, Tempo, 1605136
1, 8340, Tempo, 1803969
1, 8400, Tempo, 1562500
1, 8520, Tempo, 1604278
1, 8580, Tempo, 1666204
1, 8640, Tempo, 1605136
1, 9060, Tempo, 1803969
1, 9120, Tempo, 1645639
1, 9240, Tempo, 1694915
1, 9360, Tempo, 1605136
1, 9780, Tempo, 1648352
1, 9840, Tempo, 1605136
1, 10020, Tempo, 1755413
1, 10080, Tempo, 1605136
1, 10260, Tempo, 1755413
1, 10320, Tempo, 1605136
1, 10500, Tempo, 1605136
1, 10740, Tempo, 1908397
1, 10800, Tempo, 1666204
1, 10860, Tempo, 1645639
1, 10920, Tempo, 1755413
1, 11040, Tempo, 1625135
1, 11100, Tempo, 1605136
1, 11220, Tempo, 1605136
1, 11280, Tempo, 1605136
1, 11460, Tempo, 1803969
1, 11520, Tempo, 1562500
1, 11640, Tempo, 1542416
1, 11760, Tempo, 1562500
1, 11880, Tempo, 1645639
1, 12000, Tempo, 1605136
1, 12120, Tempo, 1645639
1, 12240, Tempo, 1626016
1, 12420, Tempo, 1648352
1, 12600, Tempo, 1694915
1, 12660, Tempo, 1796407
1, 12720, Tempo, 1626016
1, 12960, Tempo, 1605136
1, 13140, Tempo, 1755413
1, 13200, Tempo, 1605136
1, 13380, Tempo, 1605136
1, 13620, Tempo, 1908397
1, 13680, Tempo, 1666204
1, 13740, Tempo, 1645639
1, 13800, Tempo, 1755413
1, 13920, Tempo, 1625135
1, 13980, Tempo, 1605136
1, 14100, Tempo, 1605136
1, 14160, Tempo, 1605136
1, 14340, Tempo, 1803969
1, 14400, Tempo, 1605136
1, 14520, Tempo, 1625135
1, 14640, Tempo, 1605136
1, 14760, Tempo, 1645639
1, 14880, Tempo, 1605136
1, 15000, Tempo, 1645639
1, 15124, Tempo, 1687764
1, 15214, Tempo, 1709889
1, 15289, Tempo, 1732102
1, 15364, Tempo, 1732102
1, 15409, Tempo, 1755413
1, 15454, Tempo, 1779359
1, 15499, Tempo, 1803969
1, 15529, Tempo, 1828711
1, 15574, Tempo, 1854714
1, 15604, Tempo, 1854714
1, 15634, Tempo, 1881468
1, 15664, Tempo, 1908397
1, 15694, Tempo, 1936733
1, 15724, Tempo, 1965924
1, 15754, Tempo, 1995344
1, 15784, Tempo, 2026342
1, 15814, Tempo, 1995344
1, 15859, Tempo, 2026342
1, 15889, Tempo, 2058319
1, 15919, Tempo, 2091321
1, 15964, Tempo, 2124646
1, 15994, Tempo, 2159827
1, 16024, Tempo, 2196193
1, 16069, Tempo, 2232974
1, 16080, Tempo, 2564103
1, 16200, Tempo, 1671309
1, 16200, Marker_t, "Teil 2"
1, 16260, Tempo, 1648352
1, 16320, Tempo, 1744186
1, 16560, Tempo, 1604278
1, 16800, Tempo, 1694915
1, 16920, Tempo, 1562500
1, 17040, Tempo, 1671309
1, 17160, Tempo, 1542416
1, 17520, Tempo, 1583113
1, 17640, Tempo, 1694915
1, 17700, Tempo, 1626016
1, 17760, Tempo, 1583113
1, 17880, Tempo, 1694915
1, 18000, Tempo, 1583113
1, 18240, Tempo, 1635323
1, 18360, Tempo, 1456664
1, 18420, Tempo, 1541624
1, 18480, Tempo, 1863933
1, 18540, Tempo, 1729605
1, 18600, Tempo, 1405481
1, 18720, Tempo, 1613337
1, 18900, Tempo, 1481847
1, 18960, Tempo, 1600427
1, 19380, Tempo, 1500375
1, 19440, Tempo, 1600427
1, 20040, Tempo, 1729605
1, 20160, Tempo, 1613337
1, 20400, Tempo, 1558846
1, 20520, Tempo, 1644286
1, 20640, Tempo, 1579363
1, 20820, Tempo, 2128414
1, 20869, Tempo, 1591934
1, 20880, Tempo, 1635323
1, 21097, Tempo, 1571092
1, 21121, Tempo, 1613337
1, 21169, Tempo, 1635323
1, 21217, Tempo, 1657917
1, 21265, Tempo, 1681143
1, 21313, Tempo, 1705030
1, 21349, Tempo, 1729605
1, 21361, Tempo, 1705030
1, 21385, Tempo, 1729605
1, 21397, Tempo, 1754899
1, 21409, Tempo, 1780944
1, 21421, Tempo, 1807773
1, 21433, Tempo, 1835424
1, 21445, Tempo, 1863933
1, 21457, Tempo, 1893342
1, 21469, Tempo, 1923693
1, 21481, Tempo, 1955034
1, 21505, Tempo, 1987413
1, 21517, Tempo, 2020882
1, 21529, Tempo, 2055498
1, 21541, Tempo, 2091321
1, 21553, Tempo, 2128414
1, 21565, Tempo, 2166847
1, 21577, Tempo, 2206694
1, 21589, Tempo, 2248033
1, 21601, Tempo, 2290951
1, 21960, Tempo, 1671309
1, 22020, Tempo, 1648352
1, 22080, Tempo, 1744186
1, 22320, Tempo, 1604278
1, 22560, Tempo, 1694915
1, 22680, Tempo, 1562500
1, 22800, Tempo, 1671309
1, 22920, Tempo, 1542416
1, 23280, Tempo, 1583113
1, 23400, Tempo, 1694915
1, 23460, Tempo, 1626016
1, 23520, Tempo, 1583113
1, 23640, Tempo, 1694915
1, 23760, Tempo, 1583113
1, 24000, Tempo, 1635323
1, 24060, Tempo, 1522070
1, 24120, Tempo, 1456664
1, 24180, Tempo, 1492909
1, 24240, Tempo, 1863933
1, 24300, Tempo, 1603421
1, 24360, Tempo, 1405481
1, 24480, Tempo, 1613337
1, 24660, Tempo, 1500375
1, 24720, Tempo, 1600427
1, 25080, Tempo, 1667130
1, 25200, Tempo, 1579363
1, 25800, Tempo, 1729605
1, 25920, Tempo, 1613337
1, 26580, Tempo, 2314815
1, 26629, Tempo, 1591934
1, 26640, Tempo, 1635323
1, 26857, Tempo, 1571092
1, 26881, Tempo, 1613337
1, 26929, Tempo, 1635323
1, 26977, Tempo, 1657917
1, 27025, Tempo, 1681143
1, 27073, Tempo, 1705030
1, 27109, Tempo, 1729605
1, 27121, Tempo, 1705030
1, 27145, Tempo, 1729605
1, 27157, Tempo, 1754899
1, 27169, Tempo, 1780944
1, 27181, Tempo, 1807773
1, 27193, Tempo, 1835424
1, 27205, Tempo, 1863933
1, 27217, Tempo, 1893342
1, 27229, Tempo, 1923693
1, 27240, Tempo, 2314815
1, 27337, Tempo, 2206694
1, 27349, Tempo, 2248033
1, 27360, Tempo, 2228826
1, 27361, Tempo, 2290951
1, 27600, Tempo, 3047232
1, 27780, Tempo, 1519372
1, 27840, Tempo, 1600427
1, 28020, Tempo, 1481847
1, 28020, Marker_t, "Teil 3"
1, 28080, Tempo, 1579363
1, 28320, Tempo, 1511716
1, 28500, Tempo, 1591934
1, 28560, Tempo, 1492909
1, 28740, Tempo, 1635323
1, 28800, Tempo, 1456664
1, 28980, Tempo, 1613337
1, 29040, Tempo, 1474564
1, 29220, Tempo, 1591934
1, 29280, Tempo, 1474564
1, 29460, Tempo, 1531003
1, 29520, Tempo, 1456664
1, 29700, Tempo, 1613337
1, 29760, Tempo, 1474564
1, 29940, Tempo, 1591934
1, 30000, Tempo, 1492909
1, 30180, Tempo, 1657917
1, 30240, Tempo, 1439194
1, 30420, Tempo, 1422138
1, 30480, Tempo, 1550788
1, 30540, Tempo, 1439194
1, 30900, Tempo, 1613337
1, 30942, Tempo, 1412097
1, 31092, Tempo, 1395673
1, 31242, Tempo, 1379628
1, 31392, Tempo, 1363946
1, 31620, Tempo, 1463772
1, 31680, Tempo, 1363946
1, 31884, Tempo, 1327727
1, 31887, Tempo, 1333630
1, 31902, Tempo, 1363946
1, 32037, Tempo, 1379628
1, 32172, Tempo, 1395673
1, 32307, Tempo, 1412097
1, 32337, Tempo, 1428912
1, 32340, Tempo, 1657917
1, 32389, Tempo, 1389210
1, 32412, Tempo, 1373312
1, 32652, Tempo, 1389210
1, 32880, Tempo, 1395673
1, 32940, Tempo, 1428912
1, 33000, Tempo, 1395673
1, 33108, Tempo, 1389210
1, 33120, Tempo, 1422138
1, 33252, Tempo, 1439194
1, 33372, Tempo, 1456664
1, 33396, Tempo, 1474564
1, 33444, Tempo, 1492909
1, 33504, Tempo, 1511716
1, 33564, Tempo, 1531003
1, 33612, Tempo, 1550788
1, 33672, Tempo, 1571092
1, 33720, Tempo, 1591934
1, 33720, Tempo, 1463772
1, 34080, Tempo, 1579363
1, 34200, Tempo, 1531003
1, 34320, Tempo, 1591934
1, 34440, Tempo, 1690617
1, 34560, Tempo, 1846722
1, 34680, Tempo, 2308580
1, 34800, Tempo, 2501042
1, 34920, Tempo, 1562907
1, 34980, Tempo, 1439194
1, 35280, Tempo, 1439194
1, 35517, Tempo, 1363946
1, 35532, Tempo, 1333630
1, 35772, Tempo, 1348618
1, 35986, Tempo, 1333630
1, 36061, Tempo, 1348618
1, 36136, Tempo, 1363946
1, 36211, Tempo, 1379628
1, 36286, Tempo, 1395673
1, 36361, Tempo, 1412097
1, 36436, Tempo, 1428912
1, 36511, Tempo, 1446132
1, 36586, Tempo, 1463772
1, 36661, Tempo, 1481847
1, 36720, Tempo, 1538856
1, 36960, Tempo, 1622060
1, 37020, Tempo, 1600427
1, 37080, Tempo, 1622060
1, 37200, Tempo, 1622060
1, 37320, Tempo, 1765225
1, 37380, Tempo, 1579363
1, 37440, Tempo, 1605136
1, 37860, Tempo, 1803969
1, 37920, Tempo, 1605136
1, 38040, Tempo, 1755413
1, 38160, Tempo, 1605136
1, 38580, Tempo, 1694915
1, 38640, Tempo, 1605136
1, 38760, Tempo, 1648352
1, 38880, Tempo, 1605136
1, 39300, Tempo, 1803969
1, 39360, Tempo, 1645639
1, 39480, Tempo, 1604278
1, 39600, Tempo, 1605136
1, 40020, Tempo, 1755413
1, 40080, Tempo, 1605136
1, 40260, Tempo, 1755413
1, 40320, Tempo, 1605136
1, 40500, Tempo, 1755413
1, 40560, Tempo, 1605136
1, 40740, Tempo, 1605136
1, 40980, Tempo, 1908397
1, 41040, Tempo, 1666204
1, 41100, Tempo, 1645639
1, 41160, Tempo, 1648352
1, 41280, Tempo, 1625135
1, 41340, Tempo, 1605136
1, 41460, Tempo, 1605136
1, 41520, Tempo, 1605136
1, 41700, Tempo, 1803969
1, 41760, Tempo, 1626016
1, 41880, Tempo, 1583113
1, 42000, Tempo, 1542416
1, 42120, Tempo, 1522843
1, 42240, Tempo, 1522843
1, 42360, Tempo, 1645639
1, 42420, Tempo, 1562500
1, 42600, Tempo, 1522843
1, 42612, Tempo, 1522843
1, 42768, Tempo, 1542416
1, 42912, Tempo, 1562500
1, 43068, Tempo, 1583113
1, 43212, Tempo, 1604278
1, 43680, Tempo, 1605136
1, 43800, Tempo, 1671309
1, 43920, Tempo, 1605136
1, 44340, Tempo, 1648352
1, 44400, Tempo, 1605136
1, 44520, Tempo, 1604278
1, 44640, Tempo, 1605136
1, 45060, Tempo, 1803969
1, 45120, Tempo, 1562500
1, 45240, Tempo, 1604278
1, 45300, Tempo, 1666204
1, 45360, Tempo, 1605136
1, 45780, Tempo, 1803969
1, 45840, Tempo, 1645639
1, 45960, Tempo, 1694915
1, 46080, Tempo, 1605136
1, 46500, Tempo, 1648352
1, 46560, Tempo, 1605136
1, 46740, Tempo, 1755413
1, 46800, Tempo, 1605136
1, 47220, Tempo, 1648352
1, 47280, Tempo, 1605136
1, 47460, Tempo, 1755413
1, 47520, Tempo, 1605136
1, 47940, Tempo, 1648352
1, 48000, Tempo, 1605136
1, 48180, Tempo, 1755413
1, 48240, Tempo, 1645639
1, 48360, Tempo, 1580611
1, 48480, Tempo, 1538856
1, 48600, Tempo, 1558846
1, 48660, Tempo, 1558846
1, 48720, Tempo, 1623377
1, 48840, Tempo, 1716247
1, 48960, Tempo, 1623377
1, 49080, Tempo, 1601708
1, 49200, Tempo, 1538856
1, 49320, Tempo, 1579363
1, 49440, Tempo, 1716247
1, 49560, Tempo, 1645639
1, 49620, Tempo, 2108222
1, 49680, Tempo, 1623377
1, 49800, Tempo, 1558846
1, 49920, Tempo, 1601708
1, 50040, Tempo, 1558846
1, 50160, Tempo, 1605136
1, 50280, Tempo, 1558846
1, 50400, Tempo, 1583531
1, 50520, Tempo, 1542416
1, 50640, Tempo, 1562500
1, 50760, Tempo, 1645639
1, 50880, Tempo, 1605136
1, 51000, Tempo, 1692047
1, 51120, Tempo, 1623377
1, 51124, Tempo, 1692047
1, 51179, Tempo, 1716247
1, 51227, Tempo, 1741149
1, 51282, Tempo, 1766784
1, 51331, Tempo, 1793186
1, 51379, Tempo, 1820388
1, 51434, Tempo, 1848429
1, 51483, Tempo, 1877347
1, 51531, Tempo, 1907184
1, 51586, Tempo, 1937984
1, 51634, Tempo, 1969796
1, 51683, Tempo, 2002670
1, 51738, Tempo, 2036660
1, 51786, Tempo, 2071823
1, 51835, Tempo, 2108222
1, 52200, Tempo, 1850709
1, 52200, Marker_t, "Piu Adagio"
1, 52320, Tempo, 2074689
1, 52440, Tempo, 2039429
1, 52560, Tempo, 2005348
1, 52800, Tempo, 1972387
