0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Agitato"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Friedrich Burgmueller"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Erstellt: 22.3.2012\012"
1, 0, Text_t, "Dauer: 1:33 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 416118
1, 0, Marker_t, "Teil 1"
1, 120, Tempo, 429523
1, 240, Tempo, 414680
1, 360, Tempo, 427991
1, 480, Tempo, 413508
1, 600, Tempo, 426470
1, 720, Tempo, 413252
1, 840, Tempo, 420492
1, 960, Tempo, 405132
1, 1080, Tempo, 480769
1, 1200, Tempo, 410425
1, 1320, Tempo, 421971
1, 1440, Tempo, 410425
1, 1560, Tempo, 421971
1, 1680, Tempo, 410425
1, 1800, Tempo, 407914
1, 1920, Tempo, 399813
1, 2040, Tempo, 442576
1, 2160, Tempo, 402064
1, 2280, Tempo, 406725
1, 2400, Tempo, 399813
1, 2520, Tempo, 406725
1, 2640, Tempo, 399813
1, 2660, Tempo, 402064
1, 2760, Tempo, 404394
1, 2880, Tempo, 399813
1, 3000, Tempo, 406725
1, 3120, Tempo, 399813
1, 3240, Tempo, 403226
1, 3360, Tempo, 399813
1, 3480, Tempo, 405570
1, 3600, Tempo, 399813
1, 3720, Tempo, 410762
1, 3840, Tempo, 417915
1, 3960, Tempo, 461290
1, 4080, Tempo, 402064
1, 4200, Tempo, 406725
1, 4320, Tempo, 399813
1, 4440, Tempo, 406725
1, 4560, Tempo, 399813
1, 4580, Tempo, 402064
1, 4680, Tempo, 404394
1, 4800, Tempo, 399813
1, 4920, Tempo, 406725
1, 5040, Tempo, 399813
1, 5160, Tempo, 403226
1, 5280, Tempo, 399813
1, 5400, Tempo, 405570
1, 5520, Tempo, 399813
1, 5760, Tempo, 399813
1, 5880, Tempo, 422327
1, 6000, Tempo, 402064
1, 6120, Tempo, 406725
1, 6240, Tempo, 399813
1, 6360, Tempo, 406725
1, 6480, Tempo, 399813
1, 6500, Tempo, 402064
1, 6600, Tempo, 404394
1, 6720, Tempo, 399813
1, 6840, Tempo, 415024
1, 6960, Tempo, 406587
1, 7080, Tempo, 415024
1, 7200, Tempo, 407969
1, 7320, Tempo, 415024
1, 7440, Tempo, 422327
1, 7680, Tempo, 429892
1, 7800, Tempo, 459524
1, 7920, Tempo, 425230
1, 8040, Tempo, 414938
1, 8160, Tempo, 406587
1, 8280, Tempo, 419375
1, 8400, Tempo, 407969
1, 8520, Tempo, 412173
1, 8640, Tempo, 399813
1, 8760, Tempo, 406725
1, 8880, Tempo, 399813
1, 9000, Tempo, 403226
1, 9120, Tempo, 399813
1, 9240, Tempo, 405570
1, 9360, Tempo, 399813
1, 9600, Tempo, 405132
1, 9720, Tempo, 425230
1, 9840, Tempo, 402064
1, 9960, Tempo, 406725
1, 10080, Tempo, 399813
1, 10200, Tempo, 406725
1, 10320, Tempo, 399813
1, 10340, Tempo, 402064
1, 10440, Tempo, 404394
1, 10560, Tempo, 399813
1, 10680, Tempo, 406725
1, 10800, Tempo, 399813
1, 10920, Tempo, 403226
1, 11040, Tempo, 399813
1, 11160, Tempo, 405570
1, 11280, Tempo, 406587
1, 11520, Tempo, 423819
1, 11640, Tempo, 459524
1, 11760, Tempo, 405214
1, 11880, Tempo, 415024
1, 12000, Tempo, 405214
1, 12120, Tempo, 412173
1, 12240, Tempo, 399813
1, 12260, Tempo, 402064
1, 12360, Tempo, 404394
1, 12480, Tempo, 399813
1, 12600, Tempo, 406725
1, 12720, Tempo, 399813
1, 12840, Tempo, 403226
1, 12960, Tempo, 399813
1, 13080, Tempo, 405570
1, 13200, Tempo, 399813
1, 13440, Tempo, 399813
1, 13560, Tempo, 425230
1, 13680, Tempo, 406504
1, 13800, Tempo, 414938
1, 13920, Tempo, 406504
1, 14040, Tempo, 417827
1, 14160, Tempo, 407886
1, 14180, Tempo, 402064
1, 14280, Tempo, 416378
1, 14400, Tempo, 407886
1, 14520, Tempo, 424959
1, 14640, Tempo, 417566
1, 14760, Tempo, 438949
1, 14880, Tempo, 426470
1, 15000, Tempo, 448799
1, 15120, Tempo, 435761
1, 15240, Tempo, 457352
1, 15360, Tempo, 435761
1, 15360, Marker_t, "Teil 1 Wiederholung"
1, 15480, Tempo, 447127
1, 15600, Tempo, 431065
1, 15720, Tempo, 438949
1, 15840, Tempo, 420492
1, 15960, Tempo, 432620
1, 16080, Tempo, 419024
1, 16200, Tempo, 429523
1, 16320, Tempo, 417566
1, 16440, Tempo, 480769
1, 16560, Tempo, 414680
1, 16680, Tempo, 423460
1, 16800, Tempo, 410425
1, 16920, Tempo, 420492
1, 17040, Tempo, 403769
1, 17160, Tempo, 407914
1, 17280, Tempo, 399813
1, 17400, Tempo, 442576
1, 17520, Tempo, 402064
1, 17640, Tempo, 406725
1, 17760, Tempo, 399813
1, 17880, Tempo, 406725
1, 18000, Tempo, 399813
1, 18020, Tempo, 402064
1, 18120, Tempo, 404394
1, 18240, Tempo, 399813
1, 18360, Tempo, 406725
1, 18480, Tempo, 399813
1, 18600, Tempo, 403226
1, 18720, Tempo, 399813
1, 18840, Tempo, 405570
1, 18960, Tempo, 399813
1, 19080, Tempo, 410762
1, 19200, Tempo, 417915
1, 19320, Tempo, 461290
1, 19440, Tempo, 402064
1, 19560, Tempo, 406725
1, 19680, Tempo, 399813
1, 19800, Tempo, 406725
1, 19920, Tempo, 399813
1, 19940, Tempo, 402064
1, 20040, Tempo, 404394
1, 20160, Tempo, 399813
1, 20280, Tempo, 406725
1, 20400, Tempo, 399813
1, 20520, Tempo, 403226
1, 20640, Tempo, 399813
1, 20760, Tempo, 405570
1, 20880, Tempo, 399813
1, 21120, Tempo, 399813
1, 21240, Tempo, 422327
1, 21360, Tempo, 402064
1, 21480, Tempo, 406725
1, 21600, Tempo, 399813
1, 21720, Tempo, 406725
1, 21840, Tempo, 399813
1, 21860, Tempo, 402064
1, 21960, Tempo, 404394
1, 22080, Tempo, 399813
1, 22200, Tempo, 415024
1, 22320, Tempo, 406587
1, 22440, Tempo, 415024
1, 22560, Tempo, 407969
1, 22680, Tempo, 415024
1, 22800, Tempo, 422327
1, 23040, Tempo, 429892
1, 23160, Tempo, 459524
1, 23280, Tempo, 425230
1, 23400, Tempo, 414938
1, 23520, Tempo, 406587
1, 23640, Tempo, 419375
1, 23760, Tempo, 407969
1, 23880, Tempo, 412173
1, 24000, Tempo, 399813
1, 24120, Tempo, 406725
1, 24240, Tempo, 399813
1, 24360, Tempo, 403226
1, 24480, Tempo, 399813
1, 24600, Tempo, 405570
1, 24720, Tempo, 399813
1, 24960, Tempo, 405132
1, 25080, Tempo, 425230
1, 25200, Tempo, 402064
1, 25320, Tempo, 406725
1, 25440, Tempo, 399813
1, 25560, Tempo, 406725
1, 25680, Tempo, 399813
1, 25700, Tempo, 402064
1, 25800, Tempo, 404394
