0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Etueden Opus 109"
1, 0, Title_t, "Die Perlen"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Friedrich Buergmueller"
1, 0, Text_t, "Moderato"
1, 0, Text_t, "Erstellt am 8.9.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update: 3.3.2012\012"
1, 0, Text_t, "Dauer: 1:27 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 714286
1, 240, Tempo, 710059
1, 300, Tempo, 714286
1, 340, Tempo, 718563
1, 400, Tempo, 722892
1, 440, Tempo, 727273
1, 480, Tempo, 779221
1, 540, Tempo, 714286
1, 720, Tempo, 714286
1, 740, Tempo, 718563
1, 780, Tempo, 722892
1, 800, Tempo, 727273
1, 840, Tempo, 731707
1, 860, Tempo, 736196
1, 900, Tempo, 740741
1, 920, Tempo, 745342
1, 940, Tempo, 740741
1, 960, Tempo, 769231
1, 1200, Tempo, 736196
1, 1440, Tempo, 714286
1, 1680, Tempo, 710059
1, 1740, Tempo, 714286
1, 1780, Tempo, 718563
1, 1840, Tempo, 722892
1, 1880, Tempo, 727273
1, 1920, Tempo, 779221
1, 1980, Tempo, 714286
1, 2160, Tempo, 714286
1, 2180, Tempo, 718563
1, 2220, Tempo, 722892
1, 2240, Tempo, 727273
1, 2280, Tempo, 731707
1, 2300, Tempo, 736196
1, 2340, Tempo, 740741
1, 2360, Tempo, 745342
1, 2380, Tempo, 740741
1, 2400, Tempo, 769231
1, 2640, Tempo, 727273
1, 2880, Tempo, 714286
1, 3120, Tempo, 710059
1, 3180, Tempo, 714286
1, 3220, Tempo, 718563
1, 3280, Tempo, 722892
1, 3320, Tempo, 727273
1, 3360, Tempo, 779221
1, 3420, Tempo, 714286
1, 3600, Tempo, 714286
1, 3620, Tempo, 718563
1, 3660, Tempo, 722892
1, 3680, Tempo, 727273
1, 3720, Tempo, 731707
1, 3740, Tempo, 736196
1, 3780, Tempo, 740741
1, 3800, Tempo, 745342
1, 3820, Tempo, 740741
1, 3840, Tempo, 750000
1, 4080, Tempo, 722892
1, 4320, Tempo, 714286
1, 4560, Tempo, 710059
1, 4620, Tempo, 714286
1, 4660, Tempo, 718563
1, 4720, Tempo, 722892
1, 4760, Tempo, 727273
1, 4800, Tempo, 779221
1, 4860, Tempo, 714286
1, 5040, Tempo, 714286
1, 5060, Tempo, 718563
1, 5100, Tempo, 722892
1, 5120, Tempo, 727273
1, 5160, Tempo, 731707
1, 5180, Tempo, 736196
1, 5220, Tempo, 740741
1, 5240, Tempo, 745342
1, 5260, Tempo, 740741
1, 5280, Tempo, 750000
1, 5520, Tempo, 722892
1, 5760, Tempo, 714286
1, 6000, Tempo, 710059
1, 6060, Tempo, 714286
1, 6100, Tempo, 718563
1, 6160, Tempo, 722892
1, 6200, Tempo, 727273
1, 6240, Tempo, 779221
1, 6300, Tempo, 714286
1, 6480, Tempo, 714286
1, 6500, Tempo, 718563
1, 6540, Tempo, 722892
1, 6560, Tempo, 727273
1, 6600, Tempo, 731707
1, 6620, Tempo, 736196
1, 6660, Tempo, 740741
1, 6680, Tempo, 745342
1, 6700, Tempo, 740741
1, 6720, Tempo, 727273
1, 6960, Tempo, 722892
1, 7200, Tempo, 714286
1, 7440, Tempo, 710059
1, 7500, Tempo, 714286
1, 7540, Tempo, 718563
1, 7600, Tempo, 722892
1, 7640, Tempo, 727273
1, 7680, Tempo, 779221
1, 7740, Tempo, 714286
1, 7920, Tempo, 714286
1, 7940, Tempo, 718563
1, 7980, Tempo, 722892
1, 8000, Tempo, 727273
1, 8040, Tempo, 731707
1, 8060, Tempo, 736196
1, 8100, Tempo, 740741
1, 8120, Tempo, 745342
1, 8140, Tempo, 740741
1, 8160, Tempo, 750000
1, 8400, Tempo, 718563
1, 8640, Tempo, 714286
1, 8880, Tempo, 710059
1, 8940, Tempo, 714286
1, 8980, Tempo, 718563
1, 9040, Tempo, 722892
1, 9080, Tempo, 727273
1, 9120, Tempo, 779221
1, 9180, Tempo, 714286
1, 9360, Tempo, 714286
1, 9380, Tempo, 718563
1, 9420, Tempo, 722892
1, 9440, Tempo, 727273
1, 9480, Tempo, 731707
1, 9500, Tempo, 736196
1, 9540, Tempo, 740741
1, 9560, Tempo, 745342
1, 9580, Tempo, 740741
1, 9600, Tempo, 750000
1, 9840, Tempo, 722892
1, 10080, Tempo, 714286
1, 10320, Tempo, 710059
1, 10380, Tempo, 714286
1, 10420, Tempo, 718563
1, 10480, Tempo, 722892
1, 10520, Tempo, 727273
1, 10560, Tempo, 779221
1, 10620, Tempo, 714286
1, 10800, Tempo, 722892
1, 10840, Tempo, 727273
1, 10860, Tempo, 731707
1, 10880, Tempo, 736196
1, 10900, Tempo, 740741
1, 10920, Tempo, 745342
1, 10960, Tempo, 750000
1, 10980, Tempo, 754717
1, 11000, Tempo, 759494
1, 11020, Tempo, 764331
1, 11040, Tempo, 769231
1, 11520, Tempo, 714286
1, 11760, Tempo, 710059
1, 11820, Tempo, 714286
1, 11860, Tempo, 718563
1, 11920, Tempo, 722892
1, 11960, Tempo, 727273
1, 12000, Tempo, 779221
1, 12060, Tempo, 714286
1, 12240, Tempo, 714286
1, 12260, Tempo, 718563
1, 12300, Tempo, 722892
1, 12320, Tempo, 727273
1, 12360, Tempo, 731707
1, 12380, Tempo, 736196
1, 12420, Tempo, 740741
1, 12440, Tempo, 745342
1, 12460, Tempo, 740741
1, 12480, Tempo, 769231
1, 12720, Tempo, 718563
1, 12960, Tempo, 714286
1, 13200, Tempo, 710059
1, 13260, Tempo, 714286
1, 13300, Tempo, 718563
1, 13360, Tempo, 722892
1, 13400, Tempo, 727273
1, 13440, Tempo, 779221
1, 13500, Tempo, 714286
1, 13680, Tempo, 714286
1, 13700, Tempo, 718563
1, 13740, Tempo, 722892
1, 13760, Tempo, 727273
1, 13800, Tempo, 731707
1, 13820, Tempo, 736196
1, 13860, Tempo, 740741
1, 13880, Tempo, 745342
1, 13900, Tempo, 740741
1, 13920, Tempo, 769231
1, 14160, Tempo, 727273
1, 14400, Tempo, 714286
1, 14640, Tempo, 710059
1, 14700, Tempo, 714286
1, 14740, Tempo, 718563
1, 14800, Tempo, 722892
1, 14840, Tempo, 727273
1, 14880, Tempo, 779221
1, 14940, Tempo, 714286
1, 15120, Tempo, 714286
1, 15140, Tempo, 718563
1, 15180, Tempo, 722892
1, 15200, Tempo, 727273
1, 15240, Tempo, 731707
1, 15260, Tempo, 736196
1, 15300, Tempo, 740741
1, 15320, Tempo, 745342
1, 15340, Tempo, 740741
1, 15360, Tempo, 750000
1, 15600, Tempo, 722892
1, 15840, Tempo, 714286
1, 16080, Tempo, 710059
1, 16140, Tempo, 714286
1, 16180, Tempo, 718563
1, 16240, Tempo, 722892
1, 16280, Tempo, 727273
1, 16320, Tempo, 779221
1, 16380, Tempo, 714286
1, 16560, Tempo, 714286
1, 16580, Tempo, 718563
1, 16620, Tempo, 722892
1, 16640, Tempo, 727273
1, 16680, Tempo, 731707
1, 16700, Tempo, 736196
1, 16740, Tempo, 740741
1, 16760, Tempo, 745342
1, 16780, Tempo, 740741
1, 16800, Tempo, 736196
1, 17040, Tempo, 722892
1, 17280, Tempo, 714286
1, 17520, Tempo, 710059
1, 17580, Tempo, 714286
1, 17620, Tempo, 718563
1, 17680, Tempo, 722892
1, 17720, Tempo, 727273
1, 17760, Tempo, 779221
1, 17820, Tempo, 714286
1, 18000, Tempo, 714286
1, 18020, Tempo, 718563
1, 18060, Tempo, 722892
1, 18080, Tempo, 727273
1, 18120, Tempo, 731707
