0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Grand Valse Brillante in Es-Dur Opus 18"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Chopin"
1, 0, Text_t, "Vivo"
1, 0, Text_t, "Fertiggestellt am 16.9.97\012"
1, 0, Text_t, "Korrekturen am 26.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 29.11.98\012"
1, 0, Text_t, "Update am 17.4.99\012"
1, 0, Text_t, "Update am 20.12.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 18.5.2010\012"
1, 0, Text_t, "Update am 14.2.2014\012"
1, 0, Text_t, "Dauer: 5:09 Minuten\012"
1, 0, Text_t, "Ab Takt 331 ist das Stück im 3/8 Takt notiert, da sonst die 250 Schläge pro Minute nicht mehr ausreichen.\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 288364
1, 0, Marker_t, "Vivo"
1, 960, Tempo, 284306
1, 2400, Tempo, 268540
1, 4320, Tempo, 279070
1, 5520, Tempo, 292554
1, 5760, Tempo, 272158
1, 5760, Marker_t, "Part 1"
1, 6240, Tempo, 255319
1, 6480, Tempo, 248447
1, 6720, Tempo, 265487
1, 6960, Tempo, 271555
1, 7200, Tempo, 265487
1, 7680, Tempo, 254777
1, 7920, Tempo, 244399
1, 8160, Tempo, 261438
1, 8640, Tempo, 258065
1, 9120, Tempo, 253165
1, 9600, Tempo, 260451
1, 10080, Tempo, 254237
1, 11040, Tempo, 269748
1, 11520, Tempo, 263158
1, 12000, Tempo, 253700
1, 12240, Tempo, 242915
1, 12480, Tempo, 264317
1, 12960, Tempo, 259179
1, 13440, Tempo, 252101
1, 13680, Tempo, 244399
1, 13920, Tempo, 263285
1, 14400, Tempo, 256049
1, 14880, Tempo, 251794
1, 15120, Tempo, 246407
1, 15360, Tempo, 271555
1, 15840, Tempo, 260451
1, 16320, Tempo, 257699
1, 16800, Tempo, 268540
1, 17280, Tempo, 272158
1, 17760, Tempo, 256410
1, 18000, Tempo, 251572
1, 18240, Tempo, 259179
1, 18480, Tempo, 271555
1, 18720, Tempo, 263864
1, 19160, Tempo, 256597
1, 19200, Tempo, 251572
1, 19440, Tempo, 247423
1, 19680, Tempo, 253165
1, 20160, Tempo, 255504
1, 20640, Tempo, 249709
1, 21120, Tempo, 263864
1, 21600, Tempo, 253368
1, 22560, Tempo, 269748
1, 23040, Tempo, 259898
1, 23520, Tempo, 253368
1, 23760, Tempo, 248963
1, 24000, Tempo, 261597
1, 24480, Tempo, 258242
1, 24960, Tempo, 254442
1, 25200, Tempo, 251046
1, 25440, Tempo, 265018
1, 25920, Tempo, 274637
1, 26400, Tempo, 280991
1, 26880, Tempo, 288364
1, 27360, Tempo, 279070
1, 28560, Tempo, 292554
1, 28800, Tempo, 272158
1, 28800, Marker_t, "Part 1 repeat"
1, 29280, Tempo, 261438
1, 29520, Tempo, 254237
1, 29760, Tempo, 265487
1, 30000, Tempo, 271555
1, 30240, Tempo, 265487
1, 30720, Tempo, 257511
1, 30960, Tempo, 252632
1, 31200, Tempo, 261438
1, 31680, Tempo, 258065
1, 32160, Tempo, 253165
1, 32400, Tempo, 246407
1, 32640, Tempo, 260451
1, 33120, Tempo, 253368
1, 34080, Tempo, 269748
1, 34560, Tempo, 263736
1, 35040, Tempo, 253700
1, 35280, Tempo, 248447
1, 35520, Tempo, 264901
1, 36000, Tempo, 258621
1, 36480, Tempo, 251572
