0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Prelude  No. 18, Opus 28"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Molto Allegro"
1, 0, Text_t, "Fertiggestellt am 30.11.02\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 23.6.2010\012"
1, 0, Text_t, "Update am 21.2.2014\012"
1, 0, Text_t, "Dauer: 0:48 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 477593
1, 480, Tempo, 458120
1, 720, Tempo, 496648
1, 960, Tempo, 547495
1, 1200, Tempo, 547495
1, 1440, Tempo, 623571
1, 1680, Tempo, 561220
1, 1920, Tempo, 477593
1, 2400, Tempo, 458120
1, 2640, Tempo, 479655
1, 2880, Tempo, 552893
1, 3360, Tempo, 610004
1, 3600, Tempo, 561220
1, 3840, Tempo, 477593
1, 4320, Tempo, 458120
1, 4560, Tempo, 471587
1, 4800, Tempo, 479655
1, 4960, Tempo, 458120
1, 5120, Tempo, 456239
1, 5280, Tempo, 454408
1, 5440, Tempo, 452557
1, 5600, Tempo, 450755
1, 5720, Tempo, 448967
1, 5760, Tempo, 459982
1, 6000, Tempo, 448967
1, 6240, Tempo, 445401
1, 6280, Tempo, 435035
1, 6360, Tempo, 436713
1, 6440, Tempo, 438436
1, 6520, Tempo, 440141
1, 6600, Tempo, 441891
1, 6680, Tempo, 443623
1, 6760, Tempo, 445401
1, 6840, Tempo, 447161
1, 6920, Tempo, 448967
1, 7000, Tempo, 450755
1, 7080, Tempo, 452557
1, 7160, Tempo, 454408
1, 7200, Tempo, 452557
1, 7280, Tempo, 454408
1, 7400, Tempo, 456239
1, 7440, Tempo, 512514
1, 7560, Tempo, 539617
1, 7680, Tempo, 477593
1, 8040, Tempo, 490116
1, 8160, Tempo, 458120
1, 8280, Tempo, 494438
1, 8400, Tempo, 477593
1, 8640, Tempo, 550206
1, 9120, Tempo, 597015
1, 9360, Tempo, 561220
1, 9600, Tempo, 477593
1, 10080, Tempo, 458120
1, 10200, Tempo, 490116
1, 10320, Tempo, 473597
1, 10560, Tempo, 552893
1, 11040, Tempo, 584567
1, 11280, Tempo, 561220
1, 11520, Tempo, 477593
1, 12000, Tempo, 458120
1, 12240, Tempo, 465730
1, 12480, Tempo, 479655
1, 12720, Tempo, 463786
1, 12960, Tempo, 458120
1, 13200, Tempo, 445401
1, 13440, Time_signature, 5, 2, 24, 8
1, 13440, Tempo, 430015
1, 13560, Tempo, 448967
1, 13680, Tempo, 459982
1, 13800, Tempo, 445401
1, 13820, Tempo, 441891
1, 13840, Tempo, 438436
1, 13860, Tempo, 435035
1, 13880, Tempo, 431686
1, 13900, Tempo, 428388
1, 13920, Tempo, 425140
1, 13940, Tempo, 421941
1, 13960, Tempo, 418790
1, 14320, Tempo, 420374
1, 14400, Tempo, 421941
1, 14440, Tempo, 423549
1, 14480, Tempo, 425140
1, 14560, Tempo, 426773
1, 14600, Tempo, 428388
1, 14640, Tempo, 430015
1, 14720, Tempo, 431686
1, 14760, Tempo, 433338
1, 14800, Tempo, 435035
1, 14880, Tempo, 458120
1, 14960, Tempo, 459982
1, 15000, Tempo, 461894
1, 15080, Tempo, 463786
1, 15120, Tempo, 465730
1, 15200, Tempo, 467654
1, 15240, Tempo, 469631
1, 15320, Tempo, 471587
1, 15360, Tempo, 473597
1, 15440, Tempo, 475587
1, 15480, Tempo, 477593
1, 15560, Tempo, 479655
1, 15600, Tempo, 481696
1, 15680, Tempo, 483793
1, 15720, Tempo, 485869
1, 15760, Tempo, 490116
1, 15800, Tempo, 494438
1, 15840, Time_signature, 4, 2, 24, 8
1, 16080, Tempo, 534474
1, 16320, Tempo, 544860
1, 16560, Tempo, 475587
1, 16800, Tempo, 710395
1, 16820, Tempo, 648789
1, 16840, Tempo, 593883
1, 16860, Tempo, 550206
1, 16880, Tempo, 510161
1, 16900, Tempo, 475587
1, 16920, Tempo, 463786
1, 17040, Tempo, 443623
1, 17080, Tempo, 435035
1, 17280, Tempo, 420374
1, 18000, Tempo, 512514
1, 18240, Tempo, 524476
1, 18480, Tempo, 473597
1, 18720, Tempo, 537009
1, 18840, Tempo, 481696
1, 18960, Tempo, 440141
1, 19200, Tempo, 411128
1, 19920, Tempo, 507872
1, 20160, Tempo, 522057
1, 20400, Tempo, 473597
1, 20640, Tempo, 505561
1, 20760, Tempo, 479655
1, 20880, Tempo, 454408
1, 21120, Tempo, 473597
1, 21240, Tempo, 431686
1, 21600, Tempo, 454408
1, 21840, Tempo, 507872
1, 22560, Tempo, 1439194
1, 22580, Tempo, 1194030
1, 22600, Tempo, 1020408
1, 22620, Tempo, 890869
1, 22640, Tempo, 790410
1, 22660, Tempo, 710395
1, 22680, Tempo, 645023
1, 22700, Tempo, 587659
1, 22720, Tempo, 572628
1, 22740, Tempo, 564016
1, 22760, Tempo, 555658
1, 22780, Tempo, 547495
1, 22800, Tempo, 539617
1, 22820, Tempo, 531915
1, 22840, Tempo, 524476
1, 22860, Tempo, 517241
1, 22880, Tempo, 507872
1, 23080, Tempo, 510161
1, 23160, Tempo, 512514
1, 23272, Tempo, 512514
1, 23300, Tempo, 514845
1, 23324, Tempo, 517241
1, 23340, Tempo, 519615
1, 23364, Tempo, 522057
1, 23380, Tempo, 524476
1, 23404, Tempo, 526963
1, 23420, Tempo, 529427
1, 23444, Tempo, 531915
1, 23460, Tempo, 534474
1, 23484, Tempo, 537009
1, 23500, Tempo, 539617
1, 23520, Tempo, 542201
1, 23640, Tempo, 522057
1, 23760, Tempo, 555761
1, 23880, Tempo, 658183
1, 24000, Tempo, 510161
1, 24440, Tempo, 492287
1, 24480, Tempo, 550206
1, 24600, Tempo, 505561
1, 24640, Tempo, 501044
1, 24680, Tempo, 496648
1, 24720, Tempo, 492287
1, 24760, Tempo, 485869
1, 24800, Tempo, 481696
1, 24840, Tempo, 477593
1, 24880, Tempo, 473597
1, 24920, Tempo, 467654
1, 24960, Tempo, 430015
1, 25280, Tempo, 572628
1, 25320, Tempo, 615006
1, 25440, Tempo, 542201
1, 25560, Tempo, 501044
1, 25680, Tempo, 447161
1, 25800, Tempo, 603440
1, 25920, Tempo, 510161
1, 26400, Tempo, 547495
1, 26520, Tempo, 505561
1, 26560, Tempo, 501044
1, 26600, Tempo, 496648
1, 26640, Tempo, 492287
1, 26680, Tempo, 488003
1, 26720, Tempo, 483793
1, 26760, Tempo, 479655
1, 26800, Tempo, 475587
1, 26840, Tempo, 469631
1, 26880, Tempo, 441891
1, 27240, Tempo, 664011
1, 27360, Tempo, 542201
1, 27480, Tempo, 485869
1, 27600, Tempo, 430015
1, 27720, Tempo, 623571
1, 27840, Tempo, 510161
1, 28320, Tempo, 542201
1, 28440, Tempo, 458120
1, 28560, Tempo, 398010
1, 28680, Tempo, 616713
1, 28800, Tempo, 503313
1, 29280, Tempo, 450755
1, 29520, Tempo, 467654
1, 29760, Tempo, 452557
1, 30000, Tempo, 469631
1, 30240, Tempo, 461894
1, 30480, Tempo, 496648
1, 30720, Tempo, 473597
1, 30920, Tempo, 481696
1, 30960, Tempo, 512514
1, 31200, Tempo, 531915
1, 31640, Tempo, 485869
1, 31680, Tempo, 537009
1, 31920, Tempo, 1029689
1, 31980, Tempo, 1403181
1, 32000, Tempo, 984575
1, 32020, Tempo, 758342
1, 32040, Tempo, 616713
1, 32060, Tempo, 517241
1, 32080, Tempo, 505561
1, 32100, Tempo, 512514
1, 32120, Tempo, 498836
1, 32160, Tempo, 483793
1, 32200, Tempo, 485869
1, 32240, Tempo, 488003
1, 32280, Tempo, 490116
1, 32320, Tempo, 494438
1, 32400, Tempo, 501044
1, 32520, Tempo, 503313
1, 32640, Tempo, 505561
1, 32720, Tempo, 507872
1, 32840, Tempo, 510161
1, 32960, Tempo, 512514
1, 33040, Tempo, 514845
1, 33120, Tempo, 435035
1, 33160, Tempo, 433338
1, 33200, Tempo, 431686
1, 33240, Tempo, 428388
1, 33280, Tempo, 426773
1, 33320, Tempo, 425140
1, 33360, Tempo, 421941
1, 33400, Tempo, 420374
1, 33440, Tempo, 417246
1, 33460, Tempo, 420374
1, 34020, Tempo, 448967
1, 34060, Tempo, 450755
1, 34100, Tempo, 454408
1, 34140, Tempo, 456239
1, 34180, Tempo, 459982
1, 34220, Tempo, 461894
1, 34260, Tempo, 465730
1, 34300, Tempo, 467654
1, 34340, Tempo, 471587
1, 34380, Tempo, 473597
1, 34420, Tempo, 477593
1, 34460, Tempo, 479655
1, 34500, Tempo, 483793
1, 34540, Tempo, 485869
1, 34580, Tempo, 490116
1, 34620, Tempo, 492287
1, 34660, Tempo, 496648
1, 34700, Tempo, 498836
1, 34740, Tempo, 503313
1, 34780, Tempo, 505561
1, 34820, Tempo, 510161
1, 34860, Tempo, 512514
1, 34900, Tempo, 517241
1, 34940, Tempo, 522057
1, 34980, Tempo, 547495
1, 35000, Tempo, 517241
1, 35520, Tempo, 400855
1, 37920, Tempo, 550206
1, 38880, Tempo, 581564
1, 40800, Tempo, 561220
1, 42133, Tempo, 561220
1, 42720, Tempo, 545455
1, 42720, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 1, Note_on_c, 0, 60, 52
2, 120, Note_on_c, 0, 61, 48
2, 130, Note_on_c, 0, 60, 0
2, 240, Note_on_c, 0, 57, 53
2, 250, Note_on_c, 0, 61, 0
2, 360, Note_on_c, 0, 58, 49
2, 370, Note_on_c, 0, 57, 0
2, 480, Note_on_c, 0, 55, 58
2, 490, Note_on_c, 0, 58, 0
2, 600, Note_on_c, 0, 58, 62
2, 610, Note_on_c, 0, 55, 0
2, 720, Note_on_c, 0, 67, 68
2, 730, Note_on_c, 0, 58, 0
2, 840, Note_on_c, 0, 65, 70
2, 850, Note_on_c, 0, 67, 0
2, 960, Note_on_c, 0, 65, 0
2, 960, Note_on_c, 0, 65, 73
2, 1200, Note_on_c, 0, 55, 38
2, 1200, Note_on_c, 0, 58, 46
2, 1428, Note_on_c, 0, 58, 0
2, 1428, Note_on_c, 0, 55, 0
2, 1440, Note_on_c, 0, 55, 38
2, 1440, Note_on_c, 0, 58, 46
2, 1668, Note_on_c, 0, 58, 0
2, 1668, Note_on_c, 0, 55, 0
2, 1680, Note_on_c, 0, 65, 0
2, 1680, Note_on_c, 0, 64, 52
2, 1920, Note_on_c, 0, 64, 0
2, 1920, Note_on_c, 0, 60, 52
2, 2040, Note_on_c, 0, 61, 48
2, 2050, Note_on_c, 0, 60, 0
2, 2160, Note_on_c, 0, 57, 53
2, 2170, Note_on_c, 0, 61, 0
2, 2280, Note_on_c, 0, 58, 57
2, 2290, Note_on_c, 0, 57, 0
2, 2400, Note_on_c, 0, 55, 57
2, 2410, Note_on_c, 0, 58, 0
2, 2520, Note_on_c, 0, 58, 61
2, 2530, Note_on_c, 0, 55, 0
2, 2640, Note_on_c, 0, 67, 63
2, 2650, Note_on_c, 0, 58, 0
2, 2760, Note_on_c, 0, 65, 64
2, 2770, Note_on_c, 0, 67, 0
2, 2880, Note_on_c, 0, 65, 0
2, 2880, Note_on_c, 0, 65, 67
2, 3120, Note_on_c, 0, 55, 38
2, 3120, Note_on_c, 0, 58, 46
2, 3348, Note_on_c, 0, 58, 0
2, 3348, Note_on_c, 0, 55, 0
2, 3360, Note_on_c, 0, 55, 38
2, 3360, Note_on_c, 0, 58, 46
2, 3588, Note_on_c, 0, 58, 0
2, 3588, Note_on_c, 0, 55, 0
2, 3600, Note_on_c, 0, 65, 0
2, 3600, Note_on_c, 0, 64, 52
2, 3840, Note_on_c, 0, 64, 0
2, 3840, Note_on_c, 0, 60, 52
2, 3960, Note_on_c, 0, 60, 0
2, 3960, Note_on_c, 0, 61, 48
2, 4080, Note_on_c, 0, 61, 0
2, 4080, Note_on_c, 0, 57, 52
2, 4200, Note_on_c, 0, 57, 0
2, 4200, Note_on_c, 0, 58, 48
2, 4320, Note_on_c, 0, 58, 0
2, 4320, Note_on_c, 0, 55, 49
2, 4440, Note_on_c, 0, 55, 0
2, 4440, Note_on_c, 0, 58, 50
2, 4560, Note_on_c, 0, 58, 0
2, 4560, Note_on_c, 0, 67, 54
2, 4680, Note_on_c, 0, 67, 0
2, 4680, Note_on_c, 0, 65, 55
2, 4800, Note_on_c, 0, 65, 0
2, 4800, Note_on_c, 0, 63, 58
2, 4920, Note_on_c, 0, 63, 0
2, 4920, Note_on_c, 0, 64, 55
2, 5040, Note_on_c, 0, 64, 0
2, 5040, Note_on_c, 0, 70, 59
2, 5160, Note_on_c, 0, 70, 0
2, 5160, Note_on_c, 0, 68, 57
2, 5280, Note_on_c, 0, 68, 0
2, 5280, Note_on_c, 0, 66, 58
2, 5400, Note_on_c, 0, 66, 0
2, 5400, Note_on_c, 0, 67, 62
2, 5520, Note_on_c, 0, 67, 0
2, 5520, Note_on_c, 0, 73, 65
2, 5640, Note_on_c, 0, 73, 0
2, 5640, Note_on_c, 0, 72, 61
2, 5760, Note_on_c, 0, 72, 0
2, 5760, Note_on_c, 0, 69, 67
2, 5880, Note_on_c, 0, 69, 0
2, 5880, Note_on_c, 0, 70, 66
2, 6000, Note_on_c, 0, 70, 0
2, 6000, Note_on_c, 0, 85, 71
2, 6120, Note_on_c, 0, 79, 67
2, 6130, Note_on_c, 0, 85, 0
2, 6240, Note_on_c, 0, 84, 71
2, 6250, Note_on_c, 0, 79, 0
2, 6360, Note_on_c, 0, 82, 70
2, 6370, Note_on_c, 0, 84, 0
2, 6480, Note_on_c, 0, 80, 68
2, 6490, Note_on_c, 0, 82, 0
2, 6600, Note_on_c, 0, 79, 66
2, 6610, Note_on_c, 0, 80, 0
2, 6720, Note_on_c, 0, 77, 65
2, 6730, Note_on_c, 0, 79, 0
2, 6840, Note_on_c, 0, 76, 63
2, 6850, Note_on_c, 0, 77, 0
