0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Etude  No. 1, Opus 25"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Allegro sostenuto"
1, 0, Text_t, "Fertiggestellt am 31.1.2003\012"
1, 0, Text_t, "Update am 14.5.2010\012"
1, 0, Text_t, "Update am 16.2.2014\012"
1, 0, Text_t, "Update am 8.5.2014\012"
1, 0, Text_t, "Dauer: 2:08 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 714286
1, 1360, Tempo, 618940
1, 1440, Tempo, 697837
1, 1920, Tempo, 727096
1, 1960, Tempo, 722109
1, 2000, Tempo, 717103
1, 2040, Tempo, 712166
1, 2080, Tempo, 707380
1, 2120, Tempo, 702576
1, 2160, Tempo, 697837
1, 2200, Tempo, 688626
1, 2240, Tempo, 684073
1, 2280, Tempo, 679579
1, 2320, Tempo, 675219
1, 2360, Tempo, 670841
1, 2400, Tempo, 666519
1, 2440, Tempo, 658111
1, 2520, Tempo, 653951
1, 2600, Tempo, 649843
1, 2680, Tempo, 645856
1, 2760, Tempo, 641849
1, 2840, Tempo, 637891
1, 2880, Tempo, 633981
1, 3400, Tempo, 633981
1, 3480, Tempo, 637891
1, 3560, Tempo, 641849
1, 3600, Tempo, 645856
1, 3680, Tempo, 649843
1, 3720, Tempo, 653951
1, 3800, Tempo, 658111
1, 3840, Tempo, 662252
1, 3880, Tempo, 662252
1, 3920, Tempo, 653951
1, 3960, Tempo, 645856
1, 4000, Tempo, 641849
1, 4040, Tempo, 633981
1, 4080, Tempo, 626370
1, 4320, Tempo, 622600
1, 4560, Tempo, 618940
1, 4760, Tempo, 615258
1, 4800, Tempo, 615258
1, 4840, Tempo, 608088
1, 4920, Tempo, 604534
1, 5000, Tempo, 618940
1, 5120, Tempo, 611621
1, 5160, Tempo, 608088
1, 5240, Tempo, 604534
1, 5320, Tempo, 615258
1, 5360, Tempo, 618940
1, 5400, Tempo, 608088
1, 5440, Tempo, 604534
1, 5480, Tempo, 601022
1, 5520, Tempo, 608088
1, 6200, Tempo, 611621
1, 6440, Tempo, 608088
1, 6680, Tempo, 604534
1, 7160, Tempo, 601022
1, 7280, Tempo, 604534
1, 7400, Tempo, 608088
1, 7520, Tempo, 604534
1, 7560, Tempo, 666519
1, 7600, Tempo, 748036
1, 7640, Tempo, 615258
1, 7680, Tempo, 615258
1, 7800, Tempo, 611621
1, 7920, Tempo, 608088
1, 8040, Tempo, 604534
1, 8160, Tempo, 597550
1, 8200, Tempo, 594177
1, 8240, Tempo, 590784
1, 8320, Tempo, 604534
1, 8440, Tempo, 601022
1, 8480, Tempo, 594177
1, 8560, Tempo, 604534
1, 8600, Tempo, 608088
1, 8640, Tempo, 604534
1, 8680, Tempo, 601022
1, 8720, Tempo, 594177
1, 8840, Tempo, 601022
1, 8880, Tempo, 604534
1, 8920, Tempo, 597550
1, 9120, Tempo, 601022
1, 9160, Tempo, 604534
1, 9200, Tempo, 608088
1, 9240, Tempo, 611621
1, 9280, Tempo, 615258
1, 9320, Tempo, 618940
1, 9360, Tempo, 622600
1, 9400, Tempo, 630186
1, 9440, Tempo, 653951
1, 9480, Tempo, 679579
1, 9520, Tempo, 707380
1, 9560, Tempo, 615258
1, 9720, Tempo, 611621
1, 9840, Tempo, 608088
1, 9880, Tempo, 604534
1, 10040, Tempo, 608088
1, 10240, Tempo, 604534
1, 10400, Tempo, 601022
1, 10560, Tempo, 597550
1, 11040, Tempo, 601022
1, 11220, Tempo, 601022
1, 11260, Tempo, 604534
1, 11280, Tempo, 608088
1, 11320, Tempo, 611621
1, 11340, Tempo, 615258
1, 11380, Tempo, 618940
1, 11400, Tempo, 622600
1, 11440, Tempo, 626370
1, 11460, Tempo, 630186
1, 11480, Tempo, 633981
1, 11500, Tempo, 684073
1, 11520, Tempo, 608088
1, 11760, Tempo, 604534
1, 11960, Tempo, 601022
1, 12000, Tempo, 594177
1, 12160, Tempo, 608088
1, 12240, Tempo, 604534
1, 12280, Tempo, 601022
1, 12320, Tempo, 594177
1, 12360, Tempo, 590784
1, 12400, Tempo, 594177
1, 12440, Tempo, 601022
1, 12480, Tempo, 608088
1, 12560, Tempo, 604534
1, 12600, Tempo, 601022
1, 12640, Tempo, 594177
1, 12680, Tempo, 590784
1, 12720, Tempo, 601022
1, 12760, Tempo, 604534
1, 12800, Tempo, 611621
1, 12920, Tempo, 604534
1, 12960, Tempo, 597550
1, 13000, Tempo, 608088
1, 13080, Tempo, 611621
1, 13120, Tempo, 615258
1, 13160, Tempo, 618940
1, 13240, Tempo, 622600
1, 13280, Tempo, 626370
1, 13320, Tempo, 630186
1, 13360, Tempo, 633981
1, 13440, Tempo, 633981
1, 13520, Tempo, 630186
1, 13600, Tempo, 626370
1, 13640, Tempo, 622600
1, 13720, Tempo, 618940
1, 13800, Tempo, 615258
1, 13840, Tempo, 611621
1, 13920, Tempo, 608088
1, 13960, Tempo, 604534
1, 14880, Tempo, 615258
1, 15000, Tempo, 618940
1, 15080, Tempo, 622600
1, 15160, Tempo, 626370
1, 15240, Tempo, 630186
1, 15320, Tempo, 633981
1, 15400, Tempo, 645856
1, 15520, Tempo, 641849
1, 15600, Tempo, 637891
1, 15720, Tempo, 633981
1, 15800, Tempo, 630186
1, 15880, Tempo, 626370
1, 16320, Tempo, 622600
1, 16380, Tempo, 626370
1, 16420, Tempo, 630186
1, 16460, Tempo, 633981
1, 16500, Tempo, 637891
1, 16540, Tempo, 641849
1, 16600, Tempo, 645856
1, 16640, Tempo, 649843
1, 16680, Tempo, 653951
1, 16720, Tempo, 658111
1, 16760, Tempo, 662252
1, 16800, Tempo, 666519
1, 16840, Tempo, 666519
1, 16860, Tempo, 670841
1, 16880, Tempo, 679579
1, 16900, Tempo, 688626
1, 16920, Tempo, 697837
1, 16940, Tempo, 707380
1, 16960, Tempo, 717103
1, 16980, Tempo, 722109
1, 17000, Tempo, 732243
1, 17020, Tempo, 742666
1, 17040, Tempo, 753485
1, 17060, Tempo, 764526
1, 17080, Tempo, 775996
1, 17100, Tempo, 781759
1, 17120, Tempo, 793756
1, 17140, Tempo, 806018
1, 17160, Tempo, 818777
1, 17180, Tempo, 831831
1, 17200, Tempo, 845309
1, 17220, Tempo, 859353
1, 17240, Tempo, 971817
1, 17280, Tempo, 727096
1, 17320, Tempo, 722109
1, 17360, Tempo, 717103
1, 17400, Tempo, 712166
1, 17440, Tempo, 707380
1, 17480, Tempo, 702576
