0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Sonate opus 35, 2. Satz"
1, 0, Copyright_t, "Copyright © 2002 by Bernd Krueger"
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Scherzo"
1, 0, Text_t, "Fertiggestellt am 1.3.2002\012"
1, 0, Text_t, "Update am 22.3.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 6.8.2010\012"
1, 0, Text_t, "Update am 26.2.2014\012"
1, 0, Text_t, "Dauer: 6:35 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 320410
1, 0, Marker_t, "Teil 1"
1, 960, Tempo, 282992
1, 1440, Tempo, 264271
1, 1680, Tempo, 269227
1, 1920, Tempo, 263667
1, 2160, Tempo, 281070
1, 2320, Tempo, 265498
1, 2360, Tempo, 266111
1, 2400, Tempo, 283152
1, 2880, Tempo, 275141
1, 3360, Tempo, 271358
1, 3840, Tempo, 268601
1, 4080, Tempo, 283849
1, 4320, Tempo, 263667
1, 4560, Tempo, 269227
1, 4800, Tempo, 263667
1, 5040, Tempo, 284549
1, 5200, Tempo, 266111
1, 5240, Tempo, 266111
1, 5280, Tempo, 279707
1, 5760, Tempo, 273623
1, 6240, Tempo, 270636
1, 6720, Tempo, 267344
1, 6960, Tempo, 282459
1, 7200, Tempo, 260677
1, 7440, Tempo, 266111
1, 7640, Tempo, 266726
1, 7680, Tempo, 261860
1, 7920, Tempo, 283849
1, 8120, Tempo, 265498
1, 8160, Tempo, 273623
1, 8640, Tempo, 263667
1, 8880, Tempo, 267965
1, 9120, Tempo, 264271
1, 9360, Tempo, 284549
1, 9600, Tempo, 277008
1, 10080, Tempo, 265498
1, 10320, Tempo, 269857
1, 10560, Tempo, 267344
1, 10800, Tempo, 275685
1, 11040, Tempo, 279031
1, 11520, Tempo, 284158
1, 12000, Tempo, 276676
1, 12480, Tempo, 281386
1, 12920, Tempo, 273710
1, 13080, Tempo, 273062
1, 13200, Tempo, 272418
1, 13320, Tempo, 271776
1, 13440, Tempo, 271125
1, 13560, Tempo, 270490
1, 13680, Tempo, 269857
1, 13840, Tempo, 269227
1, 13960, Tempo, 268601
1, 14080, Tempo, 267965
1, 14200, Tempo, 267344
1, 14320, Tempo, 266726
1, 14440, Tempo, 266111
1, 14880, Tempo, 269227
1, 15360, Tempo, 277675
1, 16320, Tempo, 273062
1, 16800, Tempo, 282992
1, 17280, Tempo, 277008
1, 17760, Tempo, 279031
1, 18240, Tempo, 281756
1, 18720, Tempo, 279799
1, 19200, Tempo, 280387
1, 19680, Tempo, 288018
1, 20160, Tempo, 284914
1, 20640, Tempo, 293269
1, 21120, Tempo, 284549
1, 21600, Tempo, 289589
1, 24480, Tempo, 276727
1, 24960, Tempo, 283393
1, 25920, Tempo, 276727
1, 26400, Tempo, 284158
1, 27360, Tempo, 277457
1, 27840, Tempo, 283393
1, 30240, Tempo, 263066
1, 30480, Tempo, 269227
1, 30680, Tempo, 265498
1, 30960, Tempo, 283849
1, 31120, Tempo, 266111
1, 31160, Tempo, 266252
1, 31200, Tempo, 279005
1, 31680, Tempo, 275141
1, 32160, Tempo, 271358
1, 32640, Tempo, 267965
1, 32880, Tempo, 283152
1, 33120, Tempo, 263066
1, 33360, Tempo, 267965
1, 33600, Tempo, 264877
1, 33840, Tempo, 285252
1, 34040, Tempo, 265498
1, 34080, Tempo, 278229
1, 34560, Tempo, 273623
1, 35040, Tempo, 270636
1, 35520, Tempo, 267344
1, 35760, Tempo, 279707
1, 36000, Tempo, 260089
1, 36240, Tempo, 264271
1, 36440, Tempo, 266726
1, 36480, Tempo, 261267
1, 36720, Tempo, 275685
1, 36960, Tempo, 273623
1, 37440, Tempo, 263667
1, 37680, Tempo, 269227
1, 37880, Tempo, 266111
1, 37920, Tempo, 265498
1, 38200, Tempo, 276345
1, 38400, Tempo, 273623
1, 38880, Tempo, 263066
1, 39120, Tempo, 268601
1, 39360, Tempo, 265498
1, 39600, Tempo, 268601
1, 39840, Tempo, 286451
1, 40320, Tempo, 284158
1, 40800, Tempo, 276676
1, 41280, Tempo, 281386
1, 41760, Tempo, 275887
1, 41800, Tempo, 273062
1, 41960, Tempo, 272418
1, 42080, Tempo, 271776
1, 42240, Tempo, 271125
1, 42360, Tempo, 270490
1, 42520, Tempo, 269857
1, 42640, Tempo, 269227
1, 42800, Tempo, 268601
1, 42920, Tempo, 267965
1, 43080, Tempo, 267344
1, 43200, Tempo, 266726
1, 43680, Tempo, 271358
1, 44160, Tempo, 277675
1, 45120, Tempo, 274361
1, 45600, Tempo, 282992
1, 46080, Tempo, 277008
1, 46560, Tempo, 279707
1, 47040, Tempo, 281756
1, 47520, Tempo, 279799
1, 48000, Tempo, 280387
1, 48480, Tempo, 288018
1, 48960, Tempo, 284914
1, 49440, Tempo, 283152
1, 49920, Tempo, 281070
1, 50880, Tempo, 273710
1, 51360, Tempo, 278345
1, 51840, Tempo, 284549
1, 53720, Tempo, 281889
1, 53760, Tempo, 280387
1, 54000, Tempo, 279655
1, 54240, Tempo, 278914
1, 54480, Tempo, 278190
1, 54720, Tempo, 277457
1, 54960, Tempo, 276727
1, 55200, Tempo, 276014
1, 55440, Tempo, 275292
1, 55680, Tempo, 274574
1, 55920, Tempo, 273873
1, 56160, Tempo, 273162
1, 58080, Tempo, 269857
1, 58440, Tempo, 295523
1, 58560, Tempo, 284914
1, 59520, Tempo, 279655
1, 59800, Tempo, 278914
1, 60080, Tempo, 278190
1, 60320, Tempo, 277457
1, 60600, Tempo, 276727
1, 60880, Tempo, 276014
1, 61120, Tempo, 275292
1, 61400, Tempo, 274574
1, 61680, Tempo, 273873
1, 61920, Tempo, 273162
1, 63840, Tempo, 269227
1, 64240, Tempo, 293269
1, 64320, Tempo, 284914
1, 65280, Tempo, 275292
1, 65760, Tempo, 279655
1, 66120, Tempo, 276727
1, 66280, Tempo, 276014
1, 66720, Tempo, 273710
1, 67200, Tempo, 281136
1, 67680, Tempo, 275292
1, 68160, Tempo, 273062
1, 68640, Tempo, 281136
1, 69120, Tempo, 275292
1, 69600, Tempo, 272418
1, 70080, Tempo, 279655
1, 70560, Tempo, 275292
1, 71040, Tempo, 272418
1, 71520, Tempo, 279655
1, 72000, Tempo, 281756
1, 72360, Tempo, 298597
1, 72480, Tempo, 275685
1, 72720, Tempo, 278345
1, 72960, Tempo, 285973
1, 73320, Tempo, 297059
1, 73440, Tempo, 286684
1, 73920, Tempo, 277008
1, 74400, Tempo, 281756
1, 74880, Tempo, 285252
1, 75240, Tempo, 299371
1, 75360, Tempo, 278345
1, 75400, Tempo, 275685
1, 75600, Tempo, 278345
1, 75840, Tempo, 289575
1, 76320, Tempo, 285252
1, 76800, Tempo, 279031
1, 77320, Tempo, 281756
1, 77760, Tempo, 285252
1, 78120, Tempo, 300150
1, 78240, Tempo, 277457
1, 78720, Tempo, 286451
1, 79200, Tempo, 281889
1, 79720, Tempo, 281136
1, 79840, Tempo, 281889
1, 79920, Tempo, 282632
1, 80000, Tempo, 283393
1, 80080, Tempo, 284158
1, 80160, Tempo, 284914
1, 80280, Tempo, 285687
1, 80360, Tempo, 286451
1, 80440, Tempo, 287219
1, 80520, Tempo, 288018
1, 80600, Tempo, 288795
1, 81120, Tempo, 288836
1, 81600, Tempo, 285252
1, 82080, Tempo, 288115
1, 82560, Tempo, 286684
1, 83040, Tempo, 289575
1, 83520, Tempo, 288115
1, 85440, Tempo, 290304
1, 85920, Tempo, 285973
1, 86400, Tempo, 288115
1, 87840, Tempo, 278345
1, 88320, Tempo, 284549
1, 89281, Tempo, 276727
1, 89761, Tempo, 284158
1, 90721, Tempo, 277457
1, 91201, Tempo, 283393
1, 93600, Tempo, 264271
1, 93840, Tempo, 269857
1, 94080, Tempo, 267344
1, 94280, Tempo, 265498
1, 94320, Tempo, 276345
1, 94600, Tempo, 282459
1, 95041, Tempo, 275141
1, 95521, Tempo, 271358
1, 96241, Tempo, 279005
1, 96480, Tempo, 263667
1, 96720, Tempo, 269227
1, 96960, Tempo, 264877
1, 97200, Tempo, 279031
1, 97440, Tempo, 283152
1, 97921, Tempo, 273623
1, 98401, Tempo, 270636
1, 99121, Tempo, 277444
1, 99360, Tempo, 261860
1, 99600, Tempo, 265498
1, 99840, Tempo, 261860
1, 100080, Tempo, 281756
1, 100281, Tempo, 267702
1, 100320, Tempo, 278345
1, 100800, Tempo, 264271
1, 101040, Tempo, 270490
1, 101280, Tempo, 268601
1, 101520, Tempo, 280387
1, 101760, Tempo, 280387
1, 102240, Tempo, 267344
1, 102480, Tempo, 270490
1, 102720, Tempo, 268601
1, 102960, Tempo, 277675
1, 103201, Tempo, 286451
1, 103680, Tempo, 284158
1, 104160, Tempo, 276676
1, 104640, Tempo, 281386
1, 106080, Tempo, 283849
1, 106560, Tempo, 281070
1, 107040, Tempo, 284549
1, 107520, Tempo, 281070
1, 108001, Tempo, 289589
1, 108480, Tempo, 284549
1, 108960, Tempo, 290304
1, 109440, Tempo, 286684
1, 109920, Tempo, 291772
1, 110400, Tempo, 289575
1, 111801, Tempo, 281889
1, 112320, Tempo, 284549
1, 112800, Tempo, 277675
1, 113280, Tempo, 285252
1, 116640, Tempo, 528867
1, 116640, Marker_t, "Teil 2"
1, 117160, Tempo, 502807
1, 117600, Tempo, 510682
1, 118080, Tempo, 510682
1, 118560, Tempo, 504414
1, 119040, Tempo, 510682
1, 120000, Tempo, 502807
1, 120480, Tempo, 510682
1, 121440, Tempo, 502807
1, 121920, Tempo, 520427
1, 122400, Tempo, 521785
1, 122880, Tempo, 504414
1, 123360, Tempo, 517152
1, 123840, Tempo, 503778
1, 124320, Tempo, 507485
1, 124800, Tempo, 512295
1, 125280, Tempo, 509122
1, 125760, Tempo, 514889
1, 126240, Tempo, 524109
1, 127200, Tempo, 509122
1, 127680, Tempo, 515553
1, 128640, Tempo, 507485
1, 129120, Tempo, 513919
1, 129600, Tempo, 507485
1, 130560, Tempo, 513919
1, 131040, Tempo, 518762
1, 131520, Tempo, 512295
1, 132960, Tempo, 518762
1, 133440, Tempo, 528774
1, 133920, Tempo, 515553
1, 134400, Tempo, 504414
1, 134880, Tempo, 517152
1, 135400, Tempo, 508173
1, 135840, Tempo, 507485
1, 136320, Tempo, 512295
1, 136800, Tempo, 509122
1, 137760, Tempo, 515553
1, 138720, Tempo, 509122
1, 139200, Tempo, 510421
1, 139680, Tempo, 514889
1, 140160, Tempo, 507485
1, 140640, Tempo, 513919
1, 141120, Tempo, 507485
1, 142080, Tempo, 513919
1, 142560, Tempo, 518762
1, 143040, Tempo, 512295
1, 145440, Tempo, 515553
1, 145920, Tempo, 504414
1, 146400, Tempo, 517152
1, 146880, Tempo, 508173
1, 147360, Tempo, 507485
1, 147840, Tempo, 512295
1, 148320, Tempo, 509122
1, 148800, Tempo, 514889
1, 149280, Tempo, 521785
1, 150240, Tempo, 509122
1, 150720, Tempo, 515553
1, 151680, Tempo, 507485
1, 152160, Tempo, 513919
1, 152640, Tempo, 507485
1, 153600, Tempo, 513919
1, 154080, Tempo, 518762
1, 154560, Tempo, 512295
1, 156000, Tempo, 518762
1, 156480, Tempo, 528774
1, 156960, Tempo, 515553
1, 157440, Tempo, 504414
1, 157920, Tempo, 517152
1, 158400, Tempo, 510421
1, 158880, Tempo, 507485
1, 159360, Tempo, 512295
1, 159840, Tempo, 501630
1, 160320, Tempo, 508173
1, 160800, Tempo, 515553
1, 161760, Tempo, 509122
1, 162240, Tempo, 515553
1, 162480, Tempo, 535427
1, 162720, Tempo, 508173
1, 163200, Tempo, 504414
1, 163680, Tempo, 517152
1, 164640, Tempo, 507485
1, 165120, Tempo, 512295
1, 165600, Tempo, 509122
1, 166320, Tempo, 520698
1, 166560, Tempo, 524843
1, 167520, Tempo, 520698
1, 168000, Tempo, 515553
1, 171360, Tempo, 512339
1, 171680, Tempo, 514403
1, 171960, Tempo, 516529
1, 172240, Tempo, 518717
1, 172520, Tempo, 520833
1, 172840, Tempo, 523013
1, 173120, Tempo, 525210
1, 173400, Tempo, 527426
1, 173680, Tempo, 529614
1, 173760, Tempo, 534140
1, 174240, Tempo, 531303
1, 174720, Tempo, 504414
1, 175200, Tempo, 517152
1, 175680, Tempo, 510421
1, 176160, Tempo, 507485
1, 176640, Tempo, 512295
1, 177120, Tempo, 509122
1, 177600, Tempo, 512601
1, 178080, Tempo, 528867
1, 179040, Tempo, 509122
1, 179520, Tempo, 515553
1, 180480, Tempo, 507485
1, 180960, Tempo, 513919
1, 181440, Tempo, 507485
1, 182400, Tempo, 513919
1, 182880, Tempo, 518762
1, 183360, Tempo, 512295
1, 184800, Tempo, 518762
1, 185280, Tempo, 528774
1, 185760, Tempo, 515553
1, 186240, Tempo, 504414
1, 186720, Tempo, 517152
1, 187170, Tempo, 508173
1, 187680, Tempo, 507485
1, 188160, Tempo, 512295
1, 188640, Tempo, 509122
1, 189600, Tempo, 515553
1, 190560, Tempo, 509122
1, 191040, Tempo, 515553
1, 192000, Tempo, 507485
1, 192480, Tempo, 513919
1, 192960, Tempo, 507485
1, 193920, Tempo, 513919
1, 194400, Tempo, 518762
1, 194880, Tempo, 512295
1, 198480, Tempo, 531821
1, 198720, Tempo, 555401
1, 198760, Tempo, 552944
1, 198780, Tempo, 550560
1, 198820, Tempo, 548095
1, 198840, Tempo, 545752
1, 198880, Tempo, 543429
1, 198900, Tempo, 541077
1, 198920, Tempo, 538793
1, 198960, Tempo, 536433
1, 198980, Tempo, 534140
1, 199020, Tempo, 531821
1, 199040, Tempo, 529614
1, 199060, Tempo, 527426
1, 199100, Tempo, 525210
1, 199120, Tempo, 523013
1, 199160, Tempo, 520833
1, 199180, Tempo, 518717
1, 199200, Tempo, 516529
1, 199280, Tempo, 514403
1, 199420, Tempo, 512339
1, 199560, Tempo, 510291
1, 199680, Tempo, 508173
1, 199700, Tempo, 510291
1, 199720, Tempo, 512339
1, 199740, Tempo, 514403
1, 199760, Tempo, 516529
1, 199780, Tempo, 518717
1, 199800, Tempo, 520833
1, 199820, Tempo, 523013
1, 199840, Tempo, 525210
1, 199860, Tempo, 527426
1, 199880, Tempo, 529614
1, 199900, Tempo, 531821
1, 199920, Tempo, 534140
1, 199940, Tempo, 536433
1, 199960, Tempo, 538793
1, 199980, Tempo, 541077
1, 200000, Tempo, 543429
1, 200020, Tempo, 545752
1, 200040, Tempo, 536433
1, 200080, Tempo, 570559
1, 200120, Tempo, 508173
1, 200160, Tempo, 512339
1, 201360, Tempo, 527426
1, 201600, Tempo, 550560
1, 201640, Tempo, 548095
1, 201680, Tempo, 545752
1, 201700, Tempo, 543429
1, 201740, Tempo, 541077
1, 201780, Tempo, 538793
1, 201800, Tempo, 536433
1, 201840, Tempo, 534140
1, 201880, Tempo, 531821
1, 201900, Tempo, 529614
1, 201940, Tempo, 527426
1, 201980, Tempo, 525210
