0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Chopin Fantasie-Impromptu in C# minor Opus 66"
1, 0, Copyright_t, "Copyright © 2003 by Bernd Krueger "
1, 0, Text_t, "Frederic Chopin"
1, 0, Text_t, "Allegro agitato"
1, 0, Text_t, "Fertiggestellt am 19.7.2003\012"
1, 0, Text_t, "Update am 25.5.2010\012"
1, 0, Text_t, "Update am 28.2.2014\012"
1, 0, Text_t, "Dauer: 4:37 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 341297
1, 0, Marker_t, "Allegro agitato"
1, 3840, Tempo, 703812
1, 3904, Tempo, 442608
1, 3920, Tempo, 410537
1, 3960, Tempo, 375211
1, 4000, Tempo, 385406
1, 4040, Tempo, 378955
1, 4080, Tempo, 369231
1, 4160, Tempo, 368098
1, 4240, Tempo, 366972
1, 4320, Tempo, 365854
1, 4400, Tempo, 364742
1, 4480, Tempo, 363636
1, 4560, Tempo, 362538
1, 4640, Tempo, 361446
1, 4720, Tempo, 360360
1, 4800, Tempo, 359281
1, 4880, Tempo, 358209
1, 4960, Tempo, 357143
1, 5040, Tempo, 356083
1, 5120, Tempo, 355030
1, 5200, Tempo, 353982
1, 5240, Tempo, 352941
1, 5280, Tempo, 347826
1, 5320, Tempo, 345821
1, 5360, Tempo, 344828
1, 5440, Tempo, 348837
1, 5480, Tempo, 351906
1, 5520, Tempo, 353982
1, 5560, Tempo, 355030
1, 5680, Tempo, 353982
1, 5720, Tempo, 351906
1, 5760, Tempo, 350877
1, 5840, Tempo, 349854
1, 5920, Tempo, 350877
1, 5960, Tempo, 351906
1, 6000, Tempo, 352941
1, 6040, Tempo, 355030
1, 6080, Tempo, 356083
1, 6160, Tempo, 353982
1, 6200, Tempo, 351906
1, 6240, Tempo, 350877
1, 6280, Tempo, 349854
1, 6440, Tempo, 351906
1, 6480, Tempo, 352941
1, 6560, Tempo, 351906
1, 6760, Tempo, 353982
1, 6800, Tempo, 353982
1, 6840, Tempo, 355030
1, 6880, Tempo, 357143
1, 6920, Tempo, 359281
1, 6960, Tempo, 361446
1, 7000, Tempo, 363636
1, 7040, Tempo, 364742
1, 7080, Tempo, 366972
1, 7120, Tempo, 369231
1, 7160, Tempo, 371517
1, 7200, Tempo, 373832
1, 7240, Tempo, 376176
1, 7280, Tempo, 378955
1, 7320, Tempo, 385406
1, 7360, Tempo, 390727
1, 7400, Tempo, 396197
1, 7440, Tempo, 403253
1, 7480, Tempo, 409054
1, 7520, Tempo, 415053
1, 7560, Tempo, 422803
1, 7600, Tempo, 429215
1, 7640, Tempo, 437509
1, 7680, Tempo, 353982
1, 7800, Tempo, 351906
1, 7840, Tempo, 350877
1, 7960, Tempo, 351906
1, 8000, Tempo, 352941
1, 8040, Tempo, 357143
1, 8080, Tempo, 359281
1, 8120, Tempo, 357143
1, 8200, Tempo, 353982
1, 8280, Tempo, 352941
1, 8360, Tempo, 351906
1, 8400, Tempo, 352941
1, 8440, Tempo, 355030
1, 8480, Tempo, 356083
1, 8600, Tempo, 355030
1, 8680, Tempo, 352941
1, 8720, Tempo, 351906
1, 8760, Tempo, 350877
1, 8920, Tempo, 351906
1, 8960, Tempo, 352941
1, 9000, Tempo, 355030
1, 9040, Tempo, 356083
1, 9080, Tempo, 355030
1, 9120, Tempo, 353982
1, 9160, Tempo, 351906
1, 9200, Tempo, 350877
1, 9240, Tempo, 351906
1, 9280, Tempo, 352941
1, 9320, Tempo, 353982
1, 9480, Tempo, 419404
1, 9600, Tempo, 402982
1, 9720, Tempo, 356168
1, 9760, Tempo, 355030
1, 9840, Tempo, 353982
1, 9880, Tempo, 352941
1, 9920, Tempo, 351906
1, 9960, Tempo, 349854
1, 10040, Tempo, 353982
1, 10240, Tempo, 352941
1, 10280, Tempo, 350877
1, 10400, Tempo, 349854
1, 10440, Tempo, 351906
1, 10480, Tempo, 353982
1, 10600, Tempo, 355030
1, 10640, Tempo, 357143
1, 10680, Tempo, 358209
1, 10720, Tempo, 357143
1, 10760, Tempo, 356083
1, 10800, Tempo, 355030
1, 10880, Tempo, 352941
1, 10920, Tempo, 351906
