0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Clementi: Sonatine Opus 36 Nr. 6, 1. Satz"
1, 0, Copyright_t, "Copyright © 2011 by Bernd Krueger"
1, 0, Text_t, "Muzio Clementi"
1, 0, Text_t, "Allegro con spirito"
1, 0, Text_t, "Erstellt: 16.1.2011\012"
1, 0, Text_t, "Update: 3.7.2011\012"
1, 0, Text_t, "Dauer: 5:21 minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 427686
1, 1440, Tempo, 418439
1, 1440, Marker_t, "Teil 1"
1, 1680, Tempo, 449809
1, 1920, Tempo, 439915
1, 2160, Tempo, 435129
1, 2400, Tempo, 427381
1, 3600, Tempo, 458400
1, 3840, Tempo, 427686
1, 4320, Tempo, 433557
1, 4560, Tempo, 419903
1, 4800, Tempo, 427381
1, 5280, Tempo, 416985
1, 5760, Tempo, 433557
1, 6240, Tempo, 419903
1, 6720, Tempo, 431997
1, 7320, Tempo, 424358
1, 7800, Tempo, 427381
1, 8080, Tempo, 425864
1, 8160, Tempo, 427381
1, 8200, Tempo, 428908
1, 8280, Tempo, 430447
1, 8320, Tempo, 431997
1, 8360, Tempo, 433557
1, 8400, Tempo, 458400
1, 8640, Tempo, 431997
1, 9600, Tempo, 436713
1, 9960, Tempo, 425864
1, 10320, Tempo, 458400
1, 10560, Tempo, 431997
1, 11520, Tempo, 436713
1, 12000, Tempo, 428908
1, 12240, Tempo, 454925
1, 12480, Tempo, 431997
1, 13440, Tempo, 438308
1, 14160, Tempo, 453206
1, 14400, Tempo, 433557
1, 14880, Tempo, 436713
1, 15120, Tempo, 469153
1, 15360, Tempo, 439915
1, 16080, Tempo, 446462
1, 16440, Tempo, 438308
1, 17240, Tempo, 436713
1, 17360, Tempo, 435129
1, 17480, Tempo, 433557
1, 17600, Tempo, 431997
1, 17720, Tempo, 430447
1, 17840, Tempo, 428908
1, 17920, Tempo, 427381
1, 18040, Tempo, 424358
1, 18960, Tempo, 469153
1, 19200, Tempo, 430447
1, 20160, Tempo, 431997
1, 20224, Tempo, 433557
1, 20256, Tempo, 435129
1, 20288, Tempo, 436713
1, 20320, Tempo, 438308
1, 20352, Tempo, 439915
1, 20384, Tempo, 441534
1, 20448, Tempo, 443164
1, 20480, Tempo, 444807
1, 20512, Tempo, 446462
1, 20544, Tempo, 448129
1, 20576, Tempo, 449809
1, 20608, Tempo, 451501
1, 20672, Tempo, 453206
1, 20704, Tempo, 454925
1, 20736, Tempo, 456656
1, 20768, Tempo, 458400
1, 20800, Tempo, 460158
1, 20832, Tempo, 461929
1, 20896, Tempo, 463714
1, 20928, Tempo, 465513
1, 20960, Tempo, 467326
1, 20992, Tempo, 469153
1, 21024, Tempo, 470995
1, 21056, Tempo, 472851
1, 21088, Tempo, 474721
1, 21120, Tempo, 476607
1, 21320, Tempo, 438661
1, 21400, Tempo, 437063
1, 21480, Tempo, 435477
1, 21560, Tempo, 433902
1, 21600, Tempo, 432339
1, 21680, Tempo, 430787
1, 21760, Tempo, 429246
1, 21840, Tempo, 427716
1, 21880, Tempo, 427716
1, 22320, Tempo, 429246
1, 22400, Tempo, 430447
1, 22496, Tempo, 431997
1, 22560, Tempo, 433557
1, 22656, Tempo, 435129
1, 22752, Tempo, 436713
1, 22816, Tempo, 438308
1, 22912, Tempo, 439915
1, 23040, Tempo, 427381
1, 23520, Tempo, 435129
1, 23760, Tempo, 427381
1, 24720, Tempo, 439915
1, 24960, Tempo, 425864
1, 25440, Tempo, 418439
1, 25920, Tempo, 433557
1, 26640, Tempo, 474721
1, 26880, Tempo, 427381
1, 27360, Tempo, 435129
1, 27600, Tempo, 427381
1, 28560, Tempo, 439915
1, 28800, Tempo, 425864
1, 29280, Tempo, 418439
1, 29760, Tempo, 435129
1, 30480, Tempo, 453206
1, 30720, Tempo, 427381
1, 31200, Tempo, 438308
1, 31440, Tempo, 427381
1, 32160, Tempo, 415541
1, 32400, Tempo, 444807
1, 32640, Tempo, 427381
1, 33120, Tempo, 438308
1, 33360, Tempo, 427381
1, 34080, Tempo, 415541
1, 34320, Tempo, 451501
1, 34560, Tempo, 439915
1, 34800, Tempo, 433557
1, 34920, Tempo, 428908
1, 35040, Tempo, 438308
1, 35280, Tempo, 428449
1, 35520, Tempo, 436427
1, 36480, Tempo, 434814
1, 36483, Tempo, 433213
1, 36675, Tempo, 431624
1, 36835, Tempo, 430015
1, 36995, Tempo, 428449
1, 37155, Tempo, 426894
1, 37315, Tempo, 425351
1, 37320, Tempo, 460405
1, 37411, Tempo, 431624
1, 37539, Tempo, 430015
1, 37667, Tempo, 428449
1, 37795, Tempo, 426894
1, 37923, Tempo, 425351
1, 38051, Tempo, 423819
1, 38179, Tempo, 422297
1, 38307, Tempo, 420787
1, 38403, Tempo, 426894
1, 39240, Tempo, 473410
1, 39360, Tempo, 433213
1, 39720, Tempo, 428449
1, 39840, Tempo, 425351
1, 40200, Tempo, 548697
1, 40320, Tempo, 433213
1, 40800, Tempo, 425351
1, 41160, Tempo, 506116
1, 41280, Tempo, 433213
1, 41760, Tempo, 425351
1, 42120, Tempo, 473410
1, 42240, Tempo, 462214
1, 42720, Tempo, 455063
1, 43200, Tempo, 508302
1, 43680, Tempo, 455063
1, 44880, Tempo, 467763
1, 45120, Tempo, 453309
1, 45840, Tempo, 481193
1, 46080, Tempo, 455063
1, 46320, Tempo, 446395
1, 46560, Tempo, 434814
1, 46800, Tempo, 453309
1, 47160, Tempo, 455063
1, 47520, Tempo, 441371
1, 47760, Tempo, 471513
1, 48000, Tempo, 456830
1, 48720, Tempo, 462214
1, 48960, Tempo, 455063
1, 49680, Tempo, 481193
1, 49920, Tempo, 446395
1, 50160, Tempo, 499625
1, 50400, Tempo, 453309
1, 50880, Tempo, 443033
1, 51360, Tempo, 443033
1, 51600, Tempo, 464073
1, 51840, Tempo, 453309
1, 52320, Tempo, 446395
1, 52800, Tempo, 453309
1, 53520, Tempo, 481193
1, 53760, Tempo, 455063
1, 54000, Tempo, 438052
1, 54480, Tempo, 458610
1, 54720, Tempo, 453309
1, 55200, Tempo, 443033
1, 55440, Tempo, 471513
1, 55680, Tempo, 453309
1, 56040, Tempo, 446395
1, 56640, Tempo, 453309
1, 57360, Tempo, 481193
1, 57600, Tempo, 423819
1, 58320, Tempo, 456830
1, 58560, Tempo, 430015
1, 58680, Tempo, 426894
1, 59280, Tempo, 456830
1, 59520, Tempo, 423819
1, 60240, Tempo, 456830
1, 60480, Tempo, 430015
1, 60600, Tempo, 426894
1, 60960, Tempo, 436427
1, 61200, Tempo, 456830
1, 61320, Tempo, 483170
1, 61421, Tempo, 453309
1, 61453, Tempo, 451535
1, 61485, Tempo, 449809
1, 61517, Tempo, 448096
1, 61549, Tempo, 444708
1, 61581, Tempo, 443033
1, 61613, Tempo, 441371
1, 61645, Tempo, 438052
1, 61677, Tempo, 436427
1, 61709, Tempo, 434814
1, 61741, Tempo, 431624
1, 61775, Tempo, 436427
1, 61871, Tempo, 434814
1, 61967, Tempo, 433213
1, 62063, Tempo, 431624
1, 62159, Tempo, 430015
1, 62255, Tempo, 428449
1, 62280, Tempo, 483170
1, 62400, Tempo, 436427
1, 62607, Tempo, 436427
1, 62863, Tempo, 434814
1, 63119, Tempo, 433213
1, 63240, Tempo, 493340
1, 63336, Tempo, 434814
1, 63464, Tempo, 436427
1, 63576, Tempo, 438052
1, 63704, Tempo, 439689
1, 63816, Tempo, 441371
1, 63944, Tempo, 443033
1, 64056, Tempo, 444708
1, 64184, Tempo, 446395
1, 64296, Tempo, 448096
1, 64320, Tempo, 469631
1, 65280, Tempo, 423819
1, 66000, Tempo, 456830
1, 66240, Tempo, 430015
1, 66360, Tempo, 426894
1, 66960, Tempo, 456830
1, 67200, Tempo, 423819
1, 67920, Tempo, 456830
1, 68160, Tempo, 430015
1, 68280, Tempo, 426894
1, 68880, Tempo, 456830
1, 69120, Tempo, 436427
1, 69327, Tempo, 436427
1, 69583, Tempo, 434814
1, 69839, Tempo, 433213
1, 69960, Tempo, 493340
1, 70056, Tempo, 434814
1, 70184, Tempo, 436427
1, 70296, Tempo, 438052
1, 70424, Tempo, 439689
1, 70536, Tempo, 441371
1, 70664, Tempo, 443033
1, 70776, Tempo, 444708
1, 70904, Tempo, 446395
1, 71016, Tempo, 448096
1, 71040, Tempo, 455063
1, 71760, Tempo, 481193
1, 72000, Tempo, 455063
1, 72960, Tempo, 477289
1, 73440, Tempo, 501756
1, 74040, Tempo, 581339
1, 74160, Tempo, 990262
1, 74400, Tempo, 409026
1, 74400, Marker_t, "Teil 1 Wiederholung"
1, 74640, Tempo, 449809
1, 74880, Tempo, 439915
1, 75120, Tempo, 435129
1, 75360, Tempo, 427381
1, 76560, Tempo, 458400
1, 76800, Tempo, 427686
1, 77280, Tempo, 433557
1, 77520, Tempo, 419903
1, 77760, Tempo, 427381
1, 78240, Tempo, 416985
1, 78720, Tempo, 433557
1, 79200, Tempo, 419903
1, 79680, Tempo, 431997
1, 80280, Tempo, 424358
1, 80760, Tempo, 427381
1, 81040, Tempo, 425864
1, 81084, Tempo, 424689
1, 81124, Tempo, 426197
1, 81164, Tempo, 427716
1, 81204, Tempo, 429246
1, 81244, Tempo, 430787
1, 81284, Tempo, 440270
1, 81324, Tempo, 450180
1, 81360, Tempo, 458400
1, 81600, Tempo, 431997
1, 82560, Tempo, 436713
1, 82920, Tempo, 420227
1, 83280, Tempo, 458400
1, 83520, Tempo, 431997
1, 84480, Tempo, 436713
1, 84960, Tempo, 421704
1, 85200, Tempo, 455304
1, 85440, Tempo, 431997
1, 86400, Tempo, 438308
1, 87120, Tempo, 453206
1, 87360, Tempo, 433557
1, 87840, Tempo, 436713
1, 88080, Tempo, 469153
1, 88320, Tempo, 439915
1, 89040, Tempo, 446462
1, 89400, Tempo, 438308
1, 90200, Tempo, 436713
1, 90320, Tempo, 435129
1, 90440, Tempo, 433557
1, 90560, Tempo, 431997
1, 90680, Tempo, 430447
1, 90800, Tempo, 428908
1, 90880, Tempo, 427381
1, 91000, Tempo, 424358
1, 91920, Tempo, 469153
1, 92160, Tempo, 430447
1, 93120, Tempo, 431997
1, 93184, Tempo, 433557
1, 93216, Tempo, 435129
1, 93248, Tempo, 436713
1, 93280, Tempo, 438308
1, 93312, Tempo, 439915
1, 93344, Tempo, 441534
1, 93408, Tempo, 443164
1, 93440, Tempo, 444807
1, 93472, Tempo, 446462
1, 93504, Tempo, 448129
1, 93536, Tempo, 449809
1, 93568, Tempo, 451501
1, 93632, Tempo, 453206
1, 93664, Tempo, 454925
1, 93696, Tempo, 456656
1, 93728, Tempo, 458400
1, 93760, Tempo, 460158
1, 93792, Tempo, 461929
1, 93856, Tempo, 463714
1, 93888, Tempo, 465513
1, 93920, Tempo, 467326
1, 93952, Tempo, 469153
1, 93984, Tempo, 470995
1, 94016, Tempo, 472851
1, 94048, Tempo, 474721
1, 94080, Tempo, 476607
1, 94320, Tempo, 428908
1, 94368, Tempo, 441534
1, 94400, Tempo, 439915
1, 94432, Tempo, 438308
1, 94464, Tempo, 436713
1, 94496, Tempo, 435129
1, 94528, Tempo, 433557
1, 94560, Tempo, 431997
1, 94592, Tempo, 430447
1, 94624, Tempo, 428908
1, 94656, Tempo, 427381
1, 95168, Tempo, 427381
