0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Debussy: Childrens Corner 2"
1, 0, Title_t, "Jimbo's Lullaby"
1, 0, Copyright_t, "Copyright © 2011 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Erstellt: 24.4.2011\012"
1, 0, Text_t, "Dauer: 3:09 Minuten\012"
1, 0, Time_signature, 2, 1, 48, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 647738
1, 1440, Tempo, 598982
1, 1920, Tempo, 620668
1, 2160, Tempo, 700362
1, 2400, Tempo, 647459
1, 3360, Tempo, 627156
1, 4080, Tempo, 661740
1, 4320, Tempo, 627156
1, 4800, Tempo, 637146
1, 5280, Tempo, 627156
1, 9120, Tempo, 601987
1, 9600, Tempo, 601987
1, 9840, Tempo, 658111
1, 10080, Tempo, 627156
1, 11040, Tempo, 614314
1, 11280, Tempo, 647459
1, 11520, Tempo, 637146
1, 12000, Tempo, 623895
1, 12480, Tempo, 640547
1, 12960, Tempo, 661740
1, 13440, Tempo, 623895
1, 13920, Tempo, 650971
1, 14400, Tempo, 712843
1, 14880, Tempo, 861203
1, 15360, Tempo, 633781
1, 19200, Tempo, 617475
1, 19680, Tempo, 633781
1, 21120, Tempo, 620668
1, 21600, Tempo, 633781
1, 23040, Tempo, 620668
1, 23520, Tempo, 640547
1, 24000, Tempo, 637146
1, 24960, Tempo, 630451
1, 25440, Tempo, 661740
1, 25920, Tempo, 647459
1, 28800, Tempo, 661740
1, 31680, Tempo, 753107
1, 32640, Tempo, 782575
1, 34080, Tempo, 1181800
1, 34560, Tempo, 672872
1, 35520, Tempo, 620027
1, 36000, Tempo, 672118
1, 37440, Tempo, 626501
1, 37920, Tempo, 672118
1, 38400, Tempo, 647738
1, 39840, Tempo, 598982
1, 40320, Tempo, 620668
1, 40560, Tempo, 724900
1, 40800, Tempo, 647459
1, 41760, Tempo, 627156
1, 42240, Tempo, 604412
1, 42480, Tempo, 661740
1, 42720, Tempo, 627156
1, 43200, Tempo, 637146
1, 43680, Tempo, 672118
1, 44160, Tempo, 620027
1, 45600, Tempo, 601987
1, 46080, Tempo, 601987
1, 46320, Tempo, 695491
1, 46560, Tempo, 627156
1, 47520, Tempo, 614314
1, 47760, Tempo, 627156
1, 48000, Tempo, 637146
1, 48480, Tempo, 623895
1, 48960, Tempo, 640547
1, 49440, Tempo, 650971
1, 49920, Tempo, 589565
1, 50160, Tempo, 623247
1, 50400, Tempo, 650971
1, 50880, Tempo, 633781
1, 51360, Tempo, 725777
1, 51840, Tempo, 633781
1, 52800, Tempo, 601383
1, 53280, Tempo, 633112
1, 54240, Tempo, 592476
1, 54720, Tempo, 633781
1, 55680, Tempo, 633781
1, 56153, Tempo, 614314
1, 56160, Tempo, 604412
1, 56633, Tempo, 633781
1, 56640, Tempo, 575429
1, 57120, Tempo, 551623
1, 57360, Tempo, 683605
1, 57600, Tempo, 633781
1, 58080, Tempo, 570722
1, 58560, Tempo, 633781
1, 59520, Tempo, 633781
1, 59993, Tempo, 614314
1, 60000, Tempo, 599221
1, 60473, Tempo, 633781
1, 60480, Tempo, 593061
1, 60960, Tempo, 637146
1, 61440, Tempo, 581564
1, 61920, Tempo, 573230
1, 62160, Tempo, 607472
1, 62400, Tempo, 578760
1, 63360, Tempo, 590145
1, 63840, Tempo, 570505
1, 64320, Tempo, 620668
1, 64800, Tempo, 581564
1, 65280, Tempo, 581564
1, 65760, Tempo, 544811
1, 66240, Tempo, 525716
1, 66480, Tempo, 544811
1, 66720, Tempo, 567805
1, 66960, Tempo, 587257
1, 67200, Tempo, 590145
1, 67680, Tempo, 570505
1, 68160, Tempo, 605022
1, 68640, Tempo, 581564
1, 69120, Tempo, 596007
1, 69600, Tempo, 581564
1, 70560, Tempo, 601987
1, 71040, Tempo, 581564
1, 72480, Tempo, 611185
1, 72960, Tempo, 497636
1, 74880, Tempo, 497636
1, 76783, Tempo, 507743
1, 76793, Tempo, 501798
1, 76889, Tempo, 499709
1, 76985, Tempo, 497636
1, 77081, Tempo, 495581
1, 77177, Tempo, 493543
1, 77273, Tempo, 491521
1, 77369, Tempo, 489516
1, 77465, Tempo, 487527
1, 77561, Tempo, 485555
1, 77657, Tempo, 483598
1, 77753, Tempo, 481657
1, 77849, Tempo, 479731
1, 77945, Tempo, 477821
1, 78041, Tempo, 475926
1, 78137, Tempo, 474046
1, 78233, Tempo, 472181
1, 78329, Tempo, 470330
1, 78425, Tempo, 468494
1, 78521, Tempo, 466672
1, 78617, Tempo, 464864
1, 78713, Tempo, 459524
1, 78833, Tempo, 461290
1, 78929, Tempo, 463070
1, 79025, Tempo, 464864
1, 79121, Tempo, 466672
1, 79241, Tempo, 468494
1, 79337, Tempo, 470330
1, 79433, Tempo, 472181
1, 79529, Tempo, 474046
1, 79625, Tempo, 475926
1, 79745, Tempo, 477821
1, 79841, Tempo, 479731
1, 79937, Tempo, 481657
1, 80033, Tempo, 483598
1, 80129, Tempo, 485555
1, 80249, Tempo, 487527
1, 80345, Tempo, 489516
1, 80400, Tempo, 550105
1, 80633, Tempo, 499709
1, 82080, Tempo, 483364
1, 82529, Tempo, 501798
1, 82553, Tempo, 499709
1, 82560, Tempo, 503651
1, 82577, Tempo, 501798
1, 84000, Tempo, 479501
1, 84240, Tempo, 501546
1, 84461, Tempo, 498049
1, 84521, Tempo, 497636
1, 84665, Tempo, 495581
1, 84785, Tempo, 493543
1, 84929, Tempo, 491521
1, 85049, Tempo, 489516
1, 85193, Tempo, 487527
1, 85313, Tempo, 485555
1, 85457, Tempo, 483598
1, 85577, Tempo, 481657
1, 85721, Tempo, 479731
1, 85841, Tempo, 477821
1, 85985, Tempo, 475926
1, 86105, Tempo, 474046
1, 86249, Tempo, 472181
1, 86369, Tempo, 470330
1, 86633, Tempo, 468494
1, 86873, Tempo, 466672
1, 87113, Tempo, 464864
1, 87353, Tempo, 463070
1, 87593, Tempo, 461290
1, 87833, Tempo, 459524
1, 88073, Tempo, 457771
1, 88313, Tempo, 456031
1, 88320, Tempo, 490878
1, 88560, Tempo, 479118
1, 89280, Tempo, 492894
1, 89520, Tempo, 481039
1, 90240, Tempo, 490878
1, 90480, Tempo, 479118
1, 91200, Tempo, 492894
1, 91440, Tempo, 481039
1, 92160, Tempo, 490878
1, 92400, Tempo, 470847
1, 93120, Tempo, 492894
1, 93360, Tempo, 470847
1, 94080, Tempo, 490878
1, 94320, Tempo, 472701
1, 95040, Tempo, 492894
1, 95280, Tempo, 481039
1, 96000, Tempo, 490878
1, 96240, Tempo, 470847
1, 96960, Tempo, 472701
1, 97200, Tempo, 470847
1, 97920, Tempo, 490878
1, 98160, Tempo, 472701
1, 98880, Tempo, 476455
1, 99120, Tempo, 481039
1, 99600, Tempo, 565664
1, 99840, Tempo, 480269
1, 100320, Tempo, 463571
1, 101760, Tempo, 480269
1, 102240, Tempo, 472701
1, 102720, Tempo, 458260
1, 103440, Tempo, 490076
1, 103680, Tempo, 480269
1, 104160, Tempo, 472701
1, 104640, Tempo, 458260
1, 105360, Tempo, 490076
1, 105600, Tempo, 480269
1, 106080, Tempo, 472701
1, 106560, Tempo, 458260
1, 106800, Tempo, 510334
1, 107040, Tempo, 537779
1, 107280, Tempo, 614943
1, 107520, Tempo, 517554
1, 108000, Tempo, 504498
1, 108480, Tempo, 484144
1, 109200, Tempo, 502386
1, 109440, Tempo, 508776
1, 109920, Tempo, 496155
1, 110400, Tempo, 535380
1, 110880, Tempo, 579318
1, 111360, Tempo, 502386
1, 112320, Tempo, 492086
1, 112800, Tempo, 521422
1, 113280, Tempo, 499709
1, 114240, Tempo, 488083
1, 114720, Tempo, 498215
1, 114960, Tempo, 582129
1, 115200, Tempo, 517554
1, 116160, Tempo, 506628
1, 116640, Tempo, 526639
1, 117120, Tempo, 550105
1, 118080, Tempo, 576535
1, 118560, Tempo, 627812
1, 119040, Tempo, 612933
1, 120480, Tempo, 566786
1, 120960, Tempo, 587314
1, 121200, Tempo, 637823
1, 121440, Tempo, 612683
1, 122400, Tempo, 593413
1, 123120, Tempo, 626174
1, 123360, Tempo, 593413
1, 123840, Tempo, 602894
1, 124320, Tempo, 593413
1, 126240, Tempo, 569638
1, 126720, Tempo, 569638
1, 126960, Tempo, 622730
1, 127200, Tempo, 593413
1, 128160, Tempo, 581283
1, 128400, Tempo, 593413
1, 128640, Tempo, 611808
1, 129120, Tempo, 590377
1, 129600, Tempo, 606122
1, 130080, Tempo, 615953
1, 130560, Tempo, 590377
1, 131040, Tempo, 615953
1, 131520, Tempo, 599700
1, 132000, Tempo, 713691
1, 132480, Tempo, 593413
1, 132720, Tempo, 661740
1, 132960, Tempo, 599580
1, 133440, Tempo, 624545
1, 133920, Tempo, 608704
1, 135840, Tempo, 601987
1, 136320, Tempo, 627156
1, 136560, Tempo, 661740
1, 136800, Tempo, 605632
1, 137280, Tempo, 624545
1, 137760, Tempo, 627156
1, 138240, Tempo, 618111
1, 139680, Tempo, 624545
1, 139680, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 6240, Note_on_c, 0, 53, 21
2, 6240, Note_on_c, 0, 55, 25
2, 6360, Note_on_c, 0, 55, 0
2, 6360, Note_on_c, 0, 53, 0
2, 6480, Note_on_c, 0, 53, 21
2, 6480, Note_on_c, 0, 55, 25
2, 6600, Note_on_c, 0, 55, 0
2, 6600, Note_on_c, 0, 53, 0
2, 8640, Note_on_c, 0, 41, 19
2, 8640, Note_on_c, 0, 43, 23
2, 8760, Note_on_c, 0, 43, 0
2, 8760, Note_on_c, 0, 41, 0
2, 15360, Note_on_c, 0, 79, 40
2, 16320, Note_on_c, 0, 65, 17
2, 16320, Note_on_c, 0, 67, 21
2, 16440, Note_on_c, 0, 67, 0
2, 16440, Note_on_c, 0, 65, 0
2, 16560, Note_on_c, 0, 65, 17
2, 16560, Note_on_c, 0, 67, 21
2, 17280, Note_on_c, 0, 79, 0
2, 17760, Note_on_c, 0, 67, 0
2, 17760, Note_on_c, 0, 65, 0
2, 17760, Note_on_c, 0, 65, 17
2, 17760, Note_on_c, 0, 67, 21
2, 19200, Note_on_c, 0, 63, 33
2, 19680, Note_on_c, 0, 67, 0
2, 19680, Note_on_c, 0, 65, 0
2, 19680, Note_on_c, 0, 65, 17
2, 19680, Note_on_c, 0, 67, 21
2, 21120, Note_on_c, 0, 63, 0
2, 21120, Note_on_c, 0, 61, 33
2, 21600, Note_on_c, 0, 67, 0
2, 21600, Note_on_c, 0, 65, 0
2, 21600, Note_on_c, 0, 65, 17
2, 21600, Note_on_c, 0, 67, 21
2, 23040, Note_on_c, 0, 61, 0
2, 23040, Note_on_c, 0, 63, 33
2, 23520, Note_on_c, 0, 67, 0
2, 23520, Note_on_c, 0, 65, 0
2, 23520, Note_on_c, 0, 65, 17
2, 23520, Note_on_c, 0, 67, 21
2, 24000, Note_on_c, 0, 63, 0
2, 24000, Note_on_c, 0, 63, 33
2, 24960, Note_on_c, 0, 63, 0
2, 24960, Note_on_c, 0, 61, 35
2, 25440, Note_on_c, 0, 67, 0
2, 25440, Note_on_c, 0, 65, 0
2, 25440, Note_on_c, 0, 65, 17
2, 25440, Note_on_c, 0, 67, 21
2, 26880, Note_on_c, 0, 67, 0
2, 26880, Note_on_c, 0, 65, 0
2, 26880, Note_on_c, 0, 61, 0
2, 27360, Note_on_c, 0, 41, 22
2, 27360, Note_on_c, 0, 43, 26
2, 27480, Note_on_c, 0, 43, 0
2, 27480, Note_on_c, 0, 41, 0
2, 27600, Note_on_c, 0, 41, 24
2, 27600, Note_on_c, 0, 43, 29
2, 27720, Note_on_c, 0, 43, 0
2, 27720, Note_on_c, 0, 41, 0
2, 29760, Note_on_c, 0, 41, 19
2, 29760, Note_on_c, 0, 43, 23
2, 29880, Note_on_c, 0, 43, 0
2, 29880, Note_on_c, 0, 41, 0
2, 33600, Note_on_c, 0, 41, 19
2, 33600, Note_on_c, 0, 43, 23
2, 33720, Note_on_c, 0, 43, 0
2, 33720, Note_on_c, 0, 41, 0
2, 34560, Note_on_c, 0, 67, 26
2, 34560, Note_on_c, 0, 65, 26
2, 35040, Note_on_c, 0, 65, 0
2, 35040, Note_on_c, 0, 67, 0
2, 35040, Note_on_c, 0, 60, 17
2, 35040, Note_on_c, 0, 62, 21
2, 35520, Note_on_c, 0, 62, 0
2, 35520, Note_on_c, 0, 60, 0
2, 35520, Note_on_c, 0, 65, 24
2, 35520, Note_on_c, 0, 67, 24
2, 36000, Note_on_c, 0, 67, 0
2, 36000, Note_on_c, 0, 65, 0
2, 36000, Note_on_c, 0, 60, 17
2, 36000, Note_on_c, 0, 62, 21
2, 36480, Note_on_c, 0, 62, 0
2, 36480, Note_on_c, 0, 60, 0
2, 36480, Note_on_c, 0, 67, 25
2, 36480, Note_on_c, 0, 65, 21
2, 36960, Note_on_c, 0, 65, 0
2, 36960, Note_on_c, 0, 67, 0
2, 36960, Note_on_c, 0, 60, 17
2, 36960, Note_on_c, 0, 62, 21
2, 37440, Note_on_c, 0, 62, 0
2, 37440, Note_on_c, 0, 60, 0
2, 37440, Note_on_c, 0, 65, 19
2, 37440, Note_on_c, 0, 67, 23
2, 37920, Note_on_c, 0, 67, 0
2, 37920, Note_on_c, 0, 65, 0
2, 37920, Note_on_c, 0, 60, 17
2, 37920, Note_on_c, 0, 62, 21
2, 38400, Note_on_c, 0, 62, 0
2, 38400, Note_on_c, 0, 60, 0
2, 38400, Note_on_c, 0, 65, 30
2, 38880, Note_on_c, 0, 65, 0
2, 38880, Note_on_c, 0, 62, 36
2, 39840, Note_on_c, 0, 62, 0
2, 39840, Note_on_c, 0, 65, 34
2, 40080, Note_on_c, 0, 65, 0
2, 40080, Note_on_c, 0, 67, 34
2, 40320, Note_on_c, 0, 67, 0
2, 40320, Note_on_c, 0, 60, 36
2, 40560, Note_on_c, 0, 60, 0
2, 40560, Note_on_c, 0, 62, 30
2, 40800, Note_on_c, 0, 62, 0
2, 40800, Note_on_c, 0, 65, 36
2, 41760, Note_on_c, 0, 65, 0
2, 41760, Note_on_c, 0, 62, 30
2, 42000, Note_on_c, 0, 62, 0
2, 42000, Note_on_c, 0, 60, 27
2, 42220, Note_on_c, 0, 60, 0
2, 42240, Note_on_c, 0, 60, 34
2, 42480, Note_on_c, 0, 60, 0
2, 42480, Note_on_c, 0, 62, 28
2, 42700, Note_on_c, 0, 62, 0
2, 42720, Note_on_c, 0, 62, 31
2, 43200, Note_on_c, 0, 62, 0
2, 43200, Note_on_c, 0, 60, 31
2, 43680, Note_on_c, 0, 60, 0
2, 43680, Note_on_c, 0, 65, 35
2, 44160, Note_on_c, 0, 65, 0
2, 44160, Note_on_c, 0, 62, 29
2, 45600, Note_on_c, 0, 72, 33
2, 45840, Note_on_c, 0, 72, 0
2, 45840, Note_on_c, 0, 69, 29
2, 46080, Note_on_c, 0, 69, 0
2, 46080, Note_on_c, 0, 62, 0
2, 46080, Note_on_c, 0, 60, 21
2, 46080, Note_on_c, 0, 62, 21
2, 46080, Note_on_c, 0, 67, 33
2, 46320, Note_on_c, 0, 67, 0
2, 46320, Note_on_c, 0, 65, 32
2, 46560, Note_on_c, 0, 65, 0
2, 46560, Note_on_c, 0, 67, 33
2, 47520, Note_on_c, 0, 67, 0
2, 47520, Note_on_c, 0, 69, 37
2, 47760, Note_on_c, 0, 69, 0
2, 47760, Note_on_c, 0, 72, 33
2, 48000, Note_on_c, 0, 72, 0
2, 48000, Note_on_c, 0, 62, 0
2, 48000, Note_on_c, 0, 60, 0
2, 48000, Note_on_c, 0, 60, 21
2, 48000, Note_on_c, 0, 62, 21
2, 48000, Note_on_c, 0, 67, 42
2, 48480, Note_on_c, 0, 67, 0
2, 48480, Note_on_c, 0, 74, 42
2, 48960, Note_on_c, 0, 74, 0
2, 48960, Note_on_c, 0, 72, 35
2, 49440, Note_on_c, 0, 72, 0
2, 49440, Note_on_c, 0, 69, 33
2, 49920, Note_on_c, 0, 69, 0
2, 49920, Note_on_c, 0, 62, 0
2, 49920, Note_on_c, 0, 60, 0
2, 49920, Note_on_c, 0, 60, 21
2, 49920, Note_on_c, 0, 62, 21
2, 49920, Note_on_c, 0, 67, 32
2, 50160, Note_on_c, 0, 67, 0
2, 50160, Note_on_c, 0, 65, 26
2, 50400, Note_on_c, 0, 65, 0
2, 50400, Note_on_c, 0, 67, 33
2, 50880, Note_on_c, 0, 67, 0
2, 50880, Note_on_c, 0, 69, 35
2, 51360, Note_on_c, 0, 69, 0
2, 51360, Note_on_c, 0, 72, 41
2, 51840, Note_on_c, 0, 72, 0
2, 51840, Note_on_c, 0, 62, 0
2, 51840, Note_on_c, 0, 60, 0
2, 51840, Note_on_c, 0, 60, 21
2, 51840, Note_on_c, 0, 62, 21
2, 51840, Note_on_c, 0, 67, 34
2, 53760, Note_on_c, 0, 67, 0
2, 53760, Note_on_c, 0, 62, 0
2, 53760, Note_on_c, 0, 60, 0
2, 54240, Note_on_c, 0, 44, 21
2, 54240, Note_on_c, 0, 46, 25
2, 54360, Note_on_c, 0, 46, 0
2, 54360, Note_on_c, 0, 44, 0
2, 54480, Note_on_c, 0, 44, 21
2, 54480, Note_on_c, 0, 46, 25
2, 55200, Note_on_c, 0, 46, 0
2, 55200, Note_on_c, 0, 44, 0
2, 55200, Note_on_c, 0, 44, 21
2, 55200, Note_on_c, 0, 46, 25
2, 55320, Note_on_c, 0, 46, 0
2, 55320, Note_on_c, 0, 44, 0
2, 56880, Note_on_c, 0, 46, 31
2, 56880, Note_on_c, 0, 44, 26
2, 57360, Note_on_c, 0, 44, 0
2, 57360, Note_on_c, 0, 46, 0
2, 57360, Note_on_c, 0, 58, 37
2, 57360, Note_on_c, 0, 56, 31
2, 57600, Note_on_c, 0, 56, 0
2, 57600, Note_on_c, 0, 58, 0
2, 58080, Note_on_c, 0, 44, 21
2, 58080, Note_on_c, 0, 46, 25
2, 58200, Note_on_c, 0, 46, 0
2, 58200, Note_on_c, 0, 44, 0
2, 58320, Note_on_c, 0, 44, 21
2, 58320, Note_on_c, 0, 46, 25
2, 59040, Note_on_c, 0, 46, 0
2, 59040, Note_on_c, 0, 44, 0
2, 59040, Note_on_c, 0, 44, 21
2, 59040, Note_on_c, 0, 46, 25
2, 59160, Note_on_c, 0, 46, 0
2, 59160, Note_on_c, 0, 44, 0
2, 60000, Note_on_c, 0, 48, 31
2, 60000, Note_on_c, 0, 46, 26
2, 60120, Note_on_c, 0, 46, 0
2, 60120, Note_on_c, 0, 48, 0
2, 60480, Note_on_c, 0, 58, 31
2, 60480, Note_on_c, 0, 60, 37
2, 60600, Note_on_c, 0, 60, 0
2, 60600, Note_on_c, 0, 58, 0
2, 61920, Note_on_c, 0, 58, 26
2, 61920, Note_on_c, 0, 61, 26
