0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke, Albumblatt, Opus 42 Nr. 2"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Allegro vivace e grazioso"
1, 0, Text_t, "Erstellt: 24.9.2012\012"
1, 0, Text_t, "Dauer: 3:07 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 418468
1, 0, Marker_t, "Teil 1"
1, 360, Tempo, 396852
1, 600, Tempo, 451875
1, 720, Tempo, 418468
1, 1320, Tempo, 453789
1, 1440, Tempo, 420109
1, 1800, Tempo, 396852
1, 2040, Tempo, 455719
1, 2160, Tempo, 441501
1, 2760, Tempo, 451875
1, 2880, Tempo, 423400
1, 3240, Tempo, 396852
1, 3600, Tempo, 423400
1, 4080, Tempo, 480115
1, 4320, Tempo, 453789
1, 5760, Tempo, 418468
1, 6120, Tempo, 396852
1, 6360, Tempo, 451875
1, 6480, Tempo, 418468
1, 7080, Tempo, 453789
1, 7200, Tempo, 420109
1, 7560, Tempo, 396852
1, 7800, Tempo, 455719
1, 7920, Tempo, 444774
1, 8520, Tempo, 451875
1, 8640, Tempo, 423400
1, 9000, Tempo, 396852
1, 9360, Tempo, 423400
1, 9840, Tempo, 480115
1, 10080, Tempo, 440755
1, 11040, Tempo, 428480
1, 11280, Tempo, 446263
1, 11520, Tempo, 423400
1, 12240, Tempo, 410481
1, 12720, Tempo, 442576
1, 12960, Tempo, 418468
1, 13440, Tempo, 431903
1, 13680, Tempo, 440755
1, 14400, Tempo, 423400
1, 15120, Tempo, 410481
1, 15600, Tempo, 442576
1, 15840, Tempo, 418468
1, 16320, Tempo, 431903
1, 16560, Tempo, 440755
1, 17280, Tempo, 422089
1, 18480, Tempo, 444774
1, 18720, Tempo, 420433
1, 19200, Tempo, 437541
1, 19440, Tempo, 448498
1, 19708, Tempo, 456100
1, 19766, Tempo, 458050
1, 19824, Tempo, 459982
1, 19881, Tempo, 461965
1, 19939, Tempo, 463965
1, 19996, Tempo, 465983
1, 20054, Tempo, 467982
1, 20112, Tempo, 470035
1, 20169, Tempo, 472106
1, 20640, Tempo, 422089
1, 22800, Tempo, 452250
1, 23040, Tempo, 420109
1, 23400, Tempo, 396852
1, 23640, Tempo, 455719
1, 23760, Tempo, 444774
1, 24360, Tempo, 451875
1, 24480, Tempo, 420109
1, 24840, Tempo, 396852
1, 25080, Tempo, 455719
1, 25200, Tempo, 443131
1, 25800, Tempo, 451875
1, 25920, Tempo, 417159
1, 26640, Tempo, 425411
1, 27360, Tempo, 444774
1, 28800, Tempo, 418468
1, 28800, Marker_t, "Teil 1 Wiederholung"
1, 29160, Tempo, 396852
1, 29400, Tempo, 451875
1, 29520, Tempo, 418468
1, 30120, Tempo, 453789
1, 30240, Tempo, 420109
1, 30600, Tempo, 396852
1, 30840, Tempo, 455719
1, 30960, Tempo, 441501
1, 31560, Tempo, 451875
1, 31680, Tempo, 423400
1, 32040, Tempo, 396852
1, 32400, Tempo, 423400
1, 32880, Tempo, 480115
1, 33120, Tempo, 453789
1, 34560, Tempo, 418468
1, 34920, Tempo, 396852
1, 35160, Tempo, 451875
1, 35280, Tempo, 418468
1, 35880, Tempo, 453789
1, 36000, Tempo, 420109
1, 36360, Tempo, 396852
1, 36600, Tempo, 455719
1, 36720, Tempo, 444774
1, 37320, Tempo, 451875
1, 37440, Tempo, 423400
1, 37800, Tempo, 396852
