0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke Op. 43 No. 1 - Schmetterling"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegro grazioso"
1, 0, Text_t, "Erstellt: 13.5.2007\012"
1, 0, Text_t, "Update: 4.11.2012\012"
1, 0, Text_t, "Dauer: 1:37 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 496977
1, 461, Tempo, 467909
1, 595, Tempo, 466092
1, 710, Tempo, 464288
1, 845, Tempo, 462499
1, 960, Tempo, 460723
1, 1094, Tempo, 458961
1, 1210, Tempo, 457213
1, 1344, Tempo, 455477
1, 1459, Tempo, 455477
1, 1536, Tempo, 457213
1, 1613, Tempo, 458961
1, 1690, Tempo, 460723
1, 1800, Tempo, 505348
1, 1920, Tempo, 466092
1, 2040, Tempo, 455477
1, 2280, Tempo, 477213
1, 2520, Tempo, 452046
1, 2760, Tempo, 475323
1, 3000, Tempo, 450349
1, 3240, Tempo, 479118
1, 3480, Tempo, 450349
1, 3720, Tempo, 541859
1, 3840, Tempo, 496977
1, 4301, Tempo, 467909
1, 4435, Tempo, 466092
1, 4550, Tempo, 464288
1, 4685, Tempo, 462499
1, 4800, Tempo, 460723
1, 4934, Tempo, 458961
1, 5050, Tempo, 457213
1, 5184, Tempo, 455477
1, 5299, Tempo, 455477
1, 5376, Tempo, 457213
1, 5453, Tempo, 458961
1, 5530, Tempo, 460723
1, 5640, Tempo, 549300
1, 5760, Tempo, 496977
1, 6221, Tempo, 467909
1, 6355, Tempo, 466092
1, 6470, Tempo, 464288
1, 6605, Tempo, 462499
1, 6720, Tempo, 460723
1, 6854, Tempo, 458961
1, 6970, Tempo, 457213
1, 7104, Tempo, 455477
1, 7219, Tempo, 455477
1, 7296, Tempo, 457213
1, 7373, Tempo, 458961
1, 7450, Tempo, 460723
1, 7560, Tempo, 505348
1, 7680, Tempo, 466092
1, 7800, Tempo, 455477
1, 8040, Tempo, 477213
1, 8280, Tempo, 452046
1, 8520, Tempo, 490878
1, 8760, Tempo, 467909
1, 9000, Tempo, 501128
1, 9240, Tempo, 481039
1, 9480, Tempo, 541859
1, 9600, Tempo, 527565
1, 9720, Tempo, 516218
1, 9960, Tempo, 578425
1, 10200, Tempo, 546797
1, 10440, Tempo, 613936
1, 10680, Tempo, 575650
1, 10920, Tempo, 664967
1, 11520, Tempo, 496977
1, 11981, Tempo, 467909
1, 12115, Tempo, 466092
1, 12230, Tempo, 464288
1, 12365, Tempo, 462499
1, 12480, Tempo, 460723
1, 12614, Tempo, 458961
1, 12730, Tempo, 457213
1, 12864, Tempo, 455477
1, 12979, Tempo, 455477
1, 13056, Tempo, 457213
1, 13133, Tempo, 458961
1, 13210, Tempo, 460723
1, 13320, Tempo, 505348
1, 13440, Tempo, 466092
1, 13560, Tempo, 455477
1, 13800, Tempo, 477213
1, 14040, Tempo, 452046
1, 14280, Tempo, 475323
1, 14520, Tempo, 450349
1, 14760, Tempo, 479118
1, 15000, Tempo, 450349
1, 15240, Tempo, 541859
1, 15360, Tempo, 496977
1, 15821, Tempo, 467909
1, 15955, Tempo, 466092
1, 16070, Tempo, 464288
1, 16205, Tempo, 462499
1, 16320, Tempo, 460723
1, 16454, Tempo, 458961
1, 16570, Tempo, 457213
1, 16704, Tempo, 455477
1, 16819, Tempo, 455477
1, 16896, Tempo, 457213
1, 16973, Tempo, 458961
1, 17050, Tempo, 460723
1, 17160, Tempo, 549300
1, 17280, Tempo, 496977
1, 17741, Tempo, 467909
1, 17875, Tempo, 466092
1, 17990, Tempo, 464288
1, 18125, Tempo, 462499
1, 18240, Tempo, 460723
1, 18374, Tempo, 458961
1, 18490, Tempo, 457213
1, 18624, Tempo, 455477
1, 18739, Tempo, 455477
1, 18816, Tempo, 457213
1, 18893, Tempo, 458961
1, 18970, Tempo, 460723
1, 19080, Tempo, 505348
1, 19200, Tempo, 466092
1, 19320, Tempo, 455477
1, 19560, Tempo, 477213
1, 19800, Tempo, 452046
1, 20040, Tempo, 490878
1, 20280, Tempo, 467909
1, 20520, Tempo, 501128
1, 20760, Tempo, 481039
1, 21000, Tempo, 541859
1, 21120, Tempo, 527565
1, 21240, Tempo, 516218
1, 21480, Tempo, 578425
1, 21720, Tempo, 546797
1, 21960, Tempo, 613936
1, 22200, Tempo, 575650
1, 22440, Tempo, 912825
1, 23040, Tempo, 525256
1, 23549, Tempo, 482975
1, 23607, Tempo, 479118
1, 23664, Tempo, 477213
1, 23703, Tempo, 475323
1, 23760, Tempo, 473447
1, 23799, Tempo, 471587
1, 23856, Tempo, 469741
1, 23895, Tempo, 467909
1, 23952, Tempo, 466092
1, 23991, Tempo, 464288
1, 24048, Tempo, 462499
1, 24087, Tempo, 460723
1, 24144, Tempo, 458961
1, 24183, Tempo, 457213
1, 24240, Tempo, 455477
1, 24279, Tempo, 453755
1, 24336, Tempo, 452046
1, 24375, Tempo, 450349
1, 24432, Tempo, 448665
1, 24451, Tempo, 446994
1, 24528, Tempo, 448665
1, 24605, Tempo, 450349
1, 24663, Tempo, 452046
1, 24739, Tempo, 453755
1, 24797, Tempo, 455477
1, 24840, Tempo, 505348
1, 24960, Tempo, 482975
1, 25080, Tempo, 466092
1, 25320, Tempo, 488878
1, 25560, Tempo, 464288
1, 25800, Tempo, 484927
1, 26040, Tempo, 464288
1, 26280, Tempo, 486894
1, 26520, Tempo, 462499
1, 26760, Tempo, 541859
1, 26880, Tempo, 486894
1, 27000, Tempo, 473447
1, 27240, Tempo, 492894
1, 27480, Tempo, 514007
1, 27720, Tempo, 507485
1, 27960, Tempo, 486894
1, 28200, Tempo, 499043
1, 28440, Tempo, 492894
1, 28680, Tempo, 541859
1, 28970, Tempo, 534616
1, 29028, Tempo, 532245
1, 29086, Tempo, 529895
1, 29143, Tempo, 527565
1, 29182, Tempo, 525256
1, 29239, Tempo, 522967
1, 29297, Tempo, 520698
1, 29354, Tempo, 518448
1, 29393, Tempo, 516218
1, 29450, Tempo, 514007
1, 29508, Tempo, 511814
1, 29566, Tempo, 509641
1, 29604, Tempo, 507485
1, 29640, Tempo, 598623
1, 29760, Tempo, 544316
1, 29916, Tempo, 532245
1, 29993, Tempo, 529895
1, 30070, Tempo, 527565
1, 30127, Tempo, 525256
1, 30204, Tempo, 522967
1, 30262, Tempo, 520698
1, 30338, Tempo, 518448
1, 30396, Tempo, 516218
1, 30473, Tempo, 514007
1, 30530, Tempo, 511814
1, 30600, Tempo, 592710
1, 30720, Tempo, 525256
1, 31229, Tempo, 482975
1, 31287, Tempo, 479118
1, 31344, Tempo, 477213
1, 31383, Tempo, 475323
1, 31440, Tempo, 473447
1, 31479, Tempo, 471587
1, 31536, Tempo, 469741
1, 31575, Tempo, 467909
1, 31632, Tempo, 466092
1, 31671, Tempo, 464288
1, 31728, Tempo, 462499
1, 31767, Tempo, 460723
1, 31824, Tempo, 458961
1, 31863, Tempo, 457213
1, 31920, Tempo, 455477
1, 31959, Tempo, 453755
1, 32016, Tempo, 452046
1, 32055, Tempo, 450349
1, 32112, Tempo, 448665
1, 32131, Tempo, 446994
1, 32208, Tempo, 448665
1, 32285, Tempo, 450349
1, 32343, Tempo, 452046
1, 32419, Tempo, 453755
1, 32477, Tempo, 455477
1, 32520, Tempo, 505348
1, 32640, Tempo, 482975
1, 32760, Tempo, 466092
1, 33000, Tempo, 488878
1, 33240, Tempo, 464288
1, 33480, Tempo, 484927
1, 33720, Tempo, 464288
1, 33960, Tempo, 486894
1, 34200, Tempo, 462499
1, 34440, Tempo, 541859
1, 34560, Tempo, 486894
1, 34680, Tempo, 473447
1, 34920, Tempo, 492894
1, 35160, Tempo, 514007
1, 35400, Tempo, 507485
1, 35640, Tempo, 486894
1, 35880, Tempo, 499043
1, 36120, Tempo, 492894
1, 36360, Tempo, 584055
1, 36480, Tempo, 529895
1, 36600, Tempo, 511814
1, 36840, Tempo, 525256
1, 37080, Tempo, 546797
1, 37320, Tempo, 532245
1, 37560, Tempo, 518448
1, 37800, Tempo, 541859
1, 38040, Tempo, 527565
1, 38280, Tempo, 572902
1, 38400, Tempo, 541859
1, 38544, Tempo, 527565
1, 38602, Tempo, 525256
1, 38640, Tempo, 522967
1, 38679, Tempo, 520698
1, 38717, Tempo, 518448
1, 38755, Tempo, 516218
1, 38794, Tempo, 514007
1, 38832, Tempo, 511814
1, 38871, Tempo, 509641
1, 38928, Tempo, 507485
1, 38967, Tempo, 505348
1, 39005, Tempo, 503229
1, 39043, Tempo, 501128
1, 39082, Tempo, 499043
1, 39120, Tempo, 496977
1, 39159, Tempo, 494927
1, 39197, Tempo, 492894
1, 39204, Tempo, 507485
1, 39240, Tempo, 598623
1, 39360, Tempo, 544316
1, 39516, Tempo, 532245
1, 39523, Tempo, 516218
1, 39581, Tempo, 514007
1, 39619, Tempo, 511814
1, 39677, Tempo, 509641
1, 39715, Tempo, 507485
1, 39773, Tempo, 505348
1, 39811, Tempo, 503229
1, 39850, Tempo, 501128
1, 39907, Tempo, 499043
1, 39946, Tempo, 496977
1, 40003, Tempo, 494927
1, 40042, Tempo, 492894
1, 40099, Tempo, 490878
1, 40138, Tempo, 488878
1, 40176, Tempo, 486894
1, 40200, Tempo, 592710
1, 40320, Tempo, 572902
1, 40464, Tempo, 514007
1, 40541, Tempo, 516218
1, 40599, Tempo, 518448
1, 40675, Tempo, 520698
1, 40733, Tempo, 522967
1, 40810, Tempo, 525256
1, 40867, Tempo, 527565
1, 40944, Tempo, 529895
1, 41002, Tempo, 532245
1, 41079, Tempo, 534616
1, 41136, Tempo, 537009
1, 41160, Tempo, 570180
1, 41280, Tempo, 575650
1, 41405, Tempo, 516218
1, 41443, Tempo, 518448
1, 41482, Tempo, 520698
1, 41520, Tempo, 520698
1, 41559, Tempo, 522967
1, 41578, Tempo, 525256
1, 41616, Tempo, 527565
1, 41635, Tempo, 529895
1, 41674, Tempo, 532245
1, 41712, Tempo, 534616
1, 41731, Tempo, 537009
1, 41770, Tempo, 539423
1, 41789, Tempo, 541859
1, 41827, Tempo, 544316
1, 41847, Tempo, 546797
1, 41885, Tempo, 549300
1, 41923, Tempo, 551826
1, 41943, Tempo, 554375
1, 41981, Tempo, 556948
1, 42000, Tempo, 559545
1, 42039, Tempo, 562166
1, 42058, Tempo, 564812
1, 42240, Tempo, 496977
1, 42701, Tempo, 467909
1, 42835, Tempo, 466092
1, 42950, Tempo, 464288
1, 43085, Tempo, 462499
1, 43200, Tempo, 460723
1, 43334, Tempo, 458961
1, 43450, Tempo, 457213
1, 43584, Tempo, 455477
1, 43699, Tempo, 455477
1, 43776, Tempo, 457213
1, 43853, Tempo, 458961
1, 43930, Tempo, 460723
1, 44040, Tempo, 505348
1, 44160, Tempo, 466092
1, 44280, Tempo, 455477
1, 44520, Tempo, 477213
1, 44760, Tempo, 452046
1, 45000, Tempo, 475323
1, 45240, Tempo, 450349
1, 45480, Tempo, 479118
1, 45720, Tempo, 450349
1, 45960, Tempo, 541859
1, 46080, Tempo, 496977
1, 46541, Tempo, 467909
1, 46675, Tempo, 466092
1, 46790, Tempo, 464288
1, 46925, Tempo, 462499
1, 47040, Tempo, 460723
1, 47174, Tempo, 458961
1, 47290, Tempo, 457213
1, 47424, Tempo, 455477
1, 47539, Tempo, 455477
1, 47616, Tempo, 457213
1, 47693, Tempo, 458961
1, 47770, Tempo, 460723
1, 47880, Tempo, 549300
1, 48000, Tempo, 496977
1, 48461, Tempo, 467909
1, 48595, Tempo, 466092
1, 48710, Tempo, 464288
1, 48845, Tempo, 462499
1, 48960, Tempo, 460723
1, 49094, Tempo, 458961
1, 49210, Tempo, 457213
1, 49344, Tempo, 455477
1, 49459, Tempo, 455477
1, 49536, Tempo, 457213
1, 49613, Tempo, 458961
1, 49690, Tempo, 460723
1, 49800, Tempo, 505348
1, 49920, Tempo, 496977
1, 50381, Tempo, 467909
1, 50515, Tempo, 466092
1, 50630, Tempo, 464288
1, 50765, Tempo, 462499
1, 50880, Tempo, 460723
1, 51014, Tempo, 458961
1, 51130, Tempo, 457213
1, 51264, Tempo, 455477
1, 51379, Tempo, 455477
1, 51456, Tempo, 457213
1, 51533, Tempo, 458961
1, 51610, Tempo, 460723
1, 51720, Tempo, 505348
1, 51840, Tempo, 466092
1, 51960, Tempo, 455477
1, 52200, Tempo, 477213
1, 52440, Tempo, 452046
1, 52680, Tempo, 490878
1, 52920, Tempo, 467909
1, 53160, Tempo, 501128
1, 53400, Tempo, 481039
1, 53640, Tempo, 541859
1, 53760, Tempo, 527565
1, 53880, Tempo, 516218
1, 54120, Tempo, 578425
1, 54360, Tempo, 546797
1, 54600, Tempo, 613936
1, 54840, Tempo, 575650
1, 55080, Tempo, 664967
1, 55680, Tempo, 525256
1, 56189, Tempo, 482975
1, 56247, Tempo, 479118
1, 56304, Tempo, 477213
1, 56343, Tempo, 475323
1, 56400, Tempo, 473447
1, 56439, Tempo, 471587
1, 56496, Tempo, 469741
1, 56535, Tempo, 467909
1, 56592, Tempo, 466092
1, 56631, Tempo, 464288
1, 56688, Tempo, 462499
1, 56727, Tempo, 460723
1, 56784, Tempo, 458961
1, 56823, Tempo, 457213
1, 56880, Tempo, 455477
1, 56919, Tempo, 453755
1, 56976, Tempo, 452046
1, 57015, Tempo, 450349
1, 57072, Tempo, 448665
1, 57091, Tempo, 446994
1, 57168, Tempo, 448665
1, 57245, Tempo, 450349
1, 57303, Tempo, 452046
1, 57379, Tempo, 453755
1, 57437, Tempo, 455477
1, 57480, Tempo, 505348
1, 57600, Tempo, 482975
1, 57720, Tempo, 466092
1, 57960, Tempo, 488878
1, 58200, Tempo, 464288
1, 58440, Tempo, 484927
1, 58680, Tempo, 464288
1, 58920, Tempo, 486894
1, 59160, Tempo, 462499
1, 59400, Tempo, 541859
1, 59520, Tempo, 486894
1, 59640, Tempo, 473447
1, 59880, Tempo, 492894
1, 60120, Tempo, 514007
1, 60360, Tempo, 507485
1, 60600, Tempo, 486894
1, 60840, Tempo, 499043
1, 61080, Tempo, 492894
1, 61320, Tempo, 541859
1, 61610, Tempo, 534616
1, 61668, Tempo, 532245
1, 61726, Tempo, 529895
1, 61783, Tempo, 527565
1, 61822, Tempo, 525256
1, 61879, Tempo, 522967
1, 61937, Tempo, 520698
1, 61994, Tempo, 518448
1, 62033, Tempo, 516218
1, 62090, Tempo, 514007
1, 62148, Tempo, 511814
1, 62206, Tempo, 509641
1, 62244, Tempo, 507485
1, 62280, Tempo, 598623
1, 62400, Tempo, 544316
1, 62556, Tempo, 532245
1, 62633, Tempo, 529895
1, 62710, Tempo, 527565
1, 62767, Tempo, 525256
1, 62844, Tempo, 522967
1, 62902, Tempo, 520698
1, 62978, Tempo, 518448
1, 63036, Tempo, 516218
1, 63113, Tempo, 514007
1, 63170, Tempo, 511814
1, 63240, Tempo, 592710
1, 63360, Tempo, 525256
1, 63869, Tempo, 482975
1, 63927, Tempo, 479118
1, 63984, Tempo, 477213
1, 64023, Tempo, 475323
1, 64080, Tempo, 473447
1, 64119, Tempo, 471587
1, 64176, Tempo, 469741
1, 64215, Tempo, 467909
1, 64272, Tempo, 466092
1, 64311, Tempo, 464288
1, 64368, Tempo, 462499
1, 64407, Tempo, 460723
1, 64464, Tempo, 458961
1, 64503, Tempo, 457213
1, 64560, Tempo, 455477
1, 64599, Tempo, 453755
1, 64656, Tempo, 452046
1, 64695, Tempo, 450349
1, 64752, Tempo, 448665
1, 64771, Tempo, 446994
1, 64848, Tempo, 448665
1, 64925, Tempo, 450349
1, 64983, Tempo, 452046
1, 65059, Tempo, 453755
1, 65117, Tempo, 455477
1, 65160, Tempo, 505348
1, 65280, Tempo, 482975
1, 65400, Tempo, 466092
1, 65640, Tempo, 488878
1, 65880, Tempo, 464288
