0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke Op. 12 Nr. 4 Elfentanz"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Erstellt: 6.5.2007\012"
1, 0, Text_t, "Update: 29.10.2012\012"
1, 0, Text_t, "Dauer: 1:54 Minuten\012"
1, 0, Text_t, "Takt auf 3/8 statt 3/4 gesetzt wegen hoher Geschwindigkeit\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 505136
1, 480, Tempo, 530833
1, 720, Tempo, 514183
1, 1200, Tempo, 500709
1, 1440, Tempo, 481928
1, 2150, Tempo, 498546
1, 2208, Tempo, 496401
1, 2246, Tempo, 494234
1, 2285, Tempo, 492126
1, 2323, Tempo, 490036
1, 2362, Tempo, 487924
1, 2419, Tempo, 485869
1, 2458, Tempo, 483832
1, 2496, Tempo, 481773
1, 2534, Tempo, 479770
1, 2573, Tempo, 477783
1, 2611, Tempo, 475775
1, 2760, Tempo, 568720
1, 2880, Tempo, 505136
1, 3360, Tempo, 530833
1, 3600, Tempo, 514183
1, 4080, Tempo, 500709
1, 4320, Tempo, 485869
1, 4680, Tempo, 540882
1, 4800, Tempo, 485869
1, 5011, Tempo, 492126
1, 5069, Tempo, 490036
1, 5107, Tempo, 487924
1, 5165, Tempo, 485869
1, 5203, Tempo, 483832
1, 5242, Tempo, 481773
1, 5299, Tempo, 479770
1, 5338, Tempo, 477783
1, 5376, Tempo, 475775
1, 5434, Tempo, 473821
1, 5472, Tempo, 471884
1, 5510, Tempo, 469925
1, 5640, Tempo, 647808
1, 5760, Tempo, 505136
1, 6240, Tempo, 530833
1, 6480, Tempo, 514183
1, 6720, Tempo, 521739
1, 6960, Tempo, 500709
1, 7200, Tempo, 480000
1, 7910, Tempo, 498546
1, 7968, Tempo, 496401
1, 8006, Tempo, 494234
1, 8045, Tempo, 492126
1, 8083, Tempo, 490036
1, 8122, Tempo, 487924
1, 8179, Tempo, 485869
1, 8218, Tempo, 483832
1, 8256, Tempo, 481773
1, 8294, Tempo, 479770
1, 8333, Tempo, 477783
1, 8371, Tempo, 475775
1, 8520, Tempo, 566038
1, 8640, Tempo, 505136
1, 9120, Tempo, 530833
1, 9360, Tempo, 514183
1, 9840, Tempo, 500709
1, 10080, Tempo, 483871
1, 10440, Tempo, 540882
1, 10560, Tempo, 485869
1, 10771, Tempo, 492126
1, 10829, Tempo, 490036
1, 10867, Tempo, 487924
1, 10925, Tempo, 485869
1, 10963, Tempo, 483832
1, 11002, Tempo, 481773
1, 11059, Tempo, 479770
1, 11098, Tempo, 477783
1, 11136, Tempo, 475775
1, 11194, Tempo, 473821
1, 11232, Tempo, 471884
1, 11270, Tempo, 469925
1, 11400, Tempo, 644192
1, 11520, Tempo, 505136
1, 12000, Tempo, 530833
1, 12240, Tempo, 514183
1, 12480, Tempo, 521739
1, 12720, Tempo, 500709
1, 12960, Tempo, 481928
1, 13320, Tempo, 497925
1, 13440, Tempo, 485869
1, 13651, Tempo, 492126
1, 13709, Tempo, 490036
1, 13747, Tempo, 487924
1, 13805, Tempo, 485869
1, 13843, Tempo, 483832
1, 13882, Tempo, 481773
1, 13939, Tempo, 479770
1, 13978, Tempo, 477783
1, 14016, Tempo, 475775
1, 14074, Tempo, 473821
1, 14112, Tempo, 471884
1, 14150, Tempo, 469925
1, 14280, Tempo, 644192
1, 14400, Tempo, 505136
1, 14880, Tempo, 530833
1, 15120, Tempo, 514183
1, 15600, Tempo, 500709
1, 15840, Tempo, 485869
1, 16200, Tempo, 496401
