0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Kobold Op 71, No. 3"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegro molto"
1, 0, Text_t, "Fertiggestellt am 23.3.98\012"
1, 0, Text_t, "Korrekturen am 5.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 28.12.98\012"
1, 0, Text_t, "Update am 19.8.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Anpassungen am 26.4.2007\012"
1, 0, Text_t, "Update am 19.11.2012\012"
1, 0, Text_t, "Dauer: 1:24 Minuten.\012"
1, 0, Text_t, "Das hohe Tempo erfordert bis zu 400 Schlägen (Viertel) pro Minute - Midi ist aber auf 250 beschränkt. Daher habe ich die Notation ""halbiert"", also Achtel statt Viertel, Sechzehntel statt Achtel usw. geschrieben und gleichzeitig den ursprünglichen Takt vo\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 310881
1, 0, Marker_t, "Allegro molto"
1, 960, Tempo, 306905
1, 1680, Tempo, 312500
1, 1900, Tempo, 306905
1, 1920, Tempo, 310078
1, 2400, Tempo, 304569
1, 2640, Tempo, 313316
1, 2880, Tempo, 310078
1, 3360, Tempo, 317460
1, 3600, Tempo, 312500
1, 3840, Tempo, 309278
1, 4320, Tempo, 316623
1, 4560, Tempo, 311688
1, 4800, Tempo, 306122
1, 5520, Tempo, 314961
1, 5740, Tempo, 303797
1, 5760, Tempo, 310078
1, 6240, Tempo, 305344
1, 6480, Tempo, 314136
1, 6720, Tempo, 310881
1, 7200, Tempo, 319149
1, 7440, Tempo, 313316
1, 7680, Tempo, 310078
1, 8160, Tempo, 317460
1, 8400, Tempo, 312500
1, 8640, Tempo, 303797
1, 9120, Tempo, 309278
1, 9360, Tempo, 316623
1, 9600, Tempo, 306122
1, 10080, Tempo, 316623
1, 10320, Tempo, 315789
1, 10560, Tempo, 306905
1, 11040, Tempo, 315789
1, 11280, Tempo, 314136
1, 11520, Tempo, 306905
1, 12000, Tempo, 315789
1, 12240, Tempo, 314136
1, 12480, Tempo, 306905
1, 13200, Tempo, 314961
1, 13440, Tempo, 306122
1, 13680, Tempo, 314136
1, 13920, Tempo, 306122
1, 14160, Tempo, 314961
1, 14400, Tempo, 306122
1, 14640, Tempo, 313316
1, 14880, Tempo, 306122
1, 16320, Tempo, 306905
1, 16800, Tempo, 311688
1, 17280, Tempo, 306122
1, 17380, Tempo, 306905
1, 17460, Tempo, 307692
1, 17560, Tempo, 308483
1, 17640, Tempo, 309278
1, 17720, Tempo, 310078
1, 17820, Tempo, 310881
1, 17900, Tempo, 311688
1, 17980, Tempo, 312500
1, 18080, Tempo, 313316
1, 18160, Tempo, 314136
1, 18240, Tempo, 314961
1, 19200, Tempo, 310078
1, 19920, Tempo, 312500
1, 20140, Tempo, 311688
1, 20160, Tempo, 308483
1, 20400, Tempo, 312500
1, 20640, Tempo, 308483
1, 20880, Tempo, 302267
1, 21120, Tempo, 308483
1, 21840, Tempo, 310881
1, 22080, Tempo, 314136
1, 22560, Tempo, 325203
1, 22800, Tempo, 314136
1, 23040, Tempo, 308483
1, 23760, Tempo, 312500
1, 24000, Tempo, 308483
1, 24720, Tempo, 303030
1, 24960, Tempo, 305344
1, 25680, Tempo, 310078
1, 25920, Tempo, 314136
1, 26400, Tempo, 308483
1, 26640, Tempo, 303797
1, 26880, Tempo, 309278
1, 27600, Tempo, 303030
1, 27840, Tempo, 306905
1, 28320, Tempo, 310881
1, 28560, Tempo, 306122
1, 28800, Tempo, 307692
1, 29280, Tempo, 310078
1, 29520, Tempo, 303030
1, 29760, Tempo, 306122
1, 30240, Tempo, 310078
1, 30480, Tempo, 304569
1, 30720, Tempo, 306122
1, 31200, Tempo, 310078
1, 31440, Tempo, 302267
1, 31680, Tempo, 306122
1, 32160, Tempo, 310078
1, 32400, Tempo, 303030
1, 32640, Tempo, 306122
1, 33120, Tempo, 309278
1, 33360, Tempo, 320000
1, 33600, Tempo, 312500
1, 34080, Tempo, 331492
1, 34320, Tempo, 312500
1, 34540, Tempo, 306905
1, 34560, Tempo, 310078
1, 35040, Tempo, 304569
1, 35280, Tempo, 313316
1, 35520, Tempo, 310078
1, 36000, Tempo, 317460
1, 36240, Tempo, 312500
1, 36480, Tempo, 309278
1, 36960, Tempo, 316623
1, 37200, Tempo, 311688
1, 37440, Tempo, 306122
1, 38160, Tempo, 312500
1, 38380, Tempo, 306905
1, 38400, Tempo, 310078
1, 38880, Tempo, 317460
1, 39120, Tempo, 312500
1, 39360, Tempo, 309278
1, 39840, Tempo, 316623
1, 40080, Tempo, 311688
1, 40320, Tempo, 306122
1, 40340, Tempo, 305344
1, 40680, Tempo, 304569
1, 41020, Tempo, 303797
1, 41360, Tempo, 303030
1, 41700, Tempo, 302267
1, 42000, Tempo, 307692
1, 42240, Tempo, 301508
1, 42380, Tempo, 300752
1, 42720, Tempo, 300000
1, 44160, Tempo, 296296
1, 45120, Tempo, 291262
1, 45840, Tempo, 306122
1, 46080, Tempo, 292683
1, 47040, Tempo, 291262
1, 47760, Tempo, 306122
1, 48000, Tempo, 292683
1, 48960, Tempo, 291262
1, 49680, Tempo, 306122
1, 49920, Tempo, 292683
1, 52800, Tempo, 291971
1, 52980, Tempo, 292683
1, 53160, Tempo, 293399
1, 53340, Tempo, 294118
1, 53520, Tempo, 294840
1, 53700, Tempo, 295567
1, 53880, Tempo, 296296
1, 54060, Tempo, 297030
1, 54220, Tempo, 297767
1, 54240, Tempo, 297030
1, 54340, Tempo, 297767
1, 54420, Tempo, 298507
1, 54520, Tempo, 299252
1, 54600, Tempo, 300000
1, 54680, Tempo, 300752
1, 54780, Tempo, 301508
1, 54860, Tempo, 302267
1, 54960, Tempo, 303030
1, 55040, Tempo, 303797
1, 55120, Tempo, 304569
1, 55220, Tempo, 305344
1, 55300, Tempo, 306122
1, 55400, Tempo, 306905
1, 55480, Tempo, 307692
1, 55560, Tempo, 308483
1, 55660, Tempo, 309278
1, 55740, Tempo, 310078
1, 55840, Tempo, 310881
1, 55920, Tempo, 311688
1, 56000, Tempo, 312500
1, 56100, Tempo, 313316
1, 56180, Tempo, 314136
1, 56280, Tempo, 314961
1, 56360, Tempo, 315789
1, 56440, Tempo, 316623
1, 56540, Tempo, 317460
1, 56620, Tempo, 318302
1, 56640, Tempo, 326975
1, 57500, Tempo, 326975
1, 58080, Tempo, 315789
1, 58100, Tempo, 314961
1, 58320, Tempo, 312500
1, 58540, Tempo, 306905
1, 58560, Tempo, 310078
1, 59040, Tempo, 304569
1, 59280, Tempo, 313316
1, 59520, Tempo, 310078
1, 60000, Tempo, 317460
1, 60240, Tempo, 312500
1, 60480, Tempo, 309278
1, 60960, Tempo, 316623
1, 61200, Tempo, 311688
1, 61440, Tempo, 306122
1, 62160, Tempo, 314961
1, 62380, Tempo, 303797
1, 62400, Tempo, 310078
1, 62880, Tempo, 305344
1, 63120, Tempo, 314136
1, 63360, Tempo, 310881
1, 63840, Tempo, 319149
1, 64080, Tempo, 313316
1, 64320, Tempo, 310078
1, 64800, Tempo, 317460
1, 65040, Tempo, 312500
1, 65280, Tempo, 303797
1, 66000, Tempo, 316623
1, 66240, Tempo, 306122
1, 66720, Tempo, 316623
1, 66960, Tempo, 315789
1, 67200, Tempo, 306905
1, 67680, Tempo, 315789
1, 67920, Tempo, 314136
1, 68160, Tempo, 306905
1, 68640, Tempo, 315789
1, 68880, Tempo, 314136
1, 69120, Tempo, 306905
1, 69840, Tempo, 314961
1, 70080, Tempo, 306122
1, 70320, Tempo, 314136
1, 70560, Tempo, 306122
1, 70800, Tempo, 314961
1, 71040, Tempo, 306122
1, 71280, Tempo, 313316
1, 71520, Tempo, 306122
1, 72960, Tempo, 310881
1, 73440, Tempo, 323450
1, 73920, Tempo, 306122
1, 74020, Tempo, 306905
1, 74100, Tempo, 307692
1, 74200, Tempo, 308483
1, 74280, Tempo, 309278
1, 74360, Tempo, 310078
1, 74460, Tempo, 310881
1, 74540, Tempo, 311688
1, 74620, Tempo, 312500
1, 74720, Tempo, 313316
1, 74800, Tempo, 314136
1, 74880, Tempo, 320000
1, 75360, Tempo, 316623
1, 75840, Tempo, 310078
1, 76560, Tempo, 312500
1, 76780, Tempo, 311688
1, 76800, Tempo, 308483
1, 77040, Tempo, 313316
1, 77280, Tempo, 308483
1, 77520, Tempo, 302267
1, 77760, Tempo, 308483
1, 78480, Tempo, 310881
1, 78720, Tempo, 314136
1, 79200, Tempo, 325203
1, 79440, Tempo, 314136
1, 79680, Tempo, 308483
1, 80400, Tempo, 312500
1, 80640, Tempo, 308483
1, 81360, Tempo, 303030
1, 81600, Tempo, 305344
1, 82320, Tempo, 310078
1, 82560, Tempo, 314136
1, 83040, Tempo, 308483
1, 83280, Tempo, 303797
1, 83520, Tempo, 309278
1, 84240, Tempo, 303030
1, 84480, Tempo, 306905
1, 84960, Tempo, 310881
1, 85200, Tempo, 306122
1, 85440, Tempo, 307692
1, 85920, Tempo, 310078
1, 86160, Tempo, 303030
1, 86400, Tempo, 306122
1, 86880, Tempo, 310078
1, 87120, Tempo, 304569
1, 87360, Tempo, 306122
1, 87840, Tempo, 310078
1, 88080, Tempo, 302267
1, 88320, Tempo, 306122
1, 88800, Tempo, 310078
1, 89040, Tempo, 303030
1, 89280, Tempo, 306122
1, 89760, Tempo, 309278
1, 90000, Tempo, 320000
1, 90240, Tempo, 312500
1, 90720, Tempo, 331492
1, 90960, Tempo, 312500
1, 91180, Tempo, 306905
1, 91200, Tempo, 310078
1, 91680, Tempo, 304569
1, 91920, Tempo, 313316
1, 92160, Tempo, 310078
1, 92640, Tempo, 317460
1, 92880, Tempo, 312500
1, 93120, Tempo, 309278
1, 93600, Tempo, 316623
1, 93840, Tempo, 311688
1, 94080, Tempo, 306122
1, 94800, Tempo, 312500
1, 95020, Tempo, 306905
1, 95040, Tempo, 310078
1, 95520, Tempo, 317460
1, 95760, Tempo, 312500
1, 96000, Tempo, 309278
1, 96480, Tempo, 316623
1, 96720, Tempo, 311688
1, 96960, Tempo, 306122
1, 96980, Tempo, 305344
1, 97320, Tempo, 304569
1, 97660, Tempo, 303797
1, 98000, Tempo, 303030
1, 98340, Tempo, 302267
1, 98640, Tempo, 307692
1, 98880, Tempo, 301508
1, 99020, Tempo, 300752
1, 99360, Tempo, 300000
1, 100800, Tempo, 296296
1, 101760, Tempo, 291262
1, 102480, Tempo, 306122
1, 102720, Tempo, 292683
1, 103680, Tempo, 291262
1, 104400, Tempo, 306122
1, 104640, Tempo, 292683
1, 105600, Tempo, 291262
1, 106320, Tempo, 306122
1, 106560, Tempo, 292683
1, 109440, Tempo, 291971
1, 109620, Tempo, 292683
1, 109800, Tempo, 293399
1, 109980, Tempo, 294118
1, 110160, Tempo, 294840
1, 110340, Tempo, 295567
1, 110520, Tempo, 296296
1, 110700, Tempo, 297030
1, 110860, Tempo, 297767
1, 110880, Tempo, 297030
1, 110980, Tempo, 297767
1, 111060, Tempo, 298507
1, 111160, Tempo, 299252
1, 111240, Tempo, 300000
1, 111320, Tempo, 300752
1, 111420, Tempo, 301508
1, 111500, Tempo, 302267
1, 111600, Tempo, 303030
1, 111680, Tempo, 303797
1, 111760, Tempo, 304569
1, 111860, Tempo, 305344
1, 111940, Tempo, 306122
1, 112040, Tempo, 306905
1, 112120, Tempo, 307692
1, 112200, Tempo, 308483
1, 112300, Tempo, 309278
1, 112380, Tempo, 310078
1, 112480, Tempo, 310881
1, 112560, Tempo, 311688
1, 112640, Tempo, 312500
1, 112740, Tempo, 313316
1, 112820, Tempo, 314136
1, 112920, Tempo, 314961
1, 113000, Tempo, 315789
1, 113080, Tempo, 316623
1, 113180, Tempo, 317460
1, 113260, Tempo, 318302
1, 113280, Tempo, 326975
1, 114140, Tempo, 326975
1, 114720, Tempo, 315789
1, 114740, Tempo, 314961
1, 114960, Tempo, 312500
1, 115180, Tempo, 306905
1, 115200, Tempo, 310078
1, 115680, Tempo, 304569
1, 115920, Tempo, 313316
1, 116160, Tempo, 310078
1, 116640, Tempo, 317460
1, 116880, Tempo, 312500
1, 117120, Tempo, 309278
1, 117600, Tempo, 316623
1, 117840, Tempo, 311688
1, 118080, Tempo, 306122
1, 118800, Tempo, 314961
1, 119020, Tempo, 303797
1, 119040, Tempo, 310078
1, 119520, Tempo, 305344
1, 119760, Tempo, 314136
1, 120000, Tempo, 310881
1, 120480, Tempo, 319149
1, 120720, Tempo, 313316
1, 120960, Tempo, 310078
1, 121440, Tempo, 317460
1, 121680, Tempo, 312500
1, 121920, Tempo, 303797
1, 122640, Tempo, 316623
1, 122880, Tempo, 306122
1, 123360, Tempo, 316623
1, 123600, Tempo, 315789
1, 123840, Tempo, 306905
1, 124320, Tempo, 315789
1, 124560, Tempo, 314136
1, 124800, Tempo, 306905
1, 125280, Tempo, 315789
1, 125520, Tempo, 314136
1, 125760, Tempo, 306905
1, 126480, Tempo, 314961
1, 126720, Tempo, 306122
1, 126960, Tempo, 314136
1, 127200, Tempo, 306122
1, 127440, Tempo, 314961
1, 127680, Tempo, 306122
1, 127920, Tempo, 313316
1, 128160, Tempo, 306122
1, 129600, Tempo, 310078
1, 129680, Tempo, 310881
1, 129740, Tempo, 311688
1, 129800, Tempo, 312500
1, 129860, Tempo, 313316
1, 129920, Tempo, 314136
1, 129980, Tempo, 314961
1, 130040, Tempo, 315789
1, 130080, Tempo, 323450
1, 130560, Tempo, 306122
1, 130660, Tempo, 306905
1, 130740, Tempo, 307692
1, 130840, Tempo, 308483
1, 130920, Tempo, 309278
1, 131000, Tempo, 310078
1, 131100, Tempo, 310881
1, 131180, Tempo, 311688
1, 131260, Tempo, 312500
1, 131360, Tempo, 313316
1, 131440, Tempo, 314136
1, 131520, Tempo, 314961
1, 131816, Marker_t, "Fine"
1, 131816, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 91, 127
2, 0, Control_c, 0, 91, 127
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 1680, Note_on_c, 0, 63, 36
2, 1800, Note_on_c, 0, 63, 0
2, 1800, Note_on_c, 0, 65, 36
2, 1920, Note_on_c, 0, 65, 0
2, 1920, Note_on_c, 0, 66, 39
2, 1920, Note_on_c, 0, 70, 39
2, 2040, Note_on_c, 0, 70, 0
2, 2040, Note_on_c, 0, 66, 0
2, 2040, Note_on_c, 0, 65, 36
2, 2160, Note_on_c, 0, 65, 0
2, 2160, Note_on_c, 0, 63, 36
2, 2280, Note_on_c, 0, 63, 0
2, 2280, Note_on_c, 0, 65, 36
2, 2400, Note_on_c, 0, 65, 0
2, 2400, Note_on_c, 0, 66, 37
2, 2400, Note_on_c, 0, 70, 37
2, 2520, Note_on_c, 0, 70, 0
2, 2520, Note_on_c, 0, 66, 0
2, 2520, Note_on_c, 0, 65, 36
2, 2640, Note_on_c, 0, 65, 0
2, 2640, Note_on_c, 0, 63, 36
2, 2760, Note_on_c, 0, 63, 0
2, 2760, Note_on_c, 0, 65, 36
2, 2880, Note_on_c, 0, 65, 0
2, 2880, Note_on_c, 0, 70, 39
2, 2880, Note_on_c, 0, 66, 39
2, 3000, Note_on_c, 0, 66, 0
2, 3000, Note_on_c, 0, 70, 0
2, 3120, Note_on_c, 0, 66, 36
2, 3120, Note_on_c, 0, 63, 36
2, 3240, Note_on_c, 0, 63, 0
2, 3240, Note_on_c, 0, 66, 0
2, 3360, Note_on_c, 0, 66, 36
2, 3360, Note_on_c, 0, 63, 36
2, 3480, Note_on_c, 0, 63, 0
2, 3480, Note_on_c, 0, 66, 0
2, 3600, Note_on_c, 0, 66, 36
2, 3600, Note_on_c, 0, 70, 36
2, 3720, Note_on_c, 0, 70, 0
2, 3720, Note_on_c, 0, 66, 0
2, 3840, Note_on_c, 0, 65, 40
2, 3840, Note_on_c, 0, 69, 40
2, 3960, Note_on_c, 0, 69, 0
2, 3960, Note_on_c, 0, 65, 0
2, 4080, Note_on_c, 0, 60, 36
2, 4080, Note_on_c, 0, 65, 36
2, 4200, Note_on_c, 0, 65, 0
2, 4200, Note_on_c, 0, 60, 0
2, 4320, Note_on_c, 0, 65, 36
2, 4320, Note_on_c, 0, 60, 36
2, 4440, Note_on_c, 0, 60, 0
2, 4440, Note_on_c, 0, 65, 0
2, 4560, Note_on_c, 0, 65, 36
2, 4560, Note_on_c, 0, 69, 36
2, 4680, Note_on_c, 0, 69, 0
2, 4680, Note_on_c, 0, 65, 0
2, 4800, Note_on_c, 0, 69, 43
2, 4800, Note_on_c, 0, 65, 43
2, 5520, Note_on_c, 0, 65, 0
2, 5520, Note_on_c, 0, 69, 0
2, 5520, Note_on_c, 0, 68, 36
2, 5640, Note_on_c, 0, 68, 0
2, 5640, Note_on_c, 0, 70, 39
2, 5760, Note_on_c, 0, 70, 0
2, 5760, Note_on_c, 0, 71, 43
2, 5760, Note_on_c, 0, 75, 43
2, 5880, Note_on_c, 0, 75, 0
2, 5880, Note_on_c, 0, 71, 0
2, 5880, Note_on_c, 0, 70, 40
2, 6000, Note_on_c, 0, 70, 0
2, 6000, Note_on_c, 0, 68, 40
2, 6120, Note_on_c, 0, 68, 0
2, 6120, Note_on_c, 0, 70, 40
2, 6240, Note_on_c, 0, 70, 0
2, 6240, Note_on_c, 0, 75, 43
2, 6240, Note_on_c, 0, 71, 43
2, 6360, Note_on_c, 0, 71, 0
2, 6360, Note_on_c, 0, 75, 0
2, 6360, Note_on_c, 0, 70, 40
2, 6480, Note_on_c, 0, 70, 0
2, 6480, Note_on_c, 0, 68, 40
2, 6600, Note_on_c, 0, 68, 0
2, 6600, Note_on_c, 0, 70, 40
2, 6720, Note_on_c, 0, 70, 0
2, 6720, Note_on_c, 0, 71, 43
2, 6720, Note_on_c, 0, 75, 43
2, 6840, Note_on_c, 0, 75, 0
2, 6840, Note_on_c, 0, 71, 0
2, 6960, Note_on_c, 0, 71, 40
2, 6960, Note_on_c, 0, 68, 40
2, 7080, Note_on_c, 0, 68, 0
2, 7080, Note_on_c, 0, 71, 0
2, 7200, Note_on_c, 0, 68, 40
2, 7200, Note_on_c, 0, 71, 40
2, 7320, Note_on_c, 0, 71, 0
2, 7320, Note_on_c, 0, 68, 0
2, 7440, Note_on_c, 0, 75, 40
2, 7440, Note_on_c, 0, 71, 40
2, 7560, Note_on_c, 0, 71, 0
2, 7560, Note_on_c, 0, 75, 0
2, 7680, Note_on_c, 0, 70, 43
2, 7680, Note_on_c, 0, 74, 43
2, 7800, Note_on_c, 0, 74, 0
2, 7800, Note_on_c, 0, 70, 0
2, 7920, Note_on_c, 0, 70, 40
2, 7920, Note_on_c, 0, 65, 40
2, 8040, Note_on_c, 0, 65, 0
2, 8040, Note_on_c, 0, 70, 0
2, 8160, Note_on_c, 0, 70, 40
2, 8160, Note_on_c, 0, 65, 40
2, 8280, Note_on_c, 0, 65, 0
2, 8280, Note_on_c, 0, 70, 0
2, 8400, Note_on_c, 0, 74, 40
2, 8400, Note_on_c, 0, 70, 40
2, 8520, Note_on_c, 0, 70, 0
2, 8520, Note_on_c, 0, 74, 0
2, 8640, Note_on_c, 0, 70, 46
2, 8640, Note_on_c, 0, 74, 46
2, 9000, Note_on_c, 0, 74, 0
2, 9000, Note_on_c, 0, 70, 0
2, 9360, Note_on_c, 0, 78, 74
2, 9480, Note_on_c, 0, 78, 0
2, 9480, Note_on_c, 0, 80, 74
2, 9600, Note_on_c, 0, 80, 0
2, 9600, Note_on_c, 0, 82, 86
2, 9600, Note_on_c, 0, 85, 86
2, 9720, Note_on_c, 0, 85, 0
2, 9720, Note_on_c, 0, 82, 0
2, 9720, Note_on_c, 0, 80, 73
2, 9840, Note_on_c, 0, 80, 0
2, 9840, Note_on_c, 0, 78, 73
2, 9960, Note_on_c, 0, 78, 0
2, 9960, Note_on_c, 0, 80, 73
2, 10080, Note_on_c, 0, 80, 0
2, 10080, Note_on_c, 0, 85, 79
2, 10080, Note_on_c, 0, 82, 79
2, 10300, Note_on_c, 0, 82, 0
2, 10300, Note_on_c, 0, 85, 0
2, 10320, Note_on_c, 0, 73, 73
2, 10440, Note_on_c, 0, 73, 0
2, 10440, Note_on_c, 0, 75, 73
2, 10560, Note_on_c, 0, 75, 0
2, 10560, Note_on_c, 0, 77, 85
2, 10560, Note_on_c, 0, 80, 85
2, 10680, Note_on_c, 0, 80, 0
2, 10680, Note_on_c, 0, 77, 0
2, 10680, Note_on_c, 0, 75, 73
2, 10800, Note_on_c, 0, 75, 0
2, 10800, Note_on_c, 0, 73, 71
2, 10920, Note_on_c, 0, 73, 0
2, 10920, Note_on_c, 0, 75, 71
2, 11040, Note_on_c, 0, 75, 0
2, 11040, Note_on_c, 0, 77, 80
2, 11040, Note_on_c, 0, 80, 80
2, 11260, Note_on_c, 0, 80, 0
2, 11260, Note_on_c, 0, 77, 0
2, 11280, Note_on_c, 0, 71, 73
2, 11400, Note_on_c, 0, 71, 0
2, 11400, Note_on_c, 0, 73, 73
2, 11520, Note_on_c, 0, 73, 0
2, 11520, Note_on_c, 0, 78, 86
2, 11520, Note_on_c, 0, 75, 86
2, 11640, Note_on_c, 0, 75, 0
2, 11640, Note_on_c, 0, 78, 0
2, 11640, Note_on_c, 0, 73, 71
2, 11760, Note_on_c, 0, 73, 0
2, 11760, Note_on_c, 0, 71, 71
2, 11880, Note_on_c, 0, 71, 0
2, 11880, Note_on_c, 0, 73, 71
2, 12000, Note_on_c, 0, 73, 0
2, 12000, Note_on_c, 0, 78, 80
2, 12000, Note_on_c, 0, 75, 80
2, 12220, Note_on_c, 0, 75, 0
2, 12220, Note_on_c, 0, 78, 0
2, 12240, Note_on_c, 0, 66, 74
2, 12360, Note_on_c, 0, 66, 0
2, 12360, Note_on_c, 0, 68, 74
2, 12480, Note_on_c, 0, 68, 0
2, 12480, Note_on_c, 0, 73, 89
2, 12480, Note_on_c, 0, 70, 89
2, 12600, Note_on_c, 0, 70, 0
2, 12600, Note_on_c, 0, 73, 0
2, 12600, Note_on_c, 0, 68, 71
