0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Vöglein Op 43, No. 4"
1, 0, Copyright_t, "Copyright © 1998 by Krüger http://www.piano-midi.de"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegro leggiore"
1, 0, Text_t, "Fertiggestellt am 16.3.98\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 28.12.98\012"
1, 0, Text_t, "Update am 19.8.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update: 27.4.2007 (Umstellung auf cwp)\012"
1, 0, Text_t, "Update: 6.11.2012\012"
1, 0, Text_t, "Dauer: 1:37 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 340522
1, 0, Marker_t, "Little Bird"
1, 1200, Tempo, 445005
1, 1440, Tempo, 536241
1, 1920, Tempo, 594059
1, 2640, Tempo, 458295
1, 2880, Tempo, 536241
1, 3360, Tempo, 612245
1, 4080, Tempo, 450620
1, 4320, Tempo, 460264
1, 4800, Tempo, 448732
1, 5040, Tempo, 458295
1, 5520, Tempo, 450620
1, 5760, Tempo, 536241
1, 6240, Tempo, 585366
1, 6960, Tempo, 487488
1, 7200, Tempo, 536241
1, 7680, Tempo, 549954
1, 8400, Tempo, 496483
1, 8640, Tempo, 549954
1, 9120, Tempo, 592534
1, 9720, Tempo, 356295
1, 9840, Tempo, 466273
1, 10060, Tempo, 549954
1, 10420, Tempo, 430694
1, 10440, Tempo, 358680
1, 10560, Tempo, 466273
1, 10800, Tempo, 549954
1, 11160, Tempo, 358680
1, 11280, Tempo, 470367
1, 11520, Tempo, 518090
1, 12000, Tempo, 570451
1, 12720, Tempo, 445005
1, 12960, Tempo, 536241
1, 13440, Tempo, 591133
1, 14160, Tempo, 458295
1, 14400, Tempo, 536241
1, 14880, Tempo, 609137
1, 15600, Tempo, 450620
1, 15840, Tempo, 460264
1, 16320, Tempo, 448732
1, 16560, Tempo, 458295
1, 17040, Tempo, 450620
1, 17280, Tempo, 536241
1, 17760, Tempo, 576923
1, 18480, Tempo, 487488
1, 18720, Tempo, 536241
1, 19200, Tempo, 549954
1, 19920, Tempo, 496483
1, 20160, Tempo, 549954
1, 20640, Tempo, 606061
1, 21240, Tempo, 356295
1, 21360, Tempo, 466273
1, 21580, Tempo, 549954
1, 21940, Tempo, 430694
