0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Lyric Pieces Op. 12 No. 12 Valse"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Edvard Grieg"
1, 0, Text_t, "Allegro moderato"
1, 0, Text_t, "Erstellt: 5.5.2007\012"
1, 0, Text_t, "Update: 27.10.2012\012"
1, 0, Text_t, "Dauer: 1:48 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 428571
1, 480, Tempo, 422535
1, 960, Tempo, 433213
1, 1440, Tempo, 428571
1, 1920, Tempo, 419287
1, 2400, Tempo, 425230
1, 2880, Tempo, 432900
1, 3360, Tempo, 412371
1, 3840, Tempo, 420757
1, 4320, Tempo, 426743
1, 4800, Tempo, 403769
1, 5280, Tempo, 430108
1, 5760, Tempo, 437956
1, 6240, Tempo, 421053
1, 6720, Tempo, 430108
1, 7200, Tempo, 428571
1, 7680, Tempo, 413508
1, 8160, Tempo, 433213
1, 8640, Tempo, 417827
1, 8880, Tempo, 418118
1, 9120, Tempo, 412371
1, 9600, Tempo, 427046
1, 10080, Tempo, 405132
1, 10320, Tempo, 413793
1, 10560, Tempo, 408163
1, 10620, Tempo, 401070
1, 11040, Tempo, 430108
1, 11520, Tempo, 437956
1, 12000, Tempo, 417827
1, 12480, Tempo, 430108
1, 12960, Tempo, 428571
1, 13440, Tempo, 412088
1, 13980, Tempo, 419287
1, 14160, Tempo, 434468
1, 14400, Tempo, 430108
1, 14880, Tempo, 424028
1, 15360, Tempo, 421053
1, 15840, Tempo, 415225
1, 16320, Tempo, 416667
1, 16800, Tempo, 446097
1, 17280, Tempo, 428571
1, 17760, Tempo, 424028
1, 18240, Tempo, 421053
1, 18720, Tempo, 415225
1, 19200, Tempo, 416667
1, 19680, Tempo, 447761
1, 20160, Tempo, 409556
1, 20640, Tempo, 416667
1, 21600, Tempo, 409556
1, 22080, Tempo, 416667
1, 23040, Tempo, 441176
1, 23520, Tempo, 459770
1, 23760, Tempo, 474308
1, 24000, Tempo, 576369
1, 24480, Tempo, 722892
1, 24540, Tempo, 815217
1, 24960, Tempo, 887574
1, 25920, Tempo, 428571
1, 26400, Tempo, 422535
1, 26880, Tempo, 433213
1, 27360, Tempo, 428571
1, 27840, Tempo, 419287
1, 27900, Tempo, 414938
1, 28320, Tempo, 425230
1, 28800, Tempo, 432900
1, 29280, Tempo, 412371
1, 29760, Tempo, 420757
1, 30240, Tempo, 426743
1, 30720, Tempo, 402414
1, 31200, Tempo, 419287
1, 31680, Tempo, 437956
1, 32160, Tempo, 421053
1, 32640, Tempo, 430108
1, 33120, Tempo, 428571
1, 33600, Tempo, 422535
1, 33660, Tempo, 413508
1, 34080, Tempo, 433213
1, 34560, Tempo, 412088
1, 34680, Tempo, 412088
1, 34800, Tempo, 418118
1, 35040, Tempo, 412371
1, 35520, Tempo, 427046
1, 36000, Tempo, 407886
1, 36240, Tempo, 413793
1, 36480, Tempo, 408163
1, 36960, Tempo, 430108
1, 37440, Tempo, 437956
1, 37920, Tempo, 417827
1, 38400, Tempo, 430108
1, 38880, Tempo, 428571
1, 39120, Tempo, 420757
1, 39360, Tempo, 410678
1, 39840, Tempo, 433213
1, 40320, Tempo, 430108
1, 40800, Tempo, 424028
1, 41280, Tempo, 421053
1, 41760, Tempo, 415225
1, 42240, Tempo, 416667
1, 42720, Tempo, 446097
1, 43200, Tempo, 428571
1, 43680, Tempo, 424028
1, 44160, Tempo, 421053
1, 44640, Tempo, 415225
1, 45120, Tempo, 416667
1, 45600, Tempo, 447761
1, 46080, Tempo, 409556
1, 46560, Tempo, 416667
1, 47520, Tempo, 409556
1, 48000, Tempo, 416667
1, 48960, Tempo, 441176
1, 49440, Tempo, 459770
1, 49680, Tempo, 474308
1, 49920, Tempo, 565504
1, 50400, Tempo, 815217
1, 50880, Tempo, 894188
1, 51840, Key_signature, 3, "major"
1, 51840, Tempo, 426743
1, 52320, Tempo, 408163
1, 52800, Tempo, 430108
1, 53280, Tempo, 437956
1, 53760, Tempo, 421053
1, 54240, Tempo, 430108
1, 54720, Tempo, 426743
1, 55200, Tempo, 408163
1, 55680, Tempo, 430108
1, 56160, Tempo, 437956
1, 56640, Tempo, 421053
1, 57120, Tempo, 430108
1, 57600, Tempo, 426743
1, 58080, Tempo, 408163
1, 58560, Tempo, 430108
1, 58800, Tempo, 436047
1, 60000, Tempo, 432900
1, 60480, Tempo, 439239
1, 60600, Tempo, 440852
1, 60960, Tempo, 436047
1, 61080, Tempo, 437637
1, 61440, Tempo, 457666
1, 61680, Tempo, 540054
1, 61920, Tempo, 519031
1, 62400, Tempo, 542495
1, 62880, Tempo, 587659
1, 63360, Tempo, 449102
1, 63840, Tempo, 423729
1, 64320, Tempo, 434468
1, 64800, Tempo, 437956
1, 65280, Tempo, 421053
1, 65760, Tempo, 430108
1, 66240, Tempo, 426743
1, 66720, Tempo, 408163
1, 67200, Tempo, 430108
1, 67680, Tempo, 437956
1, 68160, Tempo, 421053
1, 68640, Tempo, 430108
1, 69120, Tempo, 426743
1, 69600, Tempo, 408163
1, 70080, Tempo, 430108
1, 70560, Tempo, 437637
1, 71520, Tempo, 455927
1, 72000, Tempo, 449102
1, 73080, Tempo, 481889
1, 73440, Tempo, 495458
1, 73680, Tempo, 538165
1, 73920, Tempo, 562852
1, 74400, Tempo, 570885
1, 74520, Tempo, 718649
1, 74880, Key_signature, 0, "major"
1, 74880, Tempo, 439239
1, 75360, Tempo, 428266
1, 75840, Tempo, 437637
