0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Haydn: Klaviersonate Hoboken XVI: 43 2. Satz"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Menuet"
1, 0, Text_t, "Erstellt: 13.1.2012\012"
1, 0, Text_t, "Dauer: 2:29 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 503229
1, 960, Marker_t, "Teil 1"
1, 1320, Tempo, 457213
1, 1440, Tempo, 503229
1, 2760, Tempo, 455477
1, 2880, Tempo, 503229
1, 4200, Tempo, 458961
1, 4320, Tempo, 482975
1, 4800, Tempo, 488878
1, 5280, Tempo, 516218
1, 5760, Tempo, 501128
1, 7080, Tempo, 475323
1, 7200, Tempo, 490878
1, 7680, Tempo, 501128
1, 8160, Tempo, 514007
1, 8640, Tempo, 492894
1, 9120, Tempo, 503229
1, 9960, Tempo, 473447
1, 10080, Tempo, 486894
1, 10560, Tempo, 501128
1, 11040, Tempo, 527565
1, 11520, Tempo, 496977
1, 12420, Tempo, 503229
1, 12480, Marker_t, "Teil 1 Wiederholung"
1, 12840, Tempo, 457213
1, 12960, Tempo, 503229
1, 14280, Tempo, 455477
1, 14400, Tempo, 503229
1, 15720, Tempo, 458961
1, 15840, Tempo, 482975
1, 16320, Tempo, 488878
1, 16800, Tempo, 516218
1, 17280, Tempo, 501128
1, 18600, Tempo, 475323
1, 18720, Tempo, 490878
1, 19200, Tempo, 501128
1, 19680, Tempo, 514007
1, 20160, Tempo, 492894
1, 20640, Tempo, 503229
1, 21480, Tempo, 473447
1, 21600, Tempo, 486894
1, 22080, Tempo, 501128
1, 22560, Tempo, 527565
1, 23040, Tempo, 496977
1, 24000, Tempo, 503229
1, 24000, Marker_t, "Teil 2"
1, 24360, Tempo, 457213
1, 24480, Tempo, 503229
1, 25440, Tempo, 490878
1, 25800, Tempo, 492894
1, 25920, Tempo, 507485
1, 26400, Tempo, 514007
1, 26880, Tempo, 492894
1, 27240, Tempo, 492894
1, 27360, Tempo, 505348
1, 27480, Tempo, 505348
1, 27840, Tempo, 520698
1, 28320, Tempo, 499043
1, 28680, Tempo, 492894
1, 28800, Tempo, 488878
1, 29280, Tempo, 496977
1, 29760, Tempo, 514007
1, 30240, Tempo, 499043
1, 31200, Tempo, 514007
1, 31560, Tempo, 469741
1, 31680, Tempo, 499043
1, 32640, Tempo, 514007
1, 33000, Tempo, 469741
1, 33120, Tempo, 499043
1, 33600, Tempo, 514007
1, 34080, Tempo, 546797
1, 34440, Tempo, 620283
1, 34560, Tempo, 499043
1, 35040, Tempo, 556948
1, 35520, Tempo, 503229
1, 35880, Tempo, 457213
1, 36000, Tempo, 503229
1, 37320, Tempo, 455477
1, 37440, Tempo, 499043
1, 37920, Tempo, 534616
1, 38400, Tempo, 501128
1, 38760, Tempo, 458961
1, 38880, Tempo, 482975
1, 39360, Tempo, 488878
1, 39840, Tempo, 503229
1, 40200, Tempo, 458961
1, 40320, Tempo, 482975
1, 40800, Tempo, 488878
1, 41280, Tempo, 503229
1, 41640, Tempo, 458961
