0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Etude No. 4 aus Grandes Etudes de Paganini"
1, 0, Copyright_t, "Copyright © 2004 von Bernd Krüger. "
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Vivo"
1, 0, Text_t, "Fertiggestellt am  25.11.2004\012"
1, 0, Text_t, "Update am 6.2.2011\012"
1, 0, Text_t, "Update am 4.3.2014\012"
1, 0, Text_t, "Dauer:  1:55 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 363592
1, 960, Tempo, 379363
1, 1200, Tempo, 363504
1, 1680, Tempo, 393056
1, 1920, Tempo, 373111
1, 2160, Tempo, 362341
1, 2640, Tempo, 379891
1, 2880, Tempo, 369458
1, 3120, Tempo, 362341
1, 3600, Tempo, 393056
1, 3840, Tempo, 369458
1, 4560, Tempo, 415628
1, 4800, Tempo, 373111
1, 5040, Tempo, 365854
1, 5520, Tempo, 377050
1, 5760, Tempo, 370668
1, 6000, Tempo, 367062
1, 6480, Tempo, 381291
1, 6720, Tempo, 369458
1, 6960, Tempo, 362341
1, 7440, Tempo, 379891
1, 7680, Tempo, 368256
1, 7920, Tempo, 362341
1, 8400, Tempo, 393056
1, 8640, Tempo, 370668
1, 8880, Tempo, 363504
1, 9360, Tempo, 388576
1, 9600, Tempo, 378453
1, 9840, Tempo, 427746
1, 10080, Tempo, 454511
1, 10320, Tempo, 565611
1, 10560, Tempo, 373111
1, 10800, Tempo, 363504
1, 11280, Tempo, 388576
1, 11520, Tempo, 378453
1, 11760, Tempo, 427746
1, 12000, Tempo, 454511
1, 12240, Tempo, 562482
1, 12480, Tempo, 379363
1, 12720, Tempo, 368256
1, 13200, Tempo, 393056
1, 13440, Tempo, 378096
1, 13680, Tempo, 368256
1, 14160, Tempo, 393056
1, 14400, Tempo, 375587
1, 14640, Tempo, 367062
1, 15120, Tempo, 393056
1, 15360, Tempo, 373111
1, 15600, Tempo, 362341
1, 16080, Tempo, 393056
1, 16320, Tempo, 378096
1, 16560, Tempo, 363504
1, 17040, Tempo, 415628
