0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Title_t, "Rhapsodie Nr. 15"
1, 0, Copyright_t, "Copyright © 2005 von Bernd Krüger. "
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Fertiggestellt am  30.7.2005\012"
1, 0, Text_t, "Update am 27.4.2011\012"
1, 0, Text_t, "Update am 10.3.2014\012"
1, 0, Text_t, "Dauer:  5:57 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 351906
1, 0, Marker_t, "Allegro animato"
1, 960, Tempo, 347323
1, 1128, Tempo, 345821
1, 1296, Tempo, 344333
1, 1464, Tempo, 342857
1, 1632, Tempo, 341394
1, 1800, Tempo, 339943
1, 1944, Tempo, 337079
1, 2160, Tempo, 335664
1, 2352, Tempo, 334262
1, 2544, Tempo, 332871
1, 2664, Tempo, 334262
1, 2760, Tempo, 335664
1, 2880, Tempo, 337079
1, 2976, Tempo, 338505
1, 3096, Tempo, 339943
1, 3192, Tempo, 341394
1, 3288, Tempo, 342857
1, 4200, Tempo, 441176
1, 4320, Tempo, 353461
1, 4488, Tempo, 351906
1, 4656, Tempo, 350365
1, 4800, Tempo, 348837
1, 4968, Tempo, 347323
1, 5136, Tempo, 345821
1, 5280, Tempo, 344333
1, 5304, Tempo, 341394
1, 5376, Tempo, 339943
1, 5424, Tempo, 338505
1, 5496, Tempo, 337079
1, 5544, Tempo, 335664
1, 5616, Tempo, 334262
1, 5664, Tempo, 332871
1, 5712, Tempo, 331492
1, 5808, Tempo, 332871
1, 5904, Tempo, 334262
1, 6000, Tempo, 335664
1, 6072, Tempo, 337079
1, 6240, Tempo, 335664
1, 6408, Tempo, 334262
1, 6576, Tempo, 332871
1, 6720, Tempo, 331492
1, 6864, Tempo, 332871
1, 6984, Tempo, 334262
1, 7128, Tempo, 335664
1, 7248, Tempo, 337079
1, 7536, Tempo, 344333
1, 7800, Tempo, 345821
1, 8040, Tempo, 433996
1, 8140, Tempo, 350365
1, 8208, Tempo, 345821
1, 8304, Tempo, 344333
1, 8376, Tempo, 342857
1, 8448, Tempo, 341394
1, 8520, Tempo, 339943
1, 8592, Tempo, 338505
1, 8664, Tempo, 337079
1, 8904, Tempo, 338505
1, 9144, Tempo, 339943
1, 9192, Tempo, 338505
1, 9216, Tempo, 337079
1, 9240, Tempo, 335664
1, 9264, Tempo, 334262
1, 9288, Tempo, 332871
1, 9312, Tempo, 331492
1, 9336, Tempo, 330124
1, 9360, Tempo, 328767
1, 9384, Tempo, 327422
1, 9408, Tempo, 326087
1, 9432, Tempo, 327422
1, 9456, Tempo, 328767
1, 9480, Tempo, 330124
1, 9504, Tempo, 331492
1, 9528, Tempo, 332871
1, 9552, Tempo, 334262
1, 9576, Tempo, 337079
1, 9580, Tempo, 342857
1, 9600, Tempo, 335664
1, 9744, Tempo, 337079
1, 9864, Tempo, 338505
1, 9960, Tempo, 422535
1, 10080, Tempo, 339943
1, 10248, Tempo, 338505
1, 10392, Tempo, 337079
1, 10536, Tempo, 332871
1, 10632, Tempo, 331492
1, 10728, Tempo, 330124
1, 10800, Tempo, 328767
