0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Lieder ohne Worte Op. 62 No. 4"
1, 0, Title_t, "Morgenlied"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Mendelslsohn"
1, 0, Text_t, "Allegro con Anima"
1, 0, Text_t, "Fertiggestellt am 10.1.2004\012"
1, 0, Text_t, "Update am 3.4.2014\012"
1, 0, Text_t, "Dauer:  1:18 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 9, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 400000
1, 1200, Tempo, 393572
1, 1440, Tempo, 381801
1, 1680, Tempo, 426046
1, 1920, Tempo, 468494
1, 2160, Tempo, 393572
1, 3600, Tempo, 381801
1, 3840, Tempo, 432588
1, 4080, Tempo, 464648
1, 4320, Tempo, 393572
1, 5280, Tempo, 457108
1, 5520, Tempo, 393572
1, 5760, Tempo, 370737
1, 6240, Tempo, 380373
1, 6480, Tempo, 373436
1, 6960, Tempo, 424598
1, 7200, Tempo, 421289
1, 7440, Tempo, 441176
1, 7920, Tempo, 432588
1, 8400, Tempo, 460900
1, 8640, Tempo, 433589
1, 9840, Tempo, 427107
1, 10080, Tempo, 413793
1, 10560, Tempo, 432370
1, 10800, Tempo, 408970
1, 12000, Tempo, 427107
1, 12240, Tempo, 410959
1, 12720, Tempo, 434122
1, 12960, Tempo, 408970
1, 14160, Tempo, 430601
1, 14400, Tempo, 408970
1, 14640, Tempo, 417043
1, 14880, Tempo, 498670
1, 15120, Tempo, 404940
1, 15600, Tempo, 409305
1, 16320, Tempo, 434122
1, 16560, Tempo, 403524
1, 17040, Tempo, 425441
1, 18480, Tempo, 427107
1, 18720, Tempo, 410762
1, 19200, Tempo, 432370
1, 19440, Tempo, 408970
1, 20640, Tempo, 427107
1, 20880, Tempo, 404940
1, 21360, Tempo, 434122
1, 21600, Tempo, 408970
1, 22800, Tempo, 430601
1, 23040, Tempo, 408970
1, 23280, Tempo, 417043
1, 23520, Tempo, 441371
1, 23760, Tempo, 410565
1, 24960, Tempo, 434122
1, 25200, Tempo, 408970
1, 25680, Tempo, 425441
1, 27120, Tempo, 427107
1, 27360, Tempo, 402091
1, 27840, Tempo, 432370
1, 28080, Tempo, 403524
1, 28560, Tempo, 407830
1, 29280, Tempo, 427107
1, 29520, Tempo, 408970
1, 30000, Tempo, 434122
1, 30240, Tempo, 403524
1, 30720, Tempo, 407830
