0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, " Prelude No. 2 Op. 23"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "S. Rachmaninow"
1, 0, Text_t, "Maestoso"
1, 0, Text_t, "Überarbeitet am 20.7.2004\012"
1, 0, Text_t, "Update am 11.12.2012\012"
1, 0, Text_t, "Dauer: 3:13 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 821918
1, 40, Tempo, 816327
1, 80, Tempo, 810811
1, 100, Tempo, 805369
1, 140, Tempo, 800000
1, 180, Tempo, 794702
1, 200, Tempo, 789474
1, 240, Tempo, 784314
1, 280, Tempo, 779221
1, 300, Tempo, 774194
1, 340, Tempo, 769231
1, 380, Tempo, 764331
1, 400, Tempo, 759494
1, 440, Tempo, 754717
1, 480, Tempo, 750000
1, 500, Tempo, 750000
1, 600, Tempo, 754717
1, 1480, Tempo, 727273
1, 1500, Tempo, 731707
1, 1520, Tempo, 736196
1, 1540, Tempo, 740741
1, 1560, Tempo, 745342
1, 1580, Tempo, 750000
1, 1600, Tempo, 754717
1, 1620, Tempo, 759494
1, 1640, Tempo, 764331
1, 1660, Tempo, 769231
1, 1680, Tempo, 774194
1, 1700, Tempo, 779221
1, 1720, Tempo, 784314
1, 1740, Tempo, 789474
1, 1760, Tempo, 794702
1, 1780, Tempo, 800000
1, 1800, Tempo, 805369
1, 1820, Tempo, 810811
1, 1840, Tempo, 816327
1, 1860, Tempo, 821918
1, 1880, Tempo, 833333
1, 1920, Tempo, 833333
1, 1960, Tempo, 827586
1, 2000, Tempo, 821918
1, 2020, Tempo, 816327
1, 2060, Tempo, 810811
1, 2080, Tempo, 805369
1, 2120, Tempo, 800000
1, 2160, Tempo, 794702
1, 2180, Tempo, 789474
1, 2220, Tempo, 784314
1, 2240, Tempo, 779221
1, 2280, Tempo, 774194
1, 2320, Tempo, 769231
1, 2340, Tempo, 764331
1, 2380, Tempo, 759494
1, 2400, Tempo, 754717
1, 2500, Tempo, 759494
1, 3300, Tempo, 754717
1, 3380, Tempo, 750000
1, 3400, Tempo, 736196
1, 3420, Tempo, 745342
1, 3440, Tempo, 750000
1, 3460, Tempo, 759494
1, 3480, Tempo, 764331
1, 3500, Tempo, 774194
1, 3520, Tempo, 779221
1, 3540, Tempo, 789474
1, 3560, Tempo, 794702
1, 3580, Tempo, 805369
1, 3600, Tempo, 810811
1, 3620, Tempo, 821918
1, 3640, Tempo, 827586
1, 3660, Tempo, 839161
1, 3680, Tempo, 845070
1, 3700, Tempo, 857143
1, 3720, Tempo, 863309
1, 3740, Tempo, 875912
1, 3760, Tempo, 882353
1, 3780, Tempo, 895522
1, 3800, Tempo, 902256
1, 3820, Tempo, 916031
1, 3840, Tempo, 750000
1, 4200, Tempo, 805369
1, 4560, Tempo, 750000
1, 5160, Tempo, 764331
