0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Gaspard de la Nuit"
1, 0, Title_t, "Ondine"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krüger."
1, 0, Text_t, "Maurice Ravel"
1, 0, Text_t, "Lent"
1, 0, Text_t, "Fertiggestellt am 24.10.98\012"
1, 0, Text_t, "Update am 5.11.98\012"
1, 0, Text_t, "Update am 18.1.2004\012"
1, 0, Text_t, "Dauer: 5:55 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 7, "major"
1, 0, Tempo, 1132075
1, 0, Marker_t, "Lent"
1, 960, Tempo, 1116695
1, 1080, Tempo, 1087350
1, 1200, Tempo, 1059509
1, 1440, Tempo, 1024240
1, 3840, Tempo, 1046207
1, 5040, Tempo, 997175
1, 5280, Tempo, 1024940
1, 5680, Tempo, 1174628
1, 5760, Tempo, 1056896
1, 6160, Tempo, 1046207
1, 6200, Tempo, 1036628
1, 6240, Tempo, 1036628
1, 6960, Tempo, 1005530
1, 7200, Tempo, 987654
1, 7440, Tempo, 1026343
1, 7680, Tempo, 987654
1, 7880, Tempo, 987654
1, 7900, Tempo, 978633
1, 7960, Tempo, 987654
1, 8020, Tempo, 997175
1, 8080, Tempo, 1006374
1, 8140, Tempo, 1016432
1, 8160, Tempo, 969619
1, 8400, Tempo, 1056896
1, 8560, Tempo, 1124227
1, 8640, Tempo, 1056896
1, 9100, Tempo, 1067616
1, 9120, Tempo, 1016432
1, 9360, Tempo, 1044932
1, 9380, Tempo, 1056896
1, 9522, Tempo, 1187884
1, 9600, Tempo, 1056896
1, 10020, Tempo, 1036628
1, 10080, Tempo, 1024940
1, 10800, Tempo, 1016432
1, 11240, Tempo, 1016432
1, 11270, Tempo, 1067616
1, 11510, Tempo, 1046207
1, 11520, Time_signature, 3, 2, 24, 8
1, 11614, Tempo, 1036628
1, 11722, Tempo, 1026343
1, 12480, Tempo, 997175
1, 12720, Tempo, 1078555
1, 12960, Tempo, 1112347
1, 13020, Tempo, 1101119
1, 13080, Tempo, 1089325
1, 13140, Tempo, 1078555
1, 13180, Tempo, 1067616
1, 13240, Tempo, 1056896
1, 13300, Tempo, 1046207
1, 13360, Tempo, 1036628
1, 13400, Tempo, 1026343
1, 13900, Tempo, 1026343
1, 13960, Tempo, 1036628
1, 14000, Tempo, 1046207
1, 14040, Tempo, 1056896
1, 14080, Tempo, 1067616
1, 14120, Tempo, 1078555
1, 14160, Tempo, 1089325
1, 14200, Tempo, 1101119
1, 14220, Tempo, 1112347
1, 14240, Tempo, 1124227
1, 14260, Tempo, 1136579
1, 14280, Tempo, 1149205
1, 14322, Tempo, 1258125
1, 14380, Tempo, 1215067
