0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate a-Moll, Opus 143 3. Satz"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Fertiggestellt am 18.12.1999\012"
1, 0, Text_t, "Update am 1.7.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 21.9.2004\012"
1, 0, Text_t, "Update am 17.3.2014\012"
1, 0, Text_t, "Dauer: 5:29 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 358081
1, 0, Marker_t, "Allegro vivace"
1, 800, Tempo, 367264
1, 960, Tempo, 358081
1, 2240, Tempo, 369982
1, 2400, Tempo, 358081
1, 2720, Tempo, 369982
1, 2880, Tempo, 358081
1, 3200, Tempo, 365921
1, 3360, Tempo, 358081
1, 3680, Tempo, 365921
1, 3840, Tempo, 358081
1, 4320, Tempo, 358081
1, 4440, Tempo, 359368
1, 4520, Tempo, 360664
1, 4640, Tempo, 361969
1, 4720, Tempo, 363284
1, 4800, Tempo, 359368
1, 5600, Tempo, 383387
1, 5760, Tempo, 373832
1, 6240, Tempo, 369231
1, 6720, Tempo, 371517
1, 7040, Tempo, 376176
1, 7200, Tempo, 365854
1, 7280, Tempo, 364742
1, 7360, Tempo, 363636
1, 7440, Tempo, 362538
1, 7520, Tempo, 361446
1, 7600, Tempo, 360360
1, 7680, Tempo, 359281
1, 7720, Tempo, 360360
1, 7800, Tempo, 361446
1, 7840, Tempo, 362538
1, 7880, Tempo, 363636
1, 7920, Tempo, 364742
1, 7960, Tempo, 365854
1, 8000, Tempo, 369982
1, 8160, Tempo, 359281
1, 8640, Tempo, 363636
1, 8960, Tempo, 369982
1, 9120, Tempo, 358081
1, 9440, Tempo, 369982
1, 9600, Tempo, 357143
1, 10080, Tempo, 361446
1, 10400, Tempo, 371356
1, 10560, Tempo, 358081
1, 10880, Tempo, 368618
1, 11040, Tempo, 358081
1, 11520, Tempo, 361446
1, 11840, Tempo, 369982
1, 12000, Tempo, 358081
1, 12320, Tempo, 367264
1, 12480, Tempo, 358081
1, 12800, Tempo, 367264
1, 12960, Tempo, 356824
1, 13200, Tempo, 358081
1, 13400, Tempo, 359368
1, 13600, Tempo, 360664
1, 13800, Tempo, 361969
1, 14000, Tempo, 363284
1, 14200, Tempo, 364609
1, 14400, Tempo, 365921
1, 14720, Tempo, 378358
1, 14880, Tempo, 365921
1, 15200, Tempo, 368618
1, 15360, Tempo, 365921
1, 15680, Tempo, 369982
1, 15840, Tempo, 368098
1, 16160, Tempo, 378549
1, 16320, Tempo, 370370
1, 16640, Tempo, 379747
1, 16800, Tempo, 371517
1, 17120, Tempo, 392157
1, 17280, Tempo, 363636
1, 17600, Tempo, 369231
1, 17760, Tempo, 366972
1, 18080, Tempo, 370370
1, 18240, Tempo, 372671
1, 18600, Tempo, 387097
1, 18720, Tempo, 375000
1, 19040, Tempo, 378549
1, 19200, Tempo, 375000
1, 19520, Tempo, 380952
1, 19680, Tempo, 376176
1, 20000, Tempo, 379747
1, 20160, Tempo, 370370
1, 20260, Tempo, 369231
1, 20340, Tempo, 368098
1, 20420, Tempo, 366972
1, 20520, Tempo, 365854
1, 20600, Tempo, 364742
1, 20680, Tempo, 363636
1, 20780, Tempo, 362538
1, 20860, Tempo, 361446
1, 20940, Tempo, 360360
1, 20960, Tempo, 367264
1, 21120, Tempo, 358081
1, 22400, Tempo, 369982
1, 22560, Tempo, 358081
1, 22880, Tempo, 369982
1, 23040, Tempo, 358081
1, 23360, Tempo, 365921
1, 23520, Tempo, 358081
1, 23840, Tempo, 365921
1, 24000, Tempo, 358081
1, 24480, Tempo, 358081
1, 24600, Tempo, 359368
1, 24680, Tempo, 360664
1, 24800, Tempo, 361969
1, 24880, Tempo, 363284
1, 24960, Tempo, 359368
1, 25760, Tempo, 383387
1, 25920, Tempo, 371517
1, 26400, Tempo, 369231
1, 26880, Tempo, 371517
1, 27200, Tempo, 376176
1, 27360, Tempo, 363636
1, 27680, Tempo, 369982
1, 27840, Tempo, 358081
1, 28160, Tempo, 369982
1, 28320, Tempo, 357143
1, 28800, Tempo, 361446
1, 29120, Tempo, 371356
1, 29280, Tempo, 358081
1, 29600, Tempo, 368618
1, 29760, Tempo, 358081
1, 30240, Tempo, 361446
1, 30560, Tempo, 369982
1, 30720, Tempo, 358081
1, 31040, Tempo, 367264
1, 31200, Tempo, 358081
