0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Impromptu D 935 Nr. 4"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Allegro moderato"
1, 0, Text_t, "Erstellt: 1.12.2007\012"
1, 0, Text_t, "Update: 22.3.2014\012"
1, 0, Text_t, "Dauer: 5:35 Minuten\012"
1, 0, Time_signature, 3, 3, 12, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 452148
1, 180, Tempo, 509165
1, 240, Tempo, 441144
1, 480, Tempo, 450281
1, 660, Tempo, 471735
1, 720, Tempo, 450281
1, 960, Tempo, 441144
1, 1380, Tempo, 516440
1, 1440, Tempo, 424899
1, 1680, Tempo, 444741
1, 1920, Tempo, 450281
1, 2100, Tempo, 486421
1, 2160, Tempo, 511553
1, 2400, Tempo, 446561
1, 2760, Tempo, 485830
1, 2880, Tempo, 442968
1, 3840, Tempo, 434122
1, 4200, Tempo, 465658
1, 4320, Tempo, 442968
1, 4800, Tempo, 432401
1, 4920, Tempo, 452148
1, 5040, Tempo, 434122
1, 5126, Tempo, 434122
1, 5194, Tempo, 432401
1, 5251, Tempo, 430694
1, 5318, Tempo, 429000
1, 5376, Tempo, 427290
1, 5434, Tempo, 425622
1, 5501, Tempo, 423998
1, 5558, Tempo, 422357
1, 5616, Tempo, 420698
1, 5654, Tempo, 441144
1, 5760, Tempo, 452148
1, 5940, Tempo, 502134
1, 6000, Tempo, 441144
1, 6240, Tempo, 448397
1, 6360, Tempo, 474308
1, 6420, Tempo, 465658
1, 6480, Tempo, 434122
1, 6720, Tempo, 442968
1, 7140, Tempo, 504202
1, 7200, Tempo, 450281
1, 7320, Tempo, 444741
1, 7440, Tempo, 437605
1, 7860, Tempo, 486421
1, 7920, Tempo, 511553
1, 8160, Tempo, 446561
1, 8520, Tempo, 493056
1, 8640, Tempo, 442968
1, 9600, Tempo, 434122
1, 9960, Tempo, 453995
1, 10080, Tempo, 442968
1, 10320, Tempo, 437605
1, 10560, Tempo, 432401
1, 10680, Tempo, 452148
1, 10800, Tempo, 434122
1, 11400, Tempo, 452830
1, 11520, Tempo, 410369
1, 11640, Tempo, 423400
1, 11880, Tempo, 441144
1, 12000, Tempo, 411777
1, 12120, Tempo, 421911
1, 12360, Tempo, 437605
1, 12480, Tempo, 423998
1, 12840, Tempo, 441144
1, 12960, Tempo, 434122
1, 13200, Tempo, 423998
1, 13680, Tempo, 427290
1, 13920, Tempo, 437605
1, 14400, Tempo, 407581
1, 14520, Tempo, 420433
1, 14580, Tempo, 421911
1, 14760, Tempo, 465116
1, 14880, Tempo, 423998
1, 15240, Tempo, 437605
1, 15360, Tempo, 423998
1, 15720, Tempo, 441144
1, 15840, Tempo, 434122
1, 16080, Tempo, 423998
1, 16560, Tempo, 427290
1, 16800, Tempo, 434122
1, 17280, Tempo, 408970
1, 17400, Tempo, 423400
1, 17640, Tempo, 441144
1, 17760, Tempo, 414622
1, 17880, Tempo, 420433
1, 17940, Tempo, 423400
1, 18120, Tempo, 437605
1, 18240, Tempo, 423998
1, 18600, Tempo, 441144
1, 18720, Tempo, 434122
1, 18960, Tempo, 423998
1, 19440, Tempo, 427290
1, 19680, Tempo, 437605
1, 20160, Tempo, 413195
1, 20280, Tempo, 423400
1, 20520, Tempo, 441144
1, 20640, Tempo, 423998
1, 20880, Tempo, 413195
1, 21000, Tempo, 437605
1, 21120, Tempo, 423998
1, 21480, Tempo, 441144
1, 21600, Tempo, 434122
1, 21840, Tempo, 423998
1, 22320, Tempo, 427290
1, 22560, Tempo, 437605
1, 23040, Tempo, 434122
1, 23760, Tempo, 429000
1, 24360, Tempo, 448397
1, 24480, Tempo, 429000
1, 25080, Tempo, 457841
1, 25200, Tempo, 504202
1, 25440, Tempo, 434122
1, 25920, Tempo, 408970
1, 26040, Tempo, 420433
1, 26280, Tempo, 441144
1, 26400, Tempo, 413195
1, 26520, Tempo, 421911
1, 26760, Tempo, 437605
1, 26880, Tempo, 423998
1, 27240, Tempo, 452830
1, 27360, Tempo, 434122
1, 27600, Tempo, 423998
1, 28080, Tempo, 427290
1, 28320, Tempo, 437605
1, 28800, Tempo, 413195
1, 28920, Tempo, 423400
1, 29160, Tempo, 449438
1, 29280, Tempo, 423998
1, 29640, Tempo, 437605
1, 29760, Tempo, 423998
1, 30120, Tempo, 441144
1, 30240, Tempo, 434122
1, 30480, Tempo, 423998
1, 30960, Tempo, 427290
1, 31080, Tempo, 456274
1, 31200, Tempo, 434122
1, 31680, Tempo, 413195
1, 31800, Tempo, 423400
1, 32040, Tempo, 441144
1, 32160, Tempo, 416060
1, 32280, Tempo, 423400
1, 32520, Tempo, 437605
1, 32640, Tempo, 423998
1, 33000, Tempo, 441144
1, 33120, Tempo, 434122
1, 33360, Tempo, 423998
1, 33840, Tempo, 427290
1, 34080, Tempo, 437605
1, 34440, Tempo, 449438
1, 34560, Tempo, 413195
1, 34680, Tempo, 424899
1, 34920, Tempo, 441144
1, 35040, Tempo, 423998
1, 35400, Tempo, 437605
1, 35520, Tempo, 423998
1, 35880, Tempo, 441144
1, 36000, Tempo, 434122
1, 36240, Tempo, 423998
1, 36720, Tempo, 427290
1, 36960, Tempo, 437605
1, 37440, Tempo, 434122
1, 38160, Tempo, 429000
1, 38760, Tempo, 448397
1, 38880, Tempo, 420433
1, 39120, Tempo, 426409
1, 39480, Tempo, 457841
1, 39600, Tempo, 434122
1, 39840, Tempo, 435856
1, 39844, Tempo, 434122
1, 39850, Tempo, 427290
1, 39886, Tempo, 429000
1, 39892, Tempo, 430694
1, 39898, Tempo, 441144
1, 39923, Tempo, 430694
1, 39929, Tempo, 429000
1, 39941, Tempo, 427290
1, 39953, Tempo, 425622
1, 39971, Tempo, 427290
1, 39977, Tempo, 429000
1, 39983, Tempo, 430694
1, 39995, Tempo, 432401
1, 40020, Tempo, 425622
1, 40032, Tempo, 427290
1, 40038, Tempo, 429000
1, 40044, Tempo, 432401
1, 40081, Tempo, 430694
1, 40140, Tempo, 434122
1, 40178, Tempo, 432401
1, 40216, Tempo, 430694
1, 40255, Tempo, 429000
1, 40293, Tempo, 427290
1, 40311, Tempo, 427290
1, 40366, Tempo, 425622
1, 40421, Tempo, 423998
1, 40475, Tempo, 422357
1, 40530, Tempo, 420698
1, 40533, Tempo, 423998
1, 40581, Tempo, 425622
1, 40620, Tempo, 427290
1, 40658, Tempo, 429000
1, 40706, Tempo, 430694
1, 40744, Tempo, 432401
1, 40783, Tempo, 434122
1, 40800, Tempo, 432401
1, 41280, Tempo, 435856
1, 41284, Tempo, 434122
1, 41285, Tempo, 439560
1, 41293, Tempo, 437956
1, 41331, Tempo, 439560
1, 41346, Tempo, 442804
1, 41361, Tempo, 444444
1, 41377, Tempo, 436364
1, 41430, Tempo, 439560
1, 41445, Tempo, 442804
1, 41460, Tempo, 434783
1, 41559, Tempo, 441176
1, 41567, Tempo, 442804
1, 41575, Tempo, 441176
1, 41613, Tempo, 439560
1, 41643, Tempo, 437956
1, 41681, Tempo, 436364
1, 41712, Tempo, 434783
1, 41742, Tempo, 433213
1, 41780, Tempo, 431655
1, 41811, Tempo, 430108
1, 41841, Tempo, 428571
1, 41879, Tempo, 427046
1, 41910, Tempo, 425532
1, 41933, Tempo, 424028
1, 41963, Tempo, 425532
1, 41986, Tempo, 427046
1, 42017, Tempo, 428571
1, 42039, Tempo, 430108
1, 42062, Tempo, 431655
1, 42093, Tempo, 433213
1, 42116, Tempo, 434783
1, 42138, Tempo, 436364
1, 42169, Tempo, 437956
1, 42192, Tempo, 439560
1, 42215, Tempo, 441176
1, 42223, Tempo, 434122
1, 42240, Tempo, 432401
1, 42720, Tempo, 435856
1, 42724, Tempo, 434122
1, 42730, Tempo, 427290
1, 42766, Tempo, 429000
1, 42772, Tempo, 430694
1, 42778, Tempo, 441144
1, 42803, Tempo, 430694
1, 42809, Tempo, 429000
1, 42821, Tempo, 427290
1, 42833, Tempo, 425622
1, 42851, Tempo, 427290
1, 42857, Tempo, 429000
1, 42863, Tempo, 430694
1, 42875, Tempo, 432401
1, 42900, Tempo, 425622
1, 42912, Tempo, 427290
1, 42918, Tempo, 429000
1, 42924, Tempo, 432401
1, 42961, Tempo, 430694
1, 43020, Tempo, 434122
1, 43058, Tempo, 432401
1, 43096, Tempo, 430694
1, 43135, Tempo, 429000
1, 43172, Tempo, 437605
1, 43188, Tempo, 448397
1, 43197, Tempo, 451128
1, 43228, Tempo, 449438
1, 43258, Tempo, 447761
1, 43281, Tempo, 446097
1, 43312, Tempo, 444444
1, 43335, Tempo, 442804
1, 43365, Tempo, 441176
1, 43388, Tempo, 439560
1, 43418, Tempo, 437956
1, 43434, Tempo, 434783
1, 43472, Tempo, 436364
1, 43502, Tempo, 437956
1, 43533, Tempo, 439560
1, 43563, Tempo, 441176
1, 43594, Tempo, 442804
1, 43624, Tempo, 444444
1, 43655, Tempo, 446097
1, 43693, Tempo, 447761
1, 43723, Tempo, 449438
1, 43754, Tempo, 451128
1, 43784, Tempo, 452830
1, 43815, Tempo, 454545
1, 43845, Tempo, 456274
1, 43876, Tempo, 458015
1, 43906, Tempo, 458015
1, 44160, Tempo, 435856
1, 44164, Tempo, 434122
1, 44170, Tempo, 427290
1, 44206, Tempo, 429000
1, 44212, Tempo, 430694
1, 44218, Tempo, 441144
1, 44243, Tempo, 430694
1, 44249, Tempo, 429000
1, 44261, Tempo, 427290
1, 44273, Tempo, 425622
1, 44291, Tempo, 427290
1, 44297, Tempo, 429000
1, 44303, Tempo, 430694
1, 44315, Tempo, 432401
1, 44340, Tempo, 425622
1, 44352, Tempo, 427290
1, 44358, Tempo, 429000
1, 44364, Tempo, 432401
1, 44401, Tempo, 430694
1, 44460, Tempo, 434122
1, 44492, Tempo, 439367
1, 44540, Tempo, 437605
1, 44588, Tempo, 435856
1, 44624, Tempo, 434122
1, 44628, Tempo, 455927
1, 44654, Tempo, 463320
1, 44682, Tempo, 461538
1, 44702, Tempo, 459770
1, 44721, Tempo, 458015
1, 44740, Tempo, 456274
1, 44759, Tempo, 454545
1, 44778, Tempo, 452830
1, 44798, Tempo, 451128
1, 44817, Tempo, 449438
1, 44836, Tempo, 447761
1, 44855, Tempo, 446097
1, 44856, Tempo, 442968
1, 44868, Tempo, 441144
1, 44884, Tempo, 442804
1, 45348, Tempo, 439367
1, 45364, Tempo, 441176
1, 45402, Tempo, 442804
1, 45441, Tempo, 444444
1, 45479, Tempo, 446097
1, 45518, Tempo, 447761
1, 45556, Tempo, 449438
1, 45594, Tempo, 451128
1, 45623, Tempo, 452830
1, 45662, Tempo, 454545
1, 45700, Tempo, 456274
1, 45738, Tempo, 458015
1, 45777, Tempo, 459770
1, 45815, Tempo, 461538
1, 45844, Tempo, 463320
1, 45880, Tempo, 463679
1, 45928, Tempo, 465658
1, 45976, Tempo, 467654
1, 46024, Tempo, 469667
1, 46060, Tempo, 471735
1, 46080, Tempo, 452148
1, 46260, Tempo, 509165
1, 46320, Tempo, 441144
1, 46560, Tempo, 450281
1, 46740, Tempo, 471735
1, 46800, Tempo, 450281
1, 47040, Tempo, 441144
1, 47460, Tempo, 516440
1, 47520, Tempo, 450281
1, 47640, Tempo, 443754
1, 47760, Tempo, 434122
1, 48000, Tempo, 450281
1, 48180, Tempo, 486421
1, 48240, Tempo, 511553
1, 48480, Tempo, 446561
1, 48840, Tempo, 483871
1, 48960, Tempo, 442968
1, 49920, Tempo, 434122
1, 50280, Tempo, 472441
1, 50400, Tempo, 442968
1, 50880, Tempo, 432401
1, 51000, Tempo, 452148
1, 51120, Tempo, 434122
1, 51206, Tempo, 434122
1, 51274, Tempo, 432401
1, 51331, Tempo, 430694
1, 51398, Tempo, 429000
1, 51456, Tempo, 427290
1, 51514, Tempo, 425622
1, 51581, Tempo, 423998
1, 51638, Tempo, 422357
1, 51696, Tempo, 420698
1, 51734, Tempo, 441144
1, 51840, Tempo, 452148
1, 52020, Tempo, 502134
1, 52080, Tempo, 441144
1, 52320, Tempo, 448397
1, 52500, Tempo, 483871
1, 52560, Tempo, 450281
1, 52800, Tempo, 442968
1, 53220, Tempo, 482160
1, 53280, Tempo, 450281
1, 53400, Tempo, 444741
1, 53520, Tempo, 437605
1, 53940, Tempo, 486421
1, 54000, Tempo, 511553
1, 54240, Tempo, 446561
1, 54600, Tempo, 493056
1, 54720, Tempo, 442968
1, 55680, Tempo, 434122
1, 56040, Tempo, 453995
1, 56160, Tempo, 442968
1, 57120, Tempo, 434122
1, 57480, Tempo, 453995
1, 57600, Tempo, 421053
1, 57720, Tempo, 430108
1, 57960, Tempo, 441144
1, 58080, Tempo, 432401
1, 58320, Tempo, 422535
1, 58440, Tempo, 430108
1, 58680, Tempo, 444741
1, 58800, Tempo, 430694
1, 59040, Tempo, 429000
1, 59160, Tempo, 442968
1, 59280, Tempo, 430694
1, 59400, Tempo, 444741
1, 59520, Tempo, 420433
1, 59640, Tempo, 441144
1, 59760, Tempo, 417507
1, 59880, Tempo, 437605
1, 60000, Tempo, 414622
1, 60120, Tempo, 432401
1, 60240, Tempo, 410369
1, 60360, Tempo, 439367
1, 60480, Tempo, 419082
1, 61200, Tempo, 419082
1, 61440, Tempo, 421911
1, 61920, Tempo, 429000
1, 62040, Tempo, 442968
1, 62160, Tempo, 430694
1, 62280, Tempo, 444741
1, 62400, Tempo, 424899
1, 62520, Tempo, 441144
1, 62640, Tempo, 417507
1, 62760, Tempo, 437605
1, 62880, Tempo, 413195
1, 63000, Tempo, 432401
1, 63120, Tempo, 407581
1, 63240, Tempo, 439367
1, 63360, Tempo, 415225
1, 63840, Tempo, 421053
1, 64080, Tempo, 416667
1, 64560, Tempo, 421053
1, 64800, Tempo, 429000
1, 64920, Tempo, 442968
1, 65040, Tempo, 430694
1, 65160, Tempo, 444741
1, 65280, Tempo, 430694
1, 65400, Tempo, 441144
1, 65520, Tempo, 423998
1, 65640, Tempo, 437605
1, 65760, Tempo, 422357
1, 65880, Tempo, 432401
1, 66000, Tempo, 415887
1, 66120, Tempo, 439367
1, 66240, Tempo, 429000
1, 66360, Tempo, 442968
1, 66480, Tempo, 430694
1, 66600, Tempo, 444741
1, 66720, Tempo, 430694
1, 66840, Tempo, 441144
1, 66960, Tempo, 423998
1, 67080, Tempo, 437605
1, 67200, Tempo, 422357
1, 67320, Tempo, 432401
1, 67440, Tempo, 415887
1, 67560, Tempo, 439367
1, 67680, Tempo, 429000
1, 67800, Tempo, 442968
1, 67920, Tempo, 430694
1, 68040, Tempo, 444741
1, 68160, Tempo, 430694
1, 68280, Tempo, 441144
1, 68400, Tempo, 423998
1, 68520, Tempo, 437605
1, 68640, Tempo, 422357
1, 68760, Tempo, 432401
1, 68880, Tempo, 415887
1, 69000, Tempo, 439367
1, 69115, Tempo, 437956
1, 69120, Tempo, 434122
1, 69124, Tempo, 436364
1, 69360, Tempo, 435856
1, 69364, Tempo, 434122
1, 69370, Tempo, 427290
1, 69374, Tempo, 434783
1, 69412, Tempo, 433213
1, 69422, Tempo, 431655
1, 69460, Tempo, 436364
1, 69470, Tempo, 434783
1, 69480, Tempo, 433213
1, 69489, Tempo, 431655
1, 69499, Tempo, 430108
1, 69508, Tempo, 428571
1, 69518, Tempo, 434783
1, 69528, Tempo, 437956
1, 69547, Tempo, 430108
1, 69566, Tempo, 428571
1, 69576, Tempo, 434783
1, 69585, Tempo, 437956
1, 69633, Tempo, 436364
1, 69681, Tempo, 434783
1, 69729, Tempo, 433213
1, 69777, Tempo, 431655
1, 69825, Tempo, 430108
1, 69873, Tempo, 428571
1, 69921, Tempo, 427046
1, 69969, Tempo, 425532
1, 70008, Tempo, 422535
1, 70046, Tempo, 424028
1, 70075, Tempo, 425532
1, 70104, Tempo, 427046
1, 70132, Tempo, 428571
1, 70161, Tempo, 430108
1, 70200, Tempo, 431655
1, 70228, Tempo, 433213
1, 70257, Tempo, 434783
1, 70286, Tempo, 436364
1, 70315, Tempo, 437956
1, 70320, Tempo, 432401
1, 70795, Tempo, 441176
1, 70804, Tempo, 439560
1, 70814, Tempo, 436364
1, 70824, Tempo, 434783
1, 70833, Tempo, 433213
1, 70872, Tempo, 441176
1, 70881, Tempo, 439560
1, 70891, Tempo, 436364
1, 70910, Tempo, 434783
1, 70939, Tempo, 436364
1, 70948, Tempo, 434783
1, 71006, Tempo, 437956
1, 71016, Tempo, 442804
1, 71025, Tempo, 436364
1, 71044, Tempo, 434783
1, 71064, Tempo, 436364
1, 71073, Tempo, 437956
1, 71100, Tempo, 434122
1, 71112, Tempo, 441176
1, 71140, Tempo, 439560
1, 71169, Tempo, 437956
1, 71188, Tempo, 436364
1, 71217, Tempo, 434783
1, 71236, Tempo, 433213
1, 71265, Tempo, 431655
1, 71284, Tempo, 430108
1, 71313, Tempo, 428571
1, 71342, Tempo, 427046
1, 71361, Tempo, 425532
1, 71390, Tempo, 424028
1, 71409, Tempo, 422535
1, 71438, Tempo, 421053
1, 71457, Tempo, 418118
1, 71486, Tempo, 419580
1, 71515, Tempo, 421053
1, 71534, Tempo, 422535
1, 71563, Tempo, 424028
1, 71582, Tempo, 425532
1, 71611, Tempo, 427046
1, 71640, Tempo, 428571
1, 71659, Tempo, 430108
1, 71688, Tempo, 431655
1, 71707, Tempo, 433213
1, 71736, Tempo, 434783
1, 71755, Tempo, 436364
1, 71760, Tempo, 432401
1, 72240, Tempo, 435856
1, 72244, Tempo, 434122
1, 72244, Tempo, 436364
1, 72264, Tempo, 433213
1, 72283, Tempo, 431655
1, 72312, Tempo, 433213
1, 72340, Tempo, 436364
1, 72360, Tempo, 439560
1, 72379, Tempo, 433213
1, 72388, Tempo, 431655
1, 72408, Tempo, 430108
1, 72456, Tempo, 431655
1, 72465, Tempo, 433213
1, 72475, Tempo, 434783
1, 72484, Tempo, 436364
1, 72523, Tempo, 434783
1, 72532, Tempo, 431655
1, 72542, Tempo, 433213
1, 72578, Tempo, 432401
1, 72616, Tempo, 430694
1, 72655, Tempo, 429000
1, 72692, Tempo, 437605
1, 72720, Tempo, 459770
1, 72744, Tempo, 457841
1, 72768, Tempo, 455927
1, 72792, Tempo, 453995
1, 72816, Tempo, 452148
1, 72840, Tempo, 450281
1, 72852, Tempo, 448397
1, 72876, Tempo, 446561
1, 72900, Tempo, 444741
1, 72924, Tempo, 442968
1, 72948, Tempo, 441144
1, 72960, Tempo, 439367
1, 73020, Tempo, 441144
1, 73080, Tempo, 442968
1, 73140, Tempo, 444741
1, 73188, Tempo, 446561
1, 73248, Tempo, 448397
1, 73308, Tempo, 450281
1, 73368, Tempo, 452148
1, 73416, Tempo, 453995
1, 73476, Tempo, 455927
1, 73536, Tempo, 457841
1, 73596, Tempo, 459770
1, 73644, Tempo, 461716
1, 73680, Tempo, 435856
1, 73684, Tempo, 434122
1, 73690, Tempo, 427290
1, 73726, Tempo, 429000
1, 73732, Tempo, 430694
1, 73738, Tempo, 441144
1, 73763, Tempo, 430694
1, 73769, Tempo, 429000
1, 73781, Tempo, 427290
1, 73793, Tempo, 425622
1, 73811, Tempo, 427290
1, 73817, Tempo, 429000
1, 73823, Tempo, 430694
1, 73835, Tempo, 432401
1, 73860, Tempo, 425622
1, 73872, Tempo, 427290
1, 73878, Tempo, 429000
1, 73884, Tempo, 432401
1, 73921, Tempo, 430694
1, 73980, Tempo, 434122
1, 74012, Tempo, 439367
1, 74060, Tempo, 437605
1, 74108, Tempo, 435856
1, 74144, Tempo, 434122
1, 74148, Tempo, 465658
1, 74160, Tempo, 473747
1, 74164, Tempo, 476190
1, 74193, Tempo, 474308
1, 74212, Tempo, 472441
1, 74232, Tempo, 470588
1, 74251, Tempo, 468750
1, 74270, Tempo, 466926
1, 74289, Tempo, 465116
1, 74308, Tempo, 463320
1, 74328, Tempo, 461538
1, 74347, Tempo, 459770
1, 74366, Tempo, 458015
1, 74385, Tempo, 456274
1, 74404, Tempo, 454545
1, 74414, Tempo, 458015
1, 74627, Tempo, 576535
1, 74651, Tempo, 579598
1, 74675, Tempo, 582694
1, 74699, Tempo, 585823
1, 74723, Tempo, 589044
1, 74735, Tempo, 592183
1, 74736, Tempo, 561640
1, 74747, Tempo, 595415
1, 74759, Tempo, 598743
1, 74771, Tempo, 605388
1, 74783, Tempo, 612182
1, 74795, Tempo, 619131
1, 74807, Tempo, 626239
1, 74819, Tempo, 629855
1, 74831, Tempo, 637213
1, 74843, Tempo, 644815
1, 74855, Tempo, 652458
1, 74867, Tempo, 660429
1, 74880, Tempo, 579598
1, 74880, Tempo, 511553
1, 75600, Tempo, 854579
1, 76309, Tempo, 426409
1, 76312, Tempo, 423400
1, 76320, Marker_t, "Part2"
1, 76372, Tempo, 421911
1, 76432, Tempo, 420433
1, 76492, Tempo, 418965
1, 76552, Tempo, 417507
1, 76612, Tempo, 416060
1, 76672, Tempo, 414622
1, 76732, Tempo, 413195
1, 76792, Tempo, 411777
1, 76852, Tempo, 410369
1, 76912, Tempo, 408970
1, 76936, Tempo, 407581
1, 77020, Tempo, 408970
1, 77092, Tempo, 410369
1, 77164, Tempo, 411777
1, 77236, Tempo, 413195
1, 77308, Tempo, 414622
1, 77392, Tempo, 416060
1, 77464, Tempo, 417507
1, 77536, Tempo, 418965
1, 77608, Tempo, 420433
1, 77680, Tempo, 421911
1, 77752, Tempo, 423400
1, 77836, Tempo, 424899
1, 77908, Tempo, 426409
1, 77980, Tempo, 427930
1, 78052, Tempo, 429461
1, 78124, Tempo, 431004
1, 78196, Tempo, 432557
1, 78217, Tempo, 431004
1, 78232, Tempo, 429461
1, 78460, Tempo, 429461
1, 78556, Tempo, 427930
1, 78640, Tempo, 426409
1, 78736, Tempo, 424899
1, 78820, Tempo, 423400
1, 78916, Tempo, 421911
1, 79000, Tempo, 420433
1, 79096, Tempo, 418965
1, 79180, Tempo, 418965
1, 79252, Tempo, 417507
1, 79348, Tempo, 416060
1, 79432, Tempo, 414622
1, 79516, Tempo, 413195
1, 79600, Tempo, 411777
1, 79684, Tempo, 410369
1, 79768, Tempo, 408970
1, 79852, Tempo, 407581
1, 79936, Tempo, 404831
1, 79996, Tempo, 406201
1, 80056, Tempo, 407581
1, 80116, Tempo, 408970
1, 80164, Tempo, 410369
1, 80224, Tempo, 411777
1, 80284, Tempo, 413195
1, 80332, Tempo, 414622
1, 80392, Tempo, 416060
1, 80452, Tempo, 417507
1, 80500, Tempo, 418965
1, 80520, Tempo, 453823
1, 80620, Tempo, 414622
1, 81472, Tempo, 413195
1, 81496, Tempo, 414622
1, 81568, Tempo, 414622
1, 81652, Tempo, 416060
1, 81724, Tempo, 417507
1, 81808, Tempo, 418965
1, 81880, Tempo, 420433
1, 81964, Tempo, 421911
1, 82036, Tempo, 423400
1, 82069, Tempo, 420433
1, 82080, Tempo, 423400
1, 82132, Tempo, 421911
1, 82192, Tempo, 420433
1, 82252, Tempo, 418965
1, 82312, Tempo, 417507
1, 82372, Tempo, 416060
1, 82432, Tempo, 414622
1, 82492, Tempo, 413195
1, 82552, Tempo, 411777
1, 82612, Tempo, 410369
1, 82672, Tempo, 408970
1, 82696, Tempo, 407581
1, 82780, Tempo, 408970
1, 82852, Tempo, 410369
1, 82924, Tempo, 411777
1, 82996, Tempo, 413195
1, 83068, Tempo, 414622
1, 83152, Tempo, 416060
1, 83224, Tempo, 417507
1, 83296, Tempo, 418965
1, 83368, Tempo, 420433
1, 83440, Tempo, 421911
1, 83512, Tempo, 423400
1, 83596, Tempo, 424899
1, 83668, Tempo, 426409
1, 83740, Tempo, 427930
1, 83812, Tempo, 429461
1, 83884, Tempo, 431004
1, 83956, Tempo, 432557
1, 83977, Tempo, 431004
1, 83992, Tempo, 429461
1, 84220, Tempo, 429461
1, 84316, Tempo, 427930
1, 84400, Tempo, 426409
1, 84496, Tempo, 424899
1, 84580, Tempo, 423400
1, 84676, Tempo, 421911
1, 84760, Tempo, 420433
1, 84856, Tempo, 418965
1, 84940, Tempo, 418965
1, 85012, Tempo, 417507
1, 85108, Tempo, 416060
