0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Vier Impromptus Opus 90 D 899"
1, 0, Title_t, "Impromptu Nr. 2 Es-Dur"
1, 0, Copyright_t, "Copyright © 1996 von Bernd Krüger."
1, 0, Text_t, "Schubert"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Korrekturen am 5.9.98\012"
1, 0, Text_t, "Vorbereitende Korrekturen am 4.4.99\012"
1, 0, Text_t, "Update am 1.5.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Überarbeitet: 13.5.2007\012"
1, 0, Text_t, "Update am 18.3.2014\012"
1, 0, Text_t, "Dauer: 4:30 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 300000
1, 0, Marker_t, "Allegro"
1, 948, Tempo, 332410
1, 1920, Tempo, 300000
1, 2880, Tempo, 305344
1, 3360, Tempo, 300000
1, 4320, Tempo, 306905
1, 4800, Tempo, 300000
1, 5760, Tempo, 305344
1, 6240, Tempo, 300000
1, 7200, Tempo, 304569
1, 7680, Tempo, 300000
1, 8640, Tempo, 306905
1, 9120, Tempo, 300000
1, 10080, Tempo, 305344
1, 10560, Tempo, 300000
1, 11520, Tempo, 310078
1, 12000, Tempo, 300000
1, 12960, Tempo, 332410
1, 13440, Tempo, 300000
1, 14400, Tempo, 303797
1, 14880, Tempo, 300000
1, 15840, Tempo, 305344
1, 16320, Tempo, 300000
1, 17280, Tempo, 303797
1, 17760, Tempo, 300000
1, 18720, Tempo, 305344
1, 19200, Tempo, 300000
1, 20160, Tempo, 307692
1, 20640, Tempo, 300000
1, 21600, Tempo, 305344
1, 22080, Tempo, 300000
1, 23040, Tempo, 306905
1, 23520, Tempo, 300000
1, 24480, Tempo, 334262
1, 24960, Tempo, 300752
1, 25920, Tempo, 307692
1, 26400, Tempo, 300000
1, 27360, Tempo, 307692
1, 27840, Tempo, 300000
1, 28800, Tempo, 306905
1, 29280, Tempo, 300000
1, 30240, Tempo, 306905
1, 30720, Tempo, 300000
1, 31688, Tempo, 334262
1, 32168, Tempo, 300000
1, 33120, Tempo, 303797
1, 33600, Tempo, 300000
1, 34560, Tempo, 305344
1, 35040, Tempo, 300000
1, 36000, Tempo, 329670
1, 36480, Tempo, 305344
1, 37440, Tempo, 342857
1, 37920, Tempo, 324324
1, 38880, Tempo, 300000
