0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Sechs Moments Musicaux Opus 94 D 780"
1, 0, Title_t, "Nr. 5 in f-moll"
1, 0, Copyright_t, "Copyright © 1996 von Bernd Krüger."
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Korrekturen am 6.9.98\012"
1, 0, Text_t, "Update am 15.5.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 29.06.2007\012"
1, 0, Text_t, "Update am 16.3.2014\012"
1, 0, Text_t, "Dauer: 1:59 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 265498
1, 0, Marker_t, "Allegro vivace"
1, 480, Tempo, 267547
1, 960, Tempo, 265498
1, 1440, Tempo, 268240
1, 1920, Tempo, 265498
1, 2400, Tempo, 267547
1, 2880, Tempo, 265498
1, 3360, Tempo, 272480
1, 3840, Tempo, 265498
1, 4320, Tempo, 268240
1, 4800, Tempo, 265498
1, 5280, Tempo, 268240
1, 5760, Tempo, 265498
1, 6240, Tempo, 267547
1, 6720, Tempo, 265498
1, 7200, Tempo, 271764
1, 7680, Tempo, 265498
1, 8160, Tempo, 267547
1, 8640, Tempo, 265498
1, 9120, Tempo, 268240
1, 9600, Tempo, 265498
1, 10080, Tempo, 268240
1, 10560, Tempo, 265498
1, 11040, Tempo, 267547
1, 11520, Tempo, 265498
1, 12000, Tempo, 267547
1, 12480, Tempo, 265498
1, 12960, Tempo, 267547
1, 13440, Tempo, 280597
1, 13920, Tempo, 277598
1, 15360, Tempo, 280597
1, 15840, Tempo, 276116
1, 16800, Tempo, 278345
1, 17280, Tempo, 275381
1, 17760, Tempo, 279838
1, 18240, Tempo, 275381
1, 18720, Tempo, 284455
1, 19200, Tempo, 294146
1, 19680, Tempo, 302755
1, 20140, Tempo, 292497
1, 20160, Tempo, 265498
1, 20640, Tempo, 267547
1, 21120, Tempo, 265498
1, 21600, Tempo, 268240
1, 22080, Tempo, 265498
1, 22560, Tempo, 267547
1, 23040, Tempo, 265498
1, 23520, Tempo, 272480
1, 24000, Tempo, 265498
1, 24480, Tempo, 268240
1, 24960, Tempo, 265498
1, 25440, Tempo, 268240
1, 25920, Tempo, 265498
1, 26400, Tempo, 267547
1, 26880, Tempo, 265498
1, 27360, Tempo, 271764
1, 27840, Tempo, 265498
1, 28320, Tempo, 267547
1, 28800, Tempo, 265498
1, 29280, Tempo, 268240
1, 29760, Tempo, 265498
1, 30240, Tempo, 268240
1, 30720, Tempo, 265498
1, 31200, Tempo, 267547
1, 31680, Tempo, 265498
1, 32160, Tempo, 267547
1, 32640, Tempo, 265498
1, 33120, Tempo, 267547
1, 33600, Tempo, 280597
1, 34080, Tempo, 277598
1, 35520, Tempo, 280597
1, 36000, Tempo, 276116
1, 36960, Tempo, 278345
1, 37440, Tempo, 275381
1, 37920, Tempo, 279838
1, 38400, Tempo, 275381
1, 38880, Tempo, 284455
1, 39360, Tempo, 284455
1, 39460, Tempo, 285239
1, 39560, Tempo, 286028
1, 39660, Tempo, 286821
1, 39740, Tempo, 287618
1, 39840, Tempo, 288420
1, 39940, Tempo, 289226
1, 40020, Tempo, 290037
1, 40120, Tempo, 290853
1, 40320, Tempo, 265498
1, 40800, Tempo, 267547
1, 41280, Tempo, 265498
1, 41760, Tempo, 267547
1, 42240, Tempo, 265498
1, 42720, Tempo, 271052
1, 43200, Tempo, 268240
1, 43940, Tempo, 272480
1, 44160, Tempo, 265498
1, 44640, Tempo, 271764
1, 45120, Tempo, 267547
1, 45780, Tempo, 271052
1, 46080, Tempo, 265498
1, 46560, Tempo, 267547
1, 47040, Tempo, 265498
1, 47520, Tempo, 267547
1, 48000, Tempo, 265498
1, 48480, Tempo, 273199
1, 48960, Tempo, 268938
1, 49700, Tempo, 272480
1, 49920, Tempo, 265498
1, 50400, Tempo, 273923
1, 50880, Tempo, 268938
1, 51360, Tempo, 271052
1, 51840, Tempo, 265498
1, 55560, Tempo, 268938
1, 55680, Tempo, 265498
1, 57400, Tempo, 272480
1, 57600, Tempo, 265498
1, 63220, Tempo, 272480
1, 63360, Tempo, 265498
1, 65080, Tempo, 273923
1, 65280, Tempo, 265498
1, 66980, Tempo, 273199
1, 67200, Tempo, 265498
1, 70840, Tempo, 270343
1, 71040, Tempo, 265498
1, 74660, Tempo, 276116
1, 74880, Tempo, 265498
1, 75360, Tempo, 267547
1, 75840, Tempo, 265498
1, 76320, Tempo, 267547
1, 76800, Tempo, 265498
1, 77280, Tempo, 268240
1, 77520, Tempo, 295829
1, 77760, Tempo, 271764
1, 78240, Tempo, 282899
1, 78720, Tempo, 265498
1, 79200, Tempo, 267547
1, 79680, Tempo, 265498
1, 80160, Tempo, 267547
1, 80640, Tempo, 265498
1, 81120, Tempo, 268240
1, 81360, Tempo, 295829
1, 81600, Tempo, 271764
1, 82080, Tempo, 282899
1, 82560, Tempo, 265498
1, 83040, Tempo, 268240
1, 83280, Tempo, 303644
1, 83520, Tempo, 276855
1, 84000, Tempo, 287618
1, 84480, Tempo, 265498
1, 86400, Tempo, 265498
1, 90240, Tempo, 264819
1, 90440, Tempo, 265498
1, 90640, Tempo, 266182
1, 90820, Tempo, 266868
1, 91020, Tempo, 267547
1, 91200, Tempo, 268240
1, 91240, Tempo, 268938
1, 91260, Tempo, 269639
1, 91280, Tempo, 270343
1, 91300, Tempo, 271052
1, 91320, Tempo, 271764
1, 91340, Tempo, 272480
1, 91360, Tempo, 273199
1, 91380, Tempo, 273923
1, 91420, Tempo, 274650
1, 91440, Tempo, 275381
1, 91460, Tempo, 276116
1, 91480, Tempo, 276855
1, 91500, Tempo, 277598
1, 91520, Tempo, 278345
1, 91540, Tempo, 279096
1, 91560, Tempo, 279838
1, 91600, Tempo, 280597
1, 91620, Tempo, 281360
1, 91640, Tempo, 282127
1, 91660, Tempo, 282899
1, 91680, Tempo, 283675
1, 91700, Tempo, 284455
1, 91720, Tempo, 285239
1, 91740, Tempo, 286028
1, 91760, Tempo, 286821
1, 91800, Tempo, 287618
1, 91820, Tempo, 288420
1, 91840, Tempo, 289226
1, 91860, Tempo, 290037
1, 91880, Tempo, 290853
1, 91900, Tempo, 291673
1, 91920, Tempo, 292497
1, 91940, Tempo, 293312
1, 91980, Tempo, 294146
1, 92000, Tempo, 313758
1, 92160, Tempo, 265498
1, 92640, Tempo, 267547
1, 93120, Tempo, 265498
1, 93600, Tempo, 268240
1, 94080, Tempo, 265498
1, 94560, Tempo, 267547
1, 95040, Tempo, 265498
1, 95520, Tempo, 272480
1, 96000, Tempo, 265498
1, 96480, Tempo, 268240
1, 96960, Tempo, 265498
1, 97440, Tempo, 268240
1, 97920, Tempo, 265498
1, 98400, Tempo, 267547
1, 98880, Tempo, 265498
1, 99360, Tempo, 271764
1, 99840, Tempo, 265498
1, 100320, Tempo, 267547
1, 100800, Tempo, 265498
1, 101280, Tempo, 268240
1, 101760, Tempo, 265498
1, 102240, Tempo, 268240
1, 102720, Tempo, 265498
1, 103200, Tempo, 267547
1, 103680, Tempo, 265498
1, 104160, Tempo, 267547
1, 104640, Tempo, 265498
1, 105120, Tempo, 267547
1, 105600, Tempo, 280597
1, 106080, Tempo, 277598
1, 107520, Tempo, 280597
1, 108000, Tempo, 276116
1, 108960, Tempo, 278345
1, 109440, Tempo, 275381
1, 109920, Tempo, 279838
1, 110400, Tempo, 275381
1, 110880, Tempo, 284455
1, 111360, Tempo, 294146
1, 111840, Tempo, 302755
1, 112800, Tempo, 265498
1, 114240, Key_signature, -1, "major"
1, 114240, Tempo, 265498
1, 114720, Tempo, 267547
1, 115200, Tempo, 265498
1, 115680, Tempo, 267547
1, 116160, Tempo, 265498
1, 116640, Tempo, 271052
1, 117120, Tempo, 268240
1, 117860, Tempo, 272480
1, 118080, Tempo, 265498
1, 118560, Tempo, 267547
1, 119040, Tempo, 265498
1, 119520, Tempo, 267547
1, 120000, Tempo, 265498
1, 120480, Tempo, 271052
1, 120960, Tempo, 268240
1, 121700, Tempo, 272480
1, 121920, Tempo, 265498
1, 122400, Tempo, 279838
1, 122880, Tempo, 273923
1, 123620, Tempo, 272480
1, 123840, Tempo, 269639
1, 124320, Tempo, 296677
1, 124800, Tempo, 286821
1, 125540, Tempo, 272480
1, 126720, Key_signature, -4, "major"
1, 126720, Tempo, 265498
1, 127200, Tempo, 267547
1, 127680, Tempo, 265498
1, 128160, Tempo, 267547
1, 128640, Tempo, 265498
1, 129120, Tempo, 271052
1, 129600, Tempo, 268240
1, 130340, Tempo, 272480
