0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Kinderszenen Opus 15"
1, 0, Title_t, "Ritter vom Steckenpferd"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger."
1, 0, Text_t, "Robert Schumann"
1, 0, Text_t, "Fertiggestellt am 19.12.97\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 1.1.99\012"
1, 0, Text_t, "Update am 16.6.99\012"
1, 0, Text_t, "Update am 9.7.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 14.10.2008\012"
1, 0, Text_t, "Update am 26.3.2014\012"
1, 0, Text_t, "Dauer: 0:37 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 245902
1, 0, Marker_t, "On the Rocking Horse"
1, 240, Tempo, 279070
1, 720, Tempo, 260870
1, 960, Tempo, 251572
1, 1440, Tempo, 244898
1, 1680, Tempo, 279070
1, 2160, Tempo, 260870
1, 2400, Tempo, 252101
1, 2880, Tempo, 245902
1, 3120, Tempo, 279070
1, 3600, Tempo, 266667
1, 3840, Tempo, 254777
1, 4320, Tempo, 250522
1, 4560, Tempo, 279070
1, 5040, Tempo, 267857
1, 5280, Tempo, 258065
1, 5760, Tempo, 244898
1, 6000, Tempo, 279070
1, 6480, Tempo, 262009
1, 6720, Tempo, 251046
1, 7200, Tempo, 247423
1, 7440, Tempo, 279070
1, 7920, Tempo, 261438
1, 8160, Tempo, 254237
1, 8640, Tempo, 250522
1, 8880, Tempo, 279070
1, 9360, Tempo, 269058
1, 9600, Tempo, 259179
1, 10080, Tempo, 254777
1, 10320, Tempo, 279070
1, 10800, Tempo, 272109
1, 11040, Tempo, 254777
1, 11520, Tempo, 245902
1, 11760, Tempo, 279070
1, 12240, Tempo, 260870
1, 12480, Tempo, 251572
1, 12960, Tempo, 244898
1, 13200, Tempo, 279070
1, 13680, Tempo, 260870
1, 13920, Tempo, 252101
1, 14400, Tempo, 245902
1, 14640, Tempo, 279070
1, 15120, Tempo, 266667
1, 15360, Tempo, 254777
1, 15840, Tempo, 250522
1, 16080, Tempo, 279070
1, 16560, Tempo, 267857
1, 16800, Tempo, 258065
1, 17280, Tempo, 244898
1, 17520, Tempo, 279070
1, 18000, Tempo, 262009
1, 18240, Tempo, 251046
1, 18720, Tempo, 247423
1, 18960, Tempo, 279070
1, 19440, Tempo, 261438
1, 19680, Tempo, 254237
1, 20160, Tempo, 250522
1, 20400, Tempo, 279070
1, 20880, Tempo, 269058
1, 21120, Tempo, 259179
1, 21600, Tempo, 254777
1, 21840, Tempo, 279070
1, 22320, Tempo, 272109
1, 22560, Tempo, 269058
1, 23040, Tempo, 245902
1, 23280, Tempo, 279070
1, 23760, Tempo, 260870
1, 24000, Tempo, 251572
1, 24480, Tempo, 245902
1, 24720, Tempo, 279070
1, 25200, Tempo, 260870
1, 25440, Tempo, 251572
1, 25920, Tempo, 245902
1, 26160, Tempo, 279070
1, 26640, Tempo, 264317
1, 26880, Tempo, 253700
1, 27360, Tempo, 245902
1, 27600, Tempo, 279070
1, 28080, Tempo, 263736
1, 28320, Tempo, 254237
1, 28800, Tempo, 245902
1, 29040, Tempo, 279070
1, 29520, Tempo, 260870
1, 29760, Tempo, 251572
1, 30240, Tempo, 245902
1, 30480, Tempo, 279070
1, 30960, Tempo, 263158
1, 31200, Tempo, 254237
1, 31680, Tempo, 245902
1, 31920, Tempo, 279070
1, 32400, Tempo, 260870
1, 32640, Tempo, 251572
1, 33120, Tempo, 245902
1, 33360, Tempo, 279070
1, 33840, Tempo, 264901
1, 34080, Tempo, 255864
1, 34560, Tempo, 244898
1, 34800, Tempo, 279070
1, 35280, Tempo, 262009
1, 35520, Tempo, 251046
1, 36000, Tempo, 244898
1, 36240, Tempo, 279070
1, 36720, Tempo, 255319
1, 36960, Tempo, 251046
1, 37440, Tempo, 245399
1, 37680, Tempo, 279070
1, 38160, Tempo, 254777
1, 38400, Tempo, 250000
1, 38880, Tempo, 244898
1, 39120, Tempo, 279070
1, 39600, Tempo, 272109
1, 39840, Tempo, 254777
1, 40320, Tempo, 244898
1, 40560, Tempo, 279070
1, 41040, Tempo, 254777
1, 41280, Tempo, 251046
1, 41760, Tempo, 244898
1, 42000, Tempo, 279070
1, 42480, Tempo, 251572
1, 42720, Tempo, 247934
1, 43200, Tempo, 245399
1, 43440, Tempo, 283019
1, 43920, Tempo, 267857
1, 44160, Tempo, 258621
1, 44640, Tempo, 244898
1, 44880, Tempo, 285036
1, 45360, Tempo, 272109
1, 45600, Tempo, 266075
1, 45960, Tempo, 300000
1, 46080, Tempo, 245902
1, 46320, Tempo, 279070
1, 46800, Tempo, 260870
1, 47040, Tempo, 251572
1, 47520, Tempo, 245902
1, 47760, Tempo, 279070
1, 48240, Tempo, 260870
1, 48480, Tempo, 251572
1, 48960, Tempo, 245902
1, 49200, Tempo, 279070
1, 49680, Tempo, 264317
1, 49920, Tempo, 253700
1, 50400, Tempo, 245902
1, 50640, Tempo, 279070
1, 51120, Tempo, 263736
1, 51360, Tempo, 254237
1, 51840, Tempo, 245902
1, 52080, Tempo, 279070
1, 52560, Tempo, 260870
1, 52800, Tempo, 251572
1, 53280, Tempo, 245902
1, 53520, Tempo, 279070
1, 54000, Tempo, 263158
1, 54240, Tempo, 254237
1, 54720, Tempo, 245902
1, 54960, Tempo, 279070
1, 55440, Tempo, 260870
1, 55680, Tempo, 251572
1, 56160, Tempo, 245902
1, 56400, Tempo, 279070
1, 56880, Tempo, 264901
1, 57120, Tempo, 255864
1, 57600, Tempo, 244898
1, 57840, Tempo, 279070
1, 58320, Tempo, 262009
1, 58560, Tempo, 251046
1, 59040, Tempo, 244898
1, 59280, Tempo, 279070
1, 59760, Tempo, 255319
1, 60000, Tempo, 251046
1, 60480, Tempo, 245399
1, 60720, Tempo, 279070
1, 61200, Tempo, 254777
1, 61440, Tempo, 250000
1, 61920, Tempo, 244898
1, 62160, Tempo, 279070
1, 62640, Tempo, 272109
1, 62880, Tempo, 254777
1, 63360, Tempo, 244898
1, 63600, Tempo, 279070
1, 64080, Tempo, 258065
1, 64320, Tempo, 254237
1, 64800, Tempo, 244898
1, 65040, Tempo, 279070
1, 65520, Tempo, 256959
1, 65760, Tempo, 252632
1, 66240, Tempo, 245399
1, 66480, Tempo, 283019
1, 66960, Tempo, 271493
1, 67200, Tempo, 263158
1, 67680, Tempo, 244898
1, 67920, Tempo, 285036
1, 68400, Tempo, 272109
1, 68640, Tempo, 258621
1, 69120, Tempo, 245902
1, 69120, Marker_t, "Fine"
1, 69120, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 10, 64
2, 0, Text_t, "bdca426d104a26ac9dcb070447587523"
2, 0, Control_c, 0, 91, 127
2, 240, Note_on_c, 0, 79, 57
2, 240, Note_on_c, 0, 72, 57
2, 715, Note_on_c, 0, 72, 0
2, 715, Note_on_c, 0, 79, 0
2, 720, Note_on_c, 0, 79, 57
2, 720, Note_on_c, 0, 72, 57
2, 958, Note_on_c, 0, 72, 0
2, 958, Note_on_c, 0, 79, 0
2, 960, Note_on_c, 0, 72, 70
2, 960, Note_on_c, 0, 81, 70
2, 1435, Note_on_c, 0, 81, 0
2, 1435, Note_on_c, 0, 72, 0
2, 1680, Note_on_c, 0, 79, 57
2, 1680, Note_on_c, 0, 72, 57
2, 2155, Note_on_c, 0, 72, 0
2, 2155, Note_on_c, 0, 79, 0
2, 2160, Note_on_c, 0, 79, 57
2, 2160, Note_on_c, 0, 72, 57
2, 2398, Note_on_c, 0, 72, 0
2, 2398, Note_on_c, 0, 79, 0
2, 2400, Note_on_c, 0, 76, 68
2, 2400, Note_on_c, 0, 72, 68
2, 2875, Note_on_c, 0, 72, 0
2, 2875, Note_on_c, 0, 76, 0
2, 3120, Note_on_c, 0, 77, 54
2, 3120, Note_on_c, 0, 72, 54
2, 3595, Note_on_c, 0, 72, 0
2, 3595, Note_on_c, 0, 77, 0
2, 3600, Note_on_c, 0, 72, 54
2, 3600, Note_on_c, 0, 77, 54
2, 3838, Note_on_c, 0, 77, 0
2, 3838, Note_on_c, 0, 72, 0
2, 3840, Note_on_c, 0, 74, 65
2, 3840, Note_on_c, 0, 79, 65
2, 4315, Note_on_c, 0, 79, 0
2, 4315, Note_on_c, 0, 74, 0
2, 4560, Note_on_c, 0, 76, 51
2, 4560, Note_on_c, 0, 72, 51
2, 5035, Note_on_c, 0, 72, 0
2, 5035, Note_on_c, 0, 76, 0
2, 5040, Note_on_c, 0, 72, 51
2, 5040, Note_on_c, 0, 76, 51
2, 5278, Note_on_c, 0, 76, 0
2, 5278, Note_on_c, 0, 72, 0
2, 5280, Note_on_c, 0, 67, 60
2, 5280, Note_on_c, 0, 72, 60
2, 5755, Note_on_c, 0, 72, 0
2, 5755, Note_on_c, 0, 67, 0
2, 5760, Control_c, 0, 91, 127
2, 6000, Note_on_c, 0, 67, 45
2, 6000, Note_on_c, 0, 72, 45
2, 6475, Note_on_c, 0, 72, 0
2, 6475, Note_on_c, 0, 67, 0
2, 6480, Note_on_c, 0, 67, 45
2, 6480, Note_on_c, 0, 72, 45
2, 6718, Note_on_c, 0, 72, 0
2, 6718, Note_on_c, 0, 67, 0
2, 6720, Note_on_c, 0, 72, 55
2, 6720, Note_on_c, 0, 69, 55
2, 7195, Note_on_c, 0, 69, 0
2, 7195, Note_on_c, 0, 72, 0
2, 7440, Note_on_c, 0, 72, 45
2, 7440, Note_on_c, 0, 67, 45
2, 7915, Note_on_c, 0, 67, 0
2, 7915, Note_on_c, 0, 72, 0
2, 7920, Note_on_c, 0, 72, 46
2, 7920, Note_on_c, 0, 67, 46
2, 8158, Note_on_c, 0, 67, 0
2, 8158, Note_on_c, 0, 72, 0
2, 8160, Note_on_c, 0, 72, 54
2, 8160, Note_on_c, 0, 64, 54
2, 8635, Note_on_c, 0, 64, 0
2, 8635, Note_on_c, 0, 72, 0
2, 8880, Note_on_c, 0, 65, 43
2, 8880, Note_on_c, 0, 67, 43
2, 9355, Note_on_c, 0, 67, 0
2, 9355, Note_on_c, 0, 65, 0
2, 9360, Note_on_c, 0, 67, 43
2, 9360, Note_on_c, 0, 65, 43
2, 9598, Note_on_c, 0, 65, 0
2, 9598, Note_on_c, 0, 67, 0
2, 9600, Note_on_c, 0, 67, 58
2, 10075, Note_on_c, 0, 67, 0
2, 10320, Note_on_c, 0, 67, 34
2, 10320, Note_on_c, 0, 64, 34
2, 10795, Note_on_c, 0, 64, 0
2, 10795, Note_on_c, 0, 67, 0
2, 10800, Note_on_c, 0, 67, 34
2, 10800, Note_on_c, 0, 64, 34
2, 11038, Note_on_c, 0, 64, 0
2, 11038, Note_on_c, 0, 67, 0
2, 11040, Note_on_c, 0, 64, 45
2, 11040, Note_on_c, 0, 67, 45
2, 11515, Note_on_c, 0, 67, 0
2, 11515, Note_on_c, 0, 64, 0
2, 11520, Control_c, 0, 91, 127
2, 11760, Note_on_c, 0, 79, 57
2, 11760, Note_on_c, 0, 72, 57
2, 12235, Note_on_c, 0, 72, 0
2, 12235, Note_on_c, 0, 79, 0
2, 12240, Note_on_c, 0, 72, 57
2, 12240, Note_on_c, 0, 79, 57
2, 12478, Note_on_c, 0, 79, 0
2, 12478, Note_on_c, 0, 72, 0
2, 12480, Note_on_c, 0, 72, 70
2, 12480, Note_on_c, 0, 81, 70
2, 12955, Note_on_c, 0, 81, 0
2, 12955, Note_on_c, 0, 72, 0
2, 13200, Note_on_c, 0, 79, 57
2, 13200, Note_on_c, 0, 72, 57
2, 13675, Note_on_c, 0, 72, 0
2, 13675, Note_on_c, 0, 79, 0
2, 13680, Note_on_c, 0, 72, 57
2, 13680, Note_on_c, 0, 79, 57
2, 13918, Note_on_c, 0, 79, 0
2, 13918, Note_on_c, 0, 72, 0
2, 13920, Note_on_c, 0, 72, 68
2, 13920, Note_on_c, 0, 76, 68
2, 14395, Note_on_c, 0, 76, 0
2, 14395, Note_on_c, 0, 72, 0
2, 14640, Note_on_c, 0, 72, 54
2, 14640, Note_on_c, 0, 77, 54
2, 15115, Note_on_c, 0, 77, 0
2, 15115, Note_on_c, 0, 72, 0
2, 15120, Note_on_c, 0, 72, 54
2, 15120, Note_on_c, 0, 77, 54
2, 15358, Note_on_c, 0, 77, 0
2, 15358, Note_on_c, 0, 72, 0
2, 15360, Note_on_c, 0, 74, 67
2, 15360, Note_on_c, 0, 79, 67
2, 15835, Note_on_c, 0, 79, 0
2, 15835, Note_on_c, 0, 74, 0
2, 16080, Note_on_c, 0, 72, 51
2, 16080, Note_on_c, 0, 76, 51
2, 16555, Note_on_c, 0, 76, 0
2, 16555, Note_on_c, 0, 72, 0
