0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Februar"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allegro giusto"
1, 0, Text_t, "Fertiggestellt am 30.7.2000\012"
1, 0, Text_t, "Update am 6.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 8.8.2004\012"
1, 0, Text_t, "Update am 7.9.2008\012"
1, 0, Text_t, "Dauer: 2:45 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 458015
1, 0, Marker_t, "Allegro giusto"
1, 960, Tempo, 442804
1, 1920, Tempo, 422535
1, 2280, Tempo, 424028
1, 2360, Tempo, 422535
1, 2400, Tempo, 427046
1, 2880, Tempo, 430108
1, 2920, Tempo, 428571
1, 3080, Tempo, 427046
1, 3240, Tempo, 425532
1, 3600, Tempo, 468750
1, 3840, Tempo, 454545
1, 4800, Tempo, 436364
1, 5760, Tempo, 428571
1, 6720, Tempo, 428571
1, 6840, Tempo, 427046
1, 6960, Tempo, 425532
1, 7080, Tempo, 424028
1, 7200, Tempo, 446097
1, 7680, Tempo, 415225
1, 7920, Tempo, 442804
1, 8160, Tempo, 434783
1, 8640, Tempo, 418118
1, 8880, Tempo, 442804
1, 9120, Tempo, 434783
1, 9600, Tempo, 436364
1, 9840, Tempo, 442804
1, 10080, Tempo, 433213
1, 10320, Tempo, 439560
1, 10560, Tempo, 433213
1, 10800, Tempo, 437956
1, 11040, Tempo, 434783
1, 11520, Tempo, 418118
1, 11760, Tempo, 442804
1, 12000, Tempo, 434783
1, 12480, Tempo, 418118
1, 12720, Tempo, 442804
1, 12960, Tempo, 434783
1, 13440, Tempo, 434783
1, 13680, Tempo, 442804
1, 13920, Tempo, 430108
1, 14160, Tempo, 434783
1, 14400, Tempo, 428571
1, 14640, Tempo, 437956
1, 14880, Tempo, 434783
1, 15360, Tempo, 428571
1, 15600, Tempo, 442804
1, 15840, Tempo, 425532
1, 16080, Tempo, 434783
1, 16320, Tempo, 428571
1, 16560, Tempo, 437956
1, 16800, Tempo, 434783
1, 17280, Tempo, 425532
1, 17520, Tempo, 437956
1, 17760, Tempo, 422535
1, 18000, Tempo, 431655
1, 18240, Tempo, 424028
1, 18480, Tempo, 437956
1, 18520, Tempo, 436364
1, 18720, Tempo, 430108
1, 19200, Tempo, 425532
1, 19440, Tempo, 433213
1, 19680, Tempo, 431655
1, 20160, Tempo, 424028
1, 20400, Tempo, 433213
1, 20640, Tempo, 430108
1, 20880, Tempo, 437956
1, 21120, Tempo, 418118
1, 22080, Tempo, 422535
1, 22280, Tempo, 424028
1, 22480, Tempo, 425532
1, 22640, Tempo, 427046
1, 22840, Tempo, 428571
1, 23000, Tempo, 430108
1, 23040, Tempo, 430108
1, 24000, Tempo, 433213
1, 24240, Tempo, 446097
1, 24960, Tempo, 422535
1, 25440, Tempo, 425532
1, 25680, Tempo, 434783
1, 25920, Tempo, 430108
1, 26160, Tempo, 436364
1, 26400, Tempo, 428571
1, 26640, Tempo, 441176
1, 26880, Tempo, 441176
1, 27120, Tempo, 447761
1, 27360, Tempo, 441176
1, 27600, Tempo, 447761
1, 27840, Tempo, 437956
1, 28080, Tempo, 444444
1, 28320, Tempo, 434783
1, 28560, Tempo, 442804
1, 28800, Tempo, 425532
1, 29280, Tempo, 425532
1, 29520, Tempo, 434783
1, 29760, Tempo, 434783
1, 30000, Tempo, 439560
1, 30240, Tempo, 433213
1, 30480, Tempo, 441176
1, 30720, Tempo, 434783
1, 30960, Tempo, 447761
1, 31200, Tempo, 434783
1, 31440, Tempo, 447761
1, 31680, Tempo, 436364
1, 31920, Tempo, 444444
1, 32160, Tempo, 434783
1, 32640, Tempo, 433213
1, 32720, Tempo, 431655
1, 32800, Tempo, 430108
1, 32880, Tempo, 428571
1, 32960, Tempo, 427046
1, 33040, Tempo, 425532
1, 33080, Tempo, 424028
1, 33120, Tempo, 436364
1, 33360, Tempo, 441176
1, 33600, Tempo, 436364
1, 33840, Tempo, 442804
1, 34080, Tempo, 436364
1, 34320, Tempo, 451128
1, 34560, Tempo, 433213
1, 34640, Tempo, 431655
1, 34720, Tempo, 430108
1, 34800, Tempo, 428571
1, 34880, Tempo, 427046
1, 34960, Tempo, 425532
1, 35000, Tempo, 424028
1, 35040, Tempo, 436364
1, 35280, Tempo, 441176
1, 35520, Tempo, 436364
1, 35760, Tempo, 442804
1, 36000, Tempo, 436364
1, 36240, Tempo, 441176
1, 36480, Tempo, 433213
1, 36560, Tempo, 431655
1, 36640, Tempo, 430108
1, 36720, Tempo, 428571
1, 36800, Tempo, 427046
1, 36880, Tempo, 425532
1, 36920, Tempo, 424028
1, 36960, Tempo, 436364
1, 37200, Tempo, 441176
1, 37440, Tempo, 436364
1, 37680, Tempo, 442804
1, 37920, Tempo, 436364
1, 38160, Tempo, 451128
1, 38400, Tempo, 433213
1, 38480, Tempo, 431655
1, 38560, Tempo, 430108
1, 38640, Tempo, 428571
1, 38720, Tempo, 427046
1, 38800, Tempo, 425532
1, 38840, Tempo, 424028
1, 38880, Tempo, 436364
1, 39120, Tempo, 441176
1, 39360, Tempo, 436364
1, 39600, Tempo, 442804
1, 39840, Tempo, 436364
1, 40080, Tempo, 441176
1, 40320, Tempo, 433213
1, 40400, Tempo, 431655
1, 40480, Tempo, 430108
1, 40560, Tempo, 428571
1, 40640, Tempo, 427046
1, 40720, Tempo, 425532
1, 40760, Tempo, 424028
1, 40800, Tempo, 442804
1, 41040, Tempo, 449438
1, 41280, Tempo, 436364
1, 41520, Tempo, 442804
1, 41760, Tempo, 436364
1, 42000, Tempo, 441176
1, 42240, Tempo, 433213
1, 42320, Tempo, 431655
1, 42400, Tempo, 430108
1, 42480, Tempo, 428571
1, 42560, Tempo, 427046
1, 42640, Tempo, 425532
1, 42680, Tempo, 424028
