0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Suite bergamasque"
1, 0, Title_t, "Menuet"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Claude Debussy"
1, 0, Text_t, "Andantino"
1, 0, Text_t, "Fertiggestellt am 5.7.98\012"
1, 0, Text_t, "Korrekturen am 20.8.98\012"
1, 0, Text_t, "Beide Tracks auf Kanal 1 am 9.11.98\012"
1, 0, Text_t, "Update am 21.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 9.8.2011\012"
1, 0, Text_t, "Dauer: 4:08 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 832178
1, 0, Marker_t, "Andantino"
1, 120, Tempo, 815883
1, 240, Tempo, 790202
1, 360, Tempo, 854823
1, 480, Tempo, 810701
1, 600, Tempo, 805477
1, 720, Tempo, 785340
1, 840, Tempo, 872600
1, 960, Tempo, 837638
1, 1200, Tempo, 860585
1, 1440, Tempo, 832178
1, 1560, Tempo, 815883
1, 1680, Tempo, 800320
1, 1920, Tempo, 790202
1, 2040, Tempo, 770812
1, 2160, Tempo, 800320
1, 2280, Tempo, 837638
1, 2400, Tempo, 837638
1, 2640, Tempo, 837638
1, 2880, Tempo, 832178
1, 3000, Tempo, 815883
1, 3120, Tempo, 775595
1, 3240, Tempo, 854823
1, 3360, Tempo, 821243
1, 3480, Tempo, 815883
1, 3600, Tempo, 800320
1, 3720, Tempo, 872600
1, 3840, Tempo, 826674
1, 4080, Tempo, 860585
1, 4320, Tempo, 854823
1, 4440, Tempo, 800320
1, 4560, Tempo, 854823
1, 4680, Tempo, 832178
1, 4800, Tempo, 843289
1, 4920, Tempo, 805477
1, 5040, Tempo, 849017
1, 5160, Tempo, 826674
1, 5280, Tempo, 832178
1, 5400, Tempo, 800320
1, 5520, Tempo, 832178
1, 5640, Tempo, 937647
1, 5760, Tempo, 826674
1, 5880, Tempo, 805477
1, 6000, Tempo, 826674
1, 6120, Tempo, 815883
1, 6240, Tempo, 826674
1, 6360, Tempo, 849017
1, 6480, Tempo, 826674
1, 6840, Tempo, 805477
1, 6960, Tempo, 826674
1, 7200, Tempo, 832178
1, 7320, Tempo, 849017
1, 7440, Tempo, 832178
1, 7680, Tempo, 810701
1, 7800, Tempo, 795229
1, 7920, Tempo, 826674
1, 8040, Tempo, 805477
1, 8160, Tempo, 826674
1, 8280, Tempo, 843289
1, 8400, Tempo, 821243
1, 8760, Tempo, 805477
1, 8880, Tempo, 826674
1, 9120, Tempo, 843763
1, 9240, Tempo, 860832
1, 9360, Tempo, 832755
1, 9480, Tempo, 811469
1, 9600, Tempo, 827358
1, 9720, Tempo, 843763
1, 9840, Tempo, 832755
1, 9960, Tempo, 811469
1, 10080, Tempo, 827358
1, 10200, Tempo, 811469
1, 10320, Tempo, 827358
1, 10440, Tempo, 811469
1, 10680, Tempo, 832755
1, 10800, Tempo, 811469
1, 10920, Tempo, 791348
1, 11040, Tempo, 811469
1, 11400, Tempo, 832755
1, 11520, Tempo, 822030
1, 11880, Tempo, 806343
1, 12120, Tempo, 827358
1, 12240, Tempo, 811469
1, 12360, Tempo, 786473
1, 12480, Tempo, 811469
1, 12840, Tempo, 832755
1, 13021, Tempo, 821243
1, 13440, Tempo, 810701
1, 13600, Tempo, 805477
1, 13760, Tempo, 800320
1, 13920, Tempo, 795229
1, 14060, Tempo, 795229
1, 14240, Tempo, 790202
1, 14280, Tempo, 832178
1, 14400, Tempo, 832178
1, 15100, Tempo, 810701
1, 15120, Tempo, 826674
1, 15200, Tempo, 832178
1, 15260, Tempo, 837638
1, 15340, Tempo, 843289
1, 15400, Tempo, 849017
1, 15480, Tempo, 854823
1, 15540, Tempo, 860585
1, 15620, Tempo, 866551
1, 15680, Tempo, 872600
1, 15720, Tempo, 981675
1, 15820, Tempo, 884825
1, 15840, Tempo, 832178
1, 15960, Tempo, 800320
1, 16080, Tempo, 790202
1, 16200, Tempo, 854823
1, 16320, Tempo, 815883
1, 16440, Tempo, 795229
1, 16560, Tempo, 770812
1, 16680, Tempo, 849017
1, 16800, Tempo, 810701
1, 17040, Tempo, 860585
1, 17280, Tempo, 826674
1, 17400, Tempo, 805477
1, 17520, Tempo, 790202
1, 17760, Tempo, 790202
1, 17880, Tempo, 775595
1, 18000, Tempo, 790202
1, 18120, Tempo, 815883
1, 18240, Tempo, 810701
1, 18480, Tempo, 837638
1, 18720, Tempo, 832178
1, 18840, Tempo, 800320
1, 18960, Tempo, 790202
1, 19080, Tempo, 854823
1, 19200, Tempo, 815883
1, 19320, Tempo, 795229
1, 19440, Tempo, 770812
1, 19560, Tempo, 849017
1, 19680, Tempo, 810701
1, 19920, Tempo, 860585
1, 20160, Tempo, 826674
1, 20280, Tempo, 805477
1, 20400, Tempo, 790202
1, 20640, Tempo, 790202
1, 20760, Tempo, 766186
1, 20880, Tempo, 800320
1, 21000, Tempo, 837638
1, 21120, Tempo, 815883
1, 21240, Tempo, 854823
1, 21360, Tempo, 837638
1, 21600, Tempo, 805477
1, 21720, Tempo, 821243
1, 21840, Tempo, 815883
1, 22080, Tempo, 810701
1, 22200, Tempo, 843289
1, 22320, Tempo, 826674
1, 22560, Tempo, 849017
1, 22800, Tempo, 826674
1, 23280, Tempo, 854823
1, 23400, Tempo, 860585
1, 23500, Tempo, 866551
1, 23600, Tempo, 872600
1, 23700, Tempo, 878735
1, 23800, Tempo, 884825
1, 23900, Tempo, 891133
1, 24000, Tempo, 1005193
1, 24240, Tempo, 1174398
1, 24480, Tempo, 997175
1, 24700, Tempo, 1211387
1, 24720, Tempo, 805045
1, 24840, Tempo, 780843
1, 25080, Tempo, 795123
1, 25320, Tempo, 776096
1, 25440, Tempo, 790306
1, 25560, Tempo, 820232
1, 25680, Tempo, 872600
1, 25900, Tempo, 871713
1, 25920, Tempo, 821243
1, 26160, Tempo, 797872
1, 26280, Tempo, 761518
1, 26520, Tempo, 788022
1, 26760, Tempo, 756907
1, 26880, Tempo, 802890
1, 27000, Tempo, 839631
1, 27120, Tempo, 878735
1, 27360, Tempo, 826674
1, 27600, Tempo, 795650
1, 27720, Tempo, 761518
1, 27960, Tempo, 785855
1, 28200, Tempo, 756907
1, 28320, Tempo, 805694
1, 28440, Tempo, 837170
1, 28560, Tempo, 871460
1, 28800, Tempo, 821243
1, 29040, Tempo, 785958
1, 29160, Tempo, 762389
1, 29400, Tempo, 776297
1, 29640, Tempo, 762389
1, 29760, Tempo, 795862
1, 29880, Tempo, 843645
1, 30000, Tempo, 891133
1, 30261, Tempo, 884825
1, 30360, Tempo, 843289
1, 30480, Tempo, 843289
1, 30600, Tempo, 815883
1, 30720, Tempo, 849017
1, 30840, Tempo, 810701
1, 30960, Tempo, 843289
1, 31080, Tempo, 810701
1, 31200, Tempo, 837638
1, 31320, Tempo, 805477
1, 31440, Tempo, 837638
1, 31800, Tempo, 815883
1, 31920, Tempo, 805477
1, 32040, Tempo, 843289
1, 32160, Tempo, 815883
1, 32640, Tempo, 821243
1, 32760, Tempo, 815883
1, 33000, Tempo, 843289
1, 33120, Tempo, 837638
1, 33240, Tempo, 821243
1, 33360, Tempo, 826674
1, 33480, Tempo, 815883
1, 33600, Tempo, 837638
1, 33720, Tempo, 810701
1, 33840, Tempo, 832178
1, 33960, Tempo, 810701
1, 34080, Tempo, 832178
1, 34200, Tempo, 805477
1, 34320, Tempo, 837638
1, 34560, Tempo, 826674
1, 34680, Tempo, 805477
1, 34800, Tempo, 832178
1, 34920, Tempo, 854823
1, 35040, Tempo, 815883
1, 36480, Tempo, 848896
1, 36600, Tempo, 821580
1, 36720, Tempo, 832178
1, 36840, Tempo, 816327
1, 36960, Tempo, 837638
1, 37080, Tempo, 811140
1, 37440, Tempo, 837638
1, 37560, Tempo, 811140
1, 37920, Tempo, 821580
1, 38040, Tempo, 781454
1, 38160, Tempo, 815883
1, 38400, Tempo, 796073
1, 38520, Tempo, 767460
1, 38640, Tempo, 816327
1, 38880, Tempo, 815883
1, 39000, Tempo, 800320
1, 39360, Tempo, 837638
1, 39480, Tempo, 810701
1, 39600, Tempo, 832178
1, 39720, Tempo, 810701
1, 39840, Tempo, 837638
1, 39960, Tempo, 811140
1, 40320, Tempo, 837638
1, 40440, Tempo, 800320
1, 40560, Tempo, 810701
1, 40800, Tempo, 821580
1, 40920, Tempo, 781454
1, 41040, Tempo, 810701
1, 41280, Tempo, 796073
1, 41400, Tempo, 767460
1, 41520, Tempo, 800320
1, 41760, Tempo, 800320
1, 42000, Tempo, 780437
1, 42720, Tempo, 810701
1, 42960, Tempo, 815883
1, 43200, Tempo, 805477
1, 43440, Tempo, 815883
1, 43680, Tempo, 795229
1, 44400, Tempo, 815883
1, 44640, Tempo, 800320
1, 44880, Tempo, 780437
1, 45600, Tempo, 810701
1, 45840, Tempo, 795229
1, 46080, Tempo, 791870
1, 46320, Tempo, 806777
1, 46560, Tempo, 786988
1, 46800, Tempo, 759109
1, 47040, Tempo, 801710
1, 47280, Tempo, 754622
1, 47520, Tempo, 786988
1, 47760, Tempo, 754622
1, 48000, Tempo, 782167
1, 48240, Tempo, 763650
1, 48301, Tempo, 747943
1, 49200, Tempo, 770812
1, 49440, Tempo, 747943
1, 50160, Tempo, 734754
1, 50400, Tempo, 761518
1, 50640, Tempo, 730549
1, 50880, Tempo, 752351
1, 51120, Tempo, 775595
1, 51840, Tempo, 800320
1, 52080, Tempo, 821243
1, 52320, Tempo, 790202
1, 52800, Tempo, 815883
1, 53040, Tempo, 866551
1, 53280, Tempo, 761518
1, 53400, Tempo, 739098
1, 53760, Tempo, 761518
1, 53880, Tempo, 743494
1, 54240, Tempo, 761518
1, 54360, Tempo, 743494
1, 55200, Tempo, 756907
1, 55440, Tempo, 775595
1, 55680, Tempo, 826674
1, 55920, Tempo, 884825
1, 56160, Tempo, 761518
1, 56280, Tempo, 739098
1, 56640, Tempo, 761518
1, 56760, Tempo, 743494
1, 57120, Tempo, 761518
1, 57240, Tempo, 743494
1, 57840, Tempo, 766186
1, 58080, Tempo, 815883
1, 58320, Tempo, 872600
1, 58560, Tempo, 974026
1, 58800, Tempo, 1232033
1, 58980, Tempo, 821243
1, 59040, Tempo, 815883
1, 59160, Tempo, 790202
1, 59280, Tempo, 775595
1, 59400, Tempo, 843289
1, 59520, Tempo, 815883
1, 59640, Tempo, 795229
1, 59760, Tempo, 770812
1, 59880, Tempo, 849017
1, 60000, Tempo, 810701
1, 60240, Tempo, 860585
1, 60480, Tempo, 826674
1, 60600, Tempo, 805477
1, 60720, Tempo, 790202
1, 60960, Tempo, 790202
1, 61080, Tempo, 766186
1, 61200, Tempo, 800320
1, 61320, Tempo, 837638
1, 61440, Tempo, 866551
1, 61560, Tempo, 904023
1, 61920, Tempo, 815883
1, 62040, Tempo, 770812
1, 62160, Tempo, 752351
1, 62280, Tempo, 843289
1, 62400, Tempo, 815883
1, 62520, Tempo, 770812
1, 62640, Tempo, 752351
1, 62760, Tempo, 849017
1, 62880, Tempo, 810701
1, 63120, Tempo, 860585
1, 63360, Tempo, 826674
1, 63480, Tempo, 805477
1, 63600, Tempo, 790202
1, 63840, Tempo, 790202
1, 63960, Tempo, 766186
1, 64080, Tempo, 800320
1, 64200, Tempo, 837638
1, 64320, Tempo, 866551
1, 64440, Tempo, 904023
1, 64800, Tempo, 810701
1, 64920, Tempo, 785340
1, 65280, Tempo, 805477
1, 65400, Tempo, 775595
1, 65640, Tempo, 821243
1, 65760, Tempo, 832178
1, 66000, Tempo, 891133
1, 66240, Tempo, 810701
1, 66360, Tempo, 785340
1, 66720, Tempo, 805477
1, 66840, Tempo, 775595
1, 67080, Tempo, 826674
1, 67200, Tempo, 872600
1, 67440, Tempo, 944733
1, 67680, Tempo, 832178
1, 67800, Tempo, 815883
1, 67920, Tempo, 766186
1, 68040, Tempo, 815883
1, 68160, Tempo, 805477
1, 68280, Tempo, 795229
1, 68380, Tempo, 780437
1, 68400, Tempo, 775595
1, 68520, Tempo, 810701
1, 68640, Tempo, 826674
1, 68880, Tempo, 785340
1, 69120, Tempo, 805477
1, 70560, Tempo, 775595
1, 70580, Tempo, 790202
1, 70680, Tempo, 775795
1, 71040, Tempo, 790202
1, 71160, Tempo, 775795
1, 71520, Tempo, 815328
1, 71640, Tempo, 775795
1, 71760, Tempo, 810263
1, 71880, Tempo, 780539
1, 72000, Tempo, 805153
1, 72120, Tempo, 780539
1, 72240, Tempo, 805153
1, 72360, Tempo, 780539
1, 72480, Tempo, 815328
1, 72600, Tempo, 795123
1, 72960, Tempo, 859230
1, 73200, Tempo, 865052
1, 73440, Tempo, 775595
1, 73460, Tempo, 790202
1, 73560, Tempo, 775795
1, 73920, Tempo, 790202
1, 74040, Tempo, 775795
1, 74400, Tempo, 805477
1, 74520, Tempo, 775795
1, 74640, Tempo, 800320
1, 74760, Tempo, 775595
1, 74880, Tempo, 805153
1, 75000, Tempo, 780539
1, 75120, Tempo, 805153
1, 75240, Tempo, 780539
1, 75360, Tempo, 815328
1, 75480, Tempo, 795123
1, 75840, Tempo, 859230
1, 76080, Tempo, 884825
1, 76320, Tempo, 775595
1, 76340, Tempo, 790202
1, 76440, Tempo, 775795
1, 76800, Tempo, 790202
1, 76920, Tempo, 775795
1, 77280, Tempo, 815328
1, 77400, Tempo, 775795
1, 77520, Tempo, 810263
1, 77640, Tempo, 780539
1, 77760, Tempo, 805153
1, 77880, Tempo, 780539
1, 78000, Tempo, 805153
1, 78120, Tempo, 780539
1, 78240, Tempo, 815328
1, 78360, Tempo, 795123
1, 78720, Tempo, 859230
1, 78960, Tempo, 865052
1, 79200, Tempo, 775595
1, 79220, Tempo, 790202
1, 79320, Tempo, 770812
1, 79680, Tempo, 790202
1, 79800, Tempo, 770812
1, 80160, Tempo, 815328
1, 80280, Tempo, 775795
1, 80400, Tempo, 810263
1, 80520, Tempo, 780539
1, 80640, Tempo, 805153
1, 80760, Tempo, 780539
1, 80880, Tempo, 805153
1, 81000, Tempo, 780539
1, 81120, Tempo, 815328
1, 81240, Tempo, 795123
1, 81600, Tempo, 859230
1, 81840, Tempo, 865052
1, 81960, Tempo, 821243
1, 82080, Tempo, 795229
1, 82440, Tempo, 826674
1, 82560, Tempo, 795229
1, 82920, Tempo, 770812
1, 83040, Tempo, 795229
1, 83280, Tempo, 826674
1, 83760, Tempo, 800320
1, 84480, Tempo, 821243
1, 84600, Tempo, 800320
1, 84720, Tempo, 832178
1, 84960, Tempo, 805477
1, 85200, Tempo, 780437
1, 85440, Tempo, 805477
1, 85860, Tempo, 849017
1, 85920, Tempo, 832178
1, 86160, Tempo, 815883
1, 86340, Tempo, 897532
1, 86400, Tempo, 821243
