0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Danza Espanola No. 2"
1, 0, Title_t, "Oriental"
1, 0, Copyright_t, "Copyright © 2001 by Bernd Krueger"
1, 0, Text_t, "E. Granados"
1, 0, Text_t, "Andante"
1, 0, Text_t, "Fertiggestellt am 15.7.2001\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Dauer: 3:30 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -3, "major"
1, 0, Tempo, 495868
1, 240, Tempo, 483871
1, 480, Tempo, 478088
1, 720, Tempo, 474308
1, 960, Tempo, 483871
1, 1440, Tempo, 491803
1, 1680, Tempo, 480000
1, 1920, Tempo, 476190
1, 2160, Tempo, 472441
1, 2400, Tempo, 480000
1, 2640, Tempo, 491803
1, 2880, Tempo, 474308
1, 3360, Tempo, 487805
1, 3600, Tempo, 465116
1, 3840, Tempo, 472441
1, 4080, Tempo, 484457
1, 4320, Tempo, 472925
1, 4560, Tempo, 480538
1, 5000, Tempo, 474796
1, 5280, Tempo, 474796
1, 5520, Tempo, 484457
1, 5760, Tempo, 478507
1, 6240, Tempo, 474571
1, 6960, Tempo, 482509
1, 7200, Tempo, 469190
1, 7440, Tempo, 474796
1, 7680, Tempo, 480461
1, 7700, Tempo, 478507
1, 7740, Tempo, 482470
1, 7760, Tempo, 486539
1, 7840, Tempo, 484496
1, 7860, Tempo, 480461
1, 7880, Tempo, 478507
1, 7940, Tempo, 480461
1, 7980, Tempo, 482470
1, 8040, Tempo, 480461
1, 8060, Tempo, 478507
1, 8080, Tempo, 476531
1, 8100, Tempo, 472701
1, 8120, Tempo, 470773
1, 8140, Tempo, 472701
1, 8160, Tempo, 480461
1, 8200, Tempo, 478507
1, 8220, Tempo, 476531
1, 8240, Tempo, 472701
1, 8280, Tempo, 470773
1, 8320, Tempo, 474571
1, 8340, Tempo, 476531
1, 8400, Tempo, 474571
1, 8420, Tempo, 472701
1, 8440, Tempo, 474571
1, 8452, Tempo, 472701
1, 8480, Tempo, 486539
1, 8504, Tempo, 484496
1, 8520, Tempo, 482470
1, 8532, Tempo, 480461
1, 8544, Tempo, 486539
1, 8600, Tempo, 490597
1, 8640, Tempo, 476531
1, 9120, Tempo, 482470
1, 10560, Tempo, 490597
1, 11040, Tempo, 503398
1, 11520, Tempo, 474796
1, 11760, Tempo, 484457
1, 12000, Tempo, 472925
1, 12240, Tempo, 476190
1, 12480, Tempo, 472925
1, 12720, Tempo, 482509
1, 12960, Tempo, 472925
1, 13200, Tempo, 480538
1, 13440, Tempo, 474796
1, 13680, Tempo, 478088
1, 13920, Tempo, 476720
1, 14160, Tempo, 492490
1, 14400, Tempo, 481928
1, 14880, Tempo, 480538
1, 15120, Tempo, 466926
1, 15360, Tempo, 472441
1, 15600, Tempo, 484457
1, 15840, Tempo, 472925
1, 16080, Tempo, 480538
1, 16520, Tempo, 474796
1, 16800, Tempo, 474796
1, 17040, Tempo, 484457
1, 17280, Tempo, 481928
1, 17760, Tempo, 474571
1, 18480, Tempo, 482509
1, 18720, Tempo, 472925
1, 18960, Tempo, 484457
1, 19200, Tempo, 484496
1, 19210, Tempo, 488560
1, 19222, Tempo, 486539
1, 19234, Tempo, 484496
1, 19250, Tempo, 482470
1, 19262, Tempo, 480461
1, 19290, Tempo, 484496
1, 19302, Tempo, 486539
1, 19314, Tempo, 488560
1, 19330, Tempo, 486539
1, 19342, Tempo, 484496
1, 19354, Tempo, 482470
1, 19370, Tempo, 480461
1, 19382, Tempo, 478507
1, 19410, Tempo, 482470
1, 19422, Tempo, 484496
1, 19434, Tempo, 488560
1, 19462, Tempo, 486539
1, 19474, Tempo, 484496
1, 19490, Tempo, 482470
1, 19514, Tempo, 478507
1, 19530, Tempo, 480461
1, 19542, Tempo, 482470
1, 19554, Tempo, 488560
1, 19570, Tempo, 490597
1, 19594, Tempo, 486539
1, 19610, Tempo, 484496
1, 19622, Tempo, 480461
1, 19634, Tempo, 478507
1, 19650, Tempo, 480461
1, 19674, Tempo, 482470
1, 19690, Tempo, 484496
1, 19742, Tempo, 478507
1, 19754, Tempo, 474571
