0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke, Bächlein, Opus 62 Nr. 4"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Allegro leggiore"
1, 0, Text_t, "Erstellt:    10.10.2012 \012"
1, 0, Text_t, "Dauer: 1:23 Minuten\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 352526
1, 58, Tempo, 351494
1, 211, Tempo, 350467
1, 365, Tempo, 349447
1, 519, Tempo, 348432
1, 672, Tempo, 347423
1, 807, Tempo, 346420
1, 960, Tempo, 361011
1, 1402, Tempo, 352526
1, 1536, Tempo, 351494
1, 1671, Tempo, 350467
1, 1805, Tempo, 349447
1, 1939, Tempo, 348432
1, 2074, Tempo, 347423
1, 2208, Tempo, 346420
1, 2323, Tempo, 345423
1, 2400, Tempo, 362100
1, 2880, Tempo, 352526
1, 2899, Tempo, 346420
1, 3034, Tempo, 347423
1, 3168, Tempo, 348432
1, 3303, Tempo, 349447
1, 3437, Tempo, 350467
1, 3571, Tempo, 351494
1, 3706, Tempo, 352526
1, 3840, Tempo, 368777
1, 4320, Tempo, 352526
1, 4339, Tempo, 342466
1, 4435, Tempo, 343446
1, 4531, Tempo, 344432
1, 4608, Tempo, 345423
1, 4704, Tempo, 346420
1, 4781, Tempo, 347423
1, 4877, Tempo, 348432
1, 4973, Tempo, 349447
1, 5050, Tempo, 350467
1, 5146, Tempo, 351494
1, 5223, Tempo, 352526
1, 5280, Tempo, 366524
1, 5760, Tempo, 351494
1, 5779, Tempo, 352526
1, 5914, Tempo, 351494
1, 6048, Tempo, 350467
1, 6163, Tempo, 349447
1, 6298, Tempo, 348432
1, 6432, Tempo, 347423
1, 6547, Tempo, 346420
1, 6720, Tempo, 366524
1, 7200, Tempo, 352526
1, 7239, Tempo, 350467
1, 7431, Tempo, 349447
1, 7623, Tempo, 348432
1, 7815, Tempo, 347423
1, 8007, Tempo, 346420
1, 8160, Tempo, 364299
1, 8640, Tempo, 351494
1, 8679, Tempo, 344432
1, 8794, Tempo, 345423
1, 8909, Tempo, 346420
1, 9005, Tempo, 347423
1, 9120, Tempo, 348432
1, 9235, Tempo, 349447
1, 9331, Tempo, 350467
1, 9447, Tempo, 351494
1, 9543, Tempo, 352526
1, 9619, Tempo, 358852
1, 9960, Tempo, 418994
1, 10061, Tempo, 353565
1, 10157, Tempo, 354610
1, 10234, Tempo, 355661
1, 10330, Tempo, 356718
1, 10407, Tempo, 357782
1, 10503, Tempo, 358852
1, 10579, Tempo, 359928
1, 10675, Tempo, 361011
1, 10752, Tempo, 362100
1, 10848, Tempo, 363196
1, 10925, Tempo, 364299
1, 11002, Tempo, 365408
1, 11040, Tempo, 391645
1, 11520, Tempo, 352526
1, 11578, Tempo, 351494
1, 11731, Tempo, 350467
1, 11885, Tempo, 349447
1, 11981, Tempo, 348857
1, 12039, Tempo, 347846
1, 12077, Tempo, 346841
1, 12135, Tempo, 345841
1, 12173, Tempo, 344847
1, 12231, Tempo, 343859
1, 12269, Tempo, 342877
1, 12327, Tempo, 341900
1, 12365, Tempo, 340928
1, 12423, Tempo, 339963
1, 12461, Tempo, 339002
1, 12480, Tempo, 361011
1, 12922, Tempo, 352526
1, 13056, Tempo, 351494
1, 13191, Tempo, 350467
1, 13325, Tempo, 349447
1, 13459, Tempo, 347846
1, 13517, Tempo, 346841
1, 13555, Tempo, 345841
1, 13594, Tempo, 344847
1, 13651, Tempo, 343859
1, 13690, Tempo, 342877
1, 13728, Tempo, 341900
1, 13786, Tempo, 340928
1, 13824, Tempo, 339963
1, 13863, Tempo, 339002
1, 13901, Tempo, 338047
1, 13920, Tempo, 362100
1, 14381, Tempo, 339002
1, 14419, Tempo, 339963
1, 14458, Tempo, 340928
1, 14496, Tempo, 341900
1, 14515, Tempo, 342877
1, 14554, Tempo, 343859
1, 14592, Tempo, 344847
1, 14611, Tempo, 345841
1, 14688, Tempo, 348432
1, 14823, Tempo, 349447
1, 14957, Tempo, 350467
1, 15091, Tempo, 351494
1, 15226, Tempo, 352526
1, 15360, Tempo, 368777
1, 15840, Tempo, 352526
1, 15859, Tempo, 342466
1, 15955, Tempo, 343446
1, 16051, Tempo, 344432
1, 16128, Tempo, 345423
1, 16224, Tempo, 346420
1, 16301, Tempo, 347423
1, 16397, Tempo, 348432
1, 16493, Tempo, 349447
1, 16570, Tempo, 350467
1, 16666, Tempo, 351494
1, 16743, Tempo, 352526
1, 16800, Tempo, 366524
1, 17280, Tempo, 351494
1, 17299, Tempo, 352526
1, 17434, Tempo, 351494
1, 17568, Tempo, 350467
1, 17683, Tempo, 349447
1, 17818, Tempo, 348432
1, 17952, Tempo, 347423
1, 18067, Tempo, 346420
1, 18240, Tempo, 366524
1, 18720, Tempo, 352526
1, 18759, Tempo, 350467
1, 18951, Tempo, 349447
1, 19143, Tempo, 348432
1, 19335, Tempo, 347423
1, 19527, Tempo, 346420
1, 19680, Tempo, 364299
1, 20160, Tempo, 351494
1, 20199, Tempo, 344432
1, 20314, Tempo, 345423
1, 20429, Tempo, 346420
1, 20525, Tempo, 347423
