0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grieg: Lyrische Stücke, Norwegischer Bauernmarsch, Opus 54 Nr. 2"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Allegretto marcato"
1, 0, Text_t, "Erstellt:  4.10.2012\012"
1, 0, Text_t, "Dauer: 3:01 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 383142
1, 720, Tempo, 374766
1, 2160, Tempo, 370142
1, 2640, Tempo, 380711
1, 2880, Tempo, 391901
1, 3120, Tempo, 374766
1, 3840, Tempo, 369004
1, 4320, Tempo, 369004
1, 4800, Tempo, 378310
1, 5040, Tempo, 370142
1, 5520, Tempo, 379507
1, 5760, Tempo, 391901
1, 6000, Tempo, 372439
1, 6720, Tempo, 365631
1, 6960, Tempo, 379507
1, 7200, Tempo, 369004
1, 7680, Tempo, 385604
1, 7920, Tempo, 374766
1, 8400, Tempo, 390625
1, 8640, Tempo, 372439
1, 9120, Tempo, 391901
1, 9360, Tempo, 378310
1, 9600, Tempo, 380711
1, 9840, Tempo, 390625
1, 10080, Tempo, 405132
1, 10560, Tempo, 431344
1, 10800, Tempo, 405132
1, 11520, Tempo, 383142
1, 12240, Tempo, 374766
1, 13680, Tempo, 370142
1, 14160, Tempo, 380711
1, 14400, Tempo, 391901
1, 14640, Tempo, 374766
1, 15360, Tempo, 369004
1, 15840, Tempo, 369004
1, 16320, Tempo, 378310
1, 16560, Tempo, 370142
1, 17040, Tempo, 379507
1, 17280, Tempo, 391901
1, 17520, Tempo, 372439
1, 18240, Tempo, 365631
1, 18480, Tempo, 379507
1, 18720, Tempo, 369004
1, 19200, Tempo, 385604
1, 19440, Tempo, 374766
1, 19920, Tempo, 390625
1, 20160, Tempo, 372439
1, 20640, Tempo, 391901
1, 20880, Tempo, 378310
1, 21120, Tempo, 380711
1, 21360, Tempo, 390625
1, 21600, Tempo, 405132
1, 22080, Tempo, 431344
1, 22320, Tempo, 405132
1, 23520, Tempo, 428266
1, 24000, Tempo, 374766
1, 24480, Tempo, 369004
1, 24960, Tempo, 379507
1, 25200, Tempo, 370142
1, 25680, Tempo, 380711
1, 25920, Tempo, 391901
1, 26400, Tempo, 379507
1, 26880, Tempo, 374766
1, 28080, Tempo, 370142
1, 28560, Tempo, 380711
1, 28800, Tempo, 391901
1, 29040, Tempo, 374766
1, 29760, Tempo, 370142
1, 30240, Tempo, 366748
1, 30720, Tempo, 379507
1, 30960, Tempo, 370142
1, 31440, Tempo, 380711
1, 31680, Tempo, 391901
1, 32160, Tempo, 379507
1, 32640, Tempo, 374766
1, 33840, Tempo, 370142
1, 34320, Tempo, 380711
1, 34560, Tempo, 391901
1, 34800, Tempo, 374766
1, 35280, Tempo, 385604
1, 35520, Tempo, 362319
1, 35774, Tempo, 380711
1, 36014, Tempo, 391901
1, 36254, Tempo, 374766
1, 36960, Tempo, 362319
1, 37214, Tempo, 380711
1, 37440, Tempo, 381922
1, 37680, Tempo, 362319
1, 37934, Tempo, 380711
1, 38400, Tempo, 362319
1, 38654, Tempo, 380711
1, 38880, Tempo, 381922
1, 39120, Tempo, 362319
1, 39374, Tempo, 380711
1, 39840, Tempo, 362319
1, 40094, Tempo, 380711
1, 40320, Tempo, 381922
1, 40560, Tempo, 362319
1, 40800, Tempo, 375940
1, 40814, Tempo, 380711
1, 41280, Tempo, 362319
1, 41520, Tempo, 374766
1, 41760, Tempo, 381922
1, 42000, Tempo, 362319
1, 42240, Tempo, 372439
1, 42720, Tempo, 362319
1, 42974, Tempo, 380711
1, 43200, Tempo, 381922
1, 43440, Tempo, 362319
1, 43694, Tempo, 380711
1, 44160, Tempo, 362319
1, 44400, Tempo, 401070
1, 44640, Tempo, 381922
1, 44880, Tempo, 362319
1, 45134, Tempo, 380711
1, 45600, Tempo, 362319
1, 45854, Tempo, 380711
1, 46080, Tempo, 374766
1, 46320, Tempo, 362319
1, 46560, Tempo, 370142
1, 47040, Tempo, 362319
1, 47294, Tempo, 380711
1, 47520, Tempo, 381922
1, 47760, Tempo, 362319
1, 48000, Tempo, 367872
1, 48480, Tempo, 362319
1, 48734, Tempo, 380711
1, 48960, Tempo, 371287
1, 49200, Tempo, 362319
1, 49440, Tempo, 371287
1, 49920, Tempo, 362319
1, 50174, Tempo, 380711
1, 50400, Tempo, 381922
1, 50640, Tempo, 362319
1, 50894, Tempo, 380711
1, 51360, Tempo, 362319
1, 51614, Tempo, 380711
1, 51840, Tempo, 381922
1, 52080, Tempo, 362319
1, 52334, Tempo, 380711
1, 52800, Tempo, 362319
1, 53054, Tempo, 380711
1, 53280, Tempo, 381922
1, 53520, Tempo, 362319
1, 53774, Tempo, 380711
1, 54240, Tempo, 362319
1, 54494, Tempo, 380711
1, 54720, Tempo, 381922
1, 54960, Tempo, 362319
1, 55214, Tempo, 380711
1, 55680, Tempo, 362319
1, 55934, Tempo, 380711
1, 56160, Tempo, 381922
1, 56400, Tempo, 362319
1, 56654, Tempo, 380711
1, 57120, Tempo, 374766
1, 58320, Tempo, 370142
1, 58800, Tempo, 380711
1, 59040, Tempo, 391901
1, 59280, Tempo, 374766
1, 60000, Tempo, 370142
1, 60240, Tempo, 381922
1, 60480, Tempo, 375940
1, 61200, Tempo, 370142
1, 61680, Tempo, 380711
1, 61920, Tempo, 391901
1, 62160, Tempo, 374766
1, 62880, Tempo, 374766
1, 63360, Tempo, 370142
1, 63600, Tempo, 375940
1, 64080, Tempo, 370142
1, 64560, Tempo, 380711
1, 64800, Tempo, 391901
1, 65040, Tempo, 374766
1, 65760, Tempo, 369004
1, 66000, Tempo, 377121
1, 66240, Tempo, 374766
1, 66960, Tempo, 370142
1, 67440, Tempo, 380711
1, 67680, Tempo, 391901
1, 67920, Tempo, 374766
1, 68640, Tempo, 374766
1, 69120, Tempo, 366748
1, 69360, Tempo, 378310
1, 69840, Tempo, 370142
1, 70320, Tempo, 380711
1, 70560, Tempo, 374766
1, 71280, Tempo, 370142
1, 71760, Tempo, 380711
1, 72000, Tempo, 364520
1, 72240, Tempo, 374766
1, 72720, Tempo, 370142
1, 73200, Tempo, 380711
1, 73440, Tempo, 391901
1, 73680, Tempo, 374766
1, 74400, Tempo, 370142
1, 74640, Tempo, 380711
1, 74880, Tempo, 374766
1, 75600, Tempo, 370142
1, 76080, Tempo, 380711
1, 76320, Tempo, 391901
1, 76560, Tempo, 374766
1, 77280, Tempo, 370142
1, 77520, Tempo, 380711
1, 77760, Tempo, 366748
1, 78000, Tempo, 377121
1, 78480, Tempo, 370142
1, 78960, Tempo, 380711
1, 79200, Tempo, 391901
1, 79440, Tempo, 374766
1, 80160, Tempo, 370142
1, 80400, Tempo, 383142
1, 80640, Tempo, 369004
1, 80880, Tempo, 375940
1, 81360, Tempo, 370142
1, 81840, Tempo, 380711
1, 82080, Tempo, 374766
1, 82800, Tempo, 370142
1, 83280, Tempo, 380711
1, 83520, Tempo, 374766
1, 84240, Tempo, 370142
1, 84720, Tempo, 380711
1, 84960, Tempo, 391901
1, 85200, Tempo, 374766
1, 85680, Tempo, 397088
1, 85920, Tempo, 383142
1, 86160, Tempo, 398406
1, 86400, Tempo, 379507
1, 87120, Tempo, 370142
1, 87600, Tempo, 380711
1, 87840, Tempo, 391901
1, 88080, Tempo, 374766
1, 88800, Tempo, 383142
1, 89040, Tempo, 398406
1, 89280, Tempo, 375940
