0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate in G-Dur Hoboken XVI:40"
1, 0, Title_t, "1. Satz"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Joseph Haydn"
1, 0, Text_t, "Allegretto e innocente"
1, 0, Text_t, "Fertiggestellt am 17.1.98\012"
1, 0, Text_t, "Update am 5.10.99\012"
1, 0, Text_t, "Update am 18.6.2002\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 24.11.2011\012"
1, 0, Text_t, "Dauer: 6:34 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 631579
1, 0, Marker_t, "Allegretto innocente"
1, 1200, Tempo, 670391
1, 1200, Marker_t, "Teil 1"
1, 1440, Tempo, 631579
1, 1920, Tempo, 645161
1, 2160, Tempo, 625000
1, 2880, Tempo, 631579
1, 3840, Tempo, 648649
1, 4080, Tempo, 625000
1, 4320, Tempo, 612245
1, 4800, Tempo, 609137
1, 5040, Tempo, 612245
1, 5280, Tempo, 615385
1, 5300, Tempo, 618557
1, 5520, Tempo, 631579
1, 5760, Tempo, 612245
1, 6000, Tempo, 609137
1, 6480, Tempo, 621762
1, 6960, Tempo, 615385
1, 7680, Tempo, 625000
1, 7920, Tempo, 634921
1, 8400, Tempo, 612245
1, 8540, Tempo, 674157
1, 8640, Tempo, 612245
1, 9600, Tempo, 609137
1, 10080, Tempo, 618557
1, 10320, Tempo, 618557
1, 10800, Tempo, 612245
1, 11400, Tempo, 685714
1, 11520, Tempo, 659341
1, 11760, Tempo, 662983
1, 12960, Tempo, 631579
1, 12960, Marker_t, "Teil 1 Wiederholung"
1, 13440, Tempo, 645161
1, 13680, Tempo, 625000
1, 14400, Tempo, 631579
1, 15360, Tempo, 648649
1, 15600, Tempo, 625000
1, 15840, Tempo, 612245
1, 16320, Tempo, 609137
1, 16560, Tempo, 612245
1, 16800, Tempo, 615385
1, 16820, Tempo, 618557
1, 17040, Tempo, 628272
1, 17280, Tempo, 612245
1, 17520, Tempo, 609137
1, 18000, Tempo, 621762
1, 18480, Tempo, 615385
1, 19200, Tempo, 625000
1, 19440, Tempo, 634921
1, 19920, Tempo, 615385
1, 20040, Tempo, 674157
1, 20160, Tempo, 612245
1, 21120, Tempo, 609137
1, 21600, Tempo, 618557
1, 21840, Tempo, 618557
1, 22320, Tempo, 612245
1, 22920, Tempo, 685714
1, 23040, Tempo, 659341
1, 23280, Tempo, 662983
1, 23760, Tempo, 750000
1, 24240, Tempo, 789474
1, 24240, Marker_t, "Teil 2"
1, 24480, Tempo, 659341
1, 24960, Tempo, 670391
1, 25200, Tempo, 612245
1, 25680, Tempo, 621762
1, 25920, Tempo, 638298
1, 26880, Tempo, 638298
1, 27120, Tempo, 625000
1, 27360, Tempo, 638298
1, 28080, Tempo, 648649
1, 28560, Tempo, 662983
1, 29040, Tempo, 648649
1, 34080, Tempo, 701754
1, 34320, Tempo, 952381
1, 35640, Tempo, 909091
1, 35680, Tempo, 902256
1, 35700, Tempo, 895522
1, 35740, Tempo, 888889
1, 35760, Tempo, 882353
1, 36000, Tempo, 631579
1, 36480, Tempo, 645161
1, 36720, Tempo, 625000
1, 37440, Tempo, 631579
1, 38400, Tempo, 648649
1, 38640, Tempo, 625000
1, 38880, Tempo, 612245
1, 39360, Tempo, 609137
1, 39600, Tempo, 612245
1, 39840, Tempo, 615385
1, 39860, Tempo, 618557
1, 40080, Tempo, 631579
1, 40320, Tempo, 612245
1, 40560, Tempo, 609137
1, 41040, Tempo, 621762
1, 41520, Tempo, 615385
1, 42240, Tempo, 625000
1, 42480, Tempo, 634921
1, 42960, Tempo, 621762
1, 43200, Tempo, 612245
1, 43680, Tempo, 638298
1, 43800, Tempo, 655738
1, 43880, Tempo, 701754
1, 43920, Tempo, 612245
1, 45360, Tempo, 621762
1, 45600, Tempo, 710059
1, 45840, Tempo, 710059
1, 46080, Tempo, 779221
1, 47280, Tempo, 857143
1, 47280, Marker_t, "Teil 2 Wiederholung"
1, 47520, Tempo, 659341
1, 48000, Tempo, 670391
1, 48240, Tempo, 612245
1, 48720, Tempo, 621762
1, 48960, Tempo, 638298
1, 49920, Tempo, 638298
1, 50160, Tempo, 625000
1, 50400, Tempo, 638298
1, 51120, Tempo, 648649
1, 51600, Tempo, 662983
1, 52080, Tempo, 648649
1, 57120, Tempo, 701754
1, 57360, Tempo, 952381
1, 58680, Tempo, 909091
1, 58720, Tempo, 902256
1, 58740, Tempo, 895522
1, 58780, Tempo, 888889
1, 58800, Tempo, 882353
1, 59040, Tempo, 631579
1, 59520, Tempo, 645161
1, 59760, Tempo, 625000
1, 60480, Tempo, 631579
1, 61440, Tempo, 648649
1, 61680, Tempo, 625000
1, 61920, Tempo, 612245
1, 62400, Tempo, 609137
1, 62640, Tempo, 612245
1, 62880, Tempo, 615385
1, 62900, Tempo, 618557
1, 63120, Tempo, 631579
1, 63360, Tempo, 612245
1, 63600, Tempo, 609137
1, 64080, Tempo, 621762
1, 64560, Tempo, 615385
1, 65280, Tempo, 625000
1, 65520, Tempo, 634921
1, 66000, Tempo, 621762
1, 66240, Tempo, 612245
1, 66720, Tempo, 638298
1, 66840, Tempo, 655738
1, 66920, Tempo, 701754
1, 66960, Tempo, 612245
1, 68400, Tempo, 621762
1, 68640, Tempo, 710059
1, 68880, Tempo, 710059
1, 69120, Tempo, 779221
1, 70320, Tempo, 659341
1, 70320, Marker_t, "Teil 3"
1, 70560, Key_signature, -2, "major"
1, 70560, Tempo, 659341
1, 72000, Tempo, 659341
1, 72720, Tempo, 638298
1, 72960, Tempo, 677966
1, 73200, Tempo, 638298
1, 73680, Tempo, 655738
1, 73920, Tempo, 638298
1, 74400, Tempo, 662983
1, 74640, Tempo, 638298
1, 75120, Tempo, 631579
1, 75600, Tempo, 638298
1, 75840, Tempo, 625000
1, 76320, Tempo, 638298
1, 76560, Tempo, 693642
1, 77040, Tempo, 685714
1, 77520, Tempo, 784314
1, 77760, Tempo, 759494
1, 78960, Marker_t, "Teil 3 Wiederholung"
1, 79080, Tempo, 659341
1, 79200, Tempo, 659341
1, 80640, Tempo, 659341
1, 81360, Tempo, 638298
1, 81600, Tempo, 677966
1, 81840, Tempo, 638298
1, 82320, Tempo, 655738
1, 82560, Tempo, 638298
1, 83040, Tempo, 662983
1, 83280, Tempo, 638298
1, 83760, Tempo, 631579
1, 84240, Tempo, 638298
1, 84480, Tempo, 625000
1, 84960, Tempo, 638298
1, 85200, Tempo, 693642
