0, 0, Header, 1, 18, 480
1, 0, Start_track
1, 0, Title_t, "Haydn: Klaviersonate Hoboken XVI: 43 3. Satz"
1, 0, Copyright_t, "Copyright © 2012 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Rondo. Presto"
1, 0, Text_t, "Erstellt:  25.1.2012\012"
1, 0, Text_t, "Dauer: 5:07 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -4, "major"
1, 0, Tempo, 443099
1, 720, Marker_t, "Teil 1"
1, 1440, Tempo, 457701
1, 1680, Tempo, 475135
1, 1920, Tempo, 441534
1, 2400, Tempo, 446263
1, 2640, Tempo, 415110
1, 2880, Tempo, 459418
1, 3600, Tempo, 473335
1, 3840, Tempo, 438436
1, 4080, Tempo, 452728
1, 4320, Tempo, 491965
1, 4560, Tempo, 435382
1, 4800, Tempo, 446595
1, 5040, Tempo, 440302
1, 5280, Tempo, 447861
1, 5520, Tempo, 464540
1, 5760, Tempo, 443099
1, 6240, Tempo, 446263
1, 6480, Tempo, 415110
1, 6720, Tempo, 457701
1, 7440, Tempo, 473335
1, 7680, Tempo, 468019
1, 8400, Tempo, 443099
1, 8400, Marker_t, "Teil 1 Wiederholung"
1, 8640, Tempo, 454718
1, 8880, Tempo, 440302
1, 9120, Tempo, 454373
1, 9360, Tempo, 475135
1, 9600, Tempo, 441534
1, 10080, Tempo, 446263
1, 10320, Tempo, 415110
1, 10560, Tempo, 459418
1, 11280, Tempo, 473335
1, 11520, Tempo, 438436
1, 11760, Tempo, 452728
1, 12000, Tempo, 491965
1, 12240, Tempo, 435382
1, 12480, Tempo, 451433
1, 12720, Tempo, 440302
1, 12960, Tempo, 451094
1, 13200, Tempo, 464540
1, 13440, Tempo, 443099
1, 13920, Tempo, 446263
1, 14160, Tempo, 415110
1, 14400, Tempo, 457701
1, 15120, Tempo, 473335
1, 15360, Tempo, 468019
1, 15840, Tempo, 482470
1, 16080, Tempo, 444675
1, 16080, Marker_t, "Teil 2"
1, 16320, Tempo, 444675
1, 16800, Tempo, 457701
1, 17040, Tempo, 446595
1, 17280, Tempo, 444675
1, 17760, Tempo, 452728
1, 17880, Tempo, 454373
1, 18000, Tempo, 433871
1, 18240, Tempo, 441534
1, 18720, Tempo, 454373
1, 18960, Tempo, 445005
1, 19200, Tempo, 441534
1, 19680, Tempo, 451094
1, 19920, Tempo, 432370
1, 20160, Tempo, 441534
1, 20400, Tempo, 444675
1, 20640, Tempo, 462463
1, 20880, Tempo, 435382
1, 21120, Tempo, 441534
1, 21600, Tempo, 454373
1, 21840, Tempo, 439979
1, 22080, Tempo, 444675
1, 22800, Tempo, 456031
1, 23040, Tempo, 444675
1, 23160, Tempo, 446263
1, 23760, Tempo, 466273
1, 24000, Tempo, 471550
1, 24720, Tempo, 508001
1, 24960, Tempo, 656455
1, 25200, Tempo, 1135718
1, 25440, Tempo, 596837
1, 25680, Tempo, 443099
1, 26640, Tempo, 475135
1, 26880, Tempo, 441534
1, 27360, Tempo, 446263
1, 27600, Tempo, 415110
1, 27840, Tempo, 459418
1, 28320, Tempo, 465911
1, 28560, Tempo, 473335
1, 28800, Tempo, 438436
1, 29040, Tempo, 452728
1, 29280, Tempo, 491965
1, 29520, Tempo, 435382
1, 29760, Tempo, 451433
1, 30000, Tempo, 438757
1, 30480, Tempo, 464540
1, 30720, Tempo, 443099
1, 31200, Tempo, 446263
1, 31440, Tempo, 415110
1, 31680, Tempo, 457701
1, 32160, Tempo, 464181
1, 32400, Tempo, 473335
1, 32640, Tempo, 468019
1, 33360, Tempo, 444675
1, 33360, Marker_t, "Teil 2 Wiederholung"
1, 33600, Tempo, 444675
1, 34080, Tempo, 457701
1, 34320, Tempo, 445005
1, 34560, Tempo, 444675
1, 35040, Tempo, 452728
1, 35160, Tempo, 454373
1, 35280, Tempo, 433871
1, 35520, Tempo, 441534
1, 36000, Tempo, 454373
1, 36240, Tempo, 440302
1, 36480, Tempo, 441534
1, 36960, Tempo, 451094
1, 37200, Tempo, 432370
1, 37440, Tempo, 441534
1, 37680, Tempo, 444675
1, 37920, Tempo, 462463
