0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etude No. 5 aus Grandes Etudes de Paganini"
1, 0, Copyright_t, "Copyright © 1998 von Bernd Krüger. http://www.piano-midi.de"
1, 0, Text_t, "Franz Liszt"
1, 0, Text_t, "Allegretto"
1, 0, Text_t, "Korrekturen am 21.8.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 29.12.98\012"
1, 0, Text_t, "Update am 24.4.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 9.2.2011\012"
1, 0, Text_t, "Update am 4.3.2014\012"
1, 0, Text_t, "Dauer: 3:04 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 817327
1, 1200, Tempo, 794702
1, 1440, Tempo, 817327
1, 1680, Tempo, 789266
1, 1920, Tempo, 817327
1, 2160, Tempo, 794702
1, 2400, Tempo, 817327
1, 2640, Tempo, 783801
1, 2760, Tempo, 783801
1, 2880, Tempo, 789266
1, 3120, Tempo, 752823
1, 3240, Tempo, 773196
1, 3360, Tempo, 778513
1, 3600, Tempo, 752823
1, 3720, Tempo, 773196
1, 3840, Tempo, 762873
1, 4080, Tempo, 747943
1, 4200, Tempo, 805910
1, 4320, Tempo, 778513
1, 4560, Tempo, 752823
1, 4680, Tempo, 762873
1, 4800, Tempo, 778513
1, 5040, Tempo, 762873
1, 5280, Tempo, 778513
1, 5520, Tempo, 738280
1, 5640, Tempo, 747943
1, 5760, Tempo, 762873
1, 6000, Tempo, 743126
1, 6120, Tempo, 757863
1, 6240, Tempo, 762873
1, 6480, Tempo, 773196
1, 6600, Tempo, 794702
1, 6720, Tempo, 783801
1, 6960, Tempo, 800213
1, 7200, Tempo, 783801
1, 7440, Tempo, 823271
1, 7560, Tempo, 908265
1, 7920, Tempo, 762873
1, 8400, Tempo, 702083
1, 8520, Tempo, 733496
1, 8640, Tempo, 743126
1, 8880, Tempo, 689338
1, 9000, Tempo, 710732
1, 9120, Tempo, 724200
1, 9360, Tempo, 685244
1, 9460, Tempo, 710732
1, 9480, Tempo, 743126
1, 9600, Tempo, 733496
1, 9840, Tempo, 702083
1, 9960, Tempo, 733496
1, 10080, Tempo, 794702
1, 10320, Tempo, 706381
1, 10440, Tempo, 728863
1, 10560, Tempo, 733496
1, 10800, Tempo, 665336
1, 10920, Tempo, 719683
1, 11040, Tempo, 685244
1, 11280, Tempo, 697756
1, 11400, Tempo, 743126
1, 11520, Tempo, 778008
1, 11760, Tempo, 857388
1, 11880, Tempo, 940439
1, 12000, Tempo, 1041486
1, 12240, Tempo, 773196
1, 12360, Tempo, 778513
1, 12480, Tempo, 783801
1, 12720, Tempo, 757863
1, 12840, Tempo, 783801
1, 12960, Tempo, 851547
1, 13200, Tempo, 702083
1, 13320, Tempo, 719683
1, 13440, Tempo, 762873
1, 13680, Tempo, 715222
1, 13800, Tempo, 757863
1, 13920, Tempo, 794702
1, 14160, Tempo, 773196
1, 14280, Tempo, 794702
1, 14400, Tempo, 783801
1, 14640, Tempo, 800213
1, 14880, Tempo, 783801
1, 15120, Tempo, 880153
1, 15240, Tempo, 1122125
1, 15360, Tempo, 978155
1, 16040, Tempo, 805261
1, 16080, Tempo, 669195
1, 16320, Tempo, 689338
1, 16560, Tempo, 665336
1, 16800, Tempo, 685244
1, 17040, Tempo, 661521
1, 17280, Tempo, 685244
1, 17520, Tempo, 661521
1, 17760, Tempo, 681122
1, 18000, Tempo, 646482
1, 18120, Tempo, 694766
1, 18240, Tempo, 677124
1, 18480, Tempo, 646482
1, 18600, Tempo, 685323
1, 18720, Tempo, 673174
1, 18960, Tempo, 646482
1, 19080, Tempo, 685323
1, 19200, Tempo, 673174
1, 19440, Tempo, 642880
1, 19560, Tempo, 669195
1, 19680, Tempo, 677124
1, 19920, Tempo, 669195
1, 20160, Tempo, 689338
1, 20400, Tempo, 665336
1, 20640, Tempo, 685244
1, 20880, Tempo, 661521
1, 21120, Tempo, 681122
1, 21360, Tempo, 642880
1, 21480, Tempo, 646482
1, 21600, Tempo, 673174
1, 21840, Tempo, 642880
1, 21960, Tempo, 650195
1, 22080, Tempo, 673174
1, 22320, Tempo, 657606
1, 22440, Tempo, 685323
1, 22560, Tempo, 653880
1, 22800, Tempo, 685244
1, 22920, Tempo, 715222
1, 23040, Tempo, 743126
1, 23160, Tempo, 693481
1, 23280, Tempo, 710732
1, 23480, Tempo, 680735
1, 23520, Tempo, 747943
1, 23760, Tempo, 650195
1, 23880, Tempo, 693481
1, 24000, Tempo, 677124
1, 24240, Tempo, 628733
1, 24360, Tempo, 650195
1, 24480, Tempo, 669195
1, 24720, Tempo, 618557
1, 24840, Tempo, 650195
1, 24960, Tempo, 681122
1, 25200, Tempo, 611933
1, 25320, Tempo, 650195
