0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Ungarische Rhapsodie Nr. 2"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Frannz Liszt"
1, 0, Text_t, "Fertiggestellt: 24.4.2007\012"
1, 0, Text_t, "Update am 23.3.2011\012"
1, 0, Text_t, "Update am 7.3.2014\012"
1, 0, Text_t, "Dauer: 8:46 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 600000
1, 480, Tempo, 712251
1, 840, Marker_t, "Lento a capriccio"
1, 960, Tempo, 1548787
1, 1320, Tempo, 712251
1, 1440, Tempo, 1569038
1, 1680, Tempo, 1039141
1, 1760, Tempo, 776800
1, 1840, Tempo, 926784
1, 1920, Tempo, 1548787
1, 2280, Tempo, 712251
1, 2400, Tempo, 1548787
1, 2640, Tempo, 1669449
1, 2760, Tempo, 1381215
1, 2820, Tempo, 2109705
1, 2880, Tempo, 1413761
1, 3240, Tempo, 740924
1, 3360, Tempo, 1569038
1, 3600, Tempo, 762002
1, 3680, Tempo, 889680
1, 3760, Tempo, 1053741
1, 3840, Tempo, 1420455
1, 4160, Tempo, 795334
1, 4200, Tempo, 776800
1, 4320, Tempo, 1611171
1, 4560, Tempo, 1742160
1, 4620, Tempo, 1849568
1, 4680, Tempo, 2186589
1, 4740, Tempo, 2358491
1, 4800, Tempo, 1633097
1, 5160, Tempo, 716503
1, 5280, Tempo, 1727116
1, 5520, Tempo, 1430615
1, 5640, Tempo, 926784
1, 5760, Tempo, 1702611
1, 6120, Tempo, 1048218
1, 6240, Tempo, 1646542
1, 6480, Tempo, 1984127
1, 6540, Tempo, 1971091
1, 6560, Tempo, 2331002
1, 6600, Tempo, 2227171
1, 6640, Tempo, 2527380
1, 6660, Tempo, 3289474
1, 6720, Tempo, 1752336
1, 7080, Tempo, 1243781
1, 7200, Tempo, 1805054
1, 7680, Tempo, 3480278
1, 7760, Tempo, 1778305
1, 7840, Tempo, 1655629
1, 7920, Tempo, 1569038
1, 8000, Tempo, 1678791
1, 8080, Tempo, 1861042
1, 8160, Tempo, 1678791
1, 8240, Tempo, 1778305
1, 8400, Tempo, 1984127
1, 8480, Tempo, 6864989
1, 8560, Tempo, 2286585
1, 8640, Tempo, 1297578
1, 8640, Marker_t, "Andante, mesto"
1, 9000, Tempo, 695733
1, 9120, Tempo, 1311762
1, 9480, Tempo, 708048
1, 9600, Tempo, 1297578
1, 9960, Tempo, 691722
1, 10080, Tempo, 1283697
1, 10440, Tempo, 813670
1, 10560, Tempo, 1270110
1, 10920, Tempo, 708048
1, 11040, Tempo, 1066856
1, 11280, Tempo, 1004352
1, 11520, Tempo, 892326
1, 11640, Tempo, 926784
1, 11760, Tempo, 987817
1, 11880, Tempo, 752445
1, 12000, Tempo, 1004352
1, 12360, Tempo, 996016
1, 12480, Tempo, 1048218
1, 12840, Tempo, 691722
1, 12960, Tempo, 1142857
1, 13320, Tempo, 725163
1, 13440, Tempo, 1106195
1, 13800, Tempo, 703895
1, 13920, Tempo, 1106195
1, 14280, Tempo, 738552
1, 14400, Tempo, 1270110
1, 14760, Tempo, 708048
1, 14880, Tempo, 1016949
1, 15360, Tempo, 879250
1, 15480, Tempo, 912686
1, 15600, Tempo, 975610
1, 15720, Tempo, 752445
1, 15840, Tempo, 944882
1, 16200, Tempo, 996016
1, 16320, Tempo, 1048218
1, 16680, Tempo, 691722
1, 16800, Tempo, 1126972
1, 17160, Tempo, 725163
1, 17280, Tempo, 933998
1, 17640, Tempo, 703895
1, 17760, Tempo, 1106195
1, 18120, Tempo, 1371742
1, 18180, Tempo, 889680
1, 18240, Tempo, 1086169
1, 18600, Tempo, 708048
1, 18720, Tempo, 897263
1, 19200, Tempo, 845070
1, 19320, Tempo, 919681
1, 19440, Tempo, 839866
1, 19560, Tempo, 790097
1, 19680, Tempo, 857878
1, 19800, Tempo, 931099
1, 19920, Tempo, 870322
1, 20040, Tempo, 1112347
1, 20160, Tempo, 979752
1, 20520, Tempo, 691722
1, 20640, Tempo, 1000000
1, 21000, Tempo, 725163
1, 21120, Tempo, 933998
1, 21480, Tempo, 703895
1, 21600, Tempo, 1106195
1, 21960, Tempo, 738552
1, 22080, Tempo, 1121495
1, 22440, Tempo, 708048
1, 22560, Tempo, 1066856
1, 23040, Tempo, 1411765
1, 23220, Tempo, 937500
1, 23223, Tempo, 810811
1, 23247, Tempo, 805369
1, 23259, Tempo, 800000
1, 23271, Tempo, 794702
1, 23283, Tempo, 789474
1, 23295, Tempo, 784314
1, 23307, Tempo, 779221
1, 23319, Tempo, 774194
1, 23331, Tempo, 769231
1, 23343, Tempo, 764331
1, 23355, Tempo, 759494
1, 23367, Tempo, 754717
1, 23391, Tempo, 750000
1, 23403, Tempo, 745342
1, 23415, Tempo, 740741
1, 23427, Tempo, 736196
1, 23439, Tempo, 731707
1, 23451, Tempo, 727273
1, 23463, Tempo, 722892
1, 23475, Tempo, 718563
1, 23487, Tempo, 714286
1, 23499, Tempo, 710059
1, 23511, Tempo, 705882
1, 23535, Tempo, 697674
1, 23595, Tempo, 693642
1, 23643, Tempo, 689655
1, 23703, Tempo, 685714
1, 23751, Tempo, 681818
1, 23811, Tempo, 677966
1, 23859, Tempo, 674157
1, 23907, Tempo, 670391
1, 23967, Tempo, 666667
1, 24015, Tempo, 662983
1, 24075, Tempo, 659341
1, 24123, Tempo, 655738
1, 24171, Tempo, 652174
1, 24183, Tempo, 652174
1, 24231, Tempo, 655738
1, 24267, Tempo, 659341
1, 24303, Tempo, 662983
1, 24339, Tempo, 666667
1, 24387, Tempo, 670391
1, 24423, Tempo, 674157
1, 24459, Tempo, 677966
1, 24480, Tempo, 722892
1, 24540, Tempo, 648649
1, 24567, Tempo, 652174
1, 24603, Tempo, 655738
1, 24627, Tempo, 659341
1, 24651, Tempo, 662983
1, 24675, Tempo, 666667
1, 24699, Tempo, 670391
1, 24723, Tempo, 674157
1, 24747, Tempo, 677966
1, 24771, Tempo, 681818
1, 24795, Tempo, 685714
1, 24819, Tempo, 689655
1, 24843, Tempo, 693642
1, 24900, Tempo, 774194
1, 24939, Tempo, 710059
1, 24951, Tempo, 670391
1, 24960, Time_signature, 3, 2, 24, 8
1, 24987, Tempo, 674157
1, 25011, Tempo, 677966
1, 25035, Tempo, 681818
1, 25059, Tempo, 685714
1, 25095, Tempo, 689655
1, 25119, Tempo, 693642
1, 25143, Tempo, 697674
1, 25167, Tempo, 701754
1, 25191, Tempo, 705882
1, 25260, Tempo, 805369
1, 25299, Tempo, 722892
1, 25320, Tempo, 727273
1, 25560, Tempo, 967742
1, 25611, Tempo, 845070
1, 25647, Tempo, 839161
1, 25683, Tempo, 833333
1, 25719, Tempo, 827586
1, 25755, Tempo, 821918
1, 25791, Tempo, 816327
1, 25815, Tempo, 810811
1, 25851, Tempo, 805369
1, 25887, Tempo, 800000
1, 25923, Tempo, 794702
1, 25959, Tempo, 789474
1, 25995, Tempo, 784314
1, 26019, Tempo, 779221
1, 26040, Tempo, 2527380
1, 26280, Tempo, 1270110
1, 26400, Time_signature, 2, 2, 24, 8
1, 26400, Tempo, 1081081
1, 26760, Tempo, 691722
1, 26880, Tempo, 1126972
1, 27240, Tempo, 725163
1, 27360, Tempo, 1250000
1, 27720, Tempo, 967742
1, 27840, Tempo, 1714286
1, 28200, Tempo, 1209677
1, 28260, Tempo, 1734104
1, 28320, Tempo, 1270110
1, 28680, Tempo, 708048
1, 28800, Tempo, 977676
1, 29280, Tempo, 917852
1, 29400, Tempo, 1000000
1, 29520, Tempo, 910885
1, 29640, Tempo, 967742
1, 29760, Tempo, 897263
1, 29880, Tempo, 960000
1, 30000, Tempo, 895522
1, 30120, Tempo, 975610
1, 30240, Tempo, 1064396
1, 30600, Tempo, 708048
1, 30720, Tempo, 1008403
1, 31200, Tempo, 1156738
1, 31560, Tempo, 708048
1, 31680, Tempo, 1124227
1, 32061, Tempo, 708048
1, 32160, Tempo, 1179477
1, 32520, Tempo, 708048
1, 32640, Tempo, 932111
1, 33120, Tempo, 930233
1, 33240, Tempo, 1000000
1, 33360, Tempo, 917852
1, 33480, Tempo, 967742
