0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Mendelssohn: Lieder ohne Worte Opus 30 Nr. 3"
1, 0, Copyright_t, "Copyright © 2015 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Adagio non troppo"
1, 0, Text_t, "Erstellt: 23.2.2015\012"
1, 0, Text_t, "Dauer:  1:44 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 971660
1, 2580, Tempo, 956938
1, 2610, Tempo, 964320
1, 2640, Tempo, 971660
1, 2670, Tempo, 979272
1, 2700, Tempo, 987004
1, 2730, Tempo, 994860
1, 2760, Tempo, 1002841
1, 2790, Tempo, 1010952
1, 2820, Tempo, 1019195
1, 2850, Tempo, 1035912
1, 3360, Tempo, 1090116
1, 3840, Tempo, 956938
1, 5520, Tempo, 1080692
1, 5760, Tempo, 964320
1, 7200, Tempo, 1002841
1, 7440, Tempo, 1099707
1, 7680, Tempo, 994860
1, 8640, Tempo, 971660
1, 9120, Tempo, 987004
1, 9360, Tempo, 1062323
1, 9600, Tempo, 971660
1, 10560, Tempo, 994860
1, 11040, Tempo, 1019195
1, 11280, Tempo, 1150086
1, 11520, Tempo, 971660
1, 12480, Tempo, 956938
1, 13200, Tempo, 1080692
1, 13440, Tempo, 964320
1, 14640, Tempo, 942507
1, 14880, Tempo, 964320
1, 15120, Tempo, 1053371
1, 15360, Tempo, 994860
1, 16320, Tempo, 971660
1, 16800, Tempo, 987004
1, 17040, Tempo, 1062323
1, 17280, Tempo, 971660
1, 18240, Tempo, 994860
1, 18720, Tempo, 1019195
1, 18960, Tempo, 1150086
1, 19200, Tempo, 971660
1, 20160, Tempo, 971660
1, 20640, Tempo, 987004
1, 20880, Tempo, 1062323
1, 21120, Tempo, 971660
1, 22080, Tempo, 994860
1, 22560, Tempo, 1019195
1, 22800, Tempo, 1150086
1, 23040, Tempo, 971660
1, 24000, Tempo, 971660
1, 24480, Tempo, 987004
1, 24720, Tempo, 1062323
1, 24960, Tempo, 971660
1, 25920, Tempo, 994860
1, 26400, Tempo, 1019195
1, 26640, Tempo, 1071429
1, 26880, Tempo, 971660
1, 27120, Tempo, 921659
1, 27360, Tempo, 964320
1, 27600, Tempo, 921659
1, 27720, Tempo, 942507
1, 27840, Tempo, 964320
1, 28080, Tempo, 971660
1, 28320, Tempo, 971660
1, 28560, Tempo, 1090116
1, 28800, Tempo, 979272
1, 29040, Tempo, 921659
1, 29280, Tempo, 964320
1, 29520, Tempo, 921659
1, 29640, Tempo, 942507
1, 29760, Tempo, 964320
1, 30000, Tempo, 971660
1, 30240, Tempo, 971660
1, 30480, Tempo, 1090116
1, 30720, Tempo, 979272
1, 31080, Tempo, 1071429
1, 31320, Tempo, 1129305
1, 31560, Tempo, 1457726
1, 31680, Tempo, 956938
1, 32400, Tempo, 1080692
1, 32640, Tempo, 964320
1, 34080, Tempo, 1002841
1, 34320, Tempo, 1099707
1, 34560, Tempo, 994860
1, 35520, Tempo, 971660
1, 36000, Tempo, 987004
1, 36240, Tempo, 1062323
1, 36480, Tempo, 971660
1, 37440, Tempo, 994860
1, 37920, Tempo, 1019195
1, 38160, Tempo, 1150086
1, 38400, Tempo, 971660
1, 39360, Tempo, 971660
1, 39840, Tempo, 1002841
1, 40080, Tempo, 1062323
1, 40320, Tempo, 971660
1, 41280, Tempo, 971660
1, 41760, Tempo, 1002841
1, 42000, Tempo, 1062323
1, 42240, Tempo, 971660
1, 43200, Tempo, 987004
1, 43680, Tempo, 1035912
1, 43920, Tempo, 1119194
1, 44160, Tempo, 1002841
1, 45120, Tempo, 1027573
1, 45600, Tempo, 1090116
1, 45840, Tempo, 1150086
1, 46080, Tempo, 971660
1, 48660, Tempo, 956938
1, 48690, Tempo, 964320
1, 48720, Tempo, 971660
1, 48750, Tempo, 979272
1, 48780, Tempo, 987004
1, 48810, Tempo, 994860
1, 48840, Tempo, 1002841
1, 48870, Tempo, 1010952
1, 48900, Tempo, 1019195
1, 48930, Tempo, 1035912
1, 49440, Tempo, 1090116
1, 49920, Tempo, 956938
1, 50160, Tempo, 956938
1, 50160, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 480, Note_on_c, 0, 59, 47
2, 600, Note_on_c, 0, 59, 0
2, 600, Note_on_c, 0, 64, 40
2, 720, Note_on_c, 0, 64, 0
2, 720, Note_on_c, 0, 68, 40
2, 840, Note_on_c, 0, 68, 0
2, 840, Note_on_c, 0, 71, 40
2, 960, Note_on_c, 0, 71, 0
2, 1440, Note_on_c, 0, 71, 46
2, 1560, Note_on_c, 0, 71, 0
2, 1560, Note_on_c, 0, 76, 40
2, 1680, Note_on_c, 0, 76, 0
2, 1680, Note_on_c, 0, 80, 40
2, 1800, Note_on_c, 0, 80, 0
2, 1800, Note_on_c, 0, 83, 40
2, 1920, Note_on_c, 0, 83, 0
2, 1920, Note_on_c, 0, 59, 45
2, 2040, Note_on_c, 0, 59, 0
2, 2040, Note_on_c, 0, 68, 40
2, 2160, Note_on_c, 0, 68, 0
2, 2160, Note_on_c, 0, 71, 40
2, 2280, Note_on_c, 0, 71, 0
2, 2280, Note_on_c, 0, 76, 40
2, 2400, Note_on_c, 0, 76, 0
2, 2400, Note_on_c, 0, 80, 47
2, 2520, Note_on_c, 0, 80, 0
2, 2520, Note_on_c, 0, 83, 41
2, 2640, Note_on_c, 0, 83, 0
2, 2640, Note_on_c, 0, 88, 42
2, 2760, Note_on_c, 0, 88, 0
2, 2760, Note_on_c, 0, 92, 45
2, 2880, Note_on_c, 0, 92, 0
2, 2880, Note_on_c, 0, 95, 47
2, 3120, Note_on_c, 0, 95, 0
2, 3360, Note_on_c, 0, 63, 38
2, 3360, Note_on_c, 0, 59, 32
2, 3360, Note_on_c, 0, 57, 32
2, 3600, Note_on_c, 0, 57, 0
2, 3600, Note_on_c, 0, 59, 0
2, 3600, Note_on_c, 0, 63, 0
2, 3840, Note_on_c, 0, 56, 34
2, 3840, Note_on_c, 0, 59, 34
2, 3840, Note_on_c, 0, 64, 40
2, 4080, Note_on_c, 0, 64, 0
2, 4080, Note_on_c, 0, 59, 0
2, 4080, Note_on_c, 0, 56, 0
2, 4800, Note_on_c, 0, 68, 51
2, 4800, Note_on_c, 0, 59, 43
2, 4800, Note_on_c, 0, 64, 43
2, 5280, Note_on_c, 0, 64, 0
2, 5280, Note_on_c, 0, 59, 0
2, 5280, Note_on_c, 0, 68, 0
2, 5280, Note_on_c, 0, 66, 47
2, 5640, Note_on_c, 0, 66, 0
2, 5640, Note_on_c, 0, 64, 42
2, 5750, Note_on_c, 0, 64, 0
2, 5760, Note_on_c, 0, 64, 42
2, 5760, Note_on_c, 0, 71, 50
2, 6000, Note_on_c, 0, 71, 0
2, 6000, Note_on_c, 0, 69, 40
2, 6480, Note_on_c, 0, 69, 0
2, 6480, Note_on_c, 0, 68, 40
2, 6696, Note_on_c, 0, 68, 0
2, 6720, Note_on_c, 0, 64, 0
2, 6720, Note_on_c, 0, 66, 43
2, 6720, Note_on_c, 0, 58, 36
2, 6936, Note_on_c, 0, 66, 0
2, 6960, Note_on_c, 0, 64, 40
2, 7176, Note_on_c, 0, 64, 0
2, 7200, Note_on_c, 0, 63, 40
2, 7416, Note_on_c, 0, 63, 0
2, 7440, Note_on_c, 0, 64, 40
2, 7656, Note_on_c, 0, 64, 0
2, 7680, Note_on_c, 0, 58, 0
2, 7680, Note_on_c, 0, 68, 45
2, 7680, Note_on_c, 0, 59, 38
2, 8160, Note_on_c, 0, 68, 0
2, 8160, Note_on_c, 0, 66, 38
2, 8400, Note_on_c, 0, 66, 0
2, 8400, Note_on_c, 0, 59, 0
2, 8640, Note_on_c, 0, 66, 60
2, 8640, Note_on_c, 0, 62, 50
2, 8640, Note_on_c, 0, 59, 50
2, 9120, Note_on_c, 0, 59, 0
2, 9120, Note_on_c, 0, 62, 0
2, 9120, Note_on_c, 0, 66, 0
2, 9120, Note_on_c, 0, 66, 71
2, 9120, Note_on_c, 0, 61, 56
2, 9480, Note_on_c, 0, 61, 0
2, 9480, Note_on_c, 0, 66, 0
2, 9480, Note_on_c, 0, 59, 56
2, 9480, Note_on_c, 0, 65, 56
2, 9480, Note_on_c, 0, 68, 67
2, 9600, Note_on_c, 0, 68, 0
2, 9600, Note_on_c, 0, 65, 0
2, 9600, Note_on_c, 0, 59, 0
2, 9600, Note_on_c, 0, 57, 57
2, 9600, Note_on_c, 0, 66, 57
2, 9600, Note_on_c, 0, 69, 68
2, 10320, Note_on_c, 0, 69, 0
2, 10320, Note_on_c, 0, 66, 0
2, 10320, Note_on_c, 0, 57, 0
2, 10320, Note_on_c, 0, 66, 42
2, 10560, Note_on_c, 0, 66, 0
2, 10560, Note_on_c, 0, 61, 45
2, 10560, Note_on_c, 0, 57, 38
2, 10800, Note_on_c, 0, 61, 0
2, 10800, Note_on_c, 0, 63, 37
2, 11040, Note_on_c, 0, 63, 0
2, 11040, Note_on_c, 0, 68, 45
2, 11400, Note_on_c, 0, 68, 0
2, 11400, Note_on_c, 0, 66, 41
2, 11520, Note_on_c, 0, 66, 0
2, 11520, Note_on_c, 0, 57, 0
2, 11520, Note_on_c, 0, 64, 41
2, 11520, Note_on_c, 0, 56, 34
2, 12000, Note_on_c, 0, 56, 0
2, 12000, Note_on_c, 0, 64, 0
2, 12480, Note_on_c, 0, 68, 51
2, 12480, Note_on_c, 0, 59, 43
2, 12480, Note_on_c, 0, 64, 43
2, 12960, Note_on_c, 0, 64, 0
2, 12960, Note_on_c, 0, 59, 0
2, 12960, Note_on_c, 0, 68, 0
2, 12960, Note_on_c, 0, 66, 47
2, 13320, Note_on_c, 0, 66, 0
2, 13320, Note_on_c, 0, 64, 42
2, 13430, Note_on_c, 0, 64, 0
2, 13440, Note_on_c, 0, 64, 50
2, 13440, Note_on_c, 0, 76, 67
2, 14160, Note_on_c, 0, 76, 0
2, 14160, Note_on_c, 0, 75, 55
2, 14376, Note_on_c, 0, 75, 0
2, 14400, Note_on_c, 0, 73, 58
2, 14616, Note_on_c, 0, 73, 0
2, 14640, Note_on_c, 0, 71, 55
2, 14856, Note_on_c, 0, 71, 0
2, 14880, Note_on_c, 0, 64, 0
2, 14880, Note_on_c, 0, 65, 49
2, 14880, Note_on_c, 0, 69, 55
2, 15096, Note_on_c, 0, 69, 0
2, 15120, Note_on_c, 0, 68, 55
2, 15336, Note_on_c, 0, 68, 0
2, 15360, Note_on_c, 0, 73, 62
2, 15840, Note_on_c, 0, 73, 0
2, 15840, Note_on_c, 0, 65, 0
2, 15840, Note_on_c, 0, 66, 38
2, 16080, Note_on_c, 0, 66, 0
2, 16320, Note_on_c, 0, 66, 48
2, 16320, Note_on_c, 0, 62, 40
2, 16320, Note_on_c, 0, 59, 40
2, 16800, Note_on_c, 0, 59, 0
2, 16800, Note_on_c, 0, 62, 0
2, 16800, Note_on_c, 0, 66, 0
2, 16800, Note_on_c, 0, 66, 56
2, 16800, Note_on_c, 0, 61, 44
2, 17160, Note_on_c, 0, 61, 0
2, 17160, Note_on_c, 0, 66, 0
2, 17160, Note_on_c, 0, 59, 44
2, 17160, Note_on_c, 0, 65, 44
2, 17160, Note_on_c, 0, 68, 53
2, 17280, Note_on_c, 0, 68, 0
2, 17280, Note_on_c, 0, 65, 0
2, 17280, Note_on_c, 0, 59, 0
2, 17280, Note_on_c, 0, 57, 45
2, 17280, Note_on_c, 0, 66, 45
2, 17280, Note_on_c, 0, 69, 54
2, 18000, Note_on_c, 0, 69, 0
2, 18000, Note_on_c, 0, 66, 0
2, 18000, Note_on_c, 0, 57, 0
2, 18000, Note_on_c, 0, 66, 42
2, 18240, Note_on_c, 0, 66, 0
2, 18240, Note_on_c, 0, 61, 45
2, 18240, Note_on_c, 0, 57, 38
2, 18480, Note_on_c, 0, 61, 0
2, 18480, Note_on_c, 0, 63, 37
2, 18720, Note_on_c, 0, 63, 0
2, 18720, Note_on_c, 0, 68, 45
2, 19080, Note_on_c, 0, 68, 0
