0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Etincelles Opus 36, No. 6"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Maurice Moszkowski"
1, 0, Text_t, "Allegro scherzando"
1, 0, Text_t, "Fertiggestellt am 23.10.2004\012"
1, 0, Text_t, "Update am 12.3.2014\012"
1, 0, Text_t, "Dauer: 2:32 Minuten\012"
1, 0, Text_t, "Notiert im 3/16 statt im 3/8 Takt.\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 4, 6, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 500000
1, 120, Tempo, 515021
1, 240, Tempo, 519481
1, 360, Tempo, 500000
1, 480, Tempo, 510638
1, 600, Tempo, 524017
1, 720, Tempo, 508475
1, 840, Tempo, 519481
1, 960, Tempo, 519481
1, 1080, Tempo, 510638
1, 1200, Tempo, 521739
1, 1320, Tempo, 517241
1, 1420, Tempo, 515021
1, 1500, Tempo, 512821
1, 1580, Tempo, 510638
1, 1650, Tempo, 508475
1, 1730, Tempo, 506329
1, 1800, Tempo, 504202
1, 1810, Tempo, 500000
1, 1880, Tempo, 497925
1, 1950, Tempo, 495868
1, 2020, Tempo, 493827
1, 2090, Tempo, 491803
1, 2160, Tempo, 489796
1, 2510, Tempo, 489796
1, 2540, Tempo, 491803
1, 2560, Tempo, 493827
1, 2590, Tempo, 495868
1, 2610, Tempo, 497925
1, 2640, Tempo, 500000
1, 2660, Tempo, 502092
1, 2690, Tempo, 504202
1, 2710, Tempo, 506329
1, 2740, Tempo, 508475
1, 2760, Tempo, 512821
1, 2770, Tempo, 515021
1, 2780, Tempo, 517241
1, 2790, Tempo, 519481
1, 2800, Tempo, 521739
1, 2810, Tempo, 524017
1, 2820, Tempo, 526316
1, 2830, Tempo, 528634
1, 2840, Tempo, 530973
1, 2850, Tempo, 533333
1, 2860, Tempo, 535714
1, 2870, Tempo, 538117
1, 2880, Tempo, 500000
1, 3000, Tempo, 510638
1, 3120, Tempo, 519481
1, 3240, Tempo, 500000
1, 3360, Tempo, 510638
1, 3480, Tempo, 521739
1, 3600, Tempo, 506329
1, 3720, Tempo, 512821
1, 3840, Tempo, 524017
1, 3960, Tempo, 510638
1, 4080, Tempo, 510638
1, 4200, Tempo, 519481
1, 4320, Tempo, 526316
1, 4400, Tempo, 524017
1, 4470, Tempo, 521739
1, 4540, Tempo, 519481
1, 4610, Tempo, 517241
1, 4680, Tempo, 515021
1, 4760, Tempo, 512821
1, 4830, Tempo, 510638
1, 4900, Tempo, 508475
1, 4970, Tempo, 506329
1, 5040, Tempo, 504202
1, 5390, Tempo, 504202
1, 5430, Tempo, 506329
1, 5460, Tempo, 508475
1, 5500, Tempo, 510638
1, 5530, Tempo, 512821
1, 5570, Tempo, 515021
1, 5600, Tempo, 517241
1, 5630, Tempo, 519481
1, 5640, Tempo, 517241
1, 5650, Tempo, 519481
1, 5660, Tempo, 521739
1, 5670, Tempo, 526316
1, 5680, Tempo, 528634
1, 5690, Tempo, 533333
1, 5700, Tempo, 538117
1, 5710, Tempo, 571429
1, 5720, Tempo, 612245
1, 5730, Tempo, 655738
1, 5740, Tempo, 710059
1, 5760, Tempo, 571429
1, 5880, Tempo, 555556
1, 6000, Tempo, 540541
1, 6120, Tempo, 517241
1, 6240, Tempo, 524017
1, 6360, Tempo, 538117
1, 6480, Tempo, 504753
1, 6490, Tempo, 508475
1, 6600, Tempo, 524017
1, 6840, Tempo, 510638
1, 6960, Tempo, 521739
1, 7200, Tempo, 504753
1, 7320, Tempo, 513567
1, 7440, Tempo, 534569
1, 7560, Tempo, 509122
1, 7680, Tempo, 515818
1, 7800, Tempo, 534569
1, 7920, Tempo, 511335
1, 8040, Tempo, 518090
1, 8160, Tempo, 537009
1, 8280, Tempo, 511335
1, 8520, Tempo, 522694
1, 8880, Tempo, 532151
1, 9000, Tempo, 511335
1, 9120, Tempo, 527380
1, 9360, Tempo, 509122
1, 9480, Tempo, 522694
1, 9720, Tempo, 509122
1, 9840, Tempo, 522694
1, 10080, Tempo, 511335
1, 10200, Tempo, 525026
1, 10440, Tempo, 509122
1, 10560, Tempo, 527380
1, 10800, Tempo, 513567
1, 10920, Tempo, 566038
1, 11040, Tempo, 552130
1, 11160, Tempo, 563380
1, 11520, Tempo, 526316
1, 11640, Tempo, 515021
1, 11760, Tempo, 519481
1, 11880, Tempo, 508475
1, 12000, Tempo, 510638
1, 12120, Tempo, 524017
1, 12240, Tempo, 508475
1, 12360, Tempo, 519481
1, 12480, Tempo, 519481
1, 12600, Tempo, 510638
1, 12720, Tempo, 521739
1, 12840, Tempo, 517241
1, 12940, Tempo, 515021
1, 13020, Tempo, 512821
1, 13100, Tempo, 510638
1, 13170, Tempo, 508475
1, 13250, Tempo, 506329
1, 13310, Tempo, 510638
1, 13390, Tempo, 508475
1, 13460, Tempo, 506329
1, 13540, Tempo, 504202
1, 13610, Tempo, 502092
1, 13680, Tempo, 500000
1, 13690, Tempo, 495868
1, 13720, Tempo, 493827
1, 13750, Tempo, 491803
1, 13780, Tempo, 489796
1, 13800, Tempo, 487805
1, 14030, Tempo, 489796
1, 14040, Tempo, 491803
1, 14070, Tempo, 493827
1, 14090, Tempo, 495868
1, 14110, Tempo, 497925
1, 14130, Tempo, 497925
1, 14160, Tempo, 500000
1, 14180, Tempo, 502092
1, 14210, Tempo, 504202
1, 14230, Tempo, 506329
1, 14260, Tempo, 508475
1, 14280, Tempo, 512821
1, 14290, Tempo, 515021
1, 14300, Tempo, 517241
1, 14310, Tempo, 519481
1, 14320, Tempo, 521739
1, 14330, Tempo, 524017
1, 14340, Tempo, 526316
1, 14350, Tempo, 528634
1, 14360, Tempo, 530973
1, 14370, Tempo, 533333
1, 14380, Tempo, 535714
1, 14390, Tempo, 538117
1, 14400, Tempo, 500000
1, 14520, Tempo, 510638
1, 14640, Tempo, 519481
1, 14760, Tempo, 493827
1, 14880, Tempo, 510638
1, 15000, Tempo, 521739
1, 15120, Tempo, 506329
1, 15240, Tempo, 512821
1, 15360, Tempo, 524017
1, 15480, Tempo, 510638
1, 15600, Tempo, 510638
1, 15720, Tempo, 519481
1, 15840, Tempo, 535714
1, 15880, Tempo, 533333
1, 15920, Tempo, 530973
1, 15960, Tempo, 528634
1, 16000, Tempo, 526316
1, 16040, Tempo, 524017
1, 16080, Tempo, 521739
1, 16120, Tempo, 519481
1, 16160, Tempo, 517241
1, 16200, Tempo, 515021
1, 16280, Tempo, 512821
1, 16350, Tempo, 510638
1, 16420, Tempo, 508475
1, 16490, Tempo, 506329
1, 16560, Tempo, 502092
1, 16600, Tempo, 500000
1, 16640, Tempo, 497925
1, 16680, Tempo, 495868
1, 16910, Tempo, 504202
1, 16950, Tempo, 506329
1, 16980, Tempo, 508475
1, 17020, Tempo, 510638
1, 17050, Tempo, 512821
1, 17090, Tempo, 515021
1, 17120, Tempo, 517241
1, 17150, Tempo, 519481
1, 17160, Tempo, 517241
1, 17170, Tempo, 519481
1, 17180, Tempo, 521739
1, 17190, Tempo, 526316
1, 17200, Tempo, 528634
1, 17210, Tempo, 530973
1, 17220, Tempo, 542986
1, 17230, Tempo, 555556
1, 17240, Tempo, 568720
1, 17250, Tempo, 582524
1, 17260, Tempo, 597015
1, 17270, Tempo, 612245
1, 17280, Tempo, 568720
1, 17400, Tempo, 542986
1, 17520, Tempo, 538117
1, 17640, Tempo, 519481
1, 17760, Tempo, 524017
1, 18000, Tempo, 504753
1, 18010, Tempo, 508475
1, 18110, Tempo, 515021
1, 18120, Tempo, 515021
1, 18240, Tempo, 524017
1, 18360, Tempo, 510638
1, 18480, Tempo, 521739
1, 18720, Tempo, 504753
1, 18840, Tempo, 513567
1, 18960, Tempo, 534569
1, 19080, Tempo, 509122
1, 19200, Tempo, 515818
1, 19320, Tempo, 534569
1, 19440, Tempo, 511335
1, 19560, Tempo, 518090
1, 19680, Tempo, 537009
1, 19800, Tempo, 511335
1, 20040, Tempo, 522694
1, 20400, Tempo, 532151
1, 20520, Tempo, 511335
1, 20640, Tempo, 527380
1, 20880, Tempo, 509122
1, 21000, Tempo, 522694
1, 21240, Tempo, 502092
1, 21360, Tempo, 522694
1, 21600, Tempo, 511335
1, 21720, Tempo, 525026
1, 21960, Tempo, 509122
1, 22080, Tempo, 527380
1, 22320, Tempo, 513567
1, 22440, Tempo, 566038
1, 22560, Tempo, 552130
1, 22680, Tempo, 563380
1, 23040, Tempo, 511335
1, 23160, Tempo, 527380
1, 23280, Tempo, 538117
1, 23400, Tempo, 511335
1, 23520, Tempo, 527380
1, 23760, Tempo, 511335
1, 23880, Tempo, 519481
1, 24120, Tempo, 511335
1, 24240, Tempo, 527380
1, 24360, Tempo, 550459
1, 24480, Tempo, 511335
1, 24600, Tempo, 527380
1, 24840, Tempo, 511335
1, 24960, Tempo, 527380
1, 25200, Tempo, 511335
1, 25320, Tempo, 530973
1, 25560, Tempo, 511335
1, 25680, Tempo, 530973
1, 25800, Tempo, 594059
1, 25920, Tempo, 511335
1, 26040, Tempo, 527380
1, 26160, Tempo, 538117
1, 26280, Tempo, 511335
1, 26400, Tempo, 527380
1, 26640, Tempo, 511335
1, 26760, Tempo, 519481
1, 27000, Tempo, 511335
