0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Bilder einer Ausstellung"
1, 0, Title_t, "Promenade - Il vecchio Castello (2)"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Modest Mussorgski"
1, 0, Text_t, "Fertiggestellt am 9.1.2000\012"
1, 0, Text_t, "Update am 18.11.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 19,8,2008\012"
1, 0, Text_t, "Update am 12.11.13\012"
1, 0, Text_t, "Dauer: 4:57 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 5, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 657823
1, 0, Marker_t, "Promenade"
1, 960, Tempo, 644953
1, 1440, Tempo, 622148
1, 1680, Tempo, 649070
1, 1920, Tempo, 642123
1, 2400, Time_signature, 6, 2, 24, 8
1, 2400, Tempo, 622148
1, 2640, Tempo, 674612
1, 2880, Tempo, 649562
1, 3360, Tempo, 642674
1, 3840, Tempo, 649562
1, 4800, Tempo, 668822
1, 5280, Time_signature, 5, 2, 24, 8
1, 5280, Tempo, 657823
1, 6240, Tempo, 649562
1, 6720, Tempo, 631978
1, 6960, Tempo, 659776
1, 7200, Tempo, 632711
1, 7680, Time_signature, 6, 2, 24, 8
1, 7680, Tempo, 642674
1, 8160, Tempo, 651395
1, 8640, Tempo, 654736
1, 9120, Tempo, 665262
1, 9600, Tempo, 674233
1, 10080, Tempo, 692441
1, 10560, Time_signature, 5, 2, 24, 8
1, 10560, Tempo, 639318
1, 11520, Tempo, 644953
1, 12000, Tempo, 615764
1, 12240, Tempo, 659776
1, 12480, Tempo, 644953
1, 12960, Time_signature, 6, 2, 24, 8
1, 12960, Tempo, 635997
1, 13440, Tempo, 646064
1, 13920, Tempo, 642674
1, 14400, Tempo, 649562
1, 15360, Tempo, 667111
1, 15840, Time_signature, 5, 2, 24, 8
1, 15840, Tempo, 659776
1, 16800, Tempo, 644953
1, 17280, Tempo, 638706
1, 17520, Tempo, 656168
1, 17760, Tempo, 646064
1, 18240, Time_signature, 6, 2, 24, 8
