0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Prelude Opus 32 No. 1"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Serge Rachmaninoff"
1, 0, Text_t, "Allegro vivace"
1, 0, Text_t, "Erstellt: 13.2.2007\012"
1, 0, Text_t, "Update: 15.12.2012\012"
1, 0, Text_t, "Dauer: 1:10 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 483598
1, 480, Tempo, 447761
1, 538, Tempo, 445699
1, 576, Tempo, 443656
1, 634, Tempo, 441631
1, 672, Tempo, 439625
1, 730, Tempo, 437637
1, 768, Tempo, 435667
1, 826, Tempo, 433714
1, 864, Tempo, 431779
1, 902, Tempo, 429861
1, 960, Tempo, 427960
1, 979, Tempo, 424208
1, 1018, Tempo, 422357
1, 1037, Tempo, 420521
1, 1056, Tempo, 418702
1, 1075, Tempo, 416898
1, 1094, Tempo, 415110
1, 1133, Tempo, 413337
1, 1152, Tempo, 411579
1, 1171, Tempo, 409836
1, 1190, Tempo, 408108
1, 1210, Tempo, 406394
1, 1248, Tempo, 404694
1, 1267, Tempo, 403009
1, 1286, Tempo, 401338
1, 1306, Tempo, 399654
1, 1325, Tempo, 398010
1, 1363, Tempo, 396380
1, 1382, Tempo, 394763
1, 1402, Tempo, 393159
1, 1421, Tempo, 391568
1, 1440, Tempo, 389990
1, 1478, Tempo, 388425
1, 1498, Tempo, 386872
1, 1517, Tempo, 385332
1, 1536, Tempo, 383803
1, 1555, Tempo, 382287
1, 1594, Tempo, 380783
1, 1613, Tempo, 379291
1, 1632, Tempo, 377810
1, 1651, Tempo, 376341
1, 1670, Tempo, 374883
1, 1709, Tempo, 373436
1, 1728, Tempo, 372001
1, 1747, Tempo, 370576
1, 1766, Tempo, 369163
1, 1786, Tempo, 367760
1, 1824, Tempo, 366367
1, 1843, Tempo, 364986
1, 1862, Tempo, 363614
1, 1882, Tempo, 362253
1, 1920, Tempo, 388425
1, 2400, Tempo, 356888
1, 2720, Tempo, 415110
1, 2880, Tempo, 358209
1, 3200, Tempo, 411579
1, 3360, Tempo, 354003
1, 3680, Tempo, 409836
1, 3840, Tempo, 350898
1, 4160, Tempo, 406394
1, 4320, Tempo, 347846
1, 4640, Tempo, 409836
1, 4800, Tempo, 356888
1, 5242, Tempo, 376341
1, 5280, Tempo, 374883
1, 5318, Tempo, 373436
1, 5338, Tempo, 372001
1, 5376, Tempo, 370576
1, 5395, Tempo, 369163
1, 5434, Tempo, 367760
1, 5453, Tempo, 366367
1, 5491, Tempo, 364986
1, 5510, Tempo, 363614
1, 5549, Tempo, 362253
1, 5568, Tempo, 360902
1, 5606, Tempo, 359540
1, 5626, Tempo, 358209
1, 5664, Tempo, 356888
1, 5683, Tempo, 355577
1, 5722, Tempo, 354275
1, 5741, Tempo, 352983
