0, 0, Header, 1, 9, 480
1, 0, Start_track
1, 0, Title_t, "Gaspard de la Nuit"
1, 0, Title_t, "Le Gibet"
1, 0, Copyright_t, "Copyright © 2004 von Bernd Krüger."
1, 0, Text_t, "Maurice Ravel"
1, 0, Text_t, "Tres lent"
1, 0, Text_t, "Fertiggestellt am 15.11.98\012"
1, 0, Text_t, "Update am 23.11.98 (Verweis auf Audio-File herausgenommen)\012"
1, 0, Text_t, "Update am 22.1.2004\012"
1, 0, Text_t, "Dauer: 6:08 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -6, "major"
1, 0, Tempo, 1271725
1, 480, Tempo, 1159196
1, 720, Tempo, 1756440
1, 960, Tempo, 1756440
1, 1920, Tempo, 1870324
1, 2160, Tempo, 1811594
1, 2640, Tempo, 1756440
1, 3600, Tempo, 2416432
1, 3840, Tempo, 1840491
1, 4080, Tempo, 1680672
1, 4560, Tempo, 1756440
1, 4800, Tempo, 1811594
1, 5040, Tempo, 1756440
1, 5280, Tempo, 1680672
1, 5520, Tempo, 1999334
1, 5760, Tempo, 1840491
1, 6000, Tempo, 1680672
1, 6480, Tempo, 1756440
1, 6720, Tempo, 1840491
1, 6960, Tempo, 1756440
1, 7200, Tempo, 1680672
1, 7440, Tempo, 1999334
1, 7680, Tempo, 1932367
1, 7920, Tempo, 1756440
1, 8400, Tempo, 1840491
1, 9120, Tempo, 1756440
1, 9360, Tempo, 2416432
1, 9600, Tempo, 1730104
1, 9840, Tempo, 1656543
1, 10080, Tempo, 1705030
1, 10560, Tempo, 1633097
1, 10800, Tempo, 1705030
1, 11040, Tempo, 1783591
1, 11400, Tempo, 2229654
1, 11520, Tempo, 1811594
1, 11760, Tempo, 1730104
1, 12000, Tempo, 1840491
1, 12440, Tempo, 1730104
1, 13200, Tempo, 2416432
1, 13440, Tempo, 1840491
1, 13680, Tempo, 1680672
1, 14160, Tempo, 1756440
1, 14400, Tempo, 1811594
1, 14640, Tempo, 1756440
1, 14880, Tempo, 1705030
1, 15120, Tempo, 1999334
1, 15360, Tempo, 1965280
1, 15600, Tempo, 1783591
1, 16080, Tempo, 1870324
1, 16800, Tempo, 1756440
1, 17040, Tempo, 2416432
1, 17280, Tempo, 1705030
1, 17520, Tempo, 1633097
1, 17760, Tempo, 1705030
1, 18240, Tempo, 1633097
1, 18480, Tempo, 1705030
1, 18720, Tempo, 1783591
1, 19080, Tempo, 2229654
1, 19200, Tempo, 1811594
1, 19440, Tempo, 1756440
1, 19680, Tempo, 1840491
1, 20160, Tempo, 1730104
1, 20680, Tempo, 1756440
1, 20880, Tempo, 2070393
1, 21120, Tempo, 1870324
1, 21360, Tempo, 1680672
1, 21600, Tempo, 1756440
1, 22080, Tempo, 1811594
1, 22320, Tempo, 1656543
1, 22560, Tempo, 1588142
1, 22800, Tempo, 1870324
1, 23040, Tempo, 1840491
1, 23280, Tempo, 1680672
1, 23520, Tempo, 1756440
1, 24000, Tempo, 1811594
1, 24240, Tempo, 1656543
1, 24480, Tempo, 1610306
1, 24640, Tempo, 1505646
1, 24800, Tempo, 1610306
1, 24960, Tempo, 1811594
1, 25200, Tempo, 1680672
1, 25920, Tempo, 1901141
1, 26160, Tempo, 1783591
1, 26400, Tempo, 1840491
1, 26880, Time_signature, 3, 2, 24, 8
1, 26880, Tempo, 1965280
1, 27120, Tempo, 1840491
1, 28080, Tempo, 2108222
1, 28320, Tempo, 1999334
1, 28560, Tempo, 1870324
1, 29280, Tempo, 2034588
1, 29520, Tempo, 2468120
1, 29760, Time_signature, 4, 2, 24, 8
1, 29760, Tempo, 1870324
1, 30000, Tempo, 1680672
1, 30240, Tempo, 1756440
1, 30720, Tempo, 1811594
1, 30960, Tempo, 1656543
1, 31200, Tempo, 1588142
1, 31440, Tempo, 1870324
1, 31680, Tempo, 1840491
1, 31920, Tempo, 1680672
1, 32160, Tempo, 1756440
1, 32640, Tempo, 1811594
1, 32880, Tempo, 1656543
1, 33120, Tempo, 1610306
1, 33280, Tempo, 1680672
1, 33440, Tempo, 1783591
1, 33600, Tempo, 1811594
1, 33840, Tempo, 1680672
1, 34560, Tempo, 1901141
1, 34800, Tempo, 1783591
1, 35040, Tempo, 1840491
1, 35760, Tempo, 1633097
1, 36000, Tempo, 1656543
1, 36240, Tempo, 1566989
1, 36480, Tempo, 1656543
1, 36720, Tempo, 1588142
1, 36960, Tempo, 1656543
1, 37200, Tempo, 1588142
1, 37440, Tempo, 1656543
1, 37680, Tempo, 1588142
1, 37920, Tempo, 1656543
1, 38160, Tempo, 1610306
1, 38400, Tempo, 1656543
1, 39120, Tempo, 1680672
1, 39360, Tempo, 1656543
1, 40080, Tempo, 1730104
1, 40320, Tempo, 1783591
1, 40800, Tempo, 1870324
1, 41040, Tempo, 2034588
1, 41280, Key_signature, 0, "major"
1, 41280, Tempo, 1730104
1, 41520, Tempo, 1610306
1, 41760, Tempo, 1656543
1, 42000, Tempo, 1566989
1, 42240, Tempo, 1656543
1, 42480, Tempo, 1588142
1, 42720, Tempo, 1656543
1, 42960, Tempo, 1588142
1, 43200, Tempo, 1656543
1, 43920, Tempo, 1705030
1, 44160, Tempo, 1610306
1, 45120, Tempo, 1656543
1, 45600, Tempo, 1610306
1, 46080, Tempo, 1656543
1, 46560, Tempo, 1756440
1, 47040, Tempo, 1870324
1, 47280, Tempo, 1656543
1, 47520, Tempo, 1756440
1, 48720, Tempo, 1965280
1, 48960, Tempo, 1870324
1, 49200, Tempo, 1656543
1, 49440, Tempo, 1756440
1, 50880, Time_signature, 6, 2, 24, 8
1, 50880, Tempo, 1633097
1, 51120, Tempo, 1576458
1, 51360, Tempo, 1671775
1, 51840, Tempo, 1588142
1, 52320, Tempo, 1656543
1, 52560, Tempo, 1553197
1, 52800, Tempo, 1449275
1, 53040, Tempo, 1576458
1, 53280, Tempo, 1553197
1, 53760, Tempo, 1671775
1, 54000, Tempo, 1553197
1, 54240, Tempo, 1671775
1, 54960, Tempo, 1538462
1, 55200, Tempo, 1481481
1, 55440, Tempo, 1525553
1, 55680, Tempo, 1633097
1, 55920, Tempo, 1553197
1, 56160, Tempo, 1671775
1, 56520, Tempo, 1902346
1, 56640, Time_signature, 4, 2, 24, 8
1, 56640, Tempo, 1779359
1, 56880, Tempo, 1723643
1, 57120, Tempo, 1671775
1, 58560, Tempo, 1756440
1, 58800, Tempo, 1680672
1, 59040, Tempo, 1730104
1, 59760, Tempo, 1656543
1, 60000, Tempo, 1730104
1, 60480, Time_signature, 5, 2, 24, 8
1, 60480, Tempo, 1783591
1, 60720, Tempo, 1633097
1, 60960, Tempo, 1730104
1, 61440, Tempo, 1656543
1, 61680, Tempo, 1756440
1, 62160, Tempo, 1633097
