0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Miroirs - Noctuelles"
1, 0, Copyright_t, "Copyright © 2007 by Bernd Krueger"
1, 0, Text_t, "Maurice Ravel"
1, 0, Text_t, "Tres leger"
1, 0, Text_t, "Erstellt: 11.6.2007\012"
1, 0, Text_t, "Dauer: 4:33 Minuten\012"
1, 0, Text_t, "Takte 6,92: Muß eigentlich 3/4 sein, die ersten 7/16 müssen auf ein Viertel kommen. Entspricht trotzdem den Interpretationen, die ich kenne.\012"
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, -5, "major"
1, 0, Tempo, 531868
1, 0, Marker_t, "Tres leger"
1, 422, Tempo, 510769
1, 691, Tempo, 506329
1, 748, Tempo, 504202
1, 787, Tempo, 502092
1, 825, Tempo, 500000
1, 864, Tempo, 497925
1, 921, Tempo, 495868
1, 960, Tempo, 493827
1, 998, Tempo, 491803
1, 1036, Tempo, 489796
1, 1075, Tempo, 487805
1, 1132, Tempo, 485830
1, 1171, Tempo, 483871
1, 1209, Tempo, 481928
1, 1248, Tempo, 480000
1, 1286, Tempo, 478088
1, 1320, Tempo, 618812
1, 1440, Tempo, 534045
1, 1862, Tempo, 510769
1, 2131, Tempo, 508475
1, 2169, Tempo, 506329
1, 2208, Tempo, 504202
1, 2246, Tempo, 502092
1, 2284, Tempo, 500000
1, 2323, Tempo, 497925
1, 2342, Tempo, 495868
1, 2380, Tempo, 493827
1, 2419, Tempo, 491803
1, 2457, Tempo, 489796
1, 2496, Tempo, 487805
1, 2534, Tempo, 485830
1, 2553, Tempo, 483871
1, 2592, Tempo, 481928
1, 2630, Tempo, 480000
1, 2668, Tempo, 478088
1, 2707, Tempo, 476190
1, 2726, Tempo, 474308
1, 2760, Tempo, 624805
1, 2880, Tempo, 521739
1, 3590, Tempo, 521105
1, 3628, Tempo, 523195
1, 3667, Tempo, 525348
1, 3686, Tempo, 527473
1, 3724, Tempo, 529661
1, 3763, Tempo, 531868
1, 3782, Tempo, 534045
1, 3820, Tempo, 536289
1, 3859, Tempo, 538551
1, 3878, Tempo, 540784
1, 3916, Tempo, 543085
1, 3955, Tempo, 545355
1, 3974, Tempo, 547695
1, 4012, Tempo, 550055
1, 4051, Tempo, 552384
1, 4070, Tempo, 554785
1, 4108, Tempo, 557207
1, 4147, Tempo, 559597
1, 4166, Tempo, 562061
1, 4204, Tempo, 564493
1, 4243, Tempo, 567001
1, 4262, Tempo, 569530
1, 4300, Tempo, 572028
1, 4320, Tempo, 534045
1, 4920, Tempo, 569530
1, 5030, Tempo, 529661
1, 5107, Tempo, 531868
1, 5164, Tempo, 534045
1, 5241, Tempo, 536289
1, 5299, Tempo, 538551
1, 5376, Tempo, 540784
1, 5433, Tempo, 543085
1, 5510, Tempo, 545355
