0, 0, Header, 1, 7, 480
1, 0, Start_track
1, 0, Title_t, "Klaviersonate a-Moll, Opus 143 2. Satz"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Fertiggestellt am 26.11.99\012"
1, 0, Text_t, "Update am 1.7.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 19.9.2004\012"
1, 0, Text_t, "Update am 17.3.2014\012"
1, 0, Text_t, "Dauer: 3:48 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -1, "major"
1, 0, Tempo, 857143
1, 0, Marker_t, "Andante"
1, 720, Tempo, 833333
1, 960, Tempo, 816327
1, 1440, Tempo, 833333
1, 1920, Tempo, 857143
1, 2400, Tempo, 833333
1, 2880, Tempo, 857143
1, 3840, Tempo, 827586
1, 4800, Tempo, 827586
1, 5760, Tempo, 857143
1, 6240, Tempo, 774194
1, 7440, Tempo, 916031
1, 7680, Tempo, 833333
1, 8640, Tempo, 816327
1, 9120, Tempo, 833333
1, 9600, Tempo, 839161
1, 10080, Tempo, 827586
1, 10560, Tempo, 810811
1, 11040, Tempo, 845070
1, 11520, Tempo, 863309
1, 12480, Tempo, 857143
1, 13920, Tempo, 774194
1, 14760, Tempo, 759494
1, 14880, Tempo, 774194
1, 15120, Tempo, 909091
1, 15360, Tempo, 857143
1, 16320, Tempo, 816327
1, 16800, Tempo, 833333
1, 17280, Tempo, 833333
1, 17760, Tempo, 816327
1, 18240, Tempo, 794702
1, 18720, Tempo, 839161
1, 19200, Tempo, 816327
1, 19680, Tempo, 764331
1, 20160, Tempo, 805369
1, 20640, Tempo, 821918
1, 21120, Tempo, 821918
1, 21600, Tempo, 789474
1, 22080, Tempo, 857143
1, 23040, Tempo, 857143
1, 23520, Tempo, 833333
1, 24000, Tempo, 857143
1, 24960, Tempo, 827586
1, 25920, Tempo, 827586
1, 26880, Tempo, 857143
1, 27360, Tempo, 774194
1, 28560, Tempo, 916031
1, 28800, Tempo, 827586
1, 29280, Tempo, 833333
1, 29760, Tempo, 857143
1, 30240, Tempo, 839161
1, 30720, Tempo, 810811
1, 31680, Tempo, 827586
1, 32640, Tempo, 857143
1, 33120, Tempo, 759494
1, 34320, Tempo, 845070
1, 35040, Tempo, 759494
1, 37440, Tempo, 754717
1, 37520, Tempo, 759494
1, 37560, Tempo, 764331
1, 37600, Tempo, 769231
1, 37680, Tempo, 774194
1, 37720, Tempo, 779221
1, 37760, Tempo, 784314
1, 37800, Tempo, 789474
1, 37880, Tempo, 794702
1, 37920, Tempo, 800000
1, 37960, Tempo, 800000
1, 38000, Tempo, 816327
1, 38040, Tempo, 839161
1, 38080, Tempo, 863309
1, 38120, Tempo, 882353
1, 38160, Tempo, 909091
1, 38200, Tempo, 937500
1, 38280, Tempo, 1176471
1, 38340, Tempo, 1600000
1, 38400, Tempo, 857143
1, 39360, Tempo, 916031
1, 39520, Tempo, 882353
1, 39840, Tempo, 909091
1, 40000, Tempo, 888889
1, 40160, Tempo, 916031
1, 40480, Tempo, 902256
1, 40800, Tempo, 882353
1, 41120, Tempo, 952381
1, 41280, Tempo, 916031
1, 41440, Tempo, 882353
1, 41760, Tempo, 909091
1, 41920, Tempo, 888889
1, 42080, Tempo, 916031
1, 42400, Tempo, 902256
1, 43200, Tempo, 916031
1, 43360, Tempo, 882353
1, 43680, Tempo, 909091
1, 43840, Tempo, 875912
1, 44160, Tempo, 895522
1, 44320, Tempo, 869565
1, 44332, Tempo, 845070
1, 44344, Tempo, 821918
1, 44372, Tempo, 851064
1, 44384, Tempo, 869565
1, 44400, Tempo, 875912
1, 44412, Tempo, 882353
1, 44424, Tempo, 888889
1, 44452, Tempo, 882353
1, 44464, Tempo, 875912
1, 44480, Tempo, 851064
1, 44492, Tempo, 839161
1, 44560, Tempo, 845070
1, 44572, Tempo, 863309
1, 44584, Tempo, 869565
1, 44640, Tempo, 882353
1, 44784, Tempo, 869565
1, 44800, Tempo, 863309
1, 44812, Tempo, 845070
1, 44824, Tempo, 839161
1, 44852, Tempo, 833333
1, 44864, Tempo, 839161
1, 44880, Tempo, 869565
1, 44892, Tempo, 875912
1, 44932, Tempo, 869565
1, 44944, Tempo, 851064
1, 44960, Tempo, 839161
1, 44972, Tempo, 827586
1, 45012, Tempo, 845070
1, 45024, Tempo, 851064
1, 45052, Tempo, 857143
1, 45120, Tempo, 909091
1, 45280, Tempo, 888889
1, 45292, Tempo, 869565
1, 45320, Tempo, 863309
1, 45344, Tempo, 869565
1, 45360, Tempo, 882353
1, 45372, Tempo, 888889
1, 45384, Tempo, 895522
1, 45440, Tempo, 882353
1, 45452, Tempo, 863309
1, 45464, Tempo, 857143
1, 45504, Tempo, 863309
1, 45520, Tempo, 875912
1, 45532, Tempo, 882353
1, 45600, Tempo, 909091
1, 45760, Tempo, 882353
1, 45784, Tempo, 869565
1, 45800, Tempo, 882353
1, 45812, Tempo, 888889
1, 45824, Tempo, 895522
1, 45920, Tempo, 916031
1, 46240, Tempo, 909091
1, 46280, Tempo, 895522
1, 46560, Tempo, 888889
