0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Wandererfantasie D760, 2. Satz"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Adagio"
1, 0, Text_t, "Fertiggestellt am 9.4.2004\012"
1, 0, Text_t, "Update am 15.3.2014\012"
1, 0, Text_t, "Dauer: 7:00 Minuten\012"
1, 0, Text_t, "Takt auf 8/4 gesetzt.\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 8, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 1054111
1, 960, Tempo, 1020235
1, 1440, Tempo, 1193317
1, 1920, Tempo, 1054111
1, 3360, Tempo, 1099908
1, 3840, Tempo, 1054111
1, 4800, Tempo, 1119403
1, 5760, Tempo, 1454193
1, 5800, Tempo, 1390176
1, 5840, Tempo, 1331558
1, 5880, Tempo, 1277683
1, 5920, Tempo, 1228250
1, 5960, Tempo, 1182266
1, 7680, Tempo, 1054111
1, 8640, Tempo, 1028454
1, 9120, Tempo, 1193317
1, 9600, Tempo, 1054111
1, 10560, Tempo, 1028454
1, 11040, Tempo, 1099908
1, 11520, Tempo, 1054111
1, 12480, Tempo, 1119403
1, 13440, Tempo, 1182266
1, 14400, Tempo, 1109673
1, 15120, Tempo, 1265022
1, 15360, Tempo, 1054111
1, 16320, Tempo, 1020235
1, 16800, Tempo, 1193317
1, 17280, Tempo, 1054111
1, 18720, Tempo, 1099908
1, 19200, Tempo, 1054111
1, 20160, Tempo, 1119403
1, 21120, Tempo, 1454193
1, 21160, Tempo, 1390176
1, 21200, Tempo, 1331558
1, 21240, Tempo, 1277683
1, 21280, Tempo, 1228250
1, 21320, Tempo, 1182266
1, 23040, Tempo, 1054111
1, 24000, Tempo, 983607
1, 24480, Tempo, 1193317
1, 24960, Tempo, 1054111
1, 26400, Tempo, 1099908
1, 26880, Tempo, 1054111
1, 27840, Tempo, 1119403
1, 28800, Tempo, 1182266
1, 29760, Tempo, 1109673
1, 30720, Tempo, 956175
1, 31680, Tempo, 925355
1, 32160, Tempo, 989120
1, 32520, Tempo, 1195219
1, 32640, Tempo, 956175
1, 33160, Tempo, 940439
1, 33240, Tempo, 932836
1, 33280, Tempo, 925355
1, 33320, Tempo, 917993
1, 33400, Tempo, 925355
1, 33440, Tempo, 932836
1, 33520, Tempo, 940439
1, 33560, Tempo, 948317
1, 34080, Tempo, 948317
1, 34160, Tempo, 956175
1, 34200, Tempo, 964165
1, 34240, Tempo, 972447
1, 34280, Tempo, 980713
1, 34320, Tempo, 989120
1, 34440, Tempo, 1092697
1, 34560, Tempo, 956175
1, 35520, Tempo, 972447
1, 35640, Tempo, 980713
1, 35720, Tempo, 989120
1, 35840, Tempo, 997838
1, 35920, Tempo, 1006543
1, 36000, Tempo, 1015400
1, 36480, Tempo, 997838
1, 37440, Tempo, 997838
1, 37560, Tempo, 1006543
1, 37640, Tempo, 1015400
1, 37760, Tempo, 1024415
1, 37840, Tempo, 1033770
1, 37920, Tempo, 1043115
1, 38400, Tempo, 956175
1, 39360, Tempo, 925355
1, 39840, Tempo, 989120
1, 40200, Tempo, 1195219
1, 40320, Tempo, 956175
1, 40840, Tempo, 940439
1, 40920, Tempo, 932836
1, 40960, Tempo, 925355
1, 41000, Tempo, 917993
1, 41080, Tempo, 925355
1, 41120, Tempo, 932836
1, 41200, Tempo, 940439
1, 41240, Tempo, 948317
1, 41760, Tempo, 948317
1, 41840, Tempo, 956175
1, 41880, Tempo, 964165
1, 41920, Tempo, 972447
1, 41960, Tempo, 980713
1, 42000, Tempo, 989120
1, 42120, Tempo, 1092697
1, 42240, Tempo, 956175
1, 43200, Tempo, 972447
1, 43320, Tempo, 980713
1, 43400, Tempo, 989120
1, 43520, Tempo, 997838
1, 43600, Tempo, 1006543
1, 43680, Tempo, 1015400
1, 44160, Tempo, 989120
1, 45000, Tempo, 1136148
1, 45120, Tempo, 989120
1, 45960, Tempo, 1092697
1, 46080, Tempo, 989120
1, 46920, Tempo, 1103347
1, 47040, Tempo, 1015400
1, 47520, Tempo, 1052632
1, 48000, Tempo, 1033770
1, 48840, Tempo, 1136148
1, 48960, Tempo, 1062511
1, 49440, Tempo, 1124859
1, 49860, Tempo, 983607
1, 50020, Tempo, 975610
1, 50180, Tempo, 967742
1, 50340, Tempo, 960000
1, 50880, Tempo, 925355
1, 51360, Tempo, 989120
1, 51720, Tempo, 1195219
1, 51840, Tempo, 956175
1, 52360, Tempo, 940439
1, 52440, Tempo, 932836
1, 52480, Tempo, 925355
1, 52520, Tempo, 917993
1, 52600, Tempo, 925355
1, 52640, Tempo, 932836
1, 52720, Tempo, 940439
1, 52760, Tempo, 948317
1, 53280, Tempo, 948317
1, 53360, Tempo, 956175
1, 53400, Tempo, 964165
1, 53440, Tempo, 972447
1, 53480, Tempo, 980713
1, 53520, Tempo, 989120
1, 53640, Tempo, 1092697
1, 53760, Tempo, 956175
1, 54720, Tempo, 972447
1, 54840, Tempo, 980713
1, 54920, Tempo, 989120
1, 55040, Tempo, 997838
1, 55120, Tempo, 1006543
1, 55200, Tempo, 1015400
1, 55680, Tempo, 997838
1, 56640, Tempo, 997838
1, 56760, Tempo, 1006543
1, 56840, Tempo, 1015400
1, 56960, Tempo, 1024415
1, 57040, Tempo, 1033770
1, 57120, Tempo, 1043115
1, 57600, Tempo, 956175
1, 58560, Tempo, 925355
1, 59040, Tempo, 989120
1, 59520, Tempo, 956175
