0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Sonata D850, 4. movement"
1, 0, Copyright_t, "Copyright © 2010 by Bernd Krueger"
1, 0, Text_t, "Franz Schubert"
1, 0, Text_t, "Rondo - Allegro moderato"
1, 0, Text_t, "Erstellt: 26.4.2010\012"
1, 0, Text_t, "Update: 13.3.2014\012"
1, 0, Text_t, "Dauer: 9:07 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 533333
1, 0, Marker_t, "Teil 1"
1, 480, Tempo, 550459
1, 960, Tempo, 535714
1, 1440, Tempo, 558140
1, 1920, Tempo, 530973
1, 2400, Tempo, 555556
1, 2880, Tempo, 533333
1, 3360, Tempo, 555556
1, 3840, Tempo, 533333
1, 4320, Tempo, 552995
1, 4800, Tempo, 535714
1, 5280, Tempo, 552995
1, 5760, Tempo, 535714
1, 6240, Tempo, 558140
1, 6720, Tempo, 538117
1, 7200, Tempo, 547945
1, 7560, Tempo, 568720
1, 7680, Tempo, 533333
1, 8160, Tempo, 552995
1, 8640, Tempo, 535714
1, 9120, Tempo, 552995
1, 9600, Tempo, 535714
1, 10080, Tempo, 558140
1, 10560, Tempo, 538117
1, 11040, Tempo, 547945
1, 11400, Tempo, 568720
1, 11520, Tempo, 533333
1, 12000, Tempo, 552995
1, 12480, Tempo, 535714
1, 12960, Tempo, 552995
1, 13320, Tempo, 615385
1, 13440, Tempo, 574163
1, 13920, Tempo, 558140
1, 14400, Tempo, 524017
1, 14880, Tempo, 535714
1, 15240, Tempo, 568720
1, 15360, Tempo, 524017
1, 15840, Tempo, 552995
1, 16320, Tempo, 530973
1, 16800, Tempo, 535714
1, 17160, Tempo, 571429
1, 17280, Tempo, 526316
1, 17760, Tempo, 558140
1, 18240, Tempo, 515021
1, 18240, Marker_t, "Teil 2"
1, 19040, Tempo, 621762
1, 19200, Tempo, 591133
1, 20160, Tempo, 515021
1, 20960, Tempo, 621762
1, 21120, Tempo, 579710
1, 22080, Tempo, 515021
1, 22880, Tempo, 574163
1, 23040, Tempo, 515021
1, 23840, Tempo, 566038
1, 24000, Tempo, 515021
1, 24800, Tempo, 621762
1, 24960, Tempo, 568720
1, 25440, Tempo, 574163
1, 25920, Tempo, 515021
1, 26720, Tempo, 621762
1, 26880, Tempo, 591133
1, 27840, Tempo, 515021
1, 28640, Tempo, 621762
1, 28800, Tempo, 574163
1, 29280, Tempo, 585366
1, 29760, Tempo, 515021
1, 30560, Tempo, 574163
1, 30720, Tempo, 515021
1, 31520, Tempo, 566038
1, 31680, Tempo, 515021
1, 32480, Tempo, 621762
1, 32640, Tempo, 568720
1, 33120, Tempo, 591133
1, 33600, Tempo, 631579
1, 34080, Tempo, 681818
1, 34560, Tempo, 530973
1, 35040, Tempo, 555556
1, 35520, Tempo, 533333
1, 36000, Tempo, 555556
1, 36480, Tempo, 533333
1, 36960, Tempo, 552995
1, 37440, Tempo, 535714
1, 37920, Tempo, 552995
1, 38400, Tempo, 535714
1, 38880, Tempo, 558140
1, 39360, Tempo, 538117
1, 39840, Tempo, 547945
1, 40200, Tempo, 606061
1, 40320, Tempo, 533333
1, 40800, Tempo, 552995
1, 41280, Tempo, 535714
1, 41760, Tempo, 552995
1, 42240, Tempo, 535714
1, 42720, Tempo, 558140
1, 43200, Tempo, 538117
1, 43680, Tempo, 547945
1, 44040, Tempo, 568720
1, 44160, Tempo, 533333
1, 44640, Tempo, 552995
1, 45120, Tempo, 535714
1, 45600, Tempo, 552995
1, 45960, Tempo, 615385
1, 46080, Tempo, 574163
1, 46560, Tempo, 558140
