0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Kinderszenen Opus 15"
1, 0, Title_t, "Glückes genug"
1, 0, Copyright_t, "Copyright © 1997 von Bernd Krüger."
1, 0, Text_t, "Robert Schumann"
1, 0, Text_t, "Fertiggestellt am 2.12.97\012"
1, 0, Text_t, "Korrekturen am 4.9.98\012"
1, 0, Text_t, "Anpassungen an Digitalpiano am 1.1.99\012"
1, 0, Text_t, "Update am 16.6.99\012"
1, 0, Text_t, "Update am 9.7.99\012"
1, 0, Text_t, "Update am 18.7.99\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 8.10.2008\012"
1, 0, Text_t, "Update am 26.3.2014\012"
1, 0, Text_t, "Dauer: 1:02 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 2, "major"
1, 0, Tempo, 750000
1, 0, Marker_t, "Perfect Happiness"
1, 960, Tempo, 750000
1, 1020, Tempo, 745342
1, 1080, Tempo, 740741
1, 1120, Tempo, 736196
1, 1180, Tempo, 731707
1, 1240, Tempo, 727273
1, 1280, Tempo, 722892
1, 1340, Tempo, 718563
1, 1400, Tempo, 714286
1, 1440, Tempo, 710059
1, 1920, Tempo, 750000
1, 1940, Tempo, 745342
1, 2000, Tempo, 740741
1, 2040, Tempo, 736196
1, 2100, Tempo, 731707
1, 2140, Tempo, 727273
1, 2200, Tempo, 722892
1, 2240, Tempo, 718563
1, 2300, Tempo, 714286
1, 2340, Tempo, 710059
1, 2380, Tempo, 705882
1, 2400, Tempo, 697674
1, 3820, Tempo, 689655
1, 3900, Tempo, 693642
1, 3980, Tempo, 697674
1, 4040, Tempo, 701754
1, 4120, Tempo, 705882
1, 4180, Tempo, 710059
1, 4260, Tempo, 714286
1, 4340, Tempo, 718563
1, 4400, Tempo, 722892
1, 4480, Tempo, 727273
1, 4540, Tempo, 731707
1, 4560, Tempo, 736196
1, 4820, Tempo, 731707
1, 4900, Tempo, 727273
1, 4960, Tempo, 722892
1, 5020, Tempo, 718563
1, 5100, Tempo, 714286
1, 5160, Tempo, 710059
