0, 0, Header, 1, 13, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "April"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allegro con moto e un poco rubato"
1, 0, Text_t, "Fertiggestellt am 19.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 13.8.2004\012"
1, 0, Text_t, "Update am 12.9.2008\012"
1, 0, Text_t, "Dauer: 2:09 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 431903
1, 1200, Tempo, 502092
1, 1440, Tempo, 461538
1, 1680, Tempo, 474308
1, 1920, Tempo, 483871
1, 2160, Tempo, 459770
1, 2640, Tempo, 480000
1, 2880, Tempo, 446097
1, 3120, Tempo, 456274
1, 4080, Tempo, 471513
1, 4320, Tempo, 446097
1, 4560, Tempo, 451128
1, 4800, Tempo, 461538
1, 5040, Tempo, 451128
1, 5060, Tempo, 447761
1, 5520, Tempo, 474271
1, 5760, Tempo, 447761
1, 6960, Tempo, 476948
1, 7200, Tempo, 452830
1, 7680, Tempo, 493827
1, 7920, Tempo, 458015
1, 8400, Tempo, 489796
1, 8640, Tempo, 468750
1, 9120, Tempo, 495868
1, 9360, Tempo, 472441
1, 9840, Tempo, 504202
1, 10080, Tempo, 481928
1, 10560, Tempo, 508475
1, 10800, Tempo, 483871
1, 11280, Tempo, 500000
1, 11760, Tempo, 517241
1, 12480, Tempo, 512514
1, 12720, Tempo, 493827
1, 12960, Tempo, 481928
1, 13440, Tempo, 472441
1, 13680, Tempo, 466926
1, 13920, Tempo, 476190
1, 14160, Tempo, 485830
1, 14400, Tempo, 458435
1, 15600, Tempo, 476190
1, 15840, Tempo, 446097
1, 16080, Tempo, 452830
1, 16320, Tempo, 468823
1, 16560, Tempo, 458435
1, 17040, Tempo, 474271
1, 17280, Tempo, 452830
1, 18480, Tempo, 502092
1, 18720, Tempo, 456274
1, 18960, Tempo, 463320
1, 19200, Tempo, 476948
1, 19440, Tempo, 466926
1, 19920, Tempo, 493827
1, 20160, Tempo, 463320
1, 20400, Tempo, 470588
1, 20640, Tempo, 491803
1, 20880, Tempo, 474308
1, 21360, Tempo, 497925
1, 21600, Tempo, 480000
1, 22080, Tempo, 508475
1, 22320, Tempo, 472441
1, 22800, Tempo, 491199
1, 23280, Tempo, 508475
1, 24240, Tempo, 487805
1, 24480, Tempo, 476190
