0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "Januar"
1, 0, Copyright_t, "Copyright © 2000 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Moderato semplice, ma espressivo"
1, 0, Text_t, "Fertiggestellt am 17.7.2000\012"
1, 0, Text_t, "Update am 6.8.2000\012"
1, 0, Text_t, "Update am 19.8.2000\012"
1, 0, Text_t, "Update am 21.8.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 5.8.2004\012"
1, 0, Text_t, "Update am 6.9.2008\012"
1, 0, Text_t, "Dauer: 4:44 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 3, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 850581
1, 0, Marker_t, "Moderato semplice, ma espressivo"
1, 240, Tempo, 820008
1, 360, Tempo, 897398
1, 480, Tempo, 850581
1, 1440, Tempo, 825991
1, 1680, Tempo, 870070
1, 1920, Tempo, 850581
1, 2880, Tempo, 833333
1, 3120, Tempo, 820008
1, 3240, Tempo, 890472
1, 3360, Tempo, 844357
1, 3600, Tempo, 876808
1, 3840, Tempo, 850581
1, 4320, Tempo, 869565
1, 4560, Tempo, 839161
1, 4700, Tempo, 876808
1, 4800, Tempo, 845070
1, 5040, Tempo, 895522
1, 5280, Tempo, 850581
1, 5520, Tempo, 930233
1, 5640, Tempo, 991736
1, 5760, Tempo, 850581
1, 6000, Tempo, 820008
1, 6120, Tempo, 897398
1, 6240, Tempo, 850581
1, 7200, Tempo, 831947
1, 7440, Tempo, 876808
1, 7680, Tempo, 850581
1, 8640, Tempo, 825991
1, 8880, Tempo, 805369
1, 9000, Tempo, 876808
1, 9120, Tempo, 837989
1, 9360, Tempo, 863434
1, 9600, Tempo, 850581
1, 9840, Tempo, 890472
1, 10080, Tempo, 837989
1, 10320, Tempo, 810811
1, 10440, Tempo, 890472
1, 10560, Tempo, 837989
1, 10800, Tempo, 883652
1, 11040, Tempo, 850581
1, 11280, Tempo, 904568
1, 11520, Tempo, 831947
1, 11880, Tempo, 937500
1, 12000, Tempo, 863434
1, 12480, Tempo, 844357
1, 12720, Tempo, 897398
1, 12960, Tempo, 869565
1, 13320, Tempo, 904568
1, 13440, Tempo, 882353
1, 13680, Tempo, 944882
1, 13920, Tempo, 960000
1, 14160, Tempo, 1016949
1, 14280, Tempo, 1132075
1, 14400, Tempo, 857020
1, 14440, Tempo, 850581
1, 14480, Tempo, 844357
1, 14520, Tempo, 837989
1, 14560, Tempo, 831947
1, 14600, Tempo, 825991
1, 14640, Tempo, 820008
1, 14680, Tempo, 814111
1, 14720, Tempo, 808299
1, 14740, Tempo, 802676
1, 14760, Tempo, 897398
1, 14880, Tempo, 850581
1, 15120, Tempo, 904568
1, 15360, Tempo, 837989
1, 15600, Tempo, 897398
1, 15840, Tempo, 863309
1, 16080, Tempo, 890472
1, 16320, Tempo, 869565
1, 16560, Tempo, 904568
1, 17160, Tempo, 960000
1, 17280, Tempo, 844357
1, 17320, Tempo, 837989
1, 17360, Tempo, 831947
1, 17400, Tempo, 825991
1, 17440, Tempo, 820008
1, 17480, Tempo, 814111
1, 17520, Tempo, 808299
1, 17560, Tempo, 802676
1, 17600, Tempo, 797024
1, 17620, Tempo, 791557
1, 17640, Tempo, 897398
1, 17760, Tempo, 857020
1, 18000, Tempo, 904568
1, 18240, Tempo, 850581
1, 18480, Tempo, 897398
1, 18720, Tempo, 875912
1, 18960, Tempo, 890472
