0, 0, Header, 1, 8, 480
1, 0, Start_track
1, 0, Title_t, "Die Jahreszeiten"
1, 0, Title_t, "November"
1, 0, Copyright_t, "Copyright © 2004 by Bernd Krueger"
1, 0, Text_t, "Peter Tschaikowsky"
1, 0, Text_t, "Allogro moderato"
1, 0, Text_t, "Fertiggestellt am  9.12.2000\012"
1, 0, Text_t, "Normierung: 23.12.2002\012"
1, 0, Text_t, "Update am 8.9.2004\012"
1, 0, Text_t, "Update am 26.9.2008\012"
1, 0, Text_t, "Dauer: 2:58 Minuten\012"
1, 0, SMPTE_offset, 96, 0, 3, 0, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 4, "major"
1, 0, Tempo, 618876
1, 240, Tempo, 639863
1, 480, Tempo, 622278
1, 960, Tempo, 629195
1, 1440, Tempo, 618876
1, 1920, Tempo, 618876
1, 2160, Tempo, 654664
1, 2400, Tempo, 618876
1, 2880, Tempo, 629195
1, 3360, Tempo, 625717
1, 4080, Tempo, 643501
1, 4320, Tempo, 622278
1, 4800, Tempo, 629195
1, 5280, Tempo, 618876
1, 5760, Tempo, 629195
1, 6000, Tempo, 643501
1, 6240, Tempo, 629195
1, 7680, Tempo, 618876
1, 7920, Tempo, 639863
1, 8160, Tempo, 622278
1, 8640, Tempo, 629195
1, 9120, Tempo, 618876
1, 9600, Tempo, 618876
1, 9840, Tempo, 654664
1, 10080, Tempo, 618876
1, 10560, Tempo, 629195
1, 11040, Tempo, 625717
1, 11760, Tempo, 654664
1, 12000, Tempo, 622278
1, 12480, Tempo, 629195
1, 12960, Tempo, 632711
1, 13200, Tempo, 639863
1, 13440, Tempo, 629195
1, 14160, Tempo, 647179
1, 14400, Tempo, 632711
1, 14640, Tempo, 650900
1, 14820, Tempo, 839161
1, 14880, Tempo, 636267
1, 15120, Tempo, 643501
1, 15360, Tempo, 636267
1, 15600, Tempo, 647179
1, 15840, Tempo, 636267
1, 16320, Tempo, 636267
1, 16440, Tempo, 639863
1, 16560, Tempo, 643501
1, 16680, Tempo, 647179
1, 16760, Tempo, 650900
1, 16800, Tempo, 632711
1, 17040, Tempo, 654664
1, 17280, Tempo, 636267
1, 17520, Tempo, 643501
1, 18480, Tempo, 658472
1, 18720, Tempo, 647179
1, 18960, Tempo, 658472
1, 19200, Tempo, 639863
1, 19440, Tempo, 647179
1, 20160, Tempo, 636267
1, 20280, Tempo, 639863
1, 20400, Tempo, 643501
1, 20520, Tempo, 647179
1, 20600, Tempo, 650900
1, 20640, Tempo, 658472
1, 20880, Tempo, 654664
1, 21120, Tempo, 647179
1, 22800, Tempo, 654664
1, 23040, Tempo, 643501
1, 23280, Tempo, 647179
1, 23520, Tempo, 636267
1, 24000, Tempo, 636267
1, 24120, Tempo, 639863
1, 24240, Tempo, 643501
1, 24360, Tempo, 647179
1, 24440, Tempo, 650900
1, 24480, Tempo, 632711
1, 24720, Tempo, 654664
1, 24960, Tempo, 636267
1, 25200, Tempo, 643501
1, 26160, Tempo, 658472
1, 26400, Tempo, 647179
1, 26640, Tempo, 658472
1, 26880, Tempo, 639863
1, 27120, Tempo, 647179
1, 27840, Tempo, 636267
1, 27960, Tempo, 639863
1, 28080, Tempo, 643501
1, 28200, Tempo, 647179
1, 28280, Tempo, 650900
1, 28320, Tempo, 658472
1, 28560, Tempo, 654664
1, 28800, Tempo, 643501
1, 29040, Tempo, 662325
1, 29280, Tempo, 650900
1, 29760, Tempo, 639863
1, 30000, Tempo, 658472
1, 30240, Tempo, 650900
1, 30720, Tempo, 647179
1, 31680, Tempo, 654664
1, 31720, Tempo, 654664
1, 32160, Tempo, 670166
1, 32640, Tempo, 643501
1, 32880, Tempo, 639863
1, 33120, Tempo, 615385
1, 33400, Tempo, 612245
1, 33560, Tempo, 606061
1, 33720, Tempo, 609137
1, 33840, Tempo, 612245
1, 33960, Tempo, 615385
1, 34080, Tempo, 618557
1, 34560, Tempo, 618876
1, 34800, Tempo, 654664
1, 35040, Tempo, 615385
1, 35280, Tempo, 612245
1, 35480, Tempo, 609137
1, 35600, Tempo, 612245
1, 35720, Tempo, 615385
1, 35840, Tempo, 618557
1, 35960, Tempo, 621762
1, 36000, Tempo, 618876
1, 36480, Tempo, 618876
1, 36960, Tempo, 621762
1, 37120, Tempo, 618557
1, 37280, Tempo, 615385
1, 37440, Tempo, 612245
1, 37600, Tempo, 615385
1, 37760, Tempo, 618557
1, 37880, Tempo, 621762
1, 37920, Tempo, 618876
1, 38400, Tempo, 618876
1, 38840, Tempo, 618557
1, 39400, Tempo, 615385
1, 39640, Tempo, 618557
1, 39840, Tempo, 621762
1, 40320, Tempo, 643501
1, 40560, Tempo, 639863
1, 40800, Tempo, 622278
1, 40840, Tempo, 618557
1, 41000, Tempo, 615385
1, 41160, Tempo, 612245
1, 41320, Tempo, 609137
1, 41440, Tempo, 612245
1, 41520, Tempo, 615385
1, 41600, Tempo, 618557
1, 41680, Tempo, 621762
1, 41760, Tempo, 625000
1, 42240, Tempo, 618876
1, 42480, Tempo, 654664
1, 42720, Tempo, 618557
1, 42920, Tempo, 615385
1, 43080, Tempo, 612245
1, 43240, Tempo, 609137
1, 43360, Tempo, 612245
1, 43480, Tempo, 615385
1, 43600, Tempo, 618557
1, 43680, Tempo, 618876
1, 44160, Tempo, 618876
1, 44640, Tempo, 618557
1, 44880, Tempo, 615385
1, 45080, Tempo, 612245
1, 45240, Tempo, 615385
1, 45360, Tempo, 618557
1, 45480, Tempo, 621762
1, 45600, Tempo, 618876
1, 46080, Tempo, 618876
1, 46520, Tempo, 618557
1, 46800, Tempo, 615385
1, 47040, Tempo, 612245
1, 47240, Tempo, 615385
1, 47400, Tempo, 618557
1, 47560, Tempo, 621762
1, 48000, Tempo, 618876
1, 48480, Tempo, 621762
1, 48720, Tempo, 618557
1, 48960, Tempo, 615385
1, 49160, Tempo, 618557
1, 49320, Tempo, 621762
1, 49480, Tempo, 625000
1, 49920, Tempo, 618876
1, 50400, Tempo, 621762
1, 50560, Tempo, 618557
1, 50680, Tempo, 615385
1, 50800, Tempo, 612245
1, 50960, Tempo, 615385
1, 51080, Tempo, 618557
1, 51200, Tempo, 621762
1, 51320, Tempo, 625000
1, 51440, Tempo, 628272
1, 51520, Tempo, 631579
1, 51640, Tempo, 634921
1, 51840, Key_signature, 1, "major"
